| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
|---|---|---|---|---|---|---|
| òtítọ́ | irọ́ | òtítọ́ ~ irọ́ | truth ~ lie / falsehood | The context explicitly identifies *irọ́* as one of the basic opposites of *òtítọ́* in ordinary discourse. This is the clearest lexical truth-vs-falsehood contrast in the data. | lexical | [CORE] |
| òtítọ́ ni | irọ́ ni | òtítọ́ ni ~ irọ́ ni | it is true ~ it is a lie / it is false | These are parallel predicative expressions used to affirm or reject a claim. The contrast is directly supported in the attribution vs negative attribution material. | constructional | [CORE] |
| jẹ́ òtítọ́ | kì í ṣe òtítọ́ | jẹ́ òtítọ́ ~ kì í ṣe òtítọ́ | be true ~ is not true | This is a direct positive vs negative truth-evaluation contrast. The negative member is formed analytically by negating the predicative construction. | morphological | [CORE] |
| tọ́ / ó tọ́ | kò tọ́ | tọ́ / ó tọ́ ~ kò tọ́ | be right / it is right ~ it is not right / it is wrong | The context repeatedly presents *kò tọ́* as the negative counterpart of *tọ́*. This opposition covers correctness, propriety, and sometimes moral rightness. | morphological | [CORE] |
| òtítọ́ | èké | òtítọ́ ~ èké | truth ~ falsehood / deceit / fake | The data places *èké* in the falsehood/deceit domain and notes contrasts with truth and genuineness. This opposition is supported, though less directly elaborated than *òtítọ́* vs *irọ́*. | lexical | [CORE] |
| òtọ́ | èké | òtọ́ ~ èké | truth / genuineness ~ falsehood / deceit / fake | The context notes that *òtọ́* appears in contrasts with falsity or imitation, while *èké* can refer to falsity and fake/deceptive things. This supports an opposition especially in genuineness/authenticity contexts. | lexical | [CORE] |
| ojúlówó | èké | ojúlówó ~ èké | genuine / authentic ~ fake / deceitful / false | *Ojúlówó* is used for genuine or authentic items, while *èké* can describe falsehood or fake/deceptive things. The contrast is clearest in commercial and authenticity-related evaluation. | lexical | [CORE] |
| ní ẹ̀rí | kò sí ẹ̀rí | ní ẹ̀rí ~ kò sí ẹ̀rí | have evidence ~ there is no evidence | This is an explicit evidential support vs evidential absence contrast. The context presents these as a central constructional pair for evaluating whether a claim is supported. | constructional | [CORE] |
| ẹlẹ́rìí ojú | ẹlẹ́rìí àròsọ | ẹlẹ́rìí ojú ~ ẹlẹ́rìí àròsọ | eyewitness ~ hearsay witness | The context contrasts direct witness testimony with indirect/hearsay testimony. However, the second expression is marked as less securely established in the source material. | lexical | [UNCERTAIN] |
| ìwà rere | ìwà búburú | ìwà rere ~ ìwà búburú | good character / good conduct ~ bad character / bad conduct | The context explicitly states that these expressions often contrast in ethical evaluation. This is a moral opposition rather than a narrow truth/falsity contrast. | lexical | [CORE] |
| òdodo | ìwà búburú | òdodo ~ ìwà búburú | justice / righteousness / fairness ~ bad character / bad conduct | The context groups *òdodo* with moral rightness and *ìwà búburú* with moral wrongness. The contrast is supported at the semantic level, though not as a fixed binary pair. | lexical | [MARGINAL] |
| péye | àṣìṣe | péye ~ àṣìṣe | exact / precise / accurate ~ mistake / error | The context places these together in the domain of accuracy, precision, and error. This supports a practical opposition between exactness and mistake, though not as a fixed formulaic pair. | lexical | [CORE] |
| fi ẹ̀rí hàn | kò sí ẹ̀rí | fi ẹ̀rí hàn ~ kò sí ẹ̀rí | present evidence / show proof ~ there is no evidence | One construction asserts or supplies evidential support, while the other denies that such support exists. This is a clear constructional opposition in argumentative and legal contexts. | constructional | [CORE] |
| sọ òtítọ́ | irọ́ ni | sọ òtítọ́ ~ irọ́ ni | tell the truth ~ it is a lie / it is false | The first construction presents truthful speech, while the second rejects speech as false. The opposition is supported semantically across the truth-speaking and falsehood-evaluation patterns, though not as a fixed paired formula. | constructional | [MARGINAL] |
| òtítọ́ | òdodo | òtítọ́ ~ òdodo | truth ~ justice / righteousness | The context repeatedly distinguishes factual truth expressions from moral-rightness expressions. This is a domain contrast rather than an antonym pair: *òtítọ́* concerns truth/correctness of statements, while *òdodo* concerns justice and righteousness. | lexical | [CORE] |
