| Construction Type | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|---|---|---|---|---|---|
| ATTRIBUTION | **Òtítọ́ ni.** | *òtítọ́ ni* | “It is true.” | Common predicative attribution for stating that something is true. Used in straightforward assertion and evaluation; alternates attested here include **Ó jẹ́ òtítọ́.**, and related evaluative forms **ó tọ́ / ó dájú**. | [CORE] |
| ATTRIBUTION | **Ó jẹ́ òtítọ́.** | *ó jẹ́ òtítọ́* | “It is true.” | Natural verbal predication of truth, especially in full clause-like assertion. Variation with nominal predicate **Òtítọ́ ni.** is attested in the data; related evaluative alternatives are **ó tọ́ / ó dájú**. | [CORE] |
| NEGATIVE ATTRIBUTION | **Kì í ṣe òtítọ́.** | *kì í ṣe òtítọ́* | “It is not true.” | Common way to deny truth directly. Used when rejecting a claim rather than labeling it as a lie; attested alternates here are **Irọ́ ni.** and broader evaluative **kò tọ́**. | [CORE] |
| NEGATIVE ATTRIBUTION | **Irọ́ ni.** | *irọ́ ni* | “It is a lie / It is false.” | Natural when the speaker explicitly classifies something as false or a lie. Stronger and more categorical than simple denial; alternate attested construction is **Kì í ṣe òtítọ́.** | [CORE] |
| ADNOMINAL MODIFICATION | **Ọ̀nà títọ́** | *ọ̀nà títọ́* | “straight path / right way” | Natural noun–modifier expression in lexicalized or conventional combinations. The meaning may extend beyond factual truth to correctness or rightness; another attested adnominal example is **Ẹlẹ́rìí ojú**. | [CORE] |
| ADNOMINAL MODIFICATION | **Ẹlẹ́rìí ojú** | *ẹlẹ́rìí ojú* | “eyewitness” | Natural fixed-type nominal expression in evidential contexts. This appears more lexical than freely productive in the supplied material; alternate attested adnominal example is **Ọ̀nà títọ́**. | [CORE] |
| BECOME / INCHOATIVE | **(no common expression identified)** | — | — | No common expression was identified in the supplied material, so usage cannot be confirmed here. No alternate construction is attested in P4a for this function. | [UNCERTAIN] |
| BECOME / INCHOATIVE | **(no common expression identified)** | — | — | No common expression was identified in the supplied material, so usage cannot be confirmed here. No alternate construction is attested in P4a for this function. | [UNCERTAIN] |
| CAUSATIVE (OR ABSENCE) | **Fi òtítọ́ hàn.** | *fi òtítọ́ hàn* | “Show / reveal the truth.” | Natural analytic expression for making truth manifest, especially in explanatory or evidential contexts. No dedicated morphological causative is established here; attested alternates are **Fi ẹ̀rí hàn.** and **rí i dájú**. | [CORE] |
| CAUSATIVE (OR ABSENCE) | **Fi ẹ̀rí hàn.** | *fi ẹ̀rí hàn* | “Present evidence / show proof.” | Common evidential expression used when support or proof is being made visible or available. It patterns naturally with discourse about justification; attested alternates are **Fi òtítọ́ hàn.** and **rí i dájú**. | [CORE] |
| ABSTRACT NOMINALIZATION | **Òtítọ́ ṣe pàtàkì.** | *òtítọ́ ṣe pàtàkì* | “Truth is important.” | Natural use of a lexical abstract noun in general statements and value judgments. The supplied material supports lexical nominal forms rather than productive derivation; attested alternate nominal domain items include **òtọ́, títọ́, ẹ̀rí, òdodo**. | [CORE] |
