# CLCA Protocol v3.4 — F2a Derivational Table
# Language: Sanskrit (sa)

| Base Form | Derived Form | Transliteration | Literal Breakdown | Translation | Usage Description | Epistemic Status |
|-----------|--------------|-----------------|-------------------|-------------|-------------------|------------------|
| सत्य (satya) | सत्यता (satyatā) | satyatā | satya + -tā (abstract suffix) | truthfulness, truth, reality | Abstract noun denoting the quality or state of being true. Used in philosophical discourse for the property of truth and in ethical contexts for the virtue of truthfulness. | [CORE] |
| सत्य (satya) | सत्यवादिन् (satyavādin) | satyavādin | satya + vādin (speaking, from √vad + -in agent suffix) | truth-speaking, truthful person | Agent noun describing one who habitually speaks truth. Common in ethical and legal discourse. | [CORE] |
| सत्य (satya) | सत्यवचन (satyavacana) | satyavacana | satya + vacana (speech, statement) | true statement, truthful speech | Compound denoting a true utterance or truthful speech act. Used in contexts requiring verification of statements. | [CORE] |
| सत्य (satya) | सत्यव्रत (satyavrata) | satyavrata | satya + vrata (vow, observance) | vow of truthfulness, committed to truth | Compound denoting commitment to truthfulness as religious or moral discipline. Also used as proper name. | [CORE] |
| सत्य (satya) | सत्यसन्ध (satyasandha) | satyasandha | satya + sandha (binding, keeping, from √dhā) | keeping truth, faithful to promises | Compound describing one who keeps promises and commitments. Used in moral and legal contexts for reliability. | [CORE] |
| सत्य (satya) | सत्यापन (satyāpana) | satyāpana | satya + āpana (causing to reach, from ā + √āp + -ana) | verification, confirmation | Modern administrative term for verification or authentication of facts. Used in legal and bureaucratic contexts. | [CORE] |
| सत्य (satya) | सत्यनिष्ठ (satyaniṣṭha) | satyaniṣṭha | satya + niṣṭha (devoted to, established in) | devoted to truth, firmly established in truth | Compound describing unwavering commitment to truthfulness. Used in moral and spiritual discourse. | [CORE] |
| सत्य (satya) | सत्यार्थ (satyārtha) | satyārtha | satya + artha (meaning, object) | true meaning, real purpose | Compound denoting genuine meaning or purpose as opposed to apparent or superficial sense. Used in interpretive contexts. | [CORE] |
| सत्य (satya) | सत्यभाषिन् (satyabhāṣin) | satyabhāṣin | satya + bhāṣin (speaking, from √bhāṣ + -in) | truth-speaking, truthful speaker | Agent noun similar to satyavādin, describing one who speaks truth. Used in moral and legal contexts. | [CORE] |
| सत्य (satya) | सत्यधर्म (satyadharma) | satyadharma | satya + dharma (duty, righteousness) | duty of truthfulness, truth as religious duty | Compound denoting truthfulness as moral or religious obligation. Used in ethical discourse. | [CORE] |
