# CLCA Protocol v3.2 — F5 Opposition Table
# Language: Sanskrit (sa)

| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
|--------|--------|-----------------|-------------|---------------------|---------------|------------------|
| सत्य (satya) | असत्य (asatya) | satya / asatya | "truth, true, real" / "false, untrue, unreal" | Direct morphological negation using privative prefix a-. Asatya functions as lexicalized antonym denoting falsity, untruth, and unreality, contrasting with satya across factual, moral, and ontological domains. | morphological | [CORE] |
| सत्य (satya) | मिथ्या (mithyā) | satya / mithyā | "truth, true, real" / "false, illusory, unreal" | Lexical opposition between truth/reality and falsity/illusion. Mithyā serves as primary philosophical antonym to satya, particularly in Vedāntic discourse distinguishing ultimate reality from illusory appearance. | lexical | [CORE] |
| यथार्थ (yathārtha) | अयथार्थ (ayathārtha) | yathārtha / ayathārtha | "true, accurate, corresponding to reality" / "untrue, inaccurate, not corresponding to reality" | Morphological negation using privative prefix a-. Opposition specifically emphasizes correspondence versus non-correspondence between cognition/representation and objective reality. | morphological | [CORE] |
| प्रमा (pramā) | अप्रमा (apramā) | pramā / apramā | "valid knowledge, true cognition" / "invalid cognition, erroneous knowledge" | Morphological negation using privative prefix a-. Technical epistemological opposition between valid cognition that corresponds to reality and invalid cognition that fails to correspond. | morphological | [CORE] |
| प्रमा (pramā) | भ्रम (bhrama) | pramā / bhrama | "valid knowledge, correct cognition" / "error, illusion, mistaken cognition" | Lexical opposition between valid and erroneous cognition. Standard pairing in epistemological discourse (pramābhramayoḥ "of valid knowledge and error") for distinguishing correct from mistaken cognition. | lexical | [CORE] |
| धर्म (dharma) | अधर्म (adharma) | dharma / adharma | "duty, righteousness, proper conduct" / "unrighteousness, wrong conduct, injustice" | Morphological negation using privative prefix a-. Fundamental moral opposition between right and wrong conduct, righteousness and unrighteousness, used across ethical, legal, and religious discourse. | morphological | [CORE] |
| साधु (sādhu) | असाधु (asādhu) | sādhu / asādhu | "good, virtuous, proper, correct" / "bad, improper, incorrect, wicked" | Morphological negation using privative prefix a-. Opposition between good/proper and bad/improper, used for moral character, correct conduct, and grammatical correctness. | morphological | [CORE] |
| विद्या (vidyā) | अविद्या (avidyā) | vidyā / avidyā | "knowledge, learning, wisdom" / "ignorance, nescience, false knowledge" | Morphological negation using privative prefix a-. Fundamental soteriological opposition between liberating knowledge and bondage-producing ignorance, central to Vedāntic and Buddhist philosophy. | morphological | [CORE] |
| ऋत (ṛta) | अनृत (anṛta) | ṛta / anṛta | "cosmic order, truth, right" / "falsehood, untruth, disorder, wrong" | Morphological negation using privative prefix a-/an-. Vedic opposition between cosmic/moral order and disorder/falsehood, largely replaced by satya/asatya in classical usage. | morphological | [MARGINAL] |
| व्यवहार (vyavahāra) | परमार्थ (paramārtha) | vyavahāra / paramārtha | "conventional usage, practical reality" / "ultimate truth, highest reality" | Lexical opposition between conventional/empirical and ultimate/absolute levels of truth or reality. Central to Buddhist and Vedāntic two-truths doctrine distinguishing levels of analysis. | lexical | [CORE] |
| सत् (sat) | असत् (asat) | sat / asat | "being, existing, real, good" / "non-being, unreal, bad, evil" | Morphological negation using privative prefix a-. Fundamental ontological opposition between being/existence and non-being/non-existence, also extending to moral domain (good versus evil). | morphological | [CORE] |
| सत्यवादिन् (satyavādin) | असत्यवादिन् (asatyavādin) | satyavādin / asatyavādin | "truth-speaker, truthful person" / "liar, one who speaks falsely" | Morphological negation applied to compound base (a-satya-vādin). Opposition between truthful and deceitful persons in moral and legal characterization. | morphological | [CORE] |
| सत्यवादिन् (satyavādin) | मिथ्यावादिन् (mithyāvādin) | satyavādin / mithyāvādin | "truth-speaker, truthful person" / "liar, one who speaks falsely" | Lexical opposition in compound formation (satya-vādin versus mithyā-vādin). Parallel agent noun constructions contrasting truthful and deceitful speakers. | lexical | [CORE] |
| सत्यं वद (satyaṃ vada) | असत्यं न वक्तव्यम् (asatyaṃ na vaktavyam) | satyaṃ vada / asatyaṃ na vaktavyam | "speak truth!" / "falsehood should not be spoken" | Constructional opposition between positive imperative (speak truth) and negative deontic prohibition (don't speak falsehood). Both express moral obligation regarding truthful speech through different grammatical means. | constructional | [CORE] |
| प्रमाण (pramāṇa) | प्रमाणाभास (pramāṇābhāsa) | pramāṇa / pramāṇābhāsa | "valid means of knowledge, proof" / "semblance of valid knowledge, pseudo-proof" | Lexical opposition through compound formation (pramāṇa versus pramāṇa-ābhāsa). Contrasts genuine epistemic validity with spurious appearance of validity, used in logic to identify fallacious reasoning. | lexical | [CORE] |
| यथार्थज्ञानम् (yathārthajñānam) | मिथ्याज्ञानम् (mithyājñānam) | yathārthajñānam / mithyājñānam | "accurate knowledge, knowledge corresponding to reality" / "false knowledge, erroneous cognition" | Lexical opposition in compound formation (yathārtha-jñāna versus mithyā-jñāna). Contrasts knowledge that corresponds to reality with knowledge that is false or erroneous. | lexical | [CORE] |
| प्रत्यक्षेण ज्ञायते (pratyakṣeṇa jñāyate) | अनुमानेन ज्ञायते (anumānena jñāyate) | pratyakṣeṇa jñāyate / anumānena jñāyate | "is known by perception" / "is known by inference" | Constructional contrast between different epistemic means (perception versus inference) using parallel instrumental constructions. Represents distinction between direct and indirect knowledge sources in epistemological discourse. | constructional | [CORE] |
| सत्यं भवति (satyaṃ bhavati) | सत्यं न भवति (satyaṃ na bhavati) | satyaṃ bhavati / satyaṃ na bhavati | "is true" / "is not true" | Constructional opposition through syntactic negation (presence versus absence of negation particle na). Standard pattern for denying predication in philosophical and general discourse. | constructional | [CORE] |
| सत्यं भवति (satyaṃ bhavati) | असत्यं भवति (asatyaṃ bhavati) | satyaṃ bhavati / asatyaṃ bhavati | "is true" / "is untrue/false" | Morphological opposition within parallel copular constructions (satya versus a-satya as predicates). Represents choice between syntactic negation (na satya) and morphological negation (asatya) for expressing falsity. | morphological | [CORE] |
| मिथ्या भवति (mithyā bhavati) | मिथ्या न भवति (mithyā na bhavati) | mithyā bhavati / mithyā na bhavati | "is false/illusory" / "is not false/illusory" | Constructional opposition through syntactic negation. Used in philosophical arguments defending reality of phenomena against claims of illusoriness. | constructional | [CORE] |
| व्यवहारे सत्यम् (vyavahāre satyam) | परमार्थे सत्यम् (paramārthe satyam) | vyavahāre satyam / paramārthe satyam | "true at the conventional level" / "true at the ultimate level" | Constructional opposition through parallel locative constructions with contrasting domain terms. Central to two-truths framework where same proposition may be evaluated differently at different levels of analysis. | constructional | [CORE] |
| व्यवहारतः (vyavahārataḥ) | परमार्थतः (paramārthataḥ) | vyavahārataḥ / paramārthataḥ | "from the conventional standpoint" / "from the ultimate standpoint" | Constructional opposition through parallel ablative constructions marking epistemic/metaphysical perspective. Forms binary system for relativizing truth-claims to level of analysis in Buddhist and Vedāntic philosophy. | constructional | [CORE] |
| सत्यासत्ययोः (satyāsatyayoḥ) | (no contrasting construction) | satyāsatyayoḥ | "of truth and falsehood" | Internal opposition within dual construction contrasting satya and asatya. This is a construction that expresses opposition rather than being opposed to another construction. | constructional | [CORE] |
| प्रमाभ्रमयोः (pramābhramayoḥ) | (no contrasting construction) | pramābhramayoḥ | "of valid knowledge and error" | Internal opposition within dual construction contrasting pramā and bhrama. Standard formulation in epistemological discourse for distinguishing correct from mistaken cognition. | constructional | [CORE] |
| विद्याविद्ययोः (vidyāvidyayoḥ) | (no contrasting construction) | vidyāvidyayoḥ | "of knowledge and ignorance" | Internal opposition within dual construction contrasting vidyā and avidyā. Used in soteriological discourse about path from ignorance to liberation. | constructional | [CORE] |
| व्यवहारपरमार्थयोः (vyavahāraparamārthayoḥ) | (no contrasting construction) | vyavahāraparamārthayoḥ | "of conventional and ultimate [truth]" | Internal opposition within dual construction contrasting vyavahāra and paramārtha. Central formulation in two-truths doctrine distinguishing levels of reality. | constructional | [CORE] |
| सत्यता (satyatā) | असत्यता (asatyatā) | satyatā / asatyatā | "truthfulness, truth, reality" / "falsity, untruthfulness" | Morphological negation applied to abstract nominalization (a-satya-tā). Opposition between abstract qualities of truthfulness and falsity. | morphological | [CORE] |
| सत्यता (satyatā) | मिथ्यात्व (mithyātva) | satyatā / mithyātva | "truthfulness, truth, reality" / "falsity, illusoriness, unreality" | Lexical opposition between abstract nominalizations of satya and mithyā. Technical terms in Vedānta philosophy for ontological status of reality versus appearance. | lexical | [CORE] |
| यथार्थता (yathārthatā) | अयथार्थता (ayathārthatā) | yathārthatā / ayathārthatā | "accuracy, correspondence to reality" / "inaccuracy, lack of correspondence to reality" | Morphological negation applied to abstract nominalization (a-yathārtha-tā). Opposition between abstract qualities of accuracy and inaccuracy in epistemological contexts. | morphological | [CORE] |
| साधुता (sādhutā) | असाधुता (asādhutā) | sādhutā / asādhutā | "goodness, propriety, virtue" / "badness, impropriety" | Morphological negation applied to abstract nominalization (a-sādhu-tā). Opposition between abstract qualities of goodness/propriety and badness/impropriety. | morphological | [CORE] |
| धार्मिक (dhārmika) | अधार्मिक (adhārmika) | dhārmika / adhārmika | "righteous, religious, relating to dharma" / "unrighteous, irreligious" | Morphological negation applied to adjectival derivation (a-dharma-ika). Opposition between what pertains to dharma and what violates dharma. | morphological | [CORE] |
| व्यावहारिक (vyāvahārika) | पारमार्थिक (pāramārthika) | vyāvahārika / pāramārthika | "conventional, practical, empirical" / "ultimate, absolute, relating to highest reality" | Lexical opposition between adjectival derivations from vyavahāra and paramārtha. Used in philosophical discussions distinguishing conventional from ultimate perspectives. | lexical | [CORE] |
| सत्यवचन (satyavacana) | मिथ्याभाषण (mithyābhāṣaṇa) | satyavacana / mithyābhāṣaṇa | "true statement, truthful speech" / "false speech, lying" | Lexical opposition in compound formation (satya-vacana versus mithyā-bhāṣaṇa). Contrasts truthful and false speech acts, though using different second members (vacana versus bhāṣaṇa). | lexical | [CORE] |
| सम्यग्दृष्टि (samyagdṛṣṭi) | मिथ्यादृष्टि (mithyādṛṣṭi) | samyagdṛṣṭi / mithyādṛṣṭi | "right view, correct understanding" / "false view, wrong opinion" | Lexical opposition in compound formation (samyak-dṛṣṭi versus mithyā-dṛṣṭi). Buddhist technical terms contrasting correct and erroneous philosophical views. | lexical | [CORE] |
| अविद्यया (avidyayā) | विद्यया (vidyayā) | avidyayā / vidyayā | "by/through ignorance" / "by/through knowledge" | Morphological opposition within parallel instrumental constructions (a-vidyā versus vidyā as causal means). Expresses contrasting causal roles of ignorance and knowledge in soteriological discourse. | morphological | [CORE] |
| प्रमा जायते (pramā jāyate) | भ्रमः भवति (bhramaḥ bhavati) | pramā jāyate / bhramaḥ bhavati | "valid knowledge arises" / "error occurs" | Lexical opposition within parallel inchoative constructions. Contrasts genesis of valid versus erroneous cognition in epistemological discourse. | lexical | [CORE] |
| सत्यं धर्मः (satyaṃ dharmaḥ) | (no clear opposing construction identified) | satyaṃ dharmaḥ | "truth is dharma" | Equational construction identifying truth with righteousness. While no direct opposing construction is attested, the equation implies contrast with asatya/adharma as violations of moral order. | constructional | [CORE] |
| सत्यमेव जयते (satyam eva jayate) | (no clear opposing construction identified) | satyam eva jayate | "truth alone conquers" | Emphatic affirmation of truth's ultimate triumph. While no direct opposing construction is attested, the exclusive particle eva implies contrast with falsehood's ultimate defeat. | constructional | [CORE] |
