| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
|---|---|---|---|---|---|---|
| totoo | hindi totoo | totoo / hindi totoo | true/real / not true/not real, false | *Hindi totoo* is the standard morphosyntactic negation of *totoo*, formed by the general negation particle *hindi* preceding the adjectival predicate. The contrast is between asserting and denying the factual truth or reality of a proposition or state of affairs, as in *Hindi totoo ang balita* ("The news is not true"). *Hindi totoo* is described in P2b as the standard formula for denying the truth of a proposition or the reality of a situation. | morphological | [CORE] |
| totoo | kasinungalingan | totoo / kasinungalingan | true/real / lie, falsehood, untruth | Documented explicitly in P1b A-28 and P2b A-17 as a conventionalized oppositional framing (*katotohanan laban sa kasinungalingan* — "truth versus falsehood"). *Totoo* and its nominal *katotohanan* assert factual truth; *kasinungalingan* refers to a deliberate false statement. P1 states that *kasinungalingan* "contrasts directly with *katotohanan* (truth)"; by extension, *totoo* (the root of *katotohanan*) and *kasinungalingan* occupy opposite poles of the truth/falsehood axis. The contrast is between truth and intentional untruth. | lexical | [CORE] |
| katotohanan | kasinungalingan | katotohanan / kasinungalingan | truth / lie, falsehood, untruth | P1 explicitly states that *kasinungalingan* "contrasts directly with *katotohanan*." Documented in P1 item 2 as the primary nominal contrast for *katotohanan*, and in P1b A-28 as a near-formulaic oppositional pair. Both are abstract nouns formed by the *ka-…-an* circumfix; *katotohanan* derives from *totoo* (true/real) and *kasinungalingan* derives from *sinungaling* (liar). The contrast is between truth as an abstract quality and falsehood as an abstract quality. | lexical | [CORE] |
| totoo | peke | totoo / peke | real / fake | These two terms are used in direct contrast within the same construction, as attested in *Mukhang totoo ang produkto pero peke pala* ("The product looked real but turned out to be fake"). *Totoo* asserts factual reality or genuineness; *peke* asserts deliberate inauthenticity of an object or performance. | lexical | [CORE] |
| tama | mali | tama / mali | correct/right / wrong, incorrect, mistaken | P1 states that *mali* "is the primary antonym of *tama*." Documented in P1 items 5 and 6 as the primary binary contrast for correctness evaluation, and in P1 item 8 as the conventionalized paired expression *tama o mali* ("right or wrong"). Both are root-level adjectives used to evaluate statements, actions, or judgments across factual, moral, and procedural domains; *tama* asserts correctness and *mali* asserts incorrectness or wrongness, as in *Tama ang sagot mo* ("Your answer is correct") and *Mali ang datos* ("The data is wrong"). | lexical | [CORE] |
| tama ka | mali ka | tama ka / mali ka | you are right / you are wrong | These are the standard minimal predicate constructions for affirming and denying a person's correctness respectively, documented in P2b as the most frequent utterances for agreement and disagreement in Tagalog conversation. | constructional | [CORE] |
| tama o mali | (no single contrasting construction) | tama o mali | right or wrong / correct or incorrect | Documented in P1 item 8 and P2b D-04 as a conventionalized binary evaluative frame. This construction does not have a single contrasting construction; it functions as a framing device that presupposes the *tama*/*mali* opposition rather than itself being one pole of a contrast. Noted here because the paired construction is documented as a unit distinct from either term alone. | constructional | [CORE] |
| tunay | di-tunay | tunay / di-tunay | genuine / inauthentic | *Di-tunay* is formed by prefixing the negation clitic *di-* to *tunay*, producing an evaluative term for something that lacks genuine character or authenticity. The P1 data notes that *di-tunay* is less lexicalized than *huwad* or *peke* for the same evaluative purpose. | morphological | [MARGINAL] |
| tunay | hindi tunay | tunay / hindi tunay | genuine/authentic / not genuine/inauthentic | Documented in P1b B-29 and P2b B-04 as the standard morphosyntactic negation of *tunay*. The contrast is between asserting and denying the genuineness or authenticity of an object, person, emotion, or relationship. | morphological | [CORE] |
| tunay | huwad | tunay / huwad | genuine, real, authentic / fake, counterfeit, false | P1 states that *tunay* "contrasts with *huwad* (fake)." Documented across P1, P1b, and P3 (Group 3) as the primary contrast between authenticity and counterfeiting in formal and legal registers. *Tunay* evaluates something as authentically what it is; *huwad* denotes something that falsely presents itself as genuine. Both are used in legal and evaluative contexts, though *huwad* is described as more formal or literary. The P1 data contrasts *orihinal* and *awtentiko* with *huwad* and *peke*, and the same contrast applies to *tunay* as the native authenticity term. | lexical | [CORE] |
| tunay | peke | tunay / peke | genuine, real, authentic / fake, counterfeit, phony | P1 states that *tunay* "contrasts with… *peke* (counterfeit)." Documented in P1 items 3 and 10 and in P3 Group 3 as a contrast between authenticity and inauthenticity, with *peke* occupying a more colloquial register than *huwad*. Both *huwad* and *peke* contrast with *tunay*, but they are not synonymous with each other in register. The contrast between *tunay* and *peke* is the everyday colloquial version of the *tunay*/*huwad* opposition. P1 notes *peke* is "more informal" than *huwad*. | lexical | [CORE] |
| huwad | peke | huwad / peke | counterfeit/forged, fake (formal/literary) / fake/phony (colloquial) | Documented in P1 items 9 and 10 and in P3 Group 3 as two items covering the same semantic territory (inauthenticity, counterfeiting) but differing in register rather than in core meaning. P1 describes *huwad* as "somewhat more formal or literary than *peke* in contemporary usage." P3 explicitly notes: "*huwad* is formal/literary, *peke* is colloquial." *Huwad* is used in legal and formal contexts; *peke* is colloquial and extremely common in everyday speech. The P1 data consistently distinguishes them by register and domain: *huwad* is more formal and legal, applied to documents and currency; *peke* is colloquial and extends more readily to emotional performances and persons. They occupy overlapping rather than identical semantic space; this entry documents a register and domain distinction between near-synonyms rather than a truth-domain opposition. | lexical | [CORE] |
| tapat | sinungaling | tapat / sinungaling | honest, sincere, straightforward / liar, lying, false (of a person) | P1 describes *tapat* as evaluating persons or statements as "honest and without concealment" and *sinungaling* as "the standard term for a person who lies." Documented in P1 items 20 and 12 and in P3 Group 5 as contrasting evaluations of a person's honesty. *Tapat* evaluates a person or statement as honest and without concealment; *sinungaling* evaluates a person as one who lies or a statement as a lie. The contrast is between honest and dishonest character or speech. | lexical | [CORE] |
| tapat | hindi tapat | tapat / hindi tapat | honest / not honest | *Hindi tapat* is the standard negation of *tapat*, documented in P1b C-17 and P2b C-03 as the standard morphosyntactic negation of *tapat*. Used to evaluate a person or statement as lacking honesty or loyalty, as in *Hindi tapat ang kanyang mga salita* ("His/her words are not honest"). The contrast is between asserting and denying honesty or sincerity in a person or statement. | morphological | [CORE] |
| tapat na salita | sinungaling na salita | tapat na salita / sinungaling na salita | honest words / lying/false words | The P1 data documents *sinungaling na salita* ("lying/false words") as an attested attributive use of *sinungaling*, and *tapat na salita* ("honest words") as an attested collocation of *tapat*. These are contrasting evaluations of speech as honest versus dishonest. | lexical | [CORE] |
| lehitimo | di-lehitimo | lehitimo / di-lehitimo | legitimate / illegitimate | *Di-lehitimo* is formed by prefixing *di-* to *lehitimo* and is used to evaluate a claim, authority, or status as lacking recognized institutional validity, as in *Di-lehitimong pamahalaán* ("Illegitimate government"). | morphological | [CORE] |
