| Prompt # | Expression (Native Script) | Transliteration | Naturalness Rating | Notes |
|---|---|---|---|---|
| 1 | Naging totoo ang kanyang pangarap. | Naging totoo ang kanyang pangarap. | [CORE] | Standard construction for transition from hypothetical/doubted state into confirmed reality; most natural in contexts of wishes, predictions, or feared outcomes being realized. |
| 2 | Naging totoo ang lahat ng sinabi niya. | Naging totoo ang lahat ng sinabi niya. | [CORE] | Extension of the same construction to a set of claims; natural in narrative and evaluative discourse. |
| 3 | Totoo na. | Totoo na. | [CORE] | More colloquial and more frequently attested form for this meaning in spoken Tagalog; particle *na* signals change of state. |
| 4 | Totoo na pala. | Totoo na pala. | [CORE] | Combination of *na* (changed state) and *pala* (realization/discovery) marks speaker's epistemic update upon discovering something is true. |
| 5 | Nagkatotoo ang kanyang pangarap. | Nagkatotoo ang kanyang pangarap. | [MARGINAL] | Alternate inchoative specific to realization of predictions or wishes; less broadly distributed than *naging totoo*. |
| 6 | Nagkatotoo ang kanyang takot. | Nagkatotoo ang kanyang takot. | [MARGINAL] | Same construction applied to a feared outcome; spontaneous/unintended nuance of *nagka-* is consistent with this reading. |
| 7 | Naging tunay ang kanilang pagmamahal sa paglipas ng panahon. | Naging tunay ang kanilang pagmamahal sa paglipas ng panahon. | [CORE] | Most natural with nouns denoting relationships, emotions, and character; less natural with physical objects. |
| 8 | Maging tapat ka sa akin. | Maging tapat ka sa akin. | [CORE] | Attested in P2a and P2b; primary verbal expression of the root's meaning; injunctive rather than strictly inchoative. |
| 9 | Naging tapat siya sa kanyang mga kaibigan pagkatapos ng maraming taon. | Naging tapat siya sa kanyang mga kaibigan pagkatapos ng maraming taon. | [CORE] | Completed-aspect form describing the completed transition into a state of honesty or sincerity. |
| 10 | Naging tapat siya sa wakas. | Naging tapat siya sa wakas. | [CORE] | Natural in narrative and moral discourse; describes change of state in a person's honesty. |
| 11 | Nagtapat na siya. | Nagtapat na siya. | [CORE] | Particle *na* marks change of state — person has moved from concealment to honest disclosure; most natural dynamic expression for the *tapat* domain. |
| 12 | Magtapat ka na. | Magtapat ka na. | [CORE] | *Na* particle marks urgency and expectation of a state change; encodes the specific act of making an honest disclosure that has been withheld. |
| 13 | Naging tama ang kanyang hula sa huli. | Naging tama ang kanyang hula sa huli. | [CORE] | Attested in contexts where a prediction, estimate, or judgment is retrospectively confirmed as correct. |
| 14 | Tama na. | Tama na. | [CORE] | Pragmatically specialized; meaning (sufficiency/cessation) is not fully predictable from *tama* + *na*; does not straightforwardly encode "becoming correct." |
| 15 | Nagkamali ako. | Nagkamali ako. | [CORE] | Standard first-person admission of error; *nagka-* marks unintended coming-about of a state. |
| 16 | Nagkamali siya sa kanyang pagkakaunawa. | Nagkamali siya sa kanyang pagkakaunawa. | [CORE] | Extension of the same construction to a specific domain of error. |
| 17 | Naging mali ang kanyang desisyon nang magbago ang sitwasyon. | Naging mali ang kanyang desisyon nang magbago ang sitwasyon. | [CORE] | Attested in evaluative contexts where a previously correct judgment is rendered incorrect by changed circumstances. |
| 18 | Sigurado na ako. | Sigurado na ako. | [CORE] | *Na* marks a shift from uncertainty to certainty, or the completion of verification. |
| 19 | Naging lehitimo ang kanyang paghahabol matapos ang desisyon ng korte. | Naging lehitimo ang kanyang paghahabol matapos ang desisyon ng korte. | [CORE] | Attested in legal and political contexts where an institutional decision confers recognized validity on a claim or authority. |
| 20 | Naging mapagkakatiwalaan ang organisasyon sa paglipas ng mga taon. | Naging mapagkakatiwalaan ang organisasyon sa paglipas ng mga taon. | [CORE] | Attested in institutional and interpersonal contexts describing the development of a reputation for reliability. |
| 21 | Huwag kang maging sinungaling. | Huwag kang maging sinungaling. | [CORE] | *Maging* encodes both the state of being and the process of becoming; attested in P4a. |
| 22 | Huwad na ang dokumento. | Huwad na ang dokumento. | [CORE] | Particle *na* marks a change in the epistemic state of the evaluator rather than a change in the intrinsic state of the object. |
