| Base Form | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|-----------|---------|-----------------|-------------|-------------|------------------|
| totoo | Totoo ba iyon? | Totoo ba iyon? | Is that true? / Is that real? / Really? | The construction *totoo ba* + demonstrative/noun phrase is the standard interrogative formula for challenging or requesting confirmation of a claim. The particle *ba* marks the utterance as a yes/no question; *iyon* (distal demonstrative) is the most common variant, though *iyan* (proximal-to-addressee) also occurs. The construction as a whole functions as a fixed epistemic inquiry formula across all registers; it functions both as a genuine information-seeking question and as an expression of surprise or disbelief. Cross-referenced from P1b. | [CORE] |
| totoo | Sa totoo lang, hindi ko alam. | Sa totoo lang, hindi ko alam. | To tell the truth, I don't know. / Honestly, I don't know. | *Sa totoo lang* functions as a conventionalized discourse-initial marker of candor, introducing a statement the speaker presents as frank or unguarded. Documented in P1b and cross-referenced here as the most frequent periphrastic honesty-framing construction in spoken Tagalog. | [CORE] |
| totoo | Ang totoo nito, mas kumplikado ang sitwasyon. | Ang totoo nito, mas kumplikado ang sitwasyon. | The truth of the matter is, the situation is more complicated. | *Ang totoo nito* is a fixed topic-marking construction used to introduce a corrective or clarifying statement about a specific matter. *Ang totoo* uses *totoo* as a nominalized head followed by a genitive phrase (*nito* — "of this"), functioning as a discourse-initial formula pragmatically equivalent to "the fact of the matter is." Documented in P1b and cross-referenced here as the standard topic-fronted truth-framing construction in formal and journalistic registers, as well as in spoken Tagalog. | [CORE] |
| totoo | Totoo o hindi, kailangan nating malaman. | Totoo o hindi, kailangan nating malaman. | True or not, we need to find out. | *Totoo o hindi* is a fixed binary-framing construction presenting truth and falsity as the exhaustive alternatives for a claim under investigation. Documented in P1b and cross-referenced here. The *man o hindi* variant (*totoo man o hindi*) adds a concessive force ("even if") and is equally attested in argumentative and deliberative discourse. | [CORE] |
| totoo | Parang totoo ang kanyang pagiyak. | Parang totoo ang kanyang pagiyak. | Her crying seemed real. / His crying looked genuine. | *Parang totoo* is a conventionalized appearance-framing construction asserting resemblance to reality without asserting reality itself. Documented in P1b and cross-referenced here as the standard construction for evaluating verisimilitude in performance or representation. The *parang* + adjective pattern is productive, but *parang totoo* is particularly conventionalized in discourse about appearances versus reality. | [CORE] |
| totoo | Mukhang totoo ang produkto pero peke pala. | Mukhang totoo ang produkto pero peke pala. | The product looked real but turned out to be fake. | *Mukhang totoo* is a conventionalized appearance-evaluation construction using *mukha* (face/appearance) as a grammaticalized evidential of visual impression. Documented in P1b and cross-referenced here. The contrast with *peke* in the same sentence is a highly attested pattern in consumer and fraud discourse. | [CORE] |
| totoo | Totoo ang nararamdaman ko. | Totoo ang nararamdaman ko. | What I feel is real. / My feelings are genuine. | Construction applying *totoo* to the validity of emotional experience rather than to a propositional claim. Documented in P1b peripheral extensions and cross-referenced here as a conventionalized pattern in interpersonal and therapeutic discourse for validating subjective states. | [CORE] |
| totoo | Totoo sa buhay ang mga karakter sa nobela. | Totoo sa buhay ang mga karakter sa nobela. | The characters in the novel are true to life. | *Totoo sa buhay* is a conventionalized aesthetic-evaluation construction applying *totoo* as a criterion of fidelity to lived experience rather than propositional truth. Documented in P1b peripheral extensions and cross-referenced here. Used to characterize depictions, stories, or portrayals as faithfully reflecting lived experience; functions as a semi-fixed evaluative expression in literary and media discourse. | [CORE] |
| totoo | totoo sa sarili | totoo sa sarili | true to oneself, authentic to one's own nature | This construction extends *totoo* into the domain of personal authenticity and identity; it evaluates whether a person acts in accordance with their genuine values rather than performing for others. It appears in self-help, literary, and moral discourse and is not reducible to simple propositional truth-predication. | [CORE] |
