| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
|---|---|---|---|---|---|---|
| kweli | uongo | kweli / uongo | true, truth / lie, falsehood | These are the clearest basic lexical opposites in the dataset for truth versus falsehood. *Kweli* affirms truth or reality, while *uongo* denotes lying or falsity. | lexical | [CORE] |
| -kweli | -ongo | -kweli / -ongo | true, genuine / false, deceitful | These adjectival stems contrast genuineness or truth with falsity or deceit. The context explicitly supports their use in agreeing forms and even notes contrasts such as *si ya/wa kweli bali ya/wa uongo*. | lexical | [CORE] |
| wa kweli | wa uongo | wa kweli / wa uongo | genuine, real, true / false, deceitful, fake | These agreeing descriptive forms oppose genuine or true entities to false or deceitful ones. The contrast is directly supported in the construction inventory. | constructional | [CORE] |
| ya kweli | ya uongo | ya kweli / ya uongo | true, real, genuine / false, fake | These class-agreeing constructions contrast truth/genuineness with falsity/fakeness for statements, goods, or other nouns. The context explicitly lists both forms. | constructional | [CORE] |
| ni kweli | si kweli | ni kweli / si kweli | it is true / it is not true, false | This is a direct predicative opposition between affirmation and negated truth. It is one of the most basic supported contrasts in the material. | morphological | [CORE] |
| ni kweli | ni uongo | ni kweli / ni uongo | it is true / it is a lie, it is false | These two predicative constructions oppose truth-assertion to explicit accusation of falsity. The context also notes that *ni uongo* is often stronger and more accusatory than *si kweli*. | constructional | [CORE] |
| kusema ukweli / sema ukweli | kusema uongo / sema uongo | kusema ukweli / sema ukweli; kusema uongo / sema uongo | to tell the truth / tell the truth; to tell a lie / tell a lie | These light-verb constructions oppose truth-telling and lying. The context explicitly identifies this as the ordinary verbal strategy in Swahili. | constructional | [CORE] |
| ukweli mtupu | uongo mtupu | ukweli mtupu / uongo mtupu | pure truth, nothing but the truth / pure lies, nothing but lies | These emphatic noun phrases oppose total truth to total falsity. Both are directly listed and clearly parallel in form and meaning. | constructional | [CORE] |
| habari za uongo | habari feki | habari za uongo / habari feki | false news / fake news | These are not opposites in meaning, but they form a supported contrastive pair in expression type: one uses the genitive falsity construction, the other a colloquial modifier. The context explicitly says *habari feki* overlaps with *habari za uongo* but sounds more modern and informal. | constructional | [CORE] |
| halisi | bandia | halisi / bandia | genuine, real, actual / fake, imitation, counterfeit | These lexical items oppose genuineness and actuality to counterfeit or imitation status. The context repeatedly places them in authenticity-related evaluation. | lexical | [CORE] |
| halisi | feki | halisi / feki | genuine, real / fake, bogus | This is another supported authenticity contrast, with *feki* as a more colloquial contemporary term for what is not genuine. The opposition is clearly grounded in the descriptions of both items. | lexical | [CORE] |
| ya asili | bandia | ya asili / bandia | original, natural, authentic / fake, imitation, counterfeit | The context states that *ya asili* is used for things considered natural or original rather than artificial or imitative, which directly supports opposition to *bandia*. This is an authenticity contrast rather than a truth-value contrast. | lexical | [CORE] |
| ya asili | feki | ya asili / feki | original, natural, authentic / fake, bogus | This contrast is also supported by the descriptions: *ya asili* marks authenticity, while *feki* marks non-genuine status. The opposition is clear though less fixed as a paired expression. | lexical | [CORE] |
| sahihi | si sahihi | sahihi / si sahihi | correct, accurate / not correct, incorrect, improper | This is a straightforward negated opposition between correctness and non-correctness. It is explicitly listed in the data as a common evaluative pattern. | morphological | [CORE] |
| taarifa sahihi | taarifa za uongo | taarifa sahihi / taarifa za uongo | accurate information / false information, false reports | These constructions oppose accurate/correct information to false information. The contrast is clearly supported by the listed expressions and semantic grouping. | constructional | [CORE] |
| kuaminika / aminika | asiyeaminika / kutoaminika | kuaminika / aminika; asiyeaminika / kutoaminika | be credible, be trustworthy / untrustworthy, not credible; lack of credibility | These forms oppose credibility and trustworthiness to lack of credibility. The negative forms are explicitly listed as derivational or relative negations of the same family. | morphological | [CORE] |
| chanzo kinachoaminika | chanzo hicho hakiaminiki | chanzo kinachoaminika / chanzo hicho hakiaminiki | a credible source / that source is not credible | This is a constructional opposition between a positively evaluated source and a source denied credibility. The contrast is directly supported in the construction behavior table. | constructional | [CORE] |
| taarifa inayoaminika | taarifa za uongo | taarifa inayoaminika / taarifa za uongo | reliable information, credible report / false information, false reports | These constructions contrast information judged worthy of belief with information judged false. The opposition is supported by the credibility and falsity groupings. | constructional | [CORE] |
| aminifu / uaminifu | mwongo / uongo | aminifu / uaminifu; mwongo / uongo | trustworthy, honest / trustworthiness, honesty; liar / lie, falsehood | This is a supported moral-epistemic contrast between honesty/trustworthiness and lying/falsehood. The terms are not strict morphological opposites, but the semantic opposition is clearly present in the dataset. | lexical | [CORE] |
| halali | haramu | halali / haramu | lawful, legitimate, permissible / forbidden, illegal, illicit | The context explicitly states that *haramu* is the common opposite of *halali* in many contexts. This is one of the clearest lexical oppositions in the legal-religious domain. | lexical | [CORE] |
| ni halali | ni haramu | ni halali / ni haramu | it is lawful, legitimate / it is forbidden, illicit | These predicative constructions directly oppose permissibility and prohibition. They are explicitly listed as parallel constructions in the data. | constructional | [CORE] |
| biashara halali | biashara haramu | biashara halali / biashara haramu | lawful business, legitimate trade / illegal trade, illicit business | These noun phrases oppose legitimate commerce to illicit commerce. Both are directly attested in the construction inventory. | constructional | [CORE] |
| batili | halali | batili / halali | invalid, null, void / lawful, legitimate, valid | The contrast is supported in formal evaluative language where *batili* marks lack of validity or standing, while *halali* marks legitimacy or acceptability under a norm. This is not a perfect antonym pair in all contexts, but the opposition is clearly available in the data. | lexical | [MARGINAL] |
| ni batili | ni halali | ni batili / ni halali | it is invalid, null and void / it is lawful, legitimate | These predicative constructions oppose invalidity to legitimacy. The contrast is supported by the shared formal evaluative domain, though not presented as a fixed canonical pair. | constructional | [MARGINAL] |
| si ya kweli bali ya uongo | ya kweli | si ya kweli bali ya uongo / ya kweli | not genuine/true but false/fake / true, real, genuine | This is an explicitly contrastive structure in the data, overtly setting truth/genuineness against falsity/fakeness. It is one of the clearest marked oppositional constructions because the contrast is stated inside the expression itself. | constructional | [MARGINAL] |
