| Construction Type | Example | Transliteration | Translation | Epistemic Status | Usage Notes |
|---|---|---|---|---|---|
| ATTRIBUTION | **Ni kweli.** | *Ni kweli.* | “It is true.” | [CORE] | Common idiomatic predication for evaluating truth, correctness, validity, and related notions in everyday speech and formal discourse. Also attested with related predicates such as **sahihi, batili, halali, haramu, dhahiri**. |
| ATTRIBUTION | **Hii ni sahihi.** | *Hii ni sahihi.* | “This is correct.” | [CORE] | Natural for direct assessment of statements, answers, claims, or decisions. Variation is lexical within the same pattern: **NP + ni + kweli / uongo / sahihi / batili / halali / haramu / dhahiri**. |
| NEGATIVE ATTRIBUTION | **Si kweli.** | *Si kweli.* | “It is not true.” | [CORE] | Very common for plain denial or rejection of a claim. An attested stronger alternative is positive predication with a negative-value noun, e.g. **ni uongo** or **ni batili**. |
| NEGATIVE ATTRIBUTION | **Jibu hili si sahihi.** | *Jibu hili si sahihi.* | “This answer is not correct.” | [CORE] | Natural in correction, evaluation, and instructional contexts. Variation is between **si + predicate** and the stronger rejecting forms **ni uongo / ni batili** where appropriate. |
| ADNOMINAL MODIFICATION | **taarifa sahihi** | *taarifa sahihi* | “accurate information” | [CORE] | Common with nouns denoting information, objects, and statuses. Attested alternants within this slot include **-kweli / -ongo / sahihi / halisi / bandia / feki / ya asili / -enye haki**. |
| ADNOMINAL MODIFICATION | **dawa bandia** | *dawa bandia* | “counterfeit medicine” | [CORE] | Natural especially for authenticity, falsity, and quality distinctions in everyday and regulatory contexts. Usage varies by modifier type: some are direct postnominal modifiers, while others appear in constructions like **ya asili**. |
| BECOME / INCHOATIVE | **Taarifa hii inaaminika.** | *Taarifa hii inaaminika.* | “This report is credible.” | [CORE] | Clearly attested and natural for credibility or trustworthiness judgments, especially with reports, sources, and claims. The note in P4a restricts this to **-amini- → -aminika**; no equally common inchoative was identified for **kweli**, **uongo**, or **sahihi**. |
| BECOME / INCHOATIVE | **Chanzo hicho hakiaminiki.** | *Chanzo hicho hakiaminiki.* | “That source is not credible.” | [CORE] | Common in evaluative contexts involving reliability of sources or testimony. Attested variation is polarity only within the same construction: **inaaminika / hakiaminiki**. |
| CAUSATIVE (OR ABSENCE) | **Hotuba yake ilitia imani.** | *Hotuba yake ilitia imani.* | “His speech inspired confidence.” | [MARGINAL] | The periphrastic expression is attested and usable, but P4a explicitly notes that no productive dedicated causative for “make true/correct” was established. Its use is therefore restricted to causing confidence rather than directly causing truth or correctness. |
| CAUSATIVE (OR ABSENCE) | **Kiongozi huyo anatia imani.** | *Kiongozi huyo anatia imani.* | “That leader inspires confidence.” | [MARGINAL] | Natural in contexts of trust, leadership, and public evaluation, but it is only a nearby causative-like expression. The only attested alternate construction here is the same periphrastic **kutia imani**. |
| ABSTRACT NOMINALIZATION | **ukweli** | *ukweli* | “truth” | [CORE] | Common abstract noun formation for qualities and states in the truth domain. Attested alternants in the same pattern include **usahihi, uaminifu, uhalisia**. |
| ABSTRACT NOMINALIZATION | **usahihi wa taarifa** | *usahihi wa taarifa* | “accuracy of information” | [CORE] | Natural in formal, evaluative, and descriptive contexts, especially with genitive complements specifying the domain. Variation is lexical across abstract nouns formed with **u-**. |
| AGENTIVE NOMINALIZATION (LIAR, TRUTH-TELLER) | **mwongo** | *mwongo* | “liar” | [CORE] | Common person-denoting noun for stable character description or accusation. Attested alternants in the same pattern are **mkweli** and **mwaminifu**. |
| AGENTIVE NOMINALIZATION (LIAR, TRUTH-TELLER) | **mkweli** | *mkweli* | “truthful/honest person” | [CORE] | Natural for describing a person’s character or reputation. Variation within the attested set includes **mwongo** and **mwaminifu**, each with its own lexical meaning. |
| PROPOSITIONAL COMPLEMENT WITH “THAT” | **Ninaamini kwamba atasema ukweli.** | *Ninaamini kwamba atasema ukweli.* | “I believe that he will tell the truth.” | [CORE] | Common with belief verbs and truth-evaluating predicates introducing full clauses. Attested alternate frames include **ni dhahiri kwamba + clause** and **ukweli ni kwamba + clause**. |
| PROPOSITIONAL COMPLEMENT WITH “THAT” | **Ni dhahiri kwamba ni uongo.** | *Ni dhahiri kwamba ni uongo.* | “It is evident that it is a lie.” | [CORE] | Natural in evidential and evaluative statements, especially in formal or argumentative contexts. Variation is lexical in the matrix predicate: **kuamini**, **ni dhahiri**, and **ukweli ni kwamba** are all attested. |
| TRUTH / FALSEHOOD AS LIGHT-VERB OBJECT | **Sema ukweli.** | *Sema ukweli.* | “Tell the truth.” | [CORE] | This is the ordinary verbal strategy for truth-telling and lying. The attested alternate construction is the same light-verb pattern with the contrasting object, **sema/kusema + uongo**. |
| TRUTH / FALSEHOOD AS LIGHT-VERB OBJECT | **Alisema uongo.** | *Alisema uongo.* | “He/she told a lie.” | [CORE] | Very natural in everyday narration and accusation. P4a explicitly notes this light-verb construction as the ordinary strategy rather than a simple lexical verb pair. |
| GENITIVE QUALITY CONSTRUCTION | **habari za uongo** | *habari za uongo* | “false news” | [CORE] | Productive and natural for linking a noun to falsity, authenticity, or source/status meanings. Attested alternants include **N + wa/ya/za + ukweli / uongo / asili**. |
| GENITIVE QUALITY CONSTRUCTION | **bidhaa ya asili** | *bidhaa ya asili* | “natural/authentic product” | [CORE] | Common especially for authenticity and origin/status readings. Usage varies with noun class agreement in the genitive linker (**wa/ya/za**). |
