# CLCA Protocol v3.4 — F4 Construction Table
# Language: Korean (ko)

| Construction Type | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|------------------|---------|-----------------|-------------|-------------|------------------|
| **1. ATTRIBUTION** | 이것은 사실이다 | igeoseun sasirida | This is a fact | Standard copular construction. Truth-domain nouns (사실, 진실, 거짓) function as predicates. Adjectival forms use -하다 verbs without copula: 이것은 정확하다 (igeoseun jeonghwakhada) "This is accurate." | [CORE] |
| **1. ATTRIBUTION** | 그의 말은 진실이다 | geuui mareun jinsilida | His words are truth | Standard copular construction. Truth-domain nouns (사실, 진실, 거짓) function as predicates. Adjectival forms use -하다 verbs without copula. | [CORE] |
| **2. NEGATIVE ATTRIBUTION** | 이것은 사실이 아니다 | igeoseun sasiri anida | This is not a fact | Nominal predicates negate with 아니다. Adjectival predicates use -지 않다 pattern. Alternative: 틀리다 (teullida) "to be wrong" or 거짓이다 (geojisida) "to be false." | [CORE] |
| **2. NEGATIVE ATTRIBUTION** | 그 말은 정확하지 않다 | geu mareun jeonghwakhaji anta | That statement is not accurate | Nominal predicates negate with 아니다. Adjectival predicates use -지 않다 pattern. Alternative: 틀리다 (teullida) "to be wrong" or 거짓이다 (geojisida) "to be false." | [CORE] |
| **3. ADNOMINAL MODIFICATION** | 진실한 사람 | jinsilhan saram | truthful person | Adjectival forms modify nouns using -(으)ㄴ (past/perfective) or -는 (present) adnominal endings. Sino-Korean nouns require -하다 verbalization before adnominal marking: 정직하다 → 정직한. Native Korean adjectives use stem + -(으)ㄴ: 옳다 → 옳은 "right/correct." | [CORE] |
| **3. ADNOMINAL MODIFICATION** | 정확한 정보 | jeonghwakhan jeongbo | accurate information | Adjectival forms modify nouns using -(으)ㄴ (past/perfective) or -는 (present) adnominal endings. Sino-Korean nouns require -하다 verbalization before adnominal marking. | [CORE] |
| **4. BECOME / INCHOATIVE** | 진실이 되다 | jinsiri doeda | to become truth | 되다 marks change of state. Specialized inchoatives exist: 드러나다 (deureonada) "to be revealed" for truth emergence, 밝혀지다 (balkhyeojida) "to be brought to light." No simple "become true/false" for propositions—Korean uses evidential or discovery verbs instead. | [MARGINAL] |
| **4. BECOME / INCHOATIVE** | 거짓말이 들통나다 | geojinmari deultongada | a lie becomes exposed | 되다 marks change of state. Specialized inchoatives exist: 드러나다 (deureonada) "to be revealed" for truth emergence, 밝혀지다 (balkhyeojida) "to be brought to light." | [CORE] |
| **5. CAUSATIVE** | (no common expression identified) | N/A | N/A | Korean lacks productive morphological causatives for truth-domain predicates. Causation expressed periphrastically: 진실을 밝히다 (jinsireul balkhida) "to reveal/bring to light the truth" (literally "to brighten the truth"), 거짓말을 하게 하다 (geojinmareul hage hada) "to make someone lie" (using auxiliary -게 하다). No single-word causatives like *"to truthify" or *"to falsify" (in sense of making false). | [UNCERTAIN] |
| **6. ABSTRACT NOMINALIZATION** | 진실성 | jinsilseong | truthfulness, veracity | Sino-Korean suffix -성 derives abstract quality nouns from adjectival bases. Highly productive with Sino-Korean bases: 정직성 (jeongjikseong) "honesty," 타당성 (tadangseong) "validity," 신빙성 (sinbingseong) "credibility." Native Korean bases use different patterns: 옳음 (oleum) "rightness" (stem + -음 nominalizer). Some items already nominalized: 진실 (jinsil) itself is a noun. | [CORE] |
| **6. ABSTRACT NOMINALIZATION** | 정확성 | jeonghwakseong | accuracy, precision | Sino-Korean suffix -성 derives abstract quality nouns from adjectival bases. Highly productive with Sino-Korean bases. | [CORE] |
| **7. AGENTIVE NOMINALIZATION** | 거짓말쟁이 | geojinmaljjaengi | liar (literally "lie-person") | -쟁이 suffix (colloquial, often pejorative) attaches to 거짓말. No parallel *진실쟁이 or *사실쟁이. "Truth-teller" expressed periphrastically: 진실을 말하는 사람 (jinsireul malhaneun saram) "person who speaks truth." Sino-Korean -자 suffix not productive here (진술자 "testifier" exists but is not truth-domain specific). | [CORE] |
| **7. AGENTIVE NOMINALIZATION** | (no common term for "truth-teller" using productive morphology) | N/A | N/A | -쟁이 suffix (colloquial, often pejorative) attaches to 거짓말. No parallel *진실쟁이 or *사실쟁이. "Truth-teller" expressed periphrastically: 진실을 말하는 사람 (jinsireul malhaneun saram) "person who speaks truth." | [UNCERTAIN] |
| **8. EVIDENTIAL/EPISTEMIC MARKING** | 사실인 것 같다 | sasirin geot gatda | seems to be a fact | Korean extensively marks epistemic stance. 것 같다 indicates inference or appearance. Alternatives: -(으)ㄴ/는 듯하다 (deuthada) "seems," -나 보다 (na boda) "appears." Certainty marked by 틀림없다 (teullimeopda) "without doubt," 확실하다 (hwaksilhada) "certain." | [CORE] |
| **8. EVIDENTIAL/EPISTEMIC MARKING** | 거짓말인 것 같다 | geojinmarin geot gatda | seems to be a lie | Korean extensively marks epistemic stance. 것 같다 indicates inference or appearance. Alternatives: -(으)ㄴ/는 듯하다 (deuthada) "seems," -나 보다 (na boda) "appears." | [CORE] |
| **9. DISCOURSE MARKERS** | 사실은 | sasireun | actually, in fact, the truth is | Highly productive pattern. 사실 (sasil) and 사실은 (sasireun) function as discourse markers for factual correction or revelation. 솔직히 (soljiki) "frankly" introduces candid statements. 진실로 (jinsilro) "truly" marks sincerity. These are grammaticalized beyond compositional meaning. | [CORE] |
| **9. DISCOURSE MARKERS** | 솔직히 말하면 | soljiki malhamyeon | frankly speaking, to be honest | Highly productive pattern. 솔직히 (soljiki) "frankly" introduces candid statements. These are grammaticalized beyond compositional meaning. | [CORE] |
| **10. VERIFICATION CONSTRUCTIONS** | 진실을 밝히다 | jinsireul balkhida | to reveal the truth | Rich domain-specific pattern. Common verbs: 밝히다 "reveal/bring to light," 확인하다 "verify/confirm," 가리다 "distinguish/determine," 숨기다 "hide/conceal," 찾다 "seek/search for," 알다 "know." Intransitive counterpart: 진실이 드러나다 (jinsiri deureonada) "truth comes to light." | [CORE] |
| **10. VERIFICATION CONSTRUCTIONS** | 사실을 확인하다 | sasireul hwaginhada | to verify the facts | Rich domain-specific pattern. Common verbs: 밝히다 "reveal/bring to light," 확인하다 "verify/confirm," 가리다 "distinguish/determine," 숨기다 "hide/conceal," 찾다 "seek/search for," 알다 "know." | [CORE] |
| **11. AUTHENTICATION CONSTRUCTIONS** | 진짜인지 가짜인지 | jinjjainji gajjainji | whether real or fake | Standard pattern for questioning authenticity. -인지 marks embedded questions. Often followed by verbs like 구별하다 (gubyeolhada) "distinguish," 판별하다 (panbyeolhada) "identify," 가리다 (garida) "determine." Used in authentication contexts for objects, not typically for statement truth. | [CORE] |
| **11. AUTHENTICATION CONSTRUCTIONS** | 진본인지 모조품인지 | jinboninji mojopuminji | whether authentic or counterfeit | Standard pattern for questioning authenticity. -인지 marks embedded questions. Often followed by verbs like 구별하다 (gubyeolhada) "distinguish," 판별하다 (panbyeolhada) "identify," 가리다 (garida) "determine." | [CORE] |
| **12. CORRECTNESS EVALUATION** | 맞는 답 | manneun dap | correct answer | Domain-specific to educational and evaluative contexts. 맞다 (matda) "to be correct/right" vs. 틀리다 (teullida) "to be wrong/incorrect." Often in coordinate construction: 맞고 틀리고 (matgo teulligo) "right and wrong," 맞는지 틀리는지 (manneunji teullineunji) "whether right or wrong." Distinct from moral rightness (옳다/그르다). | [CORE] |
| **12. CORRECTNESS EVALUATION** | 틀린 답 | teullin dap | wrong answer | Domain-specific to educational and evaluative contexts. 맞다 (matda) "to be correct/right" vs. 틀리다 (teullida) "to be wrong/incorrect." Distinct from moral rightness (옳다/그르다). | [CORE] |
| **13. INTENSIFICATION PATTERNS** | 새빨간 거짓말 | saeppalgan geojinmal | blatant lie (literally "bright red lie") | Limited pattern. 새빨간 (saeppalgan) "bright red" intensifies obviousness or brazenness of lies. 하얀 (hayan) "white" calqued from English "white lie." Intensifier suffix -배기 in 진짜배기 (jinjjabaegi) "the real deal." No parallel intensification for truth terms (*새빨간 진실 not idiomatic). | [MARGINAL] |
| **13. INTENSIFICATION PATTERNS** | 하얀 거짓말 | hayan geojinmal | white lie | Limited pattern. 하얀 (hayan) "white" calqued from English "white lie." No parallel intensification for truth terms (*새빨간 진실 not idiomatic). | [MARGINAL] |
| **14. LEGITIMACY ASSESSMENT** | 정당한 이유 | jeongdanghan iyu | legitimate reason | Specialized to legal, political, and argumentative discourse. 정당하다 (jeongdanghada) "legitimate/justified" vs. 타당하다 (tadanghada) "valid/reasonable." Common collocations: 정당한 권리 (jeongdanghan gwonri) "legitimate right," 타당한 주장 (tadanghan jujang) "valid claim." Abstract nominalizations (정당성, 타당성) frequently appear with 확보하다 "secure," 검토하다 "examine." | [CORE] |
| **14. LEGITIMACY ASSESSMENT** | 타당한 근거 | tadanghan geungeo | valid grounds, sound basis | Specialized to legal, political, and argumentative discourse. 정당하다 (jeongdanghada) "legitimate/justified" vs. 타당하다 (tadanghada) "valid/reasonable." Abstract nominalizations (정당성, 타당성) frequently appear with 확보하다 "secure," 검토하다 "examine." | [CORE] |
| **15. CREDIBILITY CONSTRUCTIONS** | 신빙성이 있다 | sinbingseongi itda | to be credible (literally "credibility exists") | Fixed construction pattern. 신빙성 (sinbingseong) "credibility" takes existential verbs: 있다 "exist," 없다 "not exist," or degree verbs: 높다 "be high," 낮다 "be low," 떨어지다 "fall/drop," 높이다 "raise." Distinct from truth-value—assesses trustworthiness before verification. | [CORE] |
| **15. CREDIBILITY CONSTRUCTIONS** | 신빙성이 떨어지다 | sinbingseongi tteoreojida | to lose credibility (literally "credibility falls") | Fixed construction pattern. 신빙성 (sinbingseong) "credibility" takes existential verbs: 있다 "exist," 없다 "not exist," or degree verbs: 높다 "be high," 낮다 "be low," 떨어지다 "fall/drop," 높이다 "raise." | [CORE] |
