# CLCA Protocol v3.2 — F5 Opposition Table
# Language: Hebrew (he)

| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
|--------|--------|-----------------|-------------|---------------------|---------------|------------------|
| אמת (emet) | שקר (sheker) | emet vs. sheker | truth vs. falsehood/lie | Primary lexical antonyms for truth and falsehood across all registers. These form the basic binary opposition for truth evaluation in Hebrew, used in moral, legal, religious, and everyday contexts. | lexical | [CORE] |
| נכון (nakhon) | לא נכון (lo nakhon) | nakhon vs. lo nakhon | correct vs. incorrect/not correct | Morphological negation using the standard negation particle *lo*. This is the unmarked way to express incorrectness in conversational and educational contexts. | morphological | [CORE] |
| אמיתי (amiti) | מזויף (mezuyaf) | amiti vs. mezuyaf | genuine/authentic vs. forged/fake | Lexical opposition between genuineness and forgery/falsification. Used particularly in evaluating authenticity of objects, documents, and representations. | lexical | [CORE] |
| אמין (amin) | בלתי אמין (bilti amin) | amin vs. bilti amin | reliable vs. unreliable | Morphological negation using the formal prefix *bilti-* rather than the standard *lo*. This is a lexicalized negative form particularly common in formal/written registers. | morphological | [CORE] |
| צודק (tsodek) | לא צודק (lo tsodek) | tsodek vs. lo tsodek | right/correct vs. wrong/not right | Standard morphological negation of the term meaning "right" or "correct," used in both epistemic and moral-evaluative contexts. | morphological | [CORE] |
| בטוח (batuakh) | לא בטוח (lo batuakh) | batuakh vs. lo batuakh | sure/certain vs. not sure/uncertain | Morphological negation expressing uncertainty. Extremely frequent in conversational Hebrew for hedging and expressing epistemic caution. | morphological | [CORE] |
| ודאי (vadai) | לא ודאי (lo vadai) | vadai vs. lo vadai | certain/definite vs. not certain/uncertain | Standard negation of certainty term. Used to express uncertainty or lack of definiteness about propositions. | morphological | [CORE] |
| יש ספק (yesh safek) | אין ספק (ein safek) | yesh safek vs. ein safek | there is doubt vs. there is no doubt | Constructional opposition using existential affirmation vs. negation. The negative form *ein safek* functions as a fixed expression for emphatic certainty. | constructional | [CORE] |
| מדויק (meduyak) | לא מדויק (lo meduyak) | meduyak vs. lo meduyak | precise/exact vs. not precise/inaccurate | Morphological negation indicating lack of precision or exactness. Common in technical and evaluative contexts. | morphological | [CORE] |
| מציאותי (metsi'uti) | לא מציאותי (lo metsi'uti) | metsi'uti vs. lo metsi'uti | realistic/real vs. unrealistic/not real | Morphological negation used to characterize plans, expectations, or claims as unrealistic or unfeasible. | morphological | [CORE] |
| מוצדק (mutsдak) | לא מוצדק (lo mutsдak) | mutsдak vs. lo mutsдak | justified/warranted vs. unjustified/unwarranted | Morphological negation indicating lack of justification. Used in moral and legal reasoning to assess whether actions or claims are warranted. | morphological | [CORE] |
| כן (ken) | לא (lo) | ken vs. lo | yes vs. no | Basic affirmation and negation particles. These are the fundamental expressions for agreeing/disagreeing with propositions in Hebrew. | lexical | [CORE] |
| אמת (emet) | טעות (ta'ut) | emet vs. ta'ut | truth vs. error/mistake | Lexical contrast between truth and unintentional error. Unlike *sheker* (deliberate falsehood), *ta'ut* implies mistake without moral culpability. | lexical | [CORE] |
| נכון (nakhon) | טעות (ta'ut) | nakhon vs. ta'ut | correct vs. error/mistake | Lexical opposition between correctness and error. *Ta'ut* characterizes something as wrong without the moral weight of *sheker*. | lexical | [CORE] |
| צדק (tsedek) | עוול (avel) [implied but not in P1 data] | tsedek vs. (avel) | justice vs. injustice | While *tsedek* "justice" appears extensively in the data, its direct lexical antonym *avel* "injustice" is not attested in the collected vocabulary. The opposition exists conceptually but is expressed through negation (*lo tsedek*) rather than a distinct lexical item in the data. | lexical (partial) | [UNCERTAIN] |
| אמת מוחלטת (emet mukhлetet) | חצי אמת (khetsi emet) | emet mukhлetet vs. khetsi emet | absolute truth vs. half-truth | Constructional opposition between complete/absolute truth and partial truth. *Khetsi emet* characterizes statements as misleading through incompleteness. | constructional | [CORE] |
| שקר גמור (sheker gamur) | שקר לבן (sheker lavan) | sheker gamur vs. sheker lavan | complete lie vs. white lie | Constructional opposition distinguishing total falsehood from harmless or well-intentioned lies. Both involve falsehood but differ in moral evaluation. | constructional | [CORE] |
| עובדה (uvdah) | דעה (de'ah) [implied but not in P1 data] | uvdah vs. (de'ah) | fact vs. opinion | While *uvdah* "fact" is used extensively to assert factual status, its conceptual opposite *de'ah* "opinion" does not appear in the collected data. The opposition is implied in usage but not explicitly attested. | lexical (partial) | [UNCERTAIN] |
| מציאות (metsi'ut) | דמיון (dimyon) | metsi'ut vs. dimyon | reality vs. imagination | Lexical opposition between what is real/actual and what is imagined or imaginary. *Dimyon* has dual meaning of "similarity" and "imagination," with the latter sense opposing *metsi'ut*. | lexical | [CORE] |
| אמונה (emunah) | אי אמון (i-emun) | emunah vs. i-emun | trust/faith vs. distrust/lack of trust | Morphological negation using the prefix *i-* (lack of) to create the opposite of trust/faith. Common in political and interpersonal contexts. | morphological | [CORE] |
| נאמן (ne'eman) | בוגד (boged) [implied but not in P1 data] | ne'eman vs. (boged) | faithful/loyal vs. traitor/betrayer | While *ne'eman* "faithful, loyal" appears in the data, its conceptual opposite *boged* "traitor, betrayer" is not attested. The opposition exists in usage but is not documented in the collected vocabulary. | lexical (partial) | [UNCERTAIN] |
| ישר (yashar) | עקום (akum) [implied but not in P1 data] | yashar vs. (akum) | straight/upright vs. crooked/devious | *Yashar* "straight, upright, honest" appears in the data, but its antonym *akum* "crooked, devious" (both literally and morally) is not attested. The opposition is conceptually present but not documented. | lexical (partial) | [UNCERTAIN] |
| כנה (khen) | צבוע (tsavu'a) [implied but not in P1 data] | khen vs. (tsavu'a) | honest/sincere vs. hypocritical | While *khen* "honest, sincere" is well-attested, its conceptual opposite *tsavu'a* "hypocritical" does not appear in the data. The opposition exists in usage but is not documented here. | lexical (partial) | [UNCERTAIN] |
| בכוונה (be-khavanah) | בטעות (be-ta'ut) | be-khavanah vs. be-ta'ut | intentionally/on purpose vs. by mistake/mistakenly | Constructional opposition between intentional and unintentional action. Both use prepositional adverbial pattern (*be-* + noun) but express opposite intentionality. | constructional | [CORE] |
| טעות גדולה (ta'ut gdolah) | טעות קטנה (ta'ut ktanah) | ta'ut gdolah vs. ta'ut ktanah | big mistake vs. small mistake | Constructional opposition using size adjectives to indicate severity of error. Not a true antonym but a scalar opposition along a dimension of magnitude. | constructional | [CORE] |
| אמת (emet) [as abstract truth] | אמת (emet) [as concrete truth/specific fact] | emet vs. emet | Truth (abstract) vs. truth (particular) | Not a true opposition but a polysemy within *emet* itself, which can refer to abstract Truth as a concept or to particular truths/facts. This is a semantic distinction rather than a lexical opposition. | (no clear opposition identified) | [UNCERTAIN] |
| צדקני (tsidkani) | צדיק (tsadik) | tsidkani vs. tsadik | self-righteous vs. righteous | Lexical opposition between negative evaluation of excessive moral claims (self-righteous) and positive evaluation of genuine righteousness. Both derive from the same root but carry opposite moral valence. | lexical | [CORE] |
| ספקן (safkan) | מאמין (ma'amin) | safkan vs. ma'amin | skeptic/doubter vs. believer | Lexical opposition between habitual doubt and belief/faith. Both are agentive nouns characterizing persons by their epistemic stance. | lexical | [CORE] |
| דומה (domeh) [similarity sense] | לא דומה (lo domeh) | domeh vs. lo domeh | similar vs. not similar | Morphological negation of similarity. Standard way to deny resemblance between entities. | morphological | [CORE] |
| Attribution with zero copula (present tense) | Attribution with overt copula (past/future) | *ha-sipur emet* vs. *ha-sipur hayah emet* | "the story is true" vs. "the story was true" | Constructional contrast based on tense: present tense uses zero copula while past/future require overt copula forms. This is a general Hebrew pattern, not specific to truth-domain. | constructional | [CORE] |
| *lo* negation (colloquial) | *ein/eino* negation (formal) | *lo nakhon* vs. *eino nakhon* | "not correct" (colloquial) vs. "not correct" (formal) | Register-based constructional opposition. Both express negation but *lo* is standard colloquial while *ein/eino* is formal/literary. | constructional | [CORE] |
| *be-* prepositional adverbials | *le-* prepositional adverbials | *be-emet* vs. *le-emet* | "truly" (standard) vs. "truly" (archaic/formal) | Constructional variation in prepositional adverbial formation. *Be-* is productive and standard; *le-* is marginal/archaic for most truth-domain terms. | constructional | [MARGINAL] |
| *she-* complementizer (standard) | *ki* complementizer (formal/biblical) | *nakhon she-...* vs. *nakhon ki...* | "it's correct that..." (standard) vs. "it's correct that..." (formal) | Register-based constructional variation. *She-* is standard modern Hebrew; *ki* appears in formal/biblical style. | constructional | [MARGINAL] |
| N-Adj order (standard) | Adj-N order (emphatic/poetic) | *sipur amiti* vs. *amiti sipur* | "true story" (standard) vs. "true story" (emphatic) | Word order variation in adnominal modification. N-Adj is unmarked; Adj-N is marked for emphasis or in poetic contexts. | constructional | [MARGINAL] |
| Demonstrative subject constructions | Full NP subject constructions | *ze nakhon* vs. *ha-davar nakhon* | "that's correct" vs. "the thing is correct" | Constructional preference: demonstrative subjects (*ze*, *zot*) are unmarked and highly frequent in evaluative contexts; full NP subjects are more formal or specific. | constructional | [CORE] |
