# F3 — SEMANTIC GROUPS TABLE
# Language: Hebrew (he)

| Group Label | Definition | Representative Expressions | Overlapping / Ambiguous Items | Boundary Notes |
|------------|------------|---------------------------|-------------------------------|----------------|
| Truth-Falsehood Opposition | This group contains the primary antonymic pair used across all registers to characterize statements, representations, or testimony as either true or false. These terms carry moral weight and are used in legal, religious, and everyday evaluative contexts. They form the basic binary opposition for truth evaluation in Hebrew. | אמת (emet) "truth"; שקר (sheker) "falsehood, lie"; באמת (be-emet) "truly, really"; לומר את האמת (lomar et ha-emet) "to tell the truth"; לומר שקר (lomar sheker) "to tell a lie"; דבר שקר (davar sheker) "false statement"; עד שקר (ed sheker) "false witness" | אמיתי (amiti) "true, genuine" — overlaps with this group but extends into authenticity evaluation beyond simple truth-falsehood; שקרי (shikri) "false, lying" — adjectival form that bridges this group and descriptive characterizations | Carries moral weight; used in legal, religious, and everyday contexts; forms basic binary opposition |
| Correctness Assessment | This group contains terms used primarily to affirm or deny the correctness or accuracy of statements, answers, or assessments, particularly in educational, technical, and conversational contexts. These terms focus on factual accuracy rather than moral truth, and are commonly used in corrections, confirmations, and evaluations of precision. | נכון (nakhon) "correct, right"; לא נכון (lo nakhon) "incorrect, wrong"; מדויק (meduyak) "precise, exact"; תשובה נכונה (tshuvah nkhonah) "correct answer"; זה נכון (ze nakhon) "that's correct"; בדיוק (be-diyuk) "exactly, precisely"; דיוק (diyuk) "precision, accuracy"; לא מדויק (lo meduyak) "not precise, inaccurate" | צודק (tsodek) "right, correct" — overlaps but carries additional moral/justice connotations; טעות (ta'ut) "error, mistake" — related as negation of correctness but focuses on the error itself rather than evaluation | Focus on factual accuracy rather than moral truth; common in educational, technical, and conversational contexts |
| Reliability and Trustworthiness | This group contains terms used to evaluate persons, sources, or information as reliable, trustworthy, or credible. These terms are particularly common in legal, academic, and journalistic contexts for assessing the dependability of testimony, sources, or data. They focus on whether something or someone can be trusted rather than on truth per se. | אמין (amin) "reliable, trustworthy"; מהימן (meheyман) "trustworthy, credible"; מקור אמין (makor amin) "reliable source"; עד אמין (ed amin) "reliable witness"; אמינות (aminut) "reliability, credibility"; מהימנות (meheymanut) "reliability, trustworthiness"; בלתי אמין (bilti amin) "unreliable"; מפוקפק (mefukpak) "doubtful, dubious"; מקור מפוקפק (makor mefukpak) "dubious source" | נאמן (ne'eman) "faithful, loyal, trustworthy" — overlaps but extends more into loyalty and faithfulness; אמונה (emunah) "faith, belief, trust" — related but functions more as abstract noun for the state of trusting | Strong association with formal/legal registers; focus on dependability rather than truth per se |
| Genuineness and Authenticity | This group contains terms used to characterize objects, persons, experiences, or representations as genuine, authentic, or real as opposed to fake, forged, or counterfeit. These terms are common in commercial, aesthetic, and cultural contexts, and often involve evaluation of whether something is what it purports to be. | אמיתי (amiti) "true, genuine, authentic"; אותנטי (otenti) "authentic, genuine"; מזויף (mezuyaf) "forged, fake, falsified"; זיוף (ziyuf) "forgery, falsification"; סיפור אמיתי (sipur amiti) "true story"; אוכל אותנטי (okhel otenti) "authentic food"; מסמך מזויף (mismakh mezuyaf) "forged document"; כסף מזויף (kesef mezuyaf) "counterfeit money"; אמיתות (amitiyut) "authenticity, genuineness"; אותנטיות (otentiyut) "authenticity" | אמת (emet) "truth" — the root concept but functions differently in this domain; מציאותי (metsi'uti) "real, realistic" — overlaps in the "real" sense but extends to feasibility | Common in commercial, aesthetic, and cultural contexts; evaluation of whether something is what it purports to be |
| Rightness and Justice | This group contains terms that combine epistemic correctness with moral rightness or justice. These terms are used to affirm that someone is right in their position or that an action is just, and they appear frequently in legal, moral, and argumentative discourse where correctness and justice intersect. | צודק (tsodek) "right, correct, just"; צדק (tsedek) "justice, righteousness"; מוצדק (mutsдak) "justified, warranted"; אתה צודק (atah tsodek) "you're right"; בצדק (be-tsedek) "justly, rightly"; משפט צדק (mishpat tsedek) "just judgment"; הצדקה (hatsdakah) "justification"; ביקורת מוצדקת (bikoret mutsдeket) "justified criticism"; לא מוצדק (lo mutsдak) "unjustified" | צדיק (tsadik) "righteous person" — related but functions as character description; צדקה (tsedakah) "charity" — etymologically related but semantically distant in modern usage | Combines epistemic correctness with moral rightness; frequent in legal, moral, and argumentative discourse |
| Honesty and Sincerity | This group contains terms used to evaluate whether persons or their expressions are honest, sincere, or forthright in their communication and conduct. These terms focus on the speaker's or actor's genuineness and lack of deception, and are common in interpersonal and moral evaluation contexts. | יושר (yosher) "honesty, uprightness"; כנות (khenut) "honesty, sincerity"; כנה (khen) "honest, sincere"; יושר לב (yosher lev) "honesty of heart"; לדבר בכנות (ledaber be-khenut) "to speak honestly"; תשובה כנה (tshuvah khenah) "honest answer"; ביושר (be-yosher) "honestly, uprightly"; בכנות (be-khenut) "honestly, sincerely" | אמת (emet) "truth" — related but focuses on content rather than manner; שקר (sheker) "falsehood" — the opposite but focuses on the statement rather than the speaker's character | Focus on speaker's or actor's genuineness and lack of deception; common in interpersonal and moral evaluation |
| Certainty and Doubt | This group contains terms used to express or evaluate degrees of certainty, confidence, or doubt about propositions or situations. These terms function as epistemic modifiers indicating the speaker's or subject's level of confidence, and are extremely common in conversational hedging and emphatic assertion. | ודאי (vadai) "certain, sure"; בטוח (batuakh) "sure, certain"; ספק (safek) "doubt, uncertainty"; אני בטוח (ani batuakh) "I'm sure"; אתה בטוח? (atah batuakh?) "are you sure?"; אין ספק (ein safek) "no doubt"; בלי ספק (bli safek) "without doubt"; בוודאי (be-vadai) "certainly, surely"; ספקן (safkan) "skeptic, doubter"; ספקנות (safkanut) "skepticism"; יש ספק (yesh safek) "there is doubt"; ספק אם (safek im) "doubtful whether" | ביטחון (bitakhon) "security, confidence" — overlaps but also means physical security; ודאות (vada'ut) "certainty" — abstract nominalization within this group | Function as epistemic modifiers; extremely common in conversational hedging and emphatic assertion; more purely epistemic than moral |
| Error and Mistake | This group contains terms used to characterize statements, judgments, or actions as mistaken or erroneous, typically without implying deliberate deception. These terms focus on unintentional incorrectness and are common in corrections, apologies, and evaluations that distinguish error from falsehood. | טעות (ta'ut) "error, mistake"; מוטעה (mut'eh) "mistaken, erroneous"; טועה (to'eh) "mistaken, erring"; לעשות טעות (la'asot ta'ut) "to make a mistake"; בטעות (be-ta'ut) "by mistake, mistakenly"; אתה מוטעה (atah mut'eh) "you're mistaken"; רעיון מוטעה (ra'ayon mut'eh) "mistaken idea"; הנחה מוטעית (hanakhah mut'et) "mistaken assumption"; לתקן טעות (letaken ta'ut) "to correct a mistake" | לא נכון (lo nakhon) "incorrect" — overlaps but is more neutral evaluation; מטעה (mat'eh) "misleading" — related but implies causing error in others | Focus on unintentional incorrectness; distinguish error from falsehood; common in corrections and apologies |
| Reality and Actuality | This group contains terms used to distinguish what is real or actual from what is imaginary, idealistic, or merely apparent. These terms are common in philosophical discourse and everyday evaluation of whether something exists in reality or whether plans and expectations are realistic or feasible. | מציאות (metsi'ut) "reality, actuality"; מציאותי (metsi'uti) "real, realistic"; עובדה (uvdah) "fact"; זאת עובדה (zot uvdah) "that's a fact"; עובדה היא ש... (uvdah hi she...) "the fact is that..."; לחזור למציאות (lakhzor la-metsi'ut) "to return to reality"; בדיקת מציאות (bdikat metsi'ut) "reality check"; עובדתי (uvdati) "factual"; לא מציאותי (lo metsi'uti) "unrealistic"; סיכוי מציאותי (sikuy metsi'uti) "realistic chance" | אמיתי (amiti) "true, real" — overlaps in the "real" sense but also covers genuineness; מהות (mahut) "essence, nature" — related but more philosophical/abstract | Common in philosophical discourse and everyday evaluation; distinguish real from imaginary or idealistic |
