# CLCA Protocol v3.4 — F2b Constructions Table
# Language: Hebrew (he)

| Base Form | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|-----------|---------|-----------------|-------------|-------------|------------------|
| אמת (emet) | אמת אחת | emet akhat | one truth, a single truth | Used to emphasize that there is only one truth in a matter, often in argumentative or philosophical contexts. The numeral "one" modifies emet to stress singularity. | [CORE] |
| אמת (emet) | אמת מוחלטת | emet mukhлetet | absolute truth | Common collocation using the adjective "absolute" to characterize truth as complete and unqualified. Frequent in philosophical and emphatic discourse. | [CORE] |
| אמת (emet) | אמת מרה | emet marah | bitter truth | Fixed expression using the adjective "bitter" to characterize an unpleasant but true fact. Common in contexts where acknowledging truth is difficult. | [CORE] |
| אמת (emet) | לומר את האמת | lomar et ha-emet | to tell the truth | Standard verbal construction with "say/tell" for the act of truth-telling. Very common in all registers. | [CORE] |
| אמת (emet) | לדבר אמת | ledaber emet | to speak truth | Alternative verbal construction using "speak" rather than "tell," slightly more formal or literary. Common in moral discourse. | [CORE] |
| אמת (emet) | לגלות את האמת | legalot et ha-emet | to reveal/discover the truth | Construction with "reveal" emphasizing the uncovering or discovery of truth. Common in investigative and narrative contexts. | [CORE] |
| אמת (emet) | האמת היא ש... | ha-emet hi she... | the truth is that... | Fixed introductory formula using copula "is" followed by complementizer "that." Very common for introducing what speaker considers the real truth. | [CORE] |
| אמת (emet) | זאת האמת | zot ha-emet | that's the truth, this is the truth | Demonstrative construction using "this/that" to point to or emphasize a truth claim. Common in emphatic assertions. | [CORE] |
| אמת (emet) | אמת לאמיתה | emet la-amitah | truth in its trueness, the real truth | Emphatic construction using emet with prepositional phrase containing related form amitah. Emphasizes genuine or complete truth. | [CORE] |
| אמת (emet) | חצי אמת | khetsi emet | half-truth | Construction with "half" to characterize a statement as partially true but misleading. Common in evaluating deceptive communication. | [CORE] |
| אמת (emet) | גרעין של אמת | gar'in shel emet | kernel/grain of truth | Metaphorical construction using "kernel/grain" to indicate a small element of truth in something otherwise false or exaggerated. | [CORE] |
| אמת (emet) | רגע של אמת | rega shel emet | moment of truth | Fixed expression borrowed from Spanish/English usage, referring to a decisive or revealing moment. Common in dramatic or evaluative contexts. | [CORE] |
| שקר (sheker) | לומר שקר | lomar sheker | to tell a lie | Standard verbal construction with "say/tell" for the act of lying. Very common in all registers. | [CORE] |
| שקר (sheker) | לדבר שקר | ledaber sheker | to speak falsehood | Alternative construction using "speak," parallel to ledaber emet. Slightly more formal. | [CORE] |
| שקר (sheker) | שקר גמור | sheker gamur | complete lie, total falsehood | Intensified construction using adjective "complete/total" to emphasize the thoroughness of the falsehood. | [CORE] |
| שקר (sheker) | שקר לבן | sheker lavan | white lie | Calque of English "white lie," using color adjective "white" to characterize a harmless or well-intentioned falsehood. | [CORE] |
| שקר (sheker) | זה שקר | ze sheker | that's a lie, it's false | Simple demonstrative construction for denying truth of a statement. Very common in disagreements. | [CORE] |
| שקר (sheker) | עד שקר | ed sheker | false witness, lying witness | Legal/biblical construction referring to a witness who testifies falsely. Common in legal and moral discourse. | [CORE] |
| שקר (sheker) | עדות שקר | edut sheker | false testimony | Legal construction referring to false testimony or perjury. Common in legal contexts. | [CORE] |
| נכון (nakhon) | זה נכון | ze nakhon | that's correct, it's right | Simple demonstrative construction for affirming correctness. Extremely common in all contexts. | [CORE] |
| נכון (nakhon) | נכון מאוד | nakhon me'od | very correct, quite right | Intensified construction using adverb "very" to emphasize correctness. Common in emphatic agreement. | [CORE] |
| נכון (nakhon) | נכון ש... | nakhon she... | it's correct that..., it's true that... | Construction with complementizer "that" introducing a clause. Used to affirm the correctness of a proposition. | [CORE] |
| נכון (nakhon) | נכון לומר | nakhon lomar | correct to say, right to say | Construction with infinitive "to say" evaluating whether a statement is correct or appropriate to make. | [CORE] |
| נכון (nakhon) | נכון יותר | nakhon yoter | more correct, more accurate | Comparative construction using "more" to indicate greater correctness. Common in making distinctions between formulations. | [CORE] |
| נכון (nakhon) | הכי נכון | ha-khi nakhon | most correct, most accurate | Superlative construction using definite article + "most" to indicate highest degree of correctness. | [CORE] |
| אמיתי (amiti) | סיפור אמיתי | sipur amiti | true story | Very common collocation with "story" to characterize a narrative as factual rather than fictional. | [CORE] |
| אמיתי (amiti) | אוהב אמיתי | ohev amiti | true friend | Common collocation with "friend" to characterize friendship as genuine or loyal. | [CORE] |
| אמיתי (amiti) | שם אמיתי | shem amiti | real name | Collocation with "name" to distinguish actual name from pseudonym or nickname. | [CORE] |
| אמיתי (amiti) | זהות אמיתית | zehut amitit | true identity, real identity | Collocation with "identity" to refer to actual identity as opposed to assumed or false identity. | [CORE] |
| אמיתי (amiti) | אהבה אמיתית | ahavah amitit | true love | Common romantic collocation characterizing love as genuine or authentic. | [CORE] |
| אמיתי (amiti) | ערך אמיתי | erekh amiti | true value, real value | Collocation with "value" to distinguish actual value from apparent or nominal value. | [CORE] |
| אמין (amin) | מקור אמין | makor amin | reliable source | Very common collocation in academic, journalistic, and legal contexts for evaluating sources of information. | [CORE] |
| אמין (amin) | עד אמין | ed amin | reliable witness, credible witness | Legal collocation for evaluating witness credibility. Parallel to ed sheker but positive. | [CORE] |
| אמין (amin) | אדם אמין | adam amin | reliable person, trustworthy person | General collocation for characterizing a person as reliable or trustworthy. | [CORE] |
| אמין (amin) | מידע אמין | meyda amin | reliable information | Common collocation in information contexts, evaluating trustworthiness of data or information. | [CORE] |
| מהימן (meheyман) | מקור מהימן | makor meheyман | trustworthy source, credible source | Formal alternative to makor amin, common in academic and legal registers. | [CORE] |
| מהימן (meheyман) | עד מהימן | ed meheyман | credible witness | Legal collocation, formal alternative to ed amin. | [CORE] |
| צודק (tsodek) | אתה צודק | atah tsodek | you're right | Extremely common construction with second person pronoun for acknowledging someone is correct. Used constantly in conversation. | [CORE] |
| צודק (tsodek) | הוא צודק | hu tsodek | he's right | Third person variant of the above, equally common. | [CORE] |
| צודק (tsodek) | צודק לחלוטין | tsodek le-khlutin | completely right, absolutely correct | Intensified construction using adverb "completely" to emphasize full correctness. | [CORE] |
| צודק (tsodek) | צודק במאה אחוז | tsodek be-me'ah akhuz | one hundred percent right | Emphatic construction using percentage metaphor to indicate complete correctness. | [CORE] |
| צדק (tsedek) | לעשות צדק | la'asot tsedek | to do justice | Common verbal construction with "do/make" for the act of administering or achieving justice. | [CORE] |
| צדק (tsedek) | לתת צדק | latet tsedek | to give justice, to render justice | Alternative verbal construction using "give" for administering justice, common in legal contexts. | [CORE] |
| צדק (tsedek) | צדק חברתי | tsedek khevrati | social justice | Modern political collocation referring to fairness in social arrangements and distribution of resources. | [CORE] |
| צדק (tsedek) | רודף צדק | rodef tsedek | pursuer of justice, one who pursues justice | Construction with participle "pursuer" characterizing someone dedicated to justice. Biblical resonance. | [CORE] |
| דומה (domeh) | דומה ל... | domeh le-... | similar to..., resembles... | Standard construction with preposition "to" for expressing resemblance. Extremely common in comparisons. | [CORE] |
| דומה (domeh) | דומה מאוד | domeh me'od | very similar | Intensified construction using "very" to emphasize degree of similarity. | [CORE] |
| דומה (domeh) | דומה שֶ... | domeh she... | it seems that..., it appears that... | Epistemic construction with complementizer introducing a clause, expressing appearance or seeming. Very common for hedging claims. | [CORE] |
| דומה (domeh) | דומה לי ש... | domeh li she... | it seems to me that... | Epistemic construction with dative pronoun "to me" expressing personal impression or opinion. Extremely common in conversation. | [CORE] |
| דומה (domeh) | לא דומה | lo domeh | not similar, doesn't resemble | Simple negation for denying similarity. | [CORE] |
| מדויק (meduyak) | מדויק מאוד | meduyak me'od | very precise, very exact | Intensified construction emphasizing high degree of precision. | [CORE] |
| מדויק (meduyak) | לא מדויק | lo meduyak | not precise, inaccurate | Simple negation for indicating lack of precision or accuracy. | [CORE] |
| מדויק (meduyak) | מדויק יותר | meduyak yoter | more precise, more accurate | Comparative construction for indicating greater precision. | [CORE] |
| מזויף (mezuyaf) | מסמך מזויף | mismakh mezuyaf | forged document | Common legal collocation for fraudulent documents. | [CORE] |
| מזויף (mezuyaf) | כסף מזויף | kesef mezuyaf | counterfeit money | Standard collocation for fake currency. | [CORE] |
| מזויף (mezuyaf) | חתימה מזויפת | khatimah mezuyefet | forged signature | Legal collocation for fraudulent signatures. | [CORE] |
| מציאותי (metsi'uti) | לא מציאותי | lo metsi'uti | unrealistic, not real | Common negation for characterizing plans, expectations, or claims as unrealistic. | [CORE] |
| מציאותי (metsi'uti) | מציאותי יותר | metsi'uti yoter | more realistic | Comparative construction for evaluating relative realism of options or assessments. | [CORE] |
| מציאותי (metsi'uti) | סיכוי מציאותי | sikuy metsi'uti | realistic chance, real possibility | Collocation with "chance" for evaluating feasibility or probability. | [CORE] |
| באמת (be-emet) | באמת? | be-emet? | really? truly? | Interrogative use expressing surprise or seeking confirmation. Extremely common in conversation. | [CORE] |
| באמת (be-emet) | באמת ש... | be-emet she... | it's really true that..., truly... | Construction with complementizer emphasizing truth of following clause. | [CORE] |
| באמת (be-emet) | לא באמת | lo be-emet | not really | Negated form for denying or qualifying a claim. Very common in conversation. | [CORE] |
| כן (ken) | כן, אבל... | ken, aval... | yes, but... | Concessive construction acknowledging a point before introducing a contrast. Extremely common in argumentation. | [CORE] |
| כן (ken) | כן וכן | ken va-khen | such and such, so and so | Reduplicative construction used as indefinite expression for unspecified things or amounts. | [CORE] |
| כן (ken) | אם כן | im ken | if so, therefore | Conditional/inferential construction drawing conclusions. Very common in logical discourse. | [CORE] |
| כן (ken) | לא כן? | lo khen? | isn't it? right? | Tag question construction seeking confirmation. Common in conversation. | [CORE] |
