| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
|---|---|---|---|---|---|---|
| **chiqaq** | **llulla** | *chiqaq* vs *llulla* | ‘true; real; genuine’ vs ‘lie; falsehood; false; liar; deceitful’ | These are the clearest lexical opposites in the dataset for truth versus falsehood/deception. *chiqaq* marks truth or genuineness, while *llulla* marks falsehood and lying with strong moral force. | lexical | [CORE] |
| **chiqaq simi** | **llulla simi** | *chiqaq simi* vs *llulla simi* | ‘true word; truthful speech’ vs ‘false speech; lie’ | This is an explicitly attested speech-specific opposition. Both constructions evaluate speech content, contrasting truthful utterance with deceptive or false utterance. | constructional | [MARGINAL] |
| **chiqaq kay** | **rikch’akuy** | *chiqaq kay* vs *rikch’akuy* | ‘truth; reality; true nature’ vs ‘resemble; look like; seem’ | The context explicitly notes that *chiqaq kay* can be used for reality or true nature “as opposed to appearance,” while *rikch’akuy* belongs to resemblance and seeming. This supports a contrast between actual reality and mere appearance. | lexical | [MARGINAL] |
| **pantay / pantasqa** | **llulla / llullasqa** | *pantay / pantasqa* vs *llulla / llullasqa* | ‘error; mistake / mistaken; wrong’ vs ‘lie; falsehood / false; deceptive’ | The semantic notes explicitly distinguish simple mistake or incorrectness from lying and deception. The contrast is between being wrong in judgment and being false in a morally charged, deceptive sense. | lexical | [CORE] |
| **allin** | **mana allin** | *allin* vs *mana allin* | ‘good; right; proper; correct’ vs ‘bad; wrong; improper; not right’ | This is a directly attested negation-based opposition. *mana allin* is the conventional negative evaluative counterpart to *allin* in moral, social, and practical judgment. | morphological | [CORE] |
| **allinmi** | **mana allin** | *allinmi* vs *mana allin* | ‘it is right; correct’ vs ‘bad; wrong; improper; not right’ | These are contrasting predicative evaluations in the constructional material. *allinmi* affirms correctness or acceptability, while *mana allin* rejects it. | constructional | [CORE] |
| **mana allin** | **allinmi** | *mana allin* vs *allinmi* | ‘not right; wrong; improper’ vs ‘it is right; correct’ | The P4 construction inventory presents these as opposing evaluative predications, one negative and one affirmative. The contrast is especially clear at the level of predicative judgment. | constructional | [CORE] |
| **chiqan** | **kikin** | *chiqan* vs *kikin* | ‘different; distinct; other’ vs ‘same; identical; selfsame’ | These terms oppose difference and identity. The semantic grouping explicitly places them together in judgments about whether something is the same thing or a distinct other. | lexical | [CORE] |
| **riqsiy** | **rikch’akuy** | *riqsiy* vs *rikch’akuy* | ‘know; recognize; identify’ vs ‘resemble; look like; seem’ | The context places *riqsiy* with correct identification and *rikch’akuy* with mere resemblance or appearance. This supports a contrast between genuine recognition and only seeming/looking like something. | lexical | [MARGINAL] |
| **pantachiy** | **pantachisqa** | *pantachiy* vs *pantachisqa* | ‘to mislead; cause to err’ vs ‘misled; mistaken through deception or confusion’ | This is a derivationally related opposition between causative action and resulting state. One term denotes causing error, the other denotes the condition of having been led into error. | constructional | [MARGINAL] |
| **pantachiy** | **pantayman churay** | *pantachiy* vs *pantayman churay* | ‘to mislead; cause to err’ vs ‘to lead into error; misdirect’ | The context explicitly presents these as alternate causative constructions in the same semantic area. The contrast is not semantic polarity but compact derived causative versus periphrastic causative construction. | constructional | [CORE] |
| **llullaq** | **llulla runa** | *llullaq* vs *llulla runa* | ‘liar; one who lies’ vs ‘liar; deceitful person’ | The construction notes explicitly contrast these as two ways of expressing the same person-characterizing meaning: derived agentive versus modifier-plus-noun phrase. This is a formal opposition in expression type rather than semantic polarity. | constructional | [CORE] |
| **chiqap** | **chiqaqta** | *chiqap* vs *chiqaqta* | ‘truly; really; in truth’ vs ‘truly; really’ | The constructional material presents these as alternate adverbial truth-asserting forms. The contrast is between two formally different adverbial strategies rather than opposite meanings. | constructional | [MARGINAL] |
| **chiqaq simi** | **llulla simi** | *chiqaq simi* vs *llulla simi* | ‘true word; truthful speech’ vs ‘false speech; lie’ | The P4 materials explicitly frame these as the truth/falsehood pair within the *… simi* construction. This is a constructional opposition specialized to speech content. | constructional | [CORE] |
| **mana chiqaq** | **chiqaq** | *mana chiqaq* vs *chiqaq* | ‘not true; not real’ vs ‘true; real; genuine’ | The negative attribution pattern explicitly gives *mana chiqaq* as the negated counterpart of *chiqaq*, though it is less directly supported than *mana allin*. This is a straightforward negation-based opposition. | morphological | [UNCERTAIN] |
