# G6 — Cross-Language Opposition and Asymmetry Comparison

---

## 1. Per-Language Oppositional Structures

### zh (Chinese)

The Chinese truth domain organizes opposition through three main strategies. The primary lexical oppositions are 真/假 (true/fake-false) and 对/错 (correct/wrong), both of which are highly productive in resultative compounds (说对/说错, 做对/做错). A secondary lexical pair 实/虚 (substantial/empty) contrasts substance with appearance. Morphological negation uses 不 or 没有 analytically before adjectives and verbs; there is no dedicated negative prefix. Constructional oppositions include 是…的 vs. 不是…的 (affirmative vs. negative attribution), resultative vs. potential complements (说对了 vs. 说得对/说不对), and conformity constructions (符合事实 vs. 不符合事实). Several fixed expressions contain internal oppositions (以假乱真, 去伪存真, 弄假成真). Many four-character expressions pair reinforcing rather than opposing terms (真凭实据, 真心实意, 弄虚作假).

Notable asymmetry: 假 covers falsity, inauthenticity, and hypothetical framing in a single morpheme; no parallel three-way merger exists on the 真 side. The 真/假 opposition is more productive in compounding than 对/错.

### he (Hebrew)

Hebrew organizes opposition primarily through the lo negator (colloquial) and ein/eino (formal), applied to predicates. The root ʾ-m-t (emet/sheker) provides the core truth/falsehood lexical opposition. The root ts-d-k generates both epistemic rightness (tsodek = you're right) and moral justice (tsedek), merging two dimensions in a single root. The root ʾ-m-n generates reliability (amin) and its negation (bilti amin, using the formal prefix bilti-). Constructional oppositions include zero-copula attribution vs. lo negation, and the paired existential constructions yesh safek (there is doubt) vs. ein safek (there is no doubt). The dative experiencer construction (domeh li she-) serves as an epistemic hedging device without a clear negative counterpart.

Notable asymmetry: several conceptual antonyms are not attested in the data (avel for injustice, boged for traitor, tsavu'a for hypocritical), leaving the positive terms (tsedek, ne'eman, khen) without documented lexical opposites. The bilti- prefix is lexicalized only for amin (bilti amin) and does not productively negate other truth-domain adjectives.

### sa (Sanskrit)

Sanskrit organizes opposition most systematically through the negative prefix a-/an-, which applies uniformly across the truth domain: satya/asatya, dharma/adharma, yukta/ayukta, pramāṇa/apramāṇa, pramā/apramā. This is the most morphologically systematic negation strategy in the corpus. Lexical oppositions include pramā/bhrama (valid cognition/error), tattva/ābhāsa (reality/appearance), and sādhu/millay (good/ugly, in Quechua parallel). Constructional oppositions include satyaṃ vad vs. mṛṣā vad (speak truth vs. speak falsely), samyag jñā vs. mithyā jñā (know correctly vs. know falsely), and the dvandva dual compounds (dharmādharmau, satyāsatye) which present paired opposites as a single grammatical unit.

Notable asymmetry: the pramāṇa system generates extensive vocabulary for valid epistemic sources but the apramāṇa side is less elaborated. The Vedic ṛta/anṛta pair is archaic and not productive in classical usage. Several implied opposites (anupapatti, asattva) are noted as uncertain because the negative term is not explicitly attested.

### el (Greek)

Greek organizes opposition through the δεν negator before the copula, the privative α-/αν- prefix (αναληθής, άκυρος), and lexical oppositions. The core lexical pair is αλήθεια/ψέμα (truth/lie). The morphological pair έγκυρος/άκυρος (valid/invalid) is highly productive in legal and administrative contexts, with the causative ακυρώνω (invalidate) contrasting with βεβαιώνω (certify). The ψευδο- prefix generates compounds across diverse domains without a parallel productive prefix for genuine/true. Color-modified lie constructions (άσπρο/μαύρο/κόκκινο ψέμα) create a scalar severity system within the falsehood domain.

Notable asymmetry: ψεύτης (liar) has diminutive, augmentative, and feminine forms; no parallel elaboration exists for a truth-teller agentive (αληθολόγος is marginal/literary). The inchoative γίνομαι (become) is documented as unnatural with ψέμα (lie) while natural with σωστός (correct) and έγκυρος (valid). The term αληθοφανής (apparently true) has no attested opposite marking apparent falsity.

### en (English)

English organizes opposition through the most varied negation prefix inventory in the corpus: un- (untrue, unreliable, unfaithful), in-/im-/il- (incorrect, inaccurate, illegitimate), dis- (dishonest), with distribution conditioned by etymology. Lexical oppositions include true/false, right/wrong, genuine/fake, valid/invalid, sound/unsound, honest/dishonest, sincere/insincere. The "false" compound vocabulary (false alarm, false start, false dawn, false economy, false flag, false positive, false negative) is more extensive than any parallel "true" compound vocabulary. The constructional opposition ring true/ring false uses the same verb with contrasting adjectives.

Notable asymmetry: "authenticate" has no morphological opposite (*inauthenticate); "realize" has no morphological opposite (*unrealize); "bona fide" has no productive negation. The "come true" construction is lexically restricted to predictions, wishes, and dreams and has no parallel "come false" construction. The technical testing vocabulary (false positive/false negative) has no parallel "true positive/true negative" as a distinct semantic cluster (though the terms exist, they are not elaborated as a group in the same way).

### tl (Tagalog)

Tagalog organizes opposition through the hindi/di- negators applied analytically before predicates, and through the walang (without) + nominalization construction for categorical negation. The core lexical pair is totoo/kasinungalingan (true/lie) and tama/mali (correct/wrong). The may/walang opposition (may katotohanan vs. walang katotohanan) expresses presence vs. absence of truth as a possessed quality. The tama root shows a semantic extension to sufficiency/cessation (tama na = that's enough) without a parallel extension on the mali side.

Notable asymmetry: no dedicated causative for "make incorrect" or "falsify" is attested. The sinungaling (liar) is a simple lexical item while no parallel simple term for "truth-teller" is documented. The inchoative magkatotoo (come true) is attested while no parallel *magkamali (become wrong in the inchoative sense) is documented as a productive form.

### sw (Swahili)

Swahili organizes opposition through the ni/si copula replacement (affirmative ni vs. negative si), the u- prefix nominalization system, and lexical oppositions. The core lexical pair is kweli/uongo (truth/lie). The causative pair thibitisha/batilisha (confirm/invalidate) represents a lexical opposition between causative verbs. The haki term uniquely merges truth and rights/justice, creating a domain where the opposition between having rights and lacking rights (linda haki/vunja haki) is expressed through verbal collocations rather than a single lexical pair.

Notable asymmetry: no dedicated causative for "make false" is attested (batilisha covers invalidation but not general falsification). The Arabic loanword cluster (sahihi, halisi, hakika, batili) does not inflect for noun-class agreement, creating a two-tier system where Bantu-derived terms agree with noun class but Arabic loans do not. The proverbs (ukweli ni uchungu, ukweli hauna miguu) express truth-related oppositions in fixed, non-productive forms.

### qu (Quechua)

Quechua organizes opposition through the mana negator applied analytically, the three-way evidential suffix system (-mi/-si/-cha), and lexical oppositions. The core lexical pair is chiqaq/llulla (true/lie). The -ya- inchoative suffix is productive for positive states (allinyay, chiqaqyay, sut'iyay) but the parallel negative inchoatives are absent or marginal (*llullayay not attested). The -chi- causative is productive for positive causation (allinyachiy, chiqanchay) but the parallel negative causative (*llullachay for "make false") is explicitly noted as absent. The -puni emphatic and -lla limitative suffixes form a morphological opposition in degree of assertion.

Notable asymmetry: the most explicitly documented structural gap in the corpus — no construction for disconfirmation (proving false) exists as a dedicated or common expression. The evidential suffix system (-mi/-si/-cha) creates a three-way grammatical opposition with no parallel in any other language in the corpus.

---

## 2. Cross-Language Comparison Table

| Contrast Structure | Language | Form A | Form B | Contrast Strategy | Notes on Symmetry, Restriction, or Gaps |
|---|---|---|---|---|---|
| **Truth vs. Falsehood (propositional)** | zh | 真 (zhēn, true) | 假 (jiǎ, false) | lexical | 假 also covers inauthenticity and hypothetical framing; no parallel polysemy on 真 side |
| | he | אמת (emet, truth) | שקר (sheker, falsehood/lie) | lexical | Both carry moral weight; sheker implies deliberate deception more strongly than emet implies deliberate truthfulness |
| | sa | सत्य (satya, true) | असत्य (asatya, untrue) | morphological (a- prefix) | a- prefix is the most systematic negation strategy in the corpus; covers factual, moral, and ontological senses |
| | el | αλήθεια (alítheia, truth) | ψέμα (pséma, lie) | lexical | Different roots; ψέμα implies deliberate deception; αλήθεια is more neutral |
| | en | true | false | lexical | Both from different etymological roots; "false" has more compound productivity than "true" |
| | tl | totoo (true) | kasinungalingan (lie/falsehood) | lexical | Asymmetric: totoo is a simple form; kasinungalingan is a derived nominalization |
| | sw | kweli (truth) | uongo (lie/falsehood) | lexical | Both use u- prefix nominalization pattern; parallel formation |
| | qu | chiqaq (true) | llulla (lie/false) | lexical | chiqaq covers both propositional truth and material genuineness; llulla is more restricted to deliberate falsehood |
| **Correctness vs. Error/Wrongness** | zh | 对 (duì, correct) | 错 (cuò, wrong) | lexical | Highly productive in resultative compounds (说对/说错, 做对/做错); 对 also has spatial meaning (facing/toward) |
| | he | נכון (nakhon, correct) | לא נכון (lo nakhon, not correct) | morphological (lo negation) | No dedicated lexical antonym; negation is analytic; nakhon also means "ready/prepared" |
| | sa | सम्यक् (samyak, correct) | मिथ्या (mithyā, falsely/erroneously) | lexical | Different roots; samyak is adverbial/adjectival; mithyā is primarily adverbial |
| | el | σωστός (sostós, correct) | λάθος (láthos, mistake/wrong) | lexical | Different grammatical categories: σωστός is adjective; λάθος is noun used predicatively |
| | en | correct | incorrect | morphological (in- prefix) | Also: right/wrong (lexical); correct/error (lexical) |
| | tl | tama (correct) | mali (wrong) | lexical | tama also extends to sufficiency/cessation (tama na); no parallel extension on mali side |
| | sw | sahihi (correct) | si sahihi (not correct) | morphological (si copula replacement) | No dedicated lexical antonym; negation through copula replacement |
| | qu | chiqan (exact/correct) | pantay (to err) | lexical | Different grammatical categories: chiqan is adjective; pantay is verb |
| **Genuine/Authentic vs. Fake/Counterfeit** | zh | 真品/真迹 (genuine article/original) | 假冒/假造 (counterfeit/forged) | lexical | 真 and 假 roots; 假 covers both falsity and inauthenticity |
| | he | אמיתי (amiti, genuine) | מזויף (mezuyaf, forged/fake) | lexical | Different roots; amiti from emet; mezuyaf from z-y-f (forgery) |
| | sa | वास्तव (vāstava, real/actual) | आभास (ābhāsa, appearance/semblance) | lexical | Philosophical opposition between reality and mere appearance |
| | el | αυθεντικός (afthentikós, authentic) | πλαστός (plastós, fake/forged) | lexical | Different roots; αυθεντικός from Greek; πλαστός from πλάσσω (to mold/fabricate) |
| | en | genuine/authentic | fake/counterfeit | lexical | Multiple positive terms (genuine, authentic, real, bona fide) vs. multiple negative terms (fake, counterfeit, spurious, bogus) |
| | tl | tunay (genuine) | peke (fake) | lexical | peke is a Spanish borrowing; tunay is native; asymmetric etymological origins |
| | sw | halisi (genuine, from Arabic) | -a uongo (of falsehood) | lexical/constructional | halisi is a single adjective; -a uongo is an associative construction |
| | qu | chanin (valid/legitimate) | mana chanin (invalid/illegitimate) | morphological (mana negation) | No dedicated lexical antonym; negation is analytic |
| **Honest/Sincere vs. Deceptive/Dishonest (persons)** | zh | 诚实 (chéngshí, honest) | 欺骗 (qīpiàn, deceive) | lexical | Asymmetric categories: 诚实 is adjective (character); 欺骗 is verb (action) |
| | he | כנה (khen, sincere) | שקרן (shakran, liar) | lexical | Asymmetric categories: khen is adjective; shakran is agentive noun |
| | sa | सत्यवादिन् (satyavādin, truth-speaker) | मृषावादिन् (mṛṣāvādin, liar) | lexical | Parallel compound structure; both use -vādin (speaking) |
| | el | ειλικρινής (ilikrinís, sincere) | ψεύτης (pséftis, liar) | lexical | Asymmetric: ειλικρινής is adjective; ψεύτης is agentive noun; ψεύτης has diminutive/augmentative/feminine forms; no parallel for ειλικρινής |
| | en | honest/sincere | dishonest/insincere | morphological (dis-/in- prefix) | Also: truthful/untruthful (un- prefix); liar has no morphological opposite |
| | tl | tapat (honest/faithful) | sinungaling (liar) | lexical | Asymmetric categories: tapat is adjective; sinungaling is agentive noun |
| | sw | -nyofu/-adilifu (upright/just) | -danganyifu (deceptive) | lexical | Both use -ifu adjectival suffix; parallel formation |
| | qu | chiqaq runa (honest person) | llullaq (liar) | constructional/lexical | Asymmetric: chiqaq runa is periphrastic; llullaq is a simple agentive form |
| **Valid/Legitimate vs. Invalid/Illegitimate** | zh | (有效, yǒuxiào — less central) | (无效, wúxiào — less central) | morphological | Less elaborated as a distinct cluster in zh truth domain |
| | he | מוצדק (mutsдak, justified) | לא מוצדק (lo mutsдak, unjustified) | morphological (lo negation) | No dedicated lexical antonym |
| | sa | प्रमाण (pramāṇa, valid means) | अप्रमाण (apramāṇa, invalid means) | morphological (a- prefix) | Most systematic; a- prefix applies uniformly |
| | el | έγκυρος (énkyros, valid) | άκυρος (ákyros, invalid) | morphological (α- prefix) | Highly productive pair; causative ακυρώνω (invalidate) vs. βεβαιώνω (certify) |
| | en | valid | invalid | morphological (in- prefix) | Also: legitimate/illegitimate (il- prefix); validate/invalidate (causative pair) |
| | tl | chanin (valid/legitimate) | mana chanin (invalid) | morphological (mana negation) | No dedicated lexical antonym |
| | sw | (implied valid) | batili (invalid/null) | lexical | batili is from Arabic; batilisha (causative: to invalidate) is productive |
| | qu | chanin (valid/legitimate) | mana chanin (invalid) | morphological (mana negation) | No dedicated lexical antonym |
| **Certain vs. Doubtful** | zh | 确实/的确 (certainly) | (less elaborated as pair) | lexical | Certainty expressed through intensifiers; no dedicated doubt vocabulary as a distinct cluster |
| | he | ודאי (vadai, certain) | ספק (safek, doubt) | lexical | Different roots; productive pair: ein safek (no doubt) vs. yesh safek (there is doubt) |
| | sa | हकीका (hakika → sw) | (less elaborated in sa data) | — | Less documented as a distinct pair in Sanskrit data |
| | el | βέβαιος (véveos, certain) | αμφίβολος (amfívolos, doubtful) | lexical | Different roots; βεβαιότητα (certainty) vs. αμφιβολία (doubt) as abstract nouns |
| | en | certain/sure | doubtful/uncertain | lexical/morphological | un- prefix on certain (uncertain); no- prefix on doubt (undoubted) |
| | tl | sigurado (sure) | hindi sigurado (not sure) | morphological (hindi negation) | No dedicated lexical antonym for sigurado |
