# CLCA Protocol v3.4 — F4 Construction Table
# Language: Swahili (sw)

| Construction Type | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|------------------|---------|-----------------|-------------|-------------|------------------|
| **1. ATTRIBUTION** | Habari hii ni kweli | habari hii ni kweli | This news is true | Standard predicative construction used across all registers. No restrictions observed. The copula ni/si shows invariant form in present tense across noun classes. | [CORE] |
| **1. ATTRIBUTION** | Maneno yake ni sahihi | maneno yake ni sahihi | His/her words are correct | Same pattern as above; sahihi commonly used for correctness/accuracy in formal and informal contexts. | [CORE] |
| **2. NEGATIVE ATTRIBUTION** | Hii si kweli | hii si kweli | This is not true | Most common negation strategy for truth-value denial. Used freely across all contexts. The invariant si form is standard for present tense negation. | [CORE] |
| **2. NEGATIVE ATTRIBUTION** | Bidhaa hizi si halisi | bidhaa hizi si halisi | These products are not genuine | Particularly common in commercial/consumer contexts for authenticity claims. Pattern identical to general negative copular construction. | [CORE] |
| **3. ADNOMINAL MODIFICATION** | Mtu wa kweli | mtu wa kweli | Genuine person / truthful person | Highly productive associative construction. The wa variant shows class 1 agreement. Used for character attribution and moral evaluation. | [CORE] |
| **3. ADNOMINAL MODIFICATION** | Ushahidi madhubuti | ushahidi madhubuti | Reliable evidence | Direct modification pattern common with adjectival truth-terms. Frequent in legal and formal contexts. Madhubuti shows class 11 agreement (u-). | [CORE] |
| **4. BECOME / INCHOATIVE** | Jambo limekamilika | jambo limekamilika | The matter has become complete | Stative extension -ik- productive for completion/finalization contexts. Common in formal and administrative language. | [CORE] |
| **4. BECOME / INCHOATIVE** | Amekuwa mwongo | amekuwa mwongo | He/she has become a liar | Periphrastic inchoative with kuwa is the default strategy. Used for character change or revelation. More common than dedicated stative forms. | [CORE] |
| **5. CAUSATIVE** | Sahihisha maandishi | sahihisha maandishi | Correct the writing / verify the documents | Extremely productive causative pattern. Common in administrative, educational, and editorial contexts. The -ish- suffix is regular and predictable. | [CORE] |
| **5. CAUSATIVE** | Hakikisha ukweli | hakikisha ukweli | Ensure the truth / verify the facts | Very frequent in instructional and procedural language. Hakikisha is one of the most common causative forms in everyday speech. | [CORE] |
| **6. ABSTRACT NOMINALIZATION** | Ukweli wa mambo | ukweli wa mambo | The truth of the matter | Highly productive u- prefix pattern for abstract nouns. Ukweli is among the most frequent truth-domain terms across all registers. | [CORE] |
| **6. ABSTRACT NOMINALIZATION** | Uadilifu ni muhimu | uadilifu ni muhimu | Justice is important | The -fu suffix adds quality/character meaning. Common in moral, legal, and philosophical discourse. Uadilifu specifically frequent in justice/fairness contexts. | [CORE] |
| **7. AGENTIVE NOMINALIZATION** | Mwongo anasema uongo | mwongo anasema uongo | The liar tells lies | Simple m-/wa- prefix pattern for person nouns. Mwongo is common in moral evaluation and character description. | [CORE] |
| **7. AGENTIVE NOMINALIZATION** | Mdanganyifu hataaminiwa | mdanganyifu hataaminiwa | The deceiver will not be trusted | The -ifu suffix creates habitual agent nouns. Common in moral discourse and character assessment. Implies persistent or characteristic behavior. | [CORE] |
| **8. VERBAL DERIVATION FROM NOMINALS** | Hukumia mhalifu | hukumia mhalifu | Judge the offender / pass judgment on the offender | Applicative -ia creates transitive verbs from nouns. Hukumia very common in legal and judicial contexts. | [CORE] |
| **8. VERBAL DERIVATION FROM NOMINALS** | Shuhudia tukio | shuhudia tukio | Witness the event / testify about the event | Same applicative pattern. Shuhudia frequent in legal testimony and eyewitness contexts. Shows vowel harmony from shahidi root. | [CORE] |
| **9. EMPHATIC INTENSIFICATION** | Kweli kabisa | kweli kabisa | Absolutely true / completely true | Kabisa is the strongest intensifier. Common in emphatic assertions and confirmations across all registers. | [CORE] |
| **9. EMPHATIC INTENSIFICATION** | Ni sahihi sana | ni sahihi sana | It is very correct | Sana is the general intensifier. Used freely in all contexts. Less emphatic than kabisa. | [CORE] |
| **10. MANNER ADVERBIALS** | Fanya kwa usahihi | fanya kwa usahihi | Do it correctly / with accuracy | Highly productive kwa + abstract noun pattern. Common in instructional and procedural language. | [CORE] |
| **10. MANNER ADVERBIALS** | Sema kwa ukweli | sema kwa ukweli | Speak truthfully / in truth | Very frequent collocation. Used in moral exhortations and truth-telling contexts. Alternative kwa kweli (bare root) equally common. | [CORE] |
| **11. CONTRASTIVE COORDINATION** | Kweli au uongo | kweli au uongo | True or false / truth or lies | Fixed binary opposition. Common in evaluative, testing, and philosophical contexts. Order (positive first) is conventional. | [CORE] |
| **11. CONTRASTIVE COORDINATION** | Halisi au bandia | halisi au bandia | Genuine or fake / authentic or counterfeit | Very common in commercial contexts for authenticity assessment. Fixed pair used in product evaluation and quality control. | [CORE] |
| **12. DEMONSTRATIVE SPECIFICATION** | Ukweli huu | ukweli huu | This truth / this fact | Standard demonstrative pattern with class agreement. Used for discourse reference to specific propositions or claims. | [CORE] |
