# F3 — SEMANTIC GROUPS TABLE

| Group Label | Definition | Representative Expressions | Overlapping / Ambiguous Items | Boundary Notes |
|------------|------------|---------------------------|-------------------------------|----------------|
| Factual Accuracy and Correctness | This group comprises expressions used when assessing whether statements, information, or representations correspond to facts or meet standards of accuracy. These terms appear in contexts of verification, confirmation, and correction, particularly in administrative, educational, and informational discourse. They contrast with terms indicating error or inaccuracy. | ukweli (truth, reality, fact), sahihi (correct, accurate, right, proper, authentic), kweli (true, truth, real, really, indeed), -a kweli (of truth, true, genuine, real), madhubuti (reliable, accurate, precise, firm, trustworthy), thibitisha (to confirm, to verify, to establish, to prove), ushahidi (evidence, testimony, witness, proof), hoja (argument, proof, evidence, reason), dhahiri (clear, evident, obvious, apparent, manifest), hakika (certain, sure, definite, indeed, really), sawa (correct, right, okay, equal, same, appropriate), kamili (complete, perfect, whole, entire, accurate) | kamili overlaps with Group 6 when implying accuracy through completeness; haki overlaps secondarily with this group in its "truth" sense | Typically neutral regarding intention; applies primarily to propositional content (statements, claims, information) |
| Falsehood and Deception | This group includes expressions used to characterize statements, representations, or behaviors as deliberately false or misleading. These terms appear prominently in moral condemnation, accusations of dishonesty, and warnings about deception. They often involve intentionality or moral judgment beyond simple factual incorrectness. | uongo (lie, falsehood, untruth), -a uongo (of falsehood, false, lying, deceptive), mwongo/waongo (liar/liars), -danganya (to deceive, to lie, to trick, to cheat, to mislead), mdanganyifu/wadanganyifu (deceiver/deceivers, liar/liars, trickster/tricksters), udanganyifu (deception, deceitfulness, trickery, dishonesty), bandia (fake, artificial, counterfeit, false, imitation) | bandia appears in both Group 2 (when referring to false representations) and Group 3 (when contrasting with genuine materials); usage context determines which aspect is foregrounded | Strongly implies intentional wrongdoing; applies primarily to propositional content; shows less gradability in practice |
| Genuineness and Authenticity | This group contains expressions used to distinguish real, authentic, or original items from imitations, counterfeits, or artificial substitutes. These terms are particularly common in commercial contexts, material verification, and assessments of sincerity in relationships or emotions. The focus is on substance and origin rather than propositional truth. | halisi (genuine, authentic, real, pure, sincere), uhalisia (authenticity, genuineness, reality), bandia (fake, artificial, counterfeit, false, imitation), ubandia (artificiality, fakeness, counterfeit nature) | bandia appears in both Group 2 (false representations) and Group 3 (contrasting with genuine materials) | Applies primarily to material objects and personal sincerity; strongest connection to material/concrete assessment |
| Rights, Justice, and Moral Correctness | This group comprises expressions used in discussions of entitlements, fairness, and moral rightness. These terms appear in legal, political, and ethical discourse where the focus is on what is just, fair, or morally appropriate rather than simply factually accurate. They often involve normative judgments about proper conduct and legitimate claims. | haki (right, justice, truth, entitlement, fairness), -a haki (of right/justice, rightful, just, legitimate), adili (just, fair, equitable, righteous), uadilifu (justice, fairness, equity, righteousness), hukumu (judgment, ruling, verdict, sentence), hukumia (to judge, to pass judgment on, to sentence) | haki primarily belongs here but the "truth" sense occasionally overlaps with Group 1, though this is secondary to the justice/rights meaning; -potoka can involve moral deviation overlapping with Group 4 concerns | Applies to normative/moral domains; shows less gradability in practice |
| Error and Deviation | This group includes expressions referring to mistakes, errors, or deviations from correct paths or standards. Unlike Group 2 (falsehood and deception), these terms do not necessarily imply intentional wrongdoing but can indicate both factual mistakes and moral transgressions. They appear in contexts of correction, criticism, and moral instruction. | makosa (mistakes, errors, faults, wrongs), kosa (error, mistake, fault, wrong), kosea (to make a mistake, to err, to be wrong, to sin), -potoka (to go astray, to deviate, to err, to be mistaken), upotovu (error, deviation, wrongness, perversion), potoa/potosha (to lead astray, to cause to err, to mislead) | -potoka can involve moral deviation (overlapping with Group 4) or factual error (overlapping with Group 1); the term itself is neutral regarding intentionality | Can be either intentional or unintentional; applies primarily to propositional content |
| Completeness and Perfection | This group contains expressions emphasizing wholeness, completeness, or perfection in representation or execution. These terms appear when assessing whether something fully meets standards or requirements, often implying accuracy through completeness. They are common in quality assessments and evaluations of thoroughness. | kamili (complete, perfect, whole, entire, accurate), ukamili (completeness, perfection, wholeness), kamilisha (to complete, to perfect, to finish, to make whole), safi (clean, pure, clear, genuine, perfect), usafi (cleanliness, purity, clarity) | kamili primarily belongs here but can overlap with Group 1 when implying accuracy through completeness (connection is through thoroughness rather than direct synonymy); safi appears in both Group 6 (for quality assessment) and Group 9 (for its core meaning), showing extension from physical to abstract domains | Can apply across domains; shows strong gradability (more/less complete) |
| Clarity and Obviousness | This group comprises expressions indicating that something is clear, evident, or manifest to observation or understanding. These terms appear when the truth or reality of something is plainly visible or easily demonstrable, often used to strengthen arguments by appealing to what should be obvious to all. | dhahiri (clear, evident, obvious, apparent, manifest), udhahiri (evidence, manifestation, clarity, obviousness), dhihirisha (to show, to demonstrate, to manifest, to make evident), ukweli ulio wazi (obvious truth, clear truth) | None noted | More descriptive of epistemic accessibility rather than truth value itself; can apply across domains; shows strong gradability (more/less clear) |
| Certainty and Confidence | This group includes expressions used to convey or assess the degree of certainty, confidence, or definiteness about claims or situations. These terms appear when speakers express or evaluate epistemic confidence, ranging from absolute certainty to doubt. They are common in assertions, confirmations, and hedging. | hakika (certain, sure, definite, indeed, really), uhakika (certainty, sureness, definiteness), hakikisha (to make certain, to ensure, to verify, to confirm), ukweli usio na shaka (undoubted truth, indisputable truth) | None noted | Can apply across domains; shows strong gradability (more/less certain) |
| Purity and Cleanliness (Extended to Truth) | This group centers on expressions of cleanliness and purity that extend metaphorically to indicate genuineness, clarity, or freedom from problems in non-physical domains. These terms appear both in literal contexts of physical cleanliness and in figurative uses indicating moral purity, clarity of truth, or quality of correctness. | safi (clean, pure, clear, genuine, perfect), usafi (cleanliness, purity, clarity), safisha (to clean, to purify, to clarify, to make clear), ukweli mtupu (plain truth, bare truth, naked truth) | safi appears in both Group 6 (Completeness and Perfection) for quality assessment and Group 9 (Purity and Cleanliness) for its core meaning, showing extension from physical to abstract domains | Can apply across domains |
