# CLCA Protocol v3.2 — F5 Opposition Table
# Language: Indonesian (id)

| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
|--------|--------|-----------------|-------------|---------------------|---------------|------------------|
| benar | salah | benar / salah | true, correct / wrong, mistaken | Primary lexical opposition for factual correctness evaluation. *Benar* marks correspondence to fact or proper standard; *salah* marks deviation from fact or error. This is the most fundamental and productive opposition in the truth domain, appearing across all registers and contexts. | lexical | [CORE] |
| asli | palsu | asli / palsu | genuine, original / fake, counterfeit | Primary lexical opposition for authenticity evaluation of objects and documents. *Asli* marks genuineness or originality; *palsu* marks deliberate counterfeiting or forgery. Common in commercial, legal, and forensic contexts. | lexical | [CORE] |
| jujur | bohong | jujur / bohong | honest, truthful / lie, false | Primary lexical opposition for evaluating truthfulness of persons and speech acts. *Jujur* marks honest character or truthful communication; *bohong* marks deliberate deception or lying. Carries strong moral evaluation. | lexical | [CORE] |
| nyata | fiktif | nyata / fiktif | real, actual / fictitious, fictional | Lexical opposition distinguishing actual existence from invented or imaginary status. *Nyata* marks concrete reality or tangible existence; *fiktif* marks deliberate invention or fictional construction. Common in formal and technical registers. | lexical | [CORE] |
| sah | tidak sah | sah / tidak sah | valid, legitimate / not valid, illegitimate | Opposition marking legal or official validity. *Sah* indicates conformity with proper authority or procedure; *tidak sah* marks lack of legal/official recognition. The negative is morphological (*tidak*) rather than a distinct lexical item. | morphological | [CORE] |
| sama | beda | sama / beda | same, equal / different, distinct | Primary lexical opposition for identity and difference relations. *Sama* marks identity or equality; *beda* marks distinction or difference. Fundamental to comparative and evaluative discourse across all registers. | lexical | [CORE] |
| tepat | tidak tepat | tepat / tidak tepat | precise, exact, appropriate / not precise, inaccurate, inappropriate | Opposition marking precision, accuracy, or appropriateness. *Tepat* indicates exact correspondence or suitability; *tidak tepat* marks imprecision or inappropriateness. The negative is morphological rather than a distinct lexical antonym. | morphological | [CORE] |
| adil | tidak adil | adil / tidak adil | just, fair / unjust, unfair | Opposition marking justice and fairness in treatment or judgment. *Adil* indicates conformity to standards of justice; *tidak adil* marks violation of fairness. Central to moral and legal discourse. | morphological | [CORE] |
| benar atau salah | (no clear opposition identified) | benar atau salah | true or false, right or wrong | Fixed binary construction presenting exhaustive alternatives for truth-value. This is a constructional pattern rather than a simple opposition, emphasizing forced choice between truth-values. Common in tests, logical reasoning, and decision contexts. | constructional | [CORE] |
| asli atau palsu | (no clear opposition identified) | asli atau palsu | genuine or fake, authentic or counterfeit | Fixed binary construction presenting exhaustive alternatives for authenticity. Parallel to Opposition 9 but in the domain of material authenticity rather than factual truth. Common in authentication and verification contexts. | constructional | [CORE] |
| jujur atau bohong | (no clear opposition identified) | jujur atau bohong | honest or lying, truthful or false | Fixed binary construction presenting exhaustive alternatives for truthfulness evaluation. Parallel to Oppositions 9 and 10 but in the domain of moral character and communicative honesty. | constructional | [CORE] |
| kebenaran | kebohongan | kebenaran / kebohongan | truth, truthfulness / lie, falsehood, deception | Nominalized opposition between truth and deception. *Kebenaran* (ke-benar-an) refers to truth as abstract concept or quality; *kebohongan* (ke-bohong-an) refers to lies or deception. Both are productive nominalizations used across all registers. | lexical (derived) | [CORE] |
| kejujuran | ketidakjujuran | kejujuran / ketidakjujuran | honesty, truthfulness / dishonesty, untruthfulness | Nominalized opposition between honesty and dishonesty. *Kejujuran* (ke-jujur-an) marks the quality of being honest; *ketidakjujuran* (ke-tidak-jujur-an) marks dishonesty through morphological negation embedded in nominalization. Common in moral and character evaluation. | morphological | [CORE] |
| membenarkan | menyalahkan | membenarkan / menyalahkan | to confirm, to verify, to validate / to blame, to fault, to accuse | Causative verbal opposition. *Membenarkan* (meN-benar-kan) means to make/declare correct or to confirm; *menyalahkan* (meN-salah-kan) means to make/declare wrong or to blame. Both are highly productive causative formations. | lexical (derived) | [CORE] |
| keaslian | kepalsuan | keaslian / kepalsuan | authenticity, genuineness / falseness, fakeness | Nominalized opposition between authenticity and fakeness. *Keaslian* (ke-asli-an) marks quality of being genuine; *kepalsuan* (ke-palsu-an) marks quality of being fake. Used in formal and analytical contexts for discussing authenticity. | lexical (derived) | [CORE] |
| kesamaan | perbedaan | kesamaan / perbedaan | similarity, sameness / difference, distinction | Nominalized opposition between sameness and difference. *Kesamaan* (ke-sama-an) marks shared characteristics or identity; *perbedaan* (per-beda-an) marks distinctions or differences. Very common in academic and analytical discourse, often appearing together in the fixed phrase *persamaan dan perbedaan* "similarities and differences." | lexical (derived) | [CORE] |
| membedakan | menyamakan | membedakan / menyamakan | to differentiate, to distinguish / to equate, to make equal | Causative verbal opposition. *Membedakan* (meN-beda-kan) means to make/mark different or to distinguish; *menyamakan* (meN-sama-kan) means to make equal or to equate. Both are productive causative formations used in comparative and analytical contexts. | lexical (derived) | [CORE] |
| betul | salah | betul / salah | correct, true / wrong, mistaken | Near-synonym opposition parallel to *benar/salah*. *Betul* is a colloquial variant of *benar* that opposes *salah* in the same way. Slightly more informal in some regions but functions identically to Opposition 1. | lexical | [CORE] |
| keliru | benar | keliru / benar | mistaken, erroneous / true, correct | Lexical opposition where *keliru* marks error or mistake (often implying confusion rather than deliberate falsehood) while *benar* marks correctness. *Keliru* is more formal than *salah* and suggests error in judgment or understanding. | lexical | [CORE] |
| akurat | tidak akurat | akurat / tidak akurat | accurate / not accurate, inaccurate | Opposition marking accuracy, particularly in technical and formal contexts. *Akurat* indicates factual accuracy; *tidak akurat* marks inaccuracy. The negative is morphological; no distinct lexical antonym is attested in the data. | morphological | [CORE] |
| valid | tidak valid | valid / tidak valid | valid / not valid, invalid | Opposition marking logical or procedural validity, particularly in academic and technical contexts. *Valid* indicates conformity to logical or procedural standards; *tidak valid* marks invalidity. Borrowed term with morphological negation. | morphological | [CORE] |
