# F3 — SEMANTIC GROUPS TABLE

| Group Label | Definition | Representative Expressions | Overlapping / Ambiguous Items | Boundary Notes |
|------------|------------|---------------------------|-------------------------------|----------------|
| GROUP 1: Factual Correctness and Error | This group contains expressions used to evaluate whether statements, information, or beliefs correspond to facts or reality. These terms are commonly used in contexts of verification, testing, information accuracy, and distinguishing correct from incorrect claims. They focus on propositional truth rather than moral judgment or authenticity of objects. | benar (true, correct), salah (wrong, mistaken), betul (correct, true), keliru (mistaken, erroneous), tidak benar (not true), tidak salah (not wrong), benar atau salah (true or false), kesalahan (mistake, error), kebenaran (truth, correctness), faktual (factual), akurat (accurate), keakuratan (accuracy), data akurat (accurate data), informasi akurat (accurate information) | tepat (precise, exact) — overlaps with this group when referring to factual precision, but also belongs to appropriateness contexts; nyata (real, actual) — overlaps when contrasting with false information, but primarily indicates existence/reality; valid (valid) — overlaps when referring to logical soundness, but also belongs to legal/formal legitimacy contexts | benar appears in factual correctness but also extends to appropriateness of behavior and can indicate precision; salah is core member but also appears in cognitive errors, deviations, and forms numerous compounds with specialized meanings |
| GROUP 2: Authenticity and Genuineness of Objects | This group contains expressions used to distinguish genuine, original, or authentic objects and materials from fake, counterfeit, or imitated ones. These terms are commonly used in contexts of product verification, document authentication, art appraisal, and consumer protection. The focus is on physical authenticity rather than truthfulness of statements. | asli (original, genuine), palsu (fake, counterfeit), asli atau palsu (genuine or fake), barang asli (genuine goods), barang palsu (fake goods), uang palsu (counterfeit money), dokumen palsu (fake documents), keaslian (authenticity, genuineness), kepalsuan (falseness, fakeness), memalsu (to forge, to counterfeit), memalsukan (to falsify, to forge), pemalsu (forger, counterfeiter), pemalsuan (forgery, counterfeiting) | identitas palsu (fake identity) — overlaps with deception about personal information; nama palsu (false name) — overlaps with intentional misrepresentation; senyum palsu (fake smile) — extends to insincerity of emotions rather than physical objects | |
| GROUP 3: Honesty and Deception in Communication | This group contains expressions used to evaluate whether people are truthful or deceptive in their communication and whether they intend to mislead others. These terms focus on the speaker's intention and character regarding truthfulness, commonly appearing in moral evaluation, interpersonal trust, and accusations of lying. They emphasize the ethical dimension of truth-telling. | jujur (honest, truthful), bohong (lie, false), dusta (lie, falsehood - formal/literary), kejujuran (honesty, truthfulness), kebohongan (lie, falsehood, deception), kedustaan (falsehood, lie), berbohong (to lie, to tell lies), berdusta (to lie - formal/literary), membohongi (to lie to, to deceive), mendustai (to lie to - formal), pembohong (liar, deceiver), pendusta (liar - formal/literary), jujur saja (to be honest, frankly), sejujurnya (honestly, to be honest), jangan bohong (don't lie), tidak jujur (dishonest), ketidakjujuran (dishonesty), orang jujur (honest person), jujur pada diri sendiri (honest with oneself) | berita palsu (fake news) — overlaps with both object authenticity and intentional deception; bohong besar (big lie) — emphasizes magnitude but remains in this group; terlalu jujur (too honest) — indicates honesty can be socially problematic | Register variation: bohong (colloquial) vs. dusta (formal/literary) |
| GROUP 4: Legal and Formal Validity | This group contains expressions used to indicate whether documents, procedures, marriages, or official acts have legal force or formal recognition. These terms appear primarily in legal, administrative, and institutional contexts where formal authorization or legitimacy is at issue. They focus on conformity to legal or procedural requirements rather than factual truth. | sah (valid, legitimate, legal), valid (valid - borrowed term), absah (valid, legitimate, authentic), kesahan (validity, legitimacy, legality), kevalidan (validity), mengesahkan (to legalize, to validate, to ratify), pengesahan (legalization, validation, ratification), disahkan (to be legalized, to be validated), memvalidasi (to validate), validasi (validation), tidak sah (invalid, illegitimate) | dokumen palsu (fake documents) — overlaps with authenticity but has legal implications; valid (valid) — borrowed term used in both logical and legal contexts | Shows strong domain association with institutional contexts |
| GROUP 5: Reality and Actuality | This group contains expressions used to distinguish what actually exists or occurs from what is imagined, apparent, or merely claimed. These terms commonly appear in contexts of revealing truth, contrasting appearance with reality, and confirming actual events or states of affairs. They emphasize concrete existence and observable facts. | nyata (real, actual), kenyataan (reality, fact, actuality), ternyata (apparently, it turns out, evidently), menyatakan (to state, to declare, to express), pernyataan (statement, declaration), dinyatakan (to be stated, to be declared), senyatanya (in reality, actually), nyata-nyata (clearly, evidently), benar-benar terjadi (really happened), benar adanya (it is true, it truly exists), kenyataan hidup (reality of life), dalam kenyataan (in reality), tidak nyata (unreal) | sejati (true, genuine) — overlaps but emphasizes essential nature more than concrete existence; hakiki (essential, fundamental, true) — overlaps but more philosophical/abstract; sebenarnya (actually, in fact) — functions as discourse marker but relates to actual truth | nyata overlaps with factual correctness when contrasting true vs. false information |
| GROUP 6: Precision and Exactness | This group contains expressions used to evaluate whether measurements, timing, descriptions, or actions meet exact specifications or hit precise targets. These terms commonly appear in technical, temporal, and spatial contexts where degree of precision matters. They focus on exactness of correspondence rather than simple correctness. | tepat (precise, exact), akurat (accurate), ketepatan (precision, accuracy, exactness), keakuratan (accuracy, precision), tepat waktu (on time, punctual), tepat sasaran (on target, well-targeted), menetapkan (to determine, to establish, to set), penetapan (determination, establishment), ditetapkan (to be determined, to be established), sangat akurat (very accurate), sangat tepat (very precise), kurang tepat (not quite precise), kurang akurat (not quite accurate) | tepat guna (appropriate for use) — extends to functional appropriateness beyond precision; benar (true, correct) — can indicate precision but more commonly indicates general correctness | tepat belongs to precision but also indicates appropriateness depending on context |
| GROUP 7: Appropriateness and Suitability | This group contains expressions used to evaluate whether something is suitable, fitting, or appropriate for a particular context, purpose, or situation. These terms commonly appear when judging whether choices, behaviors, or conditions match expectations, norms, or requirements. They focus on contextual fit rather than absolute correctness. | sesuai (in accordance with, appropriate), cocok (suitable, matching, fitting), wajar (reasonable, natural, proper), patut (proper, fitting, ought), layak (worthy, deserving, proper), pantas (fitting, appropriate, deserved), kesesuaian (conformity, suitability, compatibility), kecocokan (suitability, compatibility, match), kewajaran (reasonableness, naturalness, propriety), kepatutan (propriety, appropriateness), kelayakan (worthiness, eligibility, feasibility), kepantasan (propriety, appropriateness), menyesuaikan (to adjust, to adapt, to conform), mencocokkan (to match, to fit), mewajarkan (to justify, to make reasonable), sesuai dengan (in accordance with), tidak sesuai (not appropriate, not suitable), kurang wajar (not quite reasonable), sewajarnya (as is proper, as is reasonable), selayaknya (as is proper, as befits), sepantasnya (as is fitting, as is appropriate) | tepat (precise, exact) — overlaps when indicating appropriateness of choices; benar (true, correct) — can indicate appropriateness of behavior, not just factual truth; tepat guna (appropriate for use) — bridges precision and functional suitability | |
| GROUP 8: Justice and Fairness | This group contains expressions used to evaluate whether treatment, judgments, or distributions are fair, equitable, or just. These terms appear primarily in moral, legal, and social contexts where fairness of outcomes or processes is at issue. They focus on equitable treatment rather than factual correctness. | adil (just, fair), keadilan (justice, fairness, equity), mengadili (to judge, to try in court), pengadilan (court, tribunal, trial), diadili (to be judged, to be tried), peradilan (judiciary, judicial system), tidak adil (unjust, unfair) | patut (proper, fitting) — can indicate what is deserved/fair but also general appropriateness; layak (worthy, deserving) — overlaps when indicating someone deserves certain treatment; pantas (fitting, deserved) — overlaps when indicating fitting consequences | |
| GROUP 9: Perceptual and Cognitive Errors | This group contains expressions used to indicate errors in perception, understanding, or interpretation rather than moral wrongdoing or factual incorrectness. These terms commonly appear when explaining misunderstandings, misperceptions, or unintentional mistakes. They emphasize the cognitive or perceptual source of error. | salah paham (to misunderstand, misunderstanding), salah sangka (to misjudge, to have wrong suspicion), salah tafsir (misinterpretation, to misinterpret), salah lihat (to see wrongly, to mistake what one sees), salah dengar (to mishear, to hear incorrectly), salah ucap (slip of the tongue, verbal mistake), salah tulis (typo, writing error), salah hitung (miscalculation, calculation error), kesalahpahaman (misunderstanding, miscommunication), keliru (mistaken, erroneous), kekeliruan (mistake, error, confusion), mengelirukan (to confuse, to mislead) | salah (wrong, mistaken) — general term that can indicate any type of error; kesalahan (mistake, error) — general term covering both cognitive and moral errors | The root "salah" shows exceptional productivity in forming compounds, many of which form distinct semantic subgroups |
