# CLCA Protocol v3.4 — F4 Construction Table
# Language: Indonesian (id)

| Construction Type | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|------------------|---------|-----------------|-------------|-------------|------------------|
| **1. ATTRIBUTION** | cerita itu benar | cerita itu benar | "that story is true" | Indonesian uses zero copula for present tense predication with adjectives. The truth-domain adjectives function as predicates without additional verbal material. Negation requires **tidak**: *cerita itu tidak benar* "that story is not true." | [CORE] |
| **1. ATTRIBUTION** | dokumen ini palsu | dokumen ini palsu | "this document is fake" | Indonesian uses zero copula for present tense predication with adjectives. The truth-domain adjectives function as predicates without additional verbal material. Negation requires **tidak**: *cerita itu tidak benar* "that story is not true." | [CORE] |
| **2. NEGATIVE ATTRIBUTION** | informasi itu tidak akurat | informasi itu tidak akurat | "that information is not accurate" | **Tidak** negates adjectival/stative predicates (truth-domain adjectives). **Bukan** negates nominal predicates (agentive nouns like *pembohong* "liar"). Hedged negation uses **kurang**: *kurang benar* "not quite correct." | [CORE] |
| **2. NEGATIVE ATTRIBUTION** | dia bukan pembohong | dia bukan pembohong | "he/she is not a liar" | **Tidak** negates adjectival/stative predicates (truth-domain adjectives). **Bukan** negates nominal predicates (agentive nouns like *pembohong* "liar"). Hedged negation uses **kurang**: *kurang benar* "not quite correct." | [CORE] |
| **3. ADNOMINAL MODIFICATION** | kebenaran hakiki | kebenaran hakiki | "essential truth, fundamental truth" | Adjectives precede nouns in Indonesian. Very productive pattern for truth-domain terms. Can be intensified with degree modifiers: *sangat* "very," *paling* "most," *lebih* "more." | [CORE] |
| **3. ADNOMINAL MODIFICATION** | bukti nyata | bukti nyata | "tangible evidence, concrete proof" | Adjectives precede nouns in Indonesian. Very productive pattern for truth-domain terms. Can be intensified with degree modifiers: *sangat* "very," *paling* "most," *lebih* "more." | [CORE] |
| **4. BECOME / INCHOATIVE** | menjadi nyata | menjadi nyata | "to become real, to be realized" | *Menjadi* is the standard inchoative/change-of-state verb. Can combine with both adjectival forms (*nyata* "real") and nominalizations (*kenyataan* "reality"). The pattern emphasizes transition into a truth-state. | [CORE] |
| **4. BECOME / INCHOATIVE** | menjadi kenyataan | menjadi kenyataan | "to become reality, to come true" | *Menjadi* is the standard inchoative/change-of-state verb. Can combine with both adjectival forms (*nyata* "real") and nominalizations (*kenyataan* "reality"). The pattern emphasizes transition into a truth-state. | [CORE] |
| **5. CAUSATIVE** | membenarkan | meN- + benar + -kan | "to confirm, to verify, to validate" | The *meN-...-kan* causative is extremely productive across truth-domain vocabulary. Means "to make X" or "to cause to be X." Passive formed with *di-...-kan*: *dibenarkan* "to be confirmed." Some roots also take applicative *-i*: *membohongi* "to lie to (someone)." | [CORE] |
| **5. CAUSATIVE** | menyalahkan | meN- + salah + -kan | "to blame, to fault, to accuse" | The *meN-...-kan* causative is extremely productive across truth-domain vocabulary. Means "to make X" or "to cause to be X." Passive formed with *di-...-kan*: *dibenarkan* "to be confirmed." Some roots also take applicative *-i*: *membohongi* "to lie to (someone)." | [CORE] |
| **6. ABSTRACT NOMINALIZATION** | kebenaran | ke- + benar + -an | "truth, correctness, veracity" | The *ke-...-an* pattern is highly productive for creating abstract nouns from truth-domain adjectives. Denotes the quality or state of being X. Can be possessed: *kebenarannya* "its truth, the truth of it." | [CORE] |
| **6. ABSTRACT NOMINALIZATION** | kejujuran | ke- + jujur + -an | "honesty, truthfulness, integrity" | The *ke-...-an* pattern is highly productive for creating abstract nouns from truth-domain adjectives. Denotes the quality or state of being X. Can be possessed: *kebenarannya* "its truth, the truth of it." | [CORE] |
| **7. AGENTIVE NOMINALIZATION** | pembohong | peN- + bohong | "liar, deceiver" | The *peN-* prefix (without *-an*) creates agentive nouns for persons who habitually perform the action or embody the quality. Carries negative moral judgment for deception-related terms. Compare with *peN-...-an* which creates process nominalizations: *pembohongan* "the act of deceiving." | [CORE] |
| **7. AGENTIVE NOMINALIZATION** | pendusta | peN- + dusta | "liar, one who tells falsehoods" (formal/literary) | The *peN-* prefix (without *-an*) creates agentive nouns for persons who habitually perform the action or embody the quality. Carries negative moral judgment for deception-related terms. Compare with *peN-...-an* which creates process nominalizations: *pembohongan* "the act of deceiving." | [CORE] |
| **8. PROCESS NOMINALIZATION** | pembenaran | peN- + benar + -an | "justification, validation, confirmation" | The *peN-...-an* pattern creates nouns referring to the process or act of doing X, typically derived from *meN-...-kan* causative verbs. Denotes the action rather than the agent or abstract quality. Very productive in formal and legal registers. | [CORE] |
| **8. PROCESS NOMINALIZATION** | pemalsuan | peN- + palsu + -an | "forgery, counterfeiting, falsification" | The *peN-...-an* pattern creates nouns referring to the process or act of doing X, typically derived from *meN-...-kan* causative verbs. Denotes the action rather than the agent or abstract quality. Very productive in formal and legal registers. | [CORE] |
| **9. ADVERBIAL MODIFICATION** | sebenarnya | se- + benar + -nya | "actually, in fact, in truth" | The *se-...-nya* pattern creates adverbials that function as discourse markers introducing corrections, clarifications, or revelations of actual facts. Extremely common in conversational and narrative contexts. Can also form superlatives with reduplicated bases: *sebenar-benarnya* "most truly." | [CORE] |
| **9. ADVERBIAL MODIFICATION** | sesungguhnya | se- + sungguh + -nya | "truly, verily, in truth" | The *se-...-nya* pattern creates adverbials that function as discourse markers introducing corrections, clarifications, or revelations of actual facts. Extremely common in conversational and narrative contexts. Can also form superlatives with reduplicated bases: *sebenar-benarnya* "most truly." | [CORE] |
| **10. INTENSIFICATION BY REDUPLICATION** | benar-benar | benar + benar | "really, truly, genuinely, completely" | Full reduplication is highly productive for intensifying truth-domain terms. Creates emphatic forms meaning "very X" or "truly X." Can combine with verbal prefixes: *bersungguh-sungguh* "to be earnest." Also used in warnings: *salah-salah* "if by any chance wrong, lest." | [CORE] |
| **10. INTENSIFICATION BY REDUPLICATION** | sungguh-sungguh | sungguh + sungguh | "seriously, earnestly, genuinely" | Full reduplication is highly productive for intensifying truth-domain terms. Creates emphatic forms meaning "very X" or "truly X." Can combine with verbal prefixes: *bersungguh-sungguh* "to be earnest." Also used in warnings: *salah-salah* "if by any chance wrong, lest." | [CORE] |
| **11. COMPARATIVE CONSTRUCTIONS** | lebih benar | lebih benar (daripada yang lain) | "more correct (than the other)" | Standard comparative construction with *lebih* preceding the adjective. The comparison standard introduced by *daripada* is often omitted when contextually clear. Productive across all truth-domain adjectives. | [CORE] |
| **11. COMPARATIVE CONSTRUCTIONS** | lebih jujur | lebih jujur | "more honest, more truthful" | Standard comparative construction with *lebih* preceding the adjective. The comparison standard introduced by *daripada* is often omitted when contextually clear. Productive across all truth-domain adjectives. | [CORE] |
| **12. SUPERLATIVE CONSTRUCTIONS** | paling benar | paling benar | "most correct, truest" | Standard superlative construction with *paling* preceding the adjective. Identifies the highest degree among alternatives. Productive across all truth-domain adjectives. Alternative emphatic superlative uses *se-...-nya* with reduplication: *sebenar-benarnya* "most truly." | [CORE] |
| **12. SUPERLATIVE CONSTRUCTIONS** | paling tepat | paling tepat | "most accurate, most appropriate" | Standard superlative construction with *paling* preceding the adjective. Identifies the highest degree among alternatives. Productive across all truth-domain adjectives. Alternative emphatic superlative uses *se-...-nya* with reduplication: *sebenar-benarnya* "most truly." | [CORE] |
| **13. INTERROGATIVE VERIFICATION** | apa benar | apa benar | "is it true, is it correct" | *Apa* functions as yes/no question marker before predicates. Very common formula for verifying truth claims in conversational Indonesian. Can be intensified with particles: *apa benar ya* "is it really true?" Alternative uses *apakah* in more formal registers. | [CORE] |
| **13. INTERROGATIVE VERIFICATION** | apa sungguh | apa sungguh | "is it really, is it true, are you serious" | *Apa* functions as yes/no question marker before predicates. Very common formula for verifying truth claims in conversational Indonesian. Can be intensified with particles: *apa benar ya* "is it really true?" Alternative uses *apakah* in more formal registers. | [CORE] |
| **14. CONDITIONAL TRUTH CONSTRUCTIONS** | kalau benar | kalau benar | "if it's true, if correct" | Standard conditional construction introducing hypothetical truth states. *Kalau* is more colloquial, *jika* more formal. Common in reasoning and argumentation. The pattern *kalau tidak salah* functions as epistemic hedge meaning "if I'm not mistaken." | [CORE] |
| **14. CONDITIONAL TRUTH CONSTRUCTIONS** | kalau tidak salah | kalau tidak salah | "if not mistaken, if I'm not wrong" | Standard conditional construction introducing hypothetical truth states. *Kalau* is more colloquial, *jika* more formal. Common in reasoning and argumentation. The pattern *kalau tidak salah* functions as epistemic hedge meaning "if I'm not mistaken." | [CORE] |
| **15. BINARY OPPOSITION CONSTRUCTIONS** | benar atau salah | benar atau salah | "true or false, right or wrong" | Fixed phrases coordinating antonymous pairs with *atau* "or." Very common in tests, logical reasoning, and authentication contexts. The pattern emphasizes binary choice between truth-values or authenticity states. | [CORE] |
| **15. BINARY OPPOSITION CONSTRUCTIONS** | asli atau palsu | asli atau palsu | "genuine or fake, authentic or counterfeit" | Fixed phrases coordinating antonymous pairs with *atau* "or." Very common in tests, logical reasoning, and authentication contexts. The pattern emphasizes binary choice between truth-values or authenticity states. | [CORE] |
| **16. PREPOSITIONAL MANNER CONSTRUCTIONS** | dengan jujur | dengan jujur | "honestly, with honesty, truthfully" | *Dengan* is more colloquial, *secara* more formal. Both create adverbial expressions of manner. *Secara* is particularly common with borrowed/technical terms (*faktual*, *objektif*). Very productive pattern across truth-domain vocabulary. | [CORE] |
| **16. PREPOSITIONAL MANNER CONSTRUCTIONS** | secara faktual | secara faktual | "factually, in a factual manner" | *Dengan* is more colloquial, *secara* more formal. Both create adverbial expressions of manner. *Secara* is particularly common with borrowed/technical terms (*faktual*, *objektif*). Very productive pattern across truth-domain vocabulary. | [CORE] |
| **17. EVIDENTIAL RESULT CONSTRUCTIONS** | ternyata | ter- + nyata | "it turns out, apparently, evidently" | *Ter-* has multiple functions; with truth-domain terms it often marks evidential discovery or resultative state. *Ternyata* is extremely common as discourse marker introducing new information that contradicts prior belief. *Terbukti* "proven" combines with truth-predicates to mark demonstrated truth-value. | [CORE] |
| **17. EVIDENTIAL RESULT CONSTRUCTIONS** | terbukti bohong | ter- + bukti + bohong | "proven false, proven to be a lie" | *Ter-* has multiple functions; with truth-domain terms it often marks evidential discovery or resultative state. *Ternyata* is extremely common as discourse marker introducing new information that contradicts prior belief. *Terbukti* "proven" combines with truth-predicates to mark demonstrated truth-value. | [CORE] |
