# CLCA Protocol v3.2 — F1 Vocabulary Table
# Language: Indonesian (id)

| Form | Transliteration | Literal Meaning | Common Translations | Usage Description | Epistemic Status |
|------|----------------|-----------------|---------------------|-------------------|------------------|
| benar | benar | true, correct | true, correct, right, accurate | Used to affirm the accuracy or correctness of statements, facts, or actions. Commonly appears in everyday speech to validate information or confirm proper conduct. Can function as adjective, adverb, or interjection. | [CORE] |
| salah | salah | wrong, mistaken | wrong, incorrect, mistaken, false | Indicates error, incorrectness, or moral wrongdoing. Used both for factual errors and ethical transgressions. Functions as the primary antonym of "benar" in most contexts. | [CORE] |
| betul | betul | correct, true | correct, right, true, accurate | Synonymous with "benar" but often perceived as slightly more colloquial. Frequently used in confirmation responses and to verify accuracy of statements or information. | [CORE] |
| bohong | bohong | lie, false | lie, false, untrue, deceptive | Refers to deliberate falsehood or deception. Can function as noun (a lie) or adjective (false, lying). Carries moral judgment about intentional misrepresentation. | [CORE] |
| jujur | jujur | honest, truthful | honest, truthful, sincere, frank | Describes character trait or behavior characterized by truthfulness and integrity. Used to evaluate both persons and their statements or actions as conforming to truth. | [CORE] |
| palsu | palsu | fake, counterfeit | fake, false, counterfeit, forged | Indicates inauthenticity or fraudulent imitation, particularly of objects or documents. Also used for insincere emotions or pretended qualities in persons. | [CORE] |
| asli | asli | original, genuine | genuine, authentic, original, real | Affirms genuineness or authenticity of objects, documents, or qualities. Contrasts with "palsu" to indicate something is not counterfeit or imitated. | [CORE] |
| tepat | tepat | precise, exact | precise, exact, accurate, appropriate | Indicates precision, exactness, or appropriateness. Used for measurements, timing, word choice, or suitability of actions to circumstances. | [CORE] |
| akurat | akurat | accurate (from Dutch "accuraat") | accurate, precise, exact | Borrowed term emphasizing precision and correctness, especially in technical, scientific, or formal contexts. Often used for data, measurements, or detailed descriptions. | [CORE] |
| nyata | nyata | real, actual | real, actual, tangible, evident | Indicates reality or actuality as opposed to imagination or appearance. Used to affirm concrete existence or observable truth of situations or objects. | [CORE] |
| keliru | keliru | mistaken, erroneous | mistaken, erroneous, wrong, confused | Indicates error or mistake, often unintentional. Suggests confusion or misunderstanding rather than deliberate wrongdoing. More formal than "salah" in some contexts. | [CORE] |
| valid | valid | valid (from English/Latin) | valid, legitimate, sound | Borrowed term used primarily in formal, legal, or academic contexts to indicate legitimacy or logical soundness. Common in discussions of documents, arguments, or credentials. | [CORE] |
| sah | sah | valid, legitimate, legal | valid, legitimate, legal, lawful | Indicates legal validity or legitimacy, particularly of documents, marriages, or official acts. Carries connotation of formal recognition or authorization. | [CORE] |
| sejati | sejati | true, genuine, real | true, genuine, real, authentic | Emphasizes essential or fundamental genuineness, often with philosophical or emotional depth. Used for true nature, genuine feelings, or authentic identity. | [CORE] |
| sungguh | sungguh | truly, really, earnest | truly, really, earnest, sincere | Functions as adverb emphasizing truth or sincerity, or as adjective describing earnest character. Often used to intensify assertions or express genuine commitment. | [CORE] |
| dusta | dusta | lie, falsehood (literary/formal) | lie, falsehood, untruth | More formal or literary term for falsehood or lie. Carries stronger moral condemnation than "bohong" and appears frequently in religious or literary texts. | [CORE] |
| menyimpang | menyimpang | to deviate, to diverge (from "simpang" = diverge) | deviate, diverge, stray, aberrant | Indicates deviation from correct path, standard, or norm. Used for moral transgressions, statistical outliers, or departures from expected behavior or truth. | [CORE] |
| sesuai | sesuai | in accordance with, appropriate | appropriate, suitable, in accordance with, matching | Indicates conformity, appropriateness, or correspondence between things. Used to evaluate whether something matches standards, expectations, or other referents. | [CORE] |
| cocok | cocok | suitable, matching, fitting | suitable, matching, fitting, appropriate | Indicates suitability, compatibility, or good fit between elements. Used for physical fit, personal compatibility, or appropriateness of choices to situations. | [CORE] |
| wajar | wajar | reasonable, natural, proper | reasonable, natural, proper, fair | Indicates what is reasonable, natural, or to be expected. Used to evaluate whether situations, reactions, or claims conform to normal expectations or propriety. | [CORE] |
| adil | adil | just, fair | just, fair, equitable | Indicates justice or fairness in treatment, judgment, or distribution. Central term in moral and legal discourse for evaluating rightness of actions or decisions. | [CORE] |
| patut | patut | proper, fitting, ought | proper, fitting, appropriate, should | Indicates what is proper, fitting, or morally appropriate. Often carries prescriptive force suggesting what ought to be done or what is deserved. | [CORE] |
| layak | layak | worthy, deserving, proper | worthy, deserving, proper, suitable | Indicates worthiness, deservingness, or suitability. Used to evaluate whether persons merit certain treatment or whether things meet required standards. | [CORE] |
