| Construction Type | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|---|---|---|---|---|---|
| **1. ATTRIBUTION (predicative, enclitic copula)** | მართალია | martalia | "it is true / that is right" | Used in everyday conversation as both a full predicate and a discourse-level response particle; extremely frequent in spoken Georgian as a confirmation or agreement marker. No observable register restriction. | [CORE] |
| **1. ATTRIBUTION (predicative, enclitic copula)** | სიცრუეა | sicruea | "it is a lie / that is false" | Functions as a predicate nominal with cliticized copula; used in both spoken and written registers to assign falsity to a prior claim or referent. | [CORE] |
| **1. ATTRIBUTION (predicative, enclitic copula)** | სიმართლე მწარეა | simartle mwarea | "The truth is bitter" | Standard predicative pattern in everyday speech and writing; the enclitic -a form is the default in affirmative declarative sentences. No restriction on register for this form. | [CORE] |
| **1. ATTRIBUTION (predicative, enclitic copula)** | ეს დოკუმენტი ნამდვილია | es dokumenti namdvilia | "This document is genuine" | Fully productive across truth-domain adjectives; aris may substitute in formal or emphatic contexts but -a is the unmarked choice. | [CORE] |
| **1. ATTRIBUTION (prenominal adjective)** | ჭეშმარიტი ამბავი | č̣ešmariti ambavi | "a true account; a factual story" | Unmarked attributive pattern across all registers; no observable restriction on noun type or discourse context. Prenominal position and case agreement are obligatory. | [CORE] |
| **1. ATTRIBUTION (prenominal adjective)** | ყალბი დოკუმენტი | q̇albi dokumenti | "a forged document" | Equally unmarked; q̇albi is particularly frequent in legal and administrative contexts but is not restricted to them. Adjective precedes head noun and takes the same case suffix as the head noun when inflected. No agreement morphology for gender or number required. | [CORE] |
| **1. ATTRIBUTION (prenominal adjective)** | ჭეშმარიტი სიყვარული | č̣ešmariti siq̇varuli | "true love" | No restriction on noun type or semantic class. The genitive example q̇albi dokumentis confirms the pattern extends across the case paradigm. | [CORE] |
| **1. ATTRIBUTION (prenominal adjective)** | სარწმუნო მოწმე | sarcmuno mc̣me | "credible witness" | Used in legal and everyday contexts to characterize persons as credible or trustworthy; adjective is invariant in form regardless of number, case, or definiteness of head noun. | [CORE] |
| **2. NEGATIVE ATTRIBUTION (ara- prefix)** | არასწორი პასუხი | arasc̣ori pasuxi | "an incorrect answer" | The ara- prefix strategy is the productive and default negation pattern for this adjective class; attested across registers. Yields compositional negations, distinct from the lexicalized u- forms. | [CORE] |
| **2. NEGATIVE ATTRIBUTION (ara- prefix)** | არაგულწრფელი ბოდიში | aragulc̣rpeli bodišiˈ | "an insincere apology" | Less frequent than arasc̣ori; the base adjective gulc̣rpeli is itself somewhat formal, and the negated form is correspondingly restricted to more careful or formal usage. | [MARGINAL] |
| **2. NEGATIVE ATTRIBUTION (u-...-o privative)** | უზუსტო | uzusto | "inaccurate, imprecise" | The u-...-o privative pattern is morphologically productive and yields adjectives used in both attributive and predicative positions; attested across formal and informal registers. Tends to produce lexicalized adjectives with specific meanings rather than fully compositional negations. | [CORE] |
| **2. NEGATIVE ATTRIBUTION (u- prefix)** | უტყუარი | uẗq̇uari | "infallible, beyond doubt" (lit. "without lie") | Productive across the truth domain; tends to produce lexicalized adjectives with specific meanings rather than compositional negations. | [CORE] |
| **2. NEGATIVE ATTRIBUTION (u- prefix)** | უსამართლო | usamart̕lo | "unjust, unfair" (lit. "without justice") | Same morphological pattern as uẗq̇uari; the resulting meaning is lexicalized and not fully predictable from the components. The u- and ara- prefixes are not freely interchangeable: u- yields lexicalized forms, ara- yields compositional negations. | [CORE] |
| **2. NEGATIVE ATTRIBUTION (analytic: ar aris)** | დამაჯერებელი არ არის | damajerebeliˈ ar aris | "It is not convincing" | The full copula aris is obligatory under negation; the enclitic -a is unavailable in this context. This is a categorical morphosyntactic restriction, not a stylistic choice. | [CORE] |
| **2. NEGATIVE ATTRIBUTION (analytic: ar aris)** | ეს ინფორმაცია სარწმუნო არ არის | es inp̕ormacia sarwmuno ar aris | "This information is not reliable" | Word order is flexible, but adjective-before-copula is the neutral order. No variation in the negation particle ar is attested in this domain. Analytic negation with ar aris is available for all nominal predicates and is not domain-restricted. | [CORE] |
