| Base Form | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|---|---|---|---|---|---|
| ჭეშმარიტი / č̣ešmariti | ეს ჭეშმარიტი ფაქტია | es č̣ešmariti paqtia | This is a true fact; this is a genuine fact | Predicative construction using the copula -a, asserting that a given fact or state of affairs is genuinely true. Used in formal and journalistic discourse to emphasize the factual status of a claim. | [CORE] |
| ჭეშმარიტი / č̣ešmariti | ჭეშმარიტი მნიშვნელობით | č̣ešmariti mnišvnelobit | in the true sense; in the genuine meaning of the word | Postpositional phrase using the instrumental -it, used in philosophical and analytical discourse to assert that a term or concept is being used in its proper or genuine sense rather than loosely or metaphorically. | [CORE] |
| ჭეშმარიტი / č̣ešmariti | ჭეშმარიტი სიტყვით რომ ვთქვათ | č̣ešmariti sitq̇vit rom vtqvat | to tell the truth; to speak truly; if we are to speak truthfully | A periphrastic construction used in formal and literary discourse to introduce a candid or frank statement. Functions as a framing device signaling that what follows is an honest assessment. | [UNCERTAIN] |
| ჭეშმარიტი / č̣ešmariti | ჭეშმარიტი ღმერთი | č̣ešmariti ɣmerti | the true God | A fixed theological phrase used in Christian liturgical and doctrinal texts, including the Nicene Creed in Georgian. Distinguishes the God of Christian faith from false gods. | [CORE] |
| ჭეშმარიტი / č̣ešmariti | ჭეშმარიტი სიყვარული | č̣ešmariti siq̇varuli | true love, genuine love | Used in literary, religious, and everyday contexts to distinguish authentic love from superficial or counterfeit forms. A common collocation in Georgian poetry and prose. | [CORE] |
| ჭეშმარიტი / č̣ešmariti | ჭეშმარიტი მეგობარი | č̣ešmariti megobari | a true friend, a genuine friend | Used in moral and everyday discourse to distinguish a genuinely loyal friend from a superficial or false one. Frequent in proverbs and moral literature. | [CORE] |
| ჭეშმარიტი / č̣ešmariti | ჭეშმარიტი ცოდნა | č̣ešmariti codna | true knowledge, genuine knowledge | Used in philosophical and theological contexts to distinguish genuine knowledge from mere opinion or false belief. Appears in epistemological discourse. | [CORE] |
| ჭეშმარიტი / č̣ešmariti | ჭეშმარიტი ბუნება | č̣ešmariti buneba | true nature, genuine nature, real nature | Used in philosophical and theological contexts to refer to the essential or authentic nature of a thing or person, as opposed to its appearance or accidental properties. | [CORE] |
| ჭეშმარიტი / č̣ešmariti | ჭეშმარიტი მოწმე | č̣ešmariti mowme | a truthful witness, a true witness | Used in legal and religious contexts; in theological usage also connects to the concept of martyrdom (Greek martys, "witness"). Contrasts with q̇albi mc̣me in legal contexts. | [CORE] |
| ჭეშმარიტი / č̣ešmariti | ჭეშმარიტი ხელოვნება | č̣ešmariti xelovneba | true art, genuine art | Used in aesthetic and critical discourse to distinguish authentic artistic expression from imitation or commercial production. | [MARGINAL] |
| ჭეშმარიტი / č̣ešmariti | ჭეშმარიტი გზა | č̣ešmariti gza | the true path, the right way | Used in theological and moral contexts to refer to the correct spiritual or ethical course of action. Appears in religious texts and moral instruction; overlaps with martali gza but carries stronger theological weight. | [CORE] |
| ჭეშმარიტი / č̣ešmariti | ჭეშმარიტი მნიშვნელობა | č̣ešmariti mnišvneloba | the true meaning, the genuine significance | Used in hermeneutic, literary, and philosophical contexts to refer to the actual or intended meaning of a text or statement as opposed to a surface or distorted reading. | [CORE] |
