| Prompt # | Expression (Native Script) | Transliteration | Naturalness Rating | Notes |
|---|---|---|---|---|
| 1.1.1 | მართალი გამოდგა | martali gamodga | [CORE] | Used in everyday, journalistic, and academic discourse when a claim or judgment is retrospectively confirmed as correct. |
| 1.1.2 | მცდარი გამოდგა | mcdari gamodga | [CORE] | Direct inchoative counterpart to martali gamodga; used when a belief, claim, or judgment is subsequently shown to be incorrect. |
| 1.1.3 | ყალბი აღმოჩნდა | q̇albi aġmočnda | [CORE] | Used in legal, forensic, and everyday contexts when examination reveals that an item is counterfeit or forged. |
| 1.1.4 | ნამდვილი აღმოჩნდა | namdvili aġmočnda | [CORE] | Used when examination confirms the genuine nature of an item. |
| 1.1.5 | მტყუარი აღმოჩნდა | mt'q̇uari aɣmočnda | [CORE] | Used in narrative and evaluative contexts to describe the retrospective discovery that a person was lying. |
| 1.1.6 | ყალბი გამოდგა | q̇albi gamodga | [CORE] | Parallel to martali gamodga and mcdari gamodga; equally natural. |
| 1.2.1 | სიმართლე გამოვიდა | simarṭle gamovida | [CORE] | Used in narrative and conversational registers when previously concealed truth becomes known. Extremely common in narrative and journalistic contexts. |
| 1.2.2 | ჭეშმარიტება გამოვიდა სინათლეზე | č̣ešmariteba gamovida sinat̕leze | [CORE] | More formal/literary variant using č̣ešmariteba rather than simartle. |
| 1.3.1 | სიმართლე გამოვლინდა | simartle gamovlinda | [CORE] | Used in journalistic, literary, and theological contexts to assert that what was hidden has been disclosed. |
| 1.3.2 | ჭეშმარიტება გამოვლინდა | č̣ešmariteba gamovlinda | [CORE] | Appears in the elevated philosophical/theological register associated with č̣ešmariteba. |
| 1.3.3 | სიყალბე გამოვლინდა | siq̇albe gamovlinda | [CORE] | Supported by the documented verbal noun gamovlena for siq̇albe. |
| 1.4.1 | სიმართლე დადგინდა | simartle dadginda | [CORE] | Specifically attested in legal and investigative contexts. |
| 1.5.1 | სიყალბე გამოაშკარავდა | siq̇albe gamoašk'aravda | [CORE] | Standard construction for the exposure of something falsely presented; attested in journalistic, legal, and narrative registers. |
| 1.6.1 | დადასტურება მოხდა | dadastureba moxda | [CORE] | Used in administrative and journalistic discourse to assert that a verification process was completed. |
| 1.6.2 | გამართლება მოხდა | gamarṭleba moxda | [CORE] | Used in legal discourse to assert that an acquittal or vindication was granted. |
| 1.7 (ongoing) | ის მართლდება | is martldeba | [CORE] | Ongoing inchoative; marks a process of transitioning into a state of being justified or vindicated. Restricted to the mart- root. |
| 1.7 (completive) | ის გამართლდება | is gamartldeba | [CORE] | Completive inchoative with preverb გა-; marks a bounded transition to a resultant state. |
| 1.7 (aorist) | ის გამართლდა | is gamartlda | [CORE] | Aorist of the completive inchoative; marks the completed transition. Standard past-tense form for "was acquitted / was vindicated." |
| 1.8.1 | დოკუმენტი გაყალბდა | dokumenti gaq̇albda | [CORE] | Encodes the completed transition of an object into a falsified state. |
| 1.9.1 | ინფორმაცია დადასტურდა | in'p'ormacia dadasturda | [CORE] | Encodes the completed transition of information from unconfirmed to confirmed status. |
| 1.10.1 | სიმართლე გამარჯვებს | simartle gamarjvebs | [CORE] | Documented as a proverbial/rhetorical expression. |
| 1.10.2 | ჭეშმარიტება გამარჯვებს | č̣ešmariteba gamarjvebs | [CORE] | Documented as a proverbial and rhetorical expression asserting the ultimate triumph of truth. |
| 2.1 | სიცრუეში გაიჭირა | sicrueši gaič̣ira | [CORE] | Expresses the transition from concealed lying to exposed lying. |
| 2.2 | სიცრუეზე დაიჭირეს | sicruezeˈ daič̣ires | [CORE] | Slightly more formal than sicrueši gaič̣ira; used in legal and journalistic contexts. |
| 3.1.1 | ექსპერტმა ნამდვილობა დაადასტურა | eqspertma namdviloba daadasturaˈ | [CORE] | Standard transitive causative frame in Georgian for this verb. |
| 3.1.2 | მტკიცებულებამ სიყალბე დაადასტურა | mtkicebulebam siq̇albe daadasturaˈ | [CORE] | Dynamic realization of the nominal phrase siq̇albis dadastureba. |
| 3.1.3 | ინფორმაცია დაადასტურა | in'p'ormacia daadastура | [CORE] | Consistent with the journalistic and legal contexts documented for dadastureba. |
| 3.2.1 | რედაქტორმა შეცდომა გაასწორა | redaqtorma šecdoma gaasṭoraˈ | [CORE] | Agent causes the object to transition from an incorrect to a correct state. |
