# CLCA Protocol v3.4 — F2b Constructions Table
# Language: Yoruba (yo)

| Base Form | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|-----------|---------|-----------------|-------------|-------------|------------------|
| òtítọ́ (truth) + sọ (to speak) | Mo sọ òtítọ́ fún ọ | mo sọ òtítọ́ fún ọ | I told you the truth / I spoke truthfully to you | Standard construction for asserting that one has told the truth. The verb sọ (speak) combines with òtítọ́ as direct object. Extremely common in everyday discourse. | [CORE] |
| òtítọ́ (truth) + sọ (to speak) | Òtítọ́ ni mo sọ | òtítọ́ ni mo sọ | It is the truth that I spoke / I spoke the truth (emphatic) | Focus construction emphasizing òtítọ́. The particle ni marks focus. Used when emphatically asserting truthfulness, often in response to doubt. | [CORE] |
| òtítọ́ (truth) + búra (to swear) | Mo búra lórí òtítọ́ | mo búra lórí òtítọ́ | I swear on the truth / I swear truthfully | Construction used when making solemn oaths or assertions. The preposition lórí (on/upon) connects búra and òtítọ́. Common in legal and serious interpersonal contexts. | [CORE] |
| òtítọ́ (truth) + sọ (to speak) | Ní òtítọ́ ni mo sọ ọ́ | ní òtítọ́ ni mo sọ ọ́ | In truth I spoke it / I spoke it truthfully | Construction emphasizing the manner of speaking. The preposition ní (in/with) marks òtítọ́ as manner adverbial. Used for emphatic truth claims. | [CORE] |
| òtítọ́ (truth) + jẹ́rìí (witness/testimony) | Ó jẹ́rìí òtítọ́ | ó jẹ́rìí òtítọ́ | He/she bore truthful witness / gave true testimony | Legal and religious construction for giving truthful testimony. òtítọ́ modifies jẹ́rìí as attributive. Common in court and religious contexts. | [CORE] |
| nitootọ́ (truly) | Nitootọ́, mo rí i | nitootọ́, mo rí i | Truly, I saw it / I really saw it | Sentence-initial adverbial construction emphasizing truthfulness of entire statement. Very common in conversational assertion and emphasis. | [CORE] |
| òtítọ́ (truth) + ni (copula/focus marker) | Òtítọ́ ni | òtítọ́ ni | It is true / That's the truth | Minimal construction confirming truth of previous statement. Extremely common as conversational response or agreement marker. | [CORE] |
| irọ́ (lie) + pa (to tell/kill) | Ó pa irọ́ | ó pa irọ́ | He/she told a lie / lied | Standard construction for lie-telling. The verb pa (literally "to kill/strike") is conventionally used with irọ́. Very common in everyday speech. | [CORE] |
| irọ́ (lie) + sọ (to speak) | Ó sọ irọ́ | ó sọ irọ́ | He/she spoke a lie / told a lie | Alternative construction using sọ (speak) instead of pa. Less common than "pa irọ́" but fully acceptable. Used across registers. | [CORE] |
