# CLCA Protocol v3.4 — F4 Construction Table
# Language: Yoruba (yo)

| Construction Type | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|------------------|---------|-----------------|-------------|-------------|------------------|
| Subject + tọ́ | Ọ̀rọ̀ náà tọ́ | ọ̀rọ̀ náà tọ́ | That statement is true/correct | Most natural and frequent pattern for asserting correctness/truth. Used in everyday speech for statements, claims, and factual assertions. No register restrictions. | [CORE] |
| Subject + jẹ́ + òtítọ́ | (implied in notes) | — | — | Standard nominal predicate construction. Used when emphasizing truth as a quality or essence rather than simple correctness. Common in formal and informal contexts. | [CORE] |
| Subject + jẹ́ + irọ́ | Ìròyìn yìí jẹ́ irọ́ | ìròyìn yìí jẹ́ irọ́ | This news is a lie | Primary pattern for identifying something as false/a lie. The nominal irọ́ requires copula jẹ́. Very common in everyday discourse. | [CORE] |
| Subject + purọ́ | (implied in notes) | — | — | Intransitive verb for "to lie/be false." Used for active lying or falsehood. Common in both formal and informal speech. | [CORE] |
| Subject + ṣe òtítọ́ | (alternate construction) | — | — | Light verb construction, less common than jẹ́ òtítọ́ | [CORE] |
| Subject + jẹ́ + òdodo | (alternate construction) | — | — | Alternative lexical item for truthfulness | [CORE] |
| Subject + kò + tọ́ | Ọ̀rọ̀ náà kò tọ́ | ọ̀rọ̀ náà kò tọ́ | That statement is not true/correct | Standard negation pattern. Most natural way to deny correctness or truth. Used across all registers without restriction. | [CORE] |
| Subject + kò + jẹ́ + òtítọ́ | Èyí kò jẹ́ òtítọ́ | èyí kò jẹ́ òtítọ́ | This is not the truth | Standard negation of nominal predicate. Emphasizes that something fails to be truth itself. Common in formal and informal contexts. | [CORE] |
| kò + tọ́ + rárá | (implied in notes) | — | — | Emphatic negation adding "at all." Very common in spoken Yoruba for strong denial. The particle rárá intensifies the negation. | [CORE] |
| Subject + kò + purọ́ | (alternate construction) | — | — | Less common as double negative implication | [CORE] |
| Subject + kì í ṣe + òtítọ́ | (alternate construction) | — | — | Emphatic negative copula construction | [CORE] |
| Noun + tọ́ | ọ̀rọ̀ tọ́ | ọ̀rọ̀ tọ́ | true word, correct statement | Most productive pattern for modifying nouns with truth/correctness. Functions as headless relative clause. Used across all registers. | [CORE] |
| Noun + òtítọ́ | ẹ̀rí òtítọ́ | ẹ̀rí òtítọ́ | truthful evidence, true testimony | Noun-noun compound/juxtaposition. Common with abstract nouns like ẹ̀rí (evidence/testimony). The modifier òtítọ́ follows the head noun. | [CORE] |
| Noun + gidi | (implied in notes) | — | — | Adjective gidi (genuine, real) can modify truth-related nouns but is less specific to truth domain. More general authenticity marker. | [MARGINAL] |
| Noun + òdodo | (alternate construction) | — | — | Alternative modifier emphasizing honesty | [CORE] |
| Noun + tí ó tọ́ | (alternate construction) | — | — | Full relative clause, more explicit but less common | [CORE] |
| Subject + di + òtítọ́ | Ọ̀rọ̀ náà di òtítọ́ | ọ̀rọ̀ náà di òtítọ́ | That matter became the truth / turned out to be true | Used for discovery or revelation rather than change in truth-value. Not common for statements "becoming true" as truth is treated as static property. Context-dependent usage. Yoruba conceptualizes truth as inherent rather than emergent. The di construction is pragmatically marked and typically implies that something was revealed to be true rather than changed from false to true. More common in narrative contexts describing discovery. | [MARGINAL] |
| Subject + hàn + bí òtítọ́ | (alternate construction) | — | — | Revelation/appearance construction | [CORE] |
| A rí i pé ó tọ́ | (alternate construction) | — | — | Evidential construction, more common than inchoative | [CORE] |
| Subject + mú + kí + Clause | Ó mú kí ọ̀rọ̀ náà tọ́ | ó mú kí ọ̀rọ̀ náà tọ́ | He/she made that statement true / verified it | Periphrastic causative. Pragmatically marked; implies verification or making something correspond to truth rather than creating truth. Uncommon in everyday speech. Yoruba lacks morphological causative for truth predicates. The mú kí pattern is conceptually odd for truth (one cannot "make" truth), so it's reinterpreted as verification. | [MARGINAL] |
| Subject + jẹ́ + kí + Clause | Ó jẹ́ kí n sọ òtítọ́ | ó jẹ́ kí n sọ òtítọ́ | He/she allowed me to tell the truth | Permissive causative. Common construction for allowing/enabling truth-telling. Used across registers. More natural than mú kí for truth domain. The jẹ́ kí pattern is more natural as it expresses permission/enablement. | [CORE] |
| Subject + ṣe + kí + Clause | (alternate construction) | — | — | Alternative causative verb, similar restrictions | [MARGINAL] |
| Subject + fún + Object + láyè + láti + Verb | (alternate construction) | — | — | More explicit permissive | [CORE] |
| ò- + tí + Verb | òtítọ́ | òtítọ́ | truth, truthfulness | Lexicalized nominalization from tọ́. This specific form is the standard word for "truth." Not productive as a pattern—òtítọ́ is a fixed lexical item. | [CORE] |
| ì- + Verb | ìgbàgbọ́ | ìgbàgbọ́ | belief, faith | Highly productive prefix for creating abstract nouns from verbs. Used extensively in truth domain: ìmọ̀ (knowledge), ìdájú (certainty), ìbámu (correspondence). | [CORE] |
| àì- + Verb | àìtọ́, àìmọ̀ | — | incorrectness, ignorance | Productive negative nominalization prefix. Creates abstract nouns denoting absence or negation of the verbal property. Common in formal and philosophical discourse. | [CORE] |
| ìṣe + Noun | (alternate construction) | — | — | Periphrastic nominalization, less common | [CORE] |
| ọ̀nà + Verb | (alternate construction) | — | — | Manner nominalization, different semantic profile | [CORE] |
| a- + Verb | apurọ́ | apurọ́ | liar | Lexicalized agent noun from purọ́ (to lie). The a- prefix is not productive with tọ́ (*atọ́ is not attested). Used commonly for "liar." | [CORE] |
| ọmọ + Noun | ọmọ òtítọ́ | ọmọ òtítọ́ | truthful person, child of truth | Productive pattern using ọmọ (child/person of). Common way to express "truthful person" since *atọ́ doesn't exist. Used in both literal and metaphorical senses. | [CORE] |
| ẹni + Noun | (implied in notes) | — | — | More formal pattern using ẹni (person). Less common than ọmọ construction but used in formal or written contexts. | [MARGINAL] |
| ẹni tí ó + Verb | (alternate construction) | — | — | Relative clause construction, more explicit | [CORE] |
| oníṣe + Noun | (alternate construction) | — | — | Agentive with oní- prefix, less common for truth domain | [MARGINAL] |
| Verb + pé + Clause | Mo gbàgbọ́ pé ó tọ́ | mo gbàgbọ́ pé ó tọ́ | I believe that it is true | Standard declarative complementation. Used with verbs of saying, thinking, believing. The complementizer pé is obligatory. Very common across all registers. | [CORE] |
| Verb + bí + Clause | Mo mọ̀ bí ó ṣe tọ́ | mo mọ̀ bí ó ṣe tọ́ | I know how it is true / whether it is true | Interrogative/manner complementation. Used for embedded questions or manner descriptions. Common with epistemic verbs like mọ̀ (know). | [CORE] |
| Verb + wí + pé + Clause | (alternate construction) | — | — | Quotative construction with wí (say) | [CORE] |
| Verb + Clause | (alternate construction) | — | — | Zero complementizer, possible with some verbs but less common than pé | [CORE] |
| Noun/Predicate + ni + (Subject) + Verb | Òtítọ́ ni mo sọ | òtítọ́ ni mo sọ | It is the truth that I spoke | Standard focus construction with ni particle. Fronts focused constituent. Very common for contrastive or emphatic assertion. Used across all registers. | [CORE] |
