# CLCA Protocol v3.4 — F2a Derivational Table
# Language: Yoruba (yo)

| Base Form | Derived Form | Transliteration | Literal Breakdown | Translation | Usage Description | Epistemic Status |
|-----------|--------------|-----------------|-------------------|-------------|-------------------|------------------|
| tọ́ | òtítọ́ | òtítọ́ | ò- (nominalizer) + tí (relativizer) + tọ́ (be straight/correct) | truth, truthfulness, honesty | Primary abstract noun for truth. Used across all registers from everyday speech to formal/religious discourse. | [CORE] |
| tọ́ | títọ́ | títọ́ | tí- (gerund prefix) + tọ́ (be straight) | being straight/correct, the state of being true | Gerundive form used in philosophical and analytical discourse to refer to the process or state of being correct. | [MARGINAL] |
| tọ́ | atọ́ | atọ́ | a- (nominalizer) + tọ́ (be straight) | straightness, correctness | Less common abstract noun than òtítọ́. Appears in formal discourse but rarely in everyday speech. | [MARGINAL] |
| tọ́ | tòótọ́ | tòótọ́ | tọ́ (reduplicated with tone change) | truly, truthfully | Adverbial form typically appearing in the construction "ní tòótọ́" (in truth, truly). Common in emphatic assertions. | [CORE] |
| tọ́ | àìtọ́ | àìtọ́ | àì- (negative nominalizer) + tọ́ (be straight) | incorrectness, untruth, wrongness | Nominal form for the state of being incorrect or untrue. Used in evaluative and analytical contexts. | [CORE] |
| irọ́ | purọ́ | purọ́ | pu (verb root) + rọ́ (extension) | to lie, to tell falsehood | The verbal form from which the noun irọ́ derives. Note: This represents the reverse derivational direction—irọ́ is derived from purọ́, not vice versa. | [CORE] |
| purọ́ | irọ́ | irọ́ | i- (nominalizer) + (pu)rọ́ (lie) | lie, falsehood, untruth | Standard noun for lie or falsehood. Primary term used across all contexts. | [CORE] |
| purọ́ | apurọ́ | apurọ́ | a- (agentive prefix) + purọ́ (to lie) | liar, one who lies | Nominal form designating a person who habitually lies. Used in character evaluation and moral discourse. | [CORE] |
| purọ́ | pípurọ́ | pípurọ́ | pí- (gerund prefix) + purọ́ (to lie) | lying, the act of lying | Gerundive form referring to the act or process of lying. Used in analytical and descriptive contexts. | [CORE] |
| jọ | ìjọ | ìjọ | ì- (nominalizer) + jọ (to resemble) | resemblance, similarity | Nominal form for the state or quality of resemblance. Used in comparative and evaluative contexts. | [CORE] |
