# F1 — VOCABULARY TABLE
# Language: Yoruba (yo)

| Form | Transliteration | Literal Meaning | Common Translations | Usage Description | Epistemic Status |
|------|----------------|-----------------|---------------------|-------------------|------------------|
| òtítọ́ | òtítọ́ | Noun derived from "tọ́" (to be straight, correct) | truth, truthfulness, honesty | Primary noun for truth in Yoruba, used in both everyday and formal contexts. Appears in moral, legal, and religious discourse to refer to factual accuracy and moral honesty. | [CORE] |
| tọ́ | tọ́ | to be straight, to be correct, to be right | to be true, to be correct, to be right | Verb used to evaluate statements, actions, and situations for correctness or appropriateness. Can describe both factual accuracy and moral rightness. | [CORE] |
| irọ́ | irọ́ | Noun derived from "purọ́" (to lie) | lie, falsehood, untruth | Standard term for falsehood or lie, used as the direct opposite of òtítọ́. Appears in everyday speech and formal contexts when discussing deception or inaccuracy. | [CORE] |
| purọ́ | purọ́ | to lie, to tell falsehood | to lie, to be false | Verb describing the act of lying or being false. Commonly used to evaluate statements or claims as untrue. | [CORE] |
| òdodo | òdodo | Noun related to straightness, uprightness | justice, righteousness, fairness | Used in moral and legal contexts to describe justice and righteous conduct. Emphasizes moral correctness and fairness in dealings. | [CORE] |
| ṣe déédé | ṣe déédé | "ṣe" (to do) + "déédé" (exactly, precisely) | to be exact, to be accurate, to be precise | Expression used when emphasizing exactness or precision in representation or action. Appears in contexts requiring careful accuracy. | [CORE] |
| gidi | gidi | genuine, real, authentic | genuine, real, authentic, true | Adjective evaluating objects, persons, or situations for genuineness and authenticity. Distinguishes the real from the fake or imitation. | [CORE] |
| nitootọ́ | nitootọ́ / ní tòótọ́ | "ní" (in/with) + "tòótọ́" (truth) | truly, truthfully, in truth, honestly | Adverbial expression emphasizing the truthfulness of a statement. Commonly used to assert sincerity or factual accuracy. | [CORE] |
| ṣe déédé bẹ́ẹ̀ | ṣe déédé bẹ́ẹ̀ | "ṣe déédé" (to be exact) + "bẹ́ẹ̀" (like that) | to be exactly so, to be just like that | Expression confirming that something corresponds exactly to a description or expectation. Emphasizes accurate resemblance or correspondence. | [CORE] |
| jọ | jọ | to resemble, to be similar | to resemble, to be like, to be similar | Verb describing resemblance or similarity between things. Used to evaluate how closely something matches another thing. | [CORE] |
| bá mu | bá mu | "bá" (to meet/match) + "mu" (to hold/grasp) | to correspond, to match, to agree with | Expression indicating correspondence or agreement between things. Used when evaluating whether something matches expectations or standards. | [CORE] |
| ìbámu | ìbámu | Noun from "bá mu" (to correspond) | correspondence, agreement, conformity | Noun describing the state of correspondence or agreement. Appears in contexts evaluating whether things align or match properly. | [CORE] |
| ìwà rere | ìwà rere | "ìwà" (character/conduct) + "rere" (good) | good character, good conduct, virtue | Fixed expression evaluating moral character and conduct. Widely used in moral discourse to describe proper behavior. | [CORE] |
| ìwà búburú | ìwà búburú | "ìwà" (character/conduct) + "búburú" (bad) | bad character, bad conduct, vice | Expression evaluating character or conduct negatively. Opposite of ìwà rere and appears in moral evaluations. | [CORE] |
| yẹ | yẹ | to be fitting, to be appropriate | to be fitting, to be proper, to be right, should | Verb evaluating appropriateness and propriety. Used to assess whether actions, statements, or situations are fitting or proper. | [CORE] |
| tọ́ sí | tọ́ sí | "tọ́" (to be correct) + "sí" (toward/for) | to be right for, to be correct for, to be appropriate for | Construction evaluating correctness or appropriateness in relation to something specific. Assesses whether something is right in a particular context. | [CORE] |
| ṣe pàtàkì | ṣe pàtàkì | "ṣe" (to be) + "pàtàkì" (important, significant) | to be important, to be significant, to matter | Expression evaluating significance and importance. Used to assess the weight or relevance of something. | [CORE] |
| ìdájú | ìdájú | Noun related to certainty, assurance | certainty, assurance, confidence | Noun describing the state of being certain or assured. Appears in contexts evaluating the reliability or certainty of knowledge or claims. | [CORE] |
| dájú | dájú | to be certain, to be sure | to be certain, to be sure, to be definite | Verb evaluating certainty and reliability. Used when assessing the trustworthiness of information or the definiteness of situations. | [CORE] |
| ṣe bẹ́ẹ̀ | ṣe bẹ́ẹ̀ | "ṣe" (to be/do) + "bẹ́ẹ̀" (so/like that) | to be so, to be the case, it is true that | Expression confirming that something is the case or corresponds to what has been stated. Used to affirm accuracy or truth. | [CORE] |
| òtítọ́ ọ̀rọ̀ | òtítọ́ ọ̀rọ̀ | "òtítọ́" (truth) + "ọ̀rọ̀" (word/matter) | true word, truthful statement, veracity | Fixed expression emphasizing the truthfulness of a statement or matter. Appears in contexts where the accuracy of speech is being evaluated. | [CORE] |
| ìgbàgbọ́ | ìgbàgbọ́ | Noun from "gbàgbọ́" (to believe) | belief, faith, trust | Noun describing belief or faith in something. Used in religious, epistemic, and interpersonal contexts to evaluate trust and credibility. | [CORE] |
| gbàgbọ́ | gbàgbọ́ | to believe, to trust | to believe, to trust, to have faith in | Verb describing the act of believing or trusting. Evaluates the credibility or reliability of persons, statements, or claims. | [CORE] |
| ṣe é ṣe | ṣe é ṣe | "ṣe" (to do) + "é" (it) + "ṣe" (to do/be possible) | to be possible, can be done | Expression evaluating possibility and feasibility. Assesses whether something can actually occur or be accomplished. | [CORE] |
| kò ṣe é ṣe | kò ṣe é ṣe | "kò" (not) + "ṣe é ṣe" (to be possible) | to be impossible, cannot be done | Negative expression evaluating impossibility. Used to assess that something cannot occur or be accomplished. | [CORE] |
| àṣìṣe | àṣìṣe | Noun from "ṣe" (to do) with negative prefix | error, mistake, fault | Noun describing errors or mistakes. Used to evaluate actions, statements, or representations as incorrect or faulty. | [CORE] |
| ṣìṣe | ṣìṣe | to err, to make a mistake | to err, to make a mistake, to be wrong | Verb describing making errors or being wrong. Evaluates actions or judgments as mistaken. | [CORE] |
| pé | pé | to be complete, to be exact | to be complete, to be exact, to be sufficient | Verb evaluating completeness and exactness. Assesses whether something meets requirements or corresponds fully to expectations. | [CORE] |
| ọmọ òtítọ́ | ọmọ òtítọ́ | "ọmọ" (child) + "òtítọ́" (truth) | child of truth, truthful person | Used to describe someone who consistently tells the truth or lives honestly. Common in moral character evaluation. | [CORE] |
| ẹni òtítọ́ | ẹni òtítọ́ | "ẹni" (person) + "òtítọ́" (truth) | person of truth, truthful person | Formal designation for someone characterized by truthfulness. Used in religious and moral discourse. | [CORE] |
| sọ òtítọ́ | sọ òtítọ́ | "sọ" (to speak) + "òtítọ́" (truth) | to tell the truth, to speak truthfully | Common expression for the act of truth-telling. Used in everyday speech and formal contexts requiring honesty. | [CORE] |
| pa òtítọ́ | pa òtítọ́ | "pa" (to kill/destroy) + "òtítọ́" (truth) | to destroy truth, to suppress truth | Used when someone conceals or distorts truth. Appears in moral and political discourse about deception. | [CORE] |
| fi òtítọ́ hàn | fi òtítọ́ hàn | "fi" (to use/take) + "òtítọ́" (truth) + "hàn" (to show) | to reveal the truth, to show the truth | Used when truth is being disclosed or demonstrated. Common in investigative and judicial contexts. | [CORE] |
| òtítọ́ kọjá irọ́ | òtítọ́ kọjá irọ́ | "òtítọ́" (truth) + "kọjá" (to surpass) + "irọ́" (lie) | truth surpasses lies, truth prevails over falsehood | Proverbial expression asserting the ultimate triumph of truth. Used in moral instruction and encouragement. | [CORE] |
| tọ́ lọ́nà | tọ́ lọ́nà | "tọ́" (be straight) + "ní" (in) + "ọ̀nà" (way/path) | to be straight in the way, to be on the right path | Metaphorical use evaluating moral conduct or correct procedure. Common in religious and ethical discourse. | [CORE] |
| tọ́ títí | tọ́ títí | "tọ́" (be straight) + "títí" (completely, thoroughly) | to be completely correct, to be absolutely right | Emphasizes total correctness or accuracy. Used when confirming something is entirely true without qualification. | [CORE] |
| kò tọ́ | kò tọ́ | "kò" (not) + "tọ́" (be correct) | to be incorrect, to be wrong, to be untrue | Standard negation of truth or correctness. Used in everyday evaluation of statements and actions. | [CORE] |
| tọ́ gan-an | tọ́ gan-an | "tọ́" (be correct) + "gan-an" (indeed, truly, emphatic) | to be truly correct, to be really right | Emphatic confirmation of correctness or truth. Used to stress certainty or remove doubt. | [CORE] |
| ọ̀rọ̀ tọ́ | ọ̀rọ̀ tọ́ | "ọ̀rọ̀" (word/matter) + "tọ́" (be correct) | true word, correct statement | Evaluates a statement or claim as true. Common in discourse evaluation and argumentation. | [CORE] |
| ìró tọ́ | ìró tọ́ | "ìró" (sound/report) + "tọ́" (be correct) | true report, accurate news | Evaluates the accuracy of news or reports. Used in contexts of information verification. | [CORE] |
| ìwé tọ́ | ìwé tọ́ | "ìwé" (book/writing) + "tọ́" (be correct) | correct writing, accurate document | Evaluates written records or documents for accuracy. Used in administrative and legal contexts. | [CORE] |
| tọ́ ọkàn | tọ́ ọkàn | "tọ́" (be straight) + "ọkàn" (heart/mind) | to have a straight heart, to be sincere | Evaluates internal sincerity and honesty of intention. Used in moral and religious discourse about character. | [CORE] |
| ọkàn tọ́ | ọkàn tọ́ | "ọkàn" (heart/mind) + "tọ́" (be straight) | straight heart, sincere mind | Describes sincere intentions or honest disposition. Common in character evaluation. | [CORE] |
| ọ̀nà tọ́ | ọ̀nà tọ́ | "ọ̀nà" (way/path) + "tọ́" (be straight) | straight path, right way | Metaphorical expression for correct procedure or moral conduct. Used in ethical and religious instruction. | [CORE] |
| tọ́ sí ọ̀rọ̀ | tọ́ sí ọ̀rọ̀ | "tọ́" (be correct) + "sí" (toward) + "ọ̀rọ̀" (matter/word) | to be correct regarding the matter, to be right about it | Evaluates correctness in relation to a specific issue or statement. Used in argumentation and discussion. | [CORE] |
| tọ́ sí ẹni | tọ́ sí ẹni | "tọ́" (be correct) + "sí" (toward) + "ẹni" (person) | to be right for someone, to be appropriate for a person | Evaluates whether something is suitable or proper for a particular individual. Used in advice and judgment. | [CORE] |
| àtọ́kùn | àtọ́kùn | "à-" (nominalizer) + "tọ́" (be straight) + "kùn" (to fill/complete) | explanation, clarification, interpretation | Used for explanations that make things clear or "straighten out" understanding. Common in educational and interpretive contexts. | [CORE] |
| atọ́ | atọ́ | "a-" (nominalizer) + "tọ́" (be straight) | straightness, correctness | Abstract noun for the quality of being straight or correct. Less common than òtítọ́ but used in formal discourse. | [MARGINAL] |
| títọ́ | títọ́ | "tí-" (gerund prefix) + "tọ́" (be straight) | being straight, being correct | Gerundive form describing the state or process of being correct. Used in philosophical and analytical discourse. | [MARGINAL] |
| ṣe àṣìṣe | ṣe àṣìṣe | "ṣe" (to do) + "àṣìṣe" (error) | to make an error, to commit a mistake | Common expression for making mistakes. Used in everyday speech and formal contexts when acknowledging errors. | [CORE] |
| ṣe àìṣe | ṣe àìṣe | "ṣe" (to do) + "àì-" (negative prefix) + "ṣe" (to do) | to do wrong, to commit an offense | Evaluates actions as morally or procedurally wrong. Used in moral and legal discourse. | [CORE] |
| ṣe gidi | ṣe gidi | "ṣe" (to be) + "gidi" (genuine, real) | to be genuine, to be real, to be authentic | Evaluates authenticity of objects, persons, or situations. Common in everyday assessment of genuineness. | [CORE] |
| ṣe kedere | ṣe kedere | "ṣe" (to be) + "kedere" (small, exact, precise) | to be precise, to be exact, to be small and perfect | Emphasizes precision and exactness, often with connotation of smallness or neatness. Used in descriptions requiring accuracy. | [CORE] |
| ṣe pàápàá | ṣe pàápàá | "ṣe" (to be) + "pàápàá" (exactly, precisely) | to be exactly, to be precisely | Emphasizes exact correspondence or precision. Similar to ṣe déédé but with stronger emphasis. | [CORE] |
| ṣe bẹ́ẹ̀ ni | ṣe bẹ́ẹ̀ ni | "ṣe" (to be) + "bẹ́ẹ̀" (so) + "ni" (it is) | it is so, that is the case | Confirmatory expression affirming truth of a statement. Used in conversation to agree or confirm. | [CORE] |
| ṣe àkíyèsí | ṣe àkíyèsí | "ṣe" (to do) + "àkíyèsí" (observation, notice) | to observe, to notice, to pay attention | Describes careful observation or attention. Used when evaluating whether something has been properly noticed or considered. | [CORE] |
| ṣe àyẹ̀wò | ṣe àyẹ̀wò | "ṣe" (to do) + "àyẹ̀wò" (examination, investigation) | to examine, to investigate, to scrutinize | Used for careful examination or investigation to determine truth or accuracy. Common in investigative and analytical contexts. | [CORE] |
| ṣe ìwádìí | ṣe ìwádìí | "ṣe" (to do) + "ìwádìí" (research, inquiry) | to research, to inquire, to investigate | Describes systematic investigation to discover truth or facts. Used in academic, legal, and journalistic contexts. | [CORE] |
| ṣe àfihàn | ṣe àfihàn | "ṣe" (to do) + "àfihàn" (demonstration, showing) | to demonstrate, to show, to prove | Used when demonstrating or proving something to be true. Common in argumentative and evidential contexts. | [CORE] |
| ṣe ìjẹ́rìí | ṣe ìjẹ́rìí | "ṣe" (to do) + "ìjẹ́rìí" (testimony, witness) | to testify, to bear witness | Used in legal and religious contexts when giving testimony or bearing witness to truth. | [CORE] |
| ṣe àpẹẹrẹ | ṣe àpẹẹrẹ | "ṣe" (to do) + "àpẹẹrẹ" (example, illustration) | to give an example, to illustrate | Used when providing examples to clarify or demonstrate truth. Common in teaching and explanation. | [CORE] |
| ṣe àlàyé | ṣe àlàyé | "ṣe" (to do) + "àlàyé" (explanation) | to explain, to clarify | Used when explaining or clarifying to make truth clear. Common in educational and communicative contexts. | [CORE] |
