# F5 Opposition Table — Yoruba (yo)

| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
|--------|--------|-----------------|-------------|---------------------|---------------|------------------|
| òtítọ́ | irọ́ | òtítọ́ vs. irọ́ | truth, truthfulness vs. lie, falsehood | Primary lexical opposition between truth and falsehood. These are the core nouns used across all contexts to denote true versus false content. Both appear in parallel constructions (sọ òtítọ́ "tell truth" vs. pa irọ́ "tell lie") and proverbial expressions (òtítọ́ kọjá irọ́ "truth surpasses lies"). | lexical | [CORE] |
| tọ́ | purọ́ | tọ́ vs. purọ́ | to be correct, to be true vs. to lie, to be false | Primary verbal opposition for truth versus falsehood. **Tọ́** is a stative verb evaluating correctness, while **purọ́** is an active verb describing the act of lying or being false. Both function as main predicates in simple clauses. | lexical | [CORE] |
| tọ́ | kò tọ́ | tọ́ vs. kò tọ́ | to be correct/true vs. to not be correct/true, to be wrong | Morphological negation using preverbal negator **kò**. This is the standard way to express incorrectness or untruth. The negative form **kò tọ́** is as frequent and natural as the positive **tọ́**. | morphological | [CORE] |
| òtítọ́ | àìtọ́ | òtítọ́ vs. àìtọ́ | truth, correctness vs. incorrectness, untruth | Nominal opposition between positive abstract noun **òtítọ́** and negative abstract noun **àìtọ́** (formed with negative prefix **àì-**). Both denote states or qualities rather than acts. **Àìtọ́** is less common than **irọ́** but used in formal/analytical discourse. | morphological | [CORE] |
| ìwà rere | ìwà búburú | ìwà rere vs. ìwà búburú | good character, good conduct vs. bad character, bad conduct | Lexical opposition within fixed expressions. Both use the noun **ìwà** (character/conduct) modified by contrasting adjectives **rere** (good) vs. **búburú** (bad). These are parallel constructions used in moral evaluation. | lexical | [CORE] |
| bá mu | kò bá mu | bá mu vs. kò bá mu | to correspond, to match vs. to not correspond, to not match | Morphological negation of the serial verb construction **bá mu**. The negative **kò bá mu** is used to express mismatch or disagreement, while the positive expresses correspondence or agreement. | morphological | [CORE] |
| ìbámu | àìbámu | ìbámu vs. àìbámu | correspondence, agreement vs. non-correspondence, disagreement | Nominal opposition using negative prefix **àì-** to create the antonym of **ìbámu**. Both are abstract nouns describing states of alignment or misalignment. **Àìbámu** is used when describing discrepancies or conflicts. | morphological | [CORE] |
| dájú | kò dájú | dájú vs. kò dájú | to be certain, to be sure vs. to not be certain, to be uncertain | Morphological negation expressing certainty versus uncertainty. The negative **kò dájú** is the standard way to express doubt or lack of certainty, as there is no separate lexical item for "doubt" in the core vocabulary. | morphological | [CORE] |
| ìmọ̀ | àìmọ̀ | ìmọ̀ vs. àìmọ̀ | knowledge vs. ignorance, lack of knowledge | Nominal opposition using negative prefix **àì-** to create the antonym. **Ìmọ̀** denotes the state of knowing, while **àìmọ̀** denotes the absence of knowledge. Both are common in epistemic and educational discourse. | morphological | [CORE] |
| ṣe é ṣe | kò ṣe é ṣe | ṣe é ṣe vs. kò ṣe é ṣe | to be possible, can be done vs. to be impossible, cannot be done | Morphological negation of possibility construction. The negative **kò ṣe é ṣe** is the standard expression for impossibility. Both forms are equally frequent in modal evaluation contexts. | morphological | [CORE] |
| yẹ | kò yẹ | yẹ vs. kò yẹ | to be fitting, to be appropriate vs. to not be fitting, to be inappropriate | Morphological negation expressing appropriateness versus inappropriateness. The negative **kò yẹ** is used to evaluate actions or situations as improper or unsuitable. | morphological | [CORE] |
| ìyẹ | àìyẹ | ìyẹ vs. àìyẹ | fittingness, appropriateness vs. unfittingness, inappropriateness | Nominal opposition using negative prefix **àì-**. **Àìyẹ** is more common than **ìyẹ** in actual usage, as inappropriateness is more frequently discussed than appropriateness as an abstract quality. | morphological | [CORE] for àìyẹ, [MARGINAL] for ìyẹ |
| pé | kò pé | pé vs. kò pé | to be complete, to be exact vs. to not be complete, to be incomplete | Morphological negation expressing completeness versus incompleteness. **Kò pé** is used when something fails to fully correspond or is insufficient. | morphological | [CORE] |
| ìpé | àìpé | ìpé vs. àìpé | completeness, exactness vs. incompleteness, insufficiency | Nominal opposition using negative prefix **àì-**. Both abstract nouns describe states of completion or lack thereof. Used in evaluative and analytical contexts. | morphological | [CORE] |
| sọ òtítọ́ | pa irọ́ | sọ òtítọ́ vs. pa irọ́ | to tell the truth vs. to tell a lie | Constructional opposition using different verbs (**sọ** "speak" vs. **pa** "kill/strike") with contrasting objects (**òtítọ́** vs. **irọ́**). These are the standard expressions for truth-telling versus lie-telling. Note the asymmetry: truth uses **sọ** (speak) while lies use **pa** (conventionalized with irọ́). | constructional | [CORE] |
| ọmọ òtítọ́ | apurọ́ | ọmọ òtítọ́ vs. apurọ́ | truthful person, child of truth vs. liar | Constructional asymmetry in agentive nominalization. Truthful persons are expressed through the compound **ọmọ òtítọ́** (child of truth), while liars use the agentive prefix **a-** with the verb **purọ́**. There is no *atọ́ "truth-teller" parallel to **apurọ́**. | constructional | [CORE] |
| fi òtítọ́ hàn | pamọ́ òtítọ́ | fi òtítọ́ hàn vs. pamọ́ òtítọ́ | to reveal the truth vs. to hide the truth | Constructional opposition using different verbs with the same object **òtítọ́**. **Fi...hàn** (use...show) expresses revelation, while **pamọ́** (hide) expresses concealment. Both constructions are common in discourse about truth disclosure. | constructional | [CORE] |
| ọkàn tọ́ | ọkàn méjì | ọkàn tọ́ vs. ọkàn méjì | straight heart, sincere vs. two hearts, duplicitous | Constructional opposition in metaphorical expressions for sincerity versus duplicity. **Ọkàn tọ́** (straight heart) uses the truth-root **tọ́**, while **ọkàn méjì** (two hearts) uses numerical metaphor. Both are idiomatic character evaluations. | constructional | [CORE] |
| ọkàn kan | ọkàn méjì | ọkàn kan vs. ọkàn méjì | one heart, sincere vs. two hearts, duplicitous | Numerical opposition within the same construction frame. **Ọkàn kan** (one heart) expresses sincerity and single-mindedness, while **ọkàn méjì** (two hearts) expresses duplicity and insincerity. Both use the metaphor of heart-counting. | constructional | [CORE] |
| òtítọ́ ni | irọ́ ni | òtítọ́ ni vs. irọ́ ni | it is truth vs. it is a lie | Parallel focus constructions using the same frame (**X ni**) with contrasting predicates. Both are minimal utterances used for emphatic assertion or denial. Very common in conversational exchanges. | constructional | [CORE] |
| gbàgbọ́ pé ó tọ́ | gbàgbọ́ pé kò tọ́ | gbàgbọ́ pé ó tọ́ vs. gbàgbọ́ pé kò tọ́ | believe that it is true vs. believe that it is not true | Constructional opposition within embedded clauses. The same belief verb **gbàgbọ́** takes contrasting complement clauses (positive **ó tọ́** vs. negative **kò tọ́**). This shows how negation operates at the embedded clause level. | constructional | [CORE] |
| ṣe pàtàkì | kò ṣe pàtàkì | ṣe pàtàkì vs. kò ṣe pàtàkì | to be important, to matter vs. to not be important, to not matter | Morphological negation of light verb construction. The negative **kò ṣe pàtàkì** is used to dismiss significance or relevance. Both forms are equally common in evaluative discourse. | morphological | [CORE] |
| ṣe àṣìṣe | ṣe àtúnṣe | ṣe àṣìṣe vs. ṣe àtúnṣe | to make an error vs. to make a correction | Lexical opposition within parallel light verb constructions. Both use **ṣe** (do/make) with contrasting objects: **àṣìṣe** (error) versus **àtúnṣe** (correction). These represent opposite actions in the error-correction cycle. | lexical | [CORE] |
| òtítọ́ korò | irọ́ dùn | òtítọ́ korò vs. irọ́ dùn (implied) | truth is bitter vs. lies are sweet (implied contrast) | Proverbial opposition using contrasting predicates. **Òtítọ́ korò** (truth is bitter) is an attested proverb. While **irọ́ dùn** is not explicitly attested in the data, the cultural logic implies this contrast—truth is difficult/bitter while lies may be pleasant. The attested form shows one side of a cultural opposition. | constructional | [CORE] for òtítọ́ korò, [UNCERTAIN] for irọ́ dùn |
| tọ́ títí | kò tọ́ rárá | tọ́ títí vs. kò tọ́ rárá | completely correct, absolutely right vs. not correct at all, completely wrong | Constructional opposition using emphatic particles. **Títí** (completely) intensifies positive correctness, while **rárá** (at all) intensifies negative incorrectness. Both represent extreme poles of the correctness scale. | constructional | [CORE] |
| jọ ọ́ púpọ̀ | kò jọ ọ́ rárá | jọ ọ́ púpọ̀ vs. kò jọ ọ́ rárá | resembles it greatly vs. doesn't resemble it at all | Constructional opposition in degree of resemblance. **Púpọ̀** (greatly) marks high resemblance, while negation plus **rárá** (at all) marks complete dissimilarity. These represent opposite ends of the similarity spectrum. | constructional | [CORE] |
| ọ̀rọ̀ tọ́ | ọ̀rọ̀ òfo | ọ̀rọ̀ tọ́ vs. ọ̀rọ̀ òfo | true word, correct statement vs. empty word, vain statement | Lexical opposition within parallel noun-modifier constructions. Both use **ọ̀rọ̀** (word/statement) with contrasting modifiers: **tọ́** (correct/true) versus **òfo** (empty/vain). Used in discourse evaluation. | lexical | [CORE] |
| gidi | (no specific lexical antonym attested) | gidi vs. — | genuine, real, authentic vs. (fake, counterfeit) | **Gidi** is used to distinguish authentic from fake items (e.g., wúrà gidi "genuine gold"), but no specific lexical antonym for "fake" or "counterfeit" is attested in the P1-P4 data. The contrast is expressed through negation (**kì í ṣe gidi** "it is not genuine") rather than a positive antonym. | lexical (asymmetric) | [CORE] for gidi, [UNCERTAIN] for specific antonym |
