# F6 — NATURALNESS TABLE

| Prompt # | Expression (Native Script) | Transliteration | Naturalness Rating | Notes |
|----------|---------------------------|-----------------|-------------------|-------|
| 1.1 | Ọ̀rọ̀ náà di òtítọ́ | ọ̀rọ̀ náà di òtítọ́ | [MARGINAL] | Expresses discovery/revelation rather than change in truth-value; reinterpreted as "turned out to be true" |
| 1.2 | Àsọtẹ́lẹ̀ náà ṣẹ | àsọtẹ́lẹ̀ náà ṣẹ | [CORE] | Natural expression for predictions coming true; about realization of predicted events |
| 1.3 | (no common expression) | — | [MISSING] | No inchoative construction for "becoming correct"; correctness is discovered or established through correction |
| 1.4 | Ó bẹ̀rẹ̀ sí jọ ọ́ | ó bẹ̀rẹ̀ sí jọ ọ́ | [CORE] | Natural expression for resemblance developing; resemblance is conceptualized as gradable |
| 2.1 | (no common expression) | — | [MISSING] | No expression for statements "becoming false"; truth-value not treated as changeable |
| 2.2 | (no common expression) | — | [MISSING] | No expression for things "becoming incorrect"; discovered to be incorrect or made incorrect through error |
| 2.3 | (no common expression) | — | [MISSING] | No expression for loss of correspondence over time; correspondence evaluated at given time |
| 3.1 | Ó mú kí ọ̀rọ̀ náà tọ́ | ó mú kí ọ̀rọ̀ náà tọ́ | [MARGINAL] | Reinterpreted as verification/fulfillment/vindication rather than causing truth; conceptually problematic |
| 3.2 | Mo tún àṣìṣe náà ṣe | mo tún àṣìṣe náà ṣe | [CORE] | Natural expression for correction; focuses on corrective action rather than causing correctness |
| 3.3 | Ó mú kí ọ̀rọ̀ rẹ̀ bá èyí mu | ó mú kí ọ̀rọ̀ rẹ̀ bá èyí mu | [MARGINAL] | Expresses deliberate alignment; more natural than causing truth but still marked |
| 3.4 | Ó mú kí n gbàgbọ́ pé ó tọ́ | ó mú kí n gbàgbọ́ pé ó tọ́ | [CORE] | Natural expression for persuasion/convincing; causing belief is conceptually straightforward |
| 3.5 | Ó mú kí n dájú | ó mú kí n dájú | [CORE] | Natural expression for providing assurance; causing certainty is conceptually straightforward |
| 3.6 | Wọ́n mú kí ó sọ òtítọ́ | wọ́n mú kí ó sọ òtítọ́ | [CORE] | Natural expression for compelling truth-telling; causes action rather than state |
| 3.7 | Wọ́n mú kí ó pa irọ́ | wọ́n mú kí ó pa irọ́ | [CORE] | Natural expression for forcing someone to lie; causes action rather than state |
| 4.1 | Wọ́n dènà kí òtítọ́ má hàn | wọ́n dènà kí òtítọ́ má hàn | [CORE] | Natural expression for preventing revelation; prevents event rather than state |
| 4.2 | Ó yí òtítọ́ padà | ó yí òtítọ́ padà | [CORE] | Natural expression for distorting truth; about manipulation of representation |
| 4.3 | Ó mú kí wọn gbàgbọ́ irọ́ | ó mú kí wọn gbàgbọ́ irọ́ | [CORE] | Natural expression for deception; causing belief in falsehood is conceptually straightforward |
| 5.1 | Ó pa òtítọ́ mọ́ | ó pa òtítọ́ mọ́ | [CORE] | Natural expression for preserving truth; about protecting knowledge of truth |
| 5.2 | Ó dúró lórí òtítọ́ | ó dúró lórí òtítọ́ | [CORE] | Natural expression for commitment to truth; about maintaining personal commitment |
| 5.3 | Òtítọ́ wà títí | òtítọ́ wà títí | [CORE] | Natural expression for truth enduring; philosophical statement about permanence of truth |
| 6.1 | (unnatural) | *ó ń tọ́ | [UNNATURAL] | Stative verb does not combine with progressive marker; truth not conceptualized as ongoing process |
| 6.2 | Ó ti tọ́ | ó ti tọ́ | [MARGINAL] | Reinterpreted as establishment/confirmation rather than "has become correct" |
| 6.3 | Ó máa ń sọ òtítọ́ | ó máa ń sọ òtítọ́ | [CORE] | Natural expression for habitual truth-telling; action can be habitual |
| 6.4 | Ó bẹ̀rẹ̀ sí jọ ọ́ | ó bẹ̀rẹ̀ sí jọ ọ́ | [CORE] | Natural expression for resemblance developing (same as 1.4) |
