# CLCA Protocol v3.4 — P4b Construction Usage & Constraints
# Language: Yoruba (yo)
# Layer: P4b_construction_behavior

---

**Preliminary note:** Ratings and usage notes are based strictly on patterns documented in P4a. No additional constructions are introduced. Where P4a itself signals uncertainty or restricted attestation, that is reflected in the epistemic status below.

---

## Construction Usage & Constraints Table

| Construction Type | Example | Transliteration | Translation | Naturalness Rating | Usage Notes |
|---|---|---|---|---|---|
| **1. ATTRIBUTION** — Stative predicate | *ó tọ́* | ó tọ́ | "It is correct / it is right / it is proper" | [CORE] | Highly frequent in everyday evaluative speech and proverbs; *tọ́* predicates directly without copula. Used across factual, moral, and administrative contexts. Nominal predicates require *jẹ́*; the two sub-patterns are not interchangeable. |
| **1. ATTRIBUTION** — Copular nominal (*jẹ́* + nominal) | *ọ̀rọ̀ rẹ jẹ́ òtítọ́* | ọ̀rọ̀ rẹ jẹ́ òtítọ́ | "Your statement is the truth" | [CORE] | Standard pattern when the predicate is a full nominal; *jẹ́* + nominal is the expected form in formal, testimonial, and religious discourse. Restricted to nominal complements; stative adjectives do not take *jẹ́* in this pattern. |
| **1. ATTRIBUTION** — Copular nominal (*jẹ́* + nominal) | *ìjẹ́rìísí rẹ̀ jẹ́ òdodo* | ìjẹ́rìísí rẹ̀ jẹ́ òdodo | "His/her certificate is genuine/valid" | [CORE] | Standard copular construction with *jẹ́* for nominal predicates; productive in administrative and legal registers. |
| **1. ATTRIBUTION** — Post-nominal attributive: [NOUN] + [EVALUATIVE NOUN/ADJ] | *ènìyàn òtítọ́* | ènìyàn òtítọ́ | "a truthful person / a person of truth" | [CORE] | Productive across the truth-domain vocabulary in everyday, moral, and legal discourse. No observable restriction on the class of evaluative modifier; the pattern applies freely to *gidi*, *burúkú*, *tọ́*, and related items. |
| **1. ATTRIBUTION** — Post-nominal attributive: [NOUN] + [EVALUATIVE NOUN/ADJ] | *ohun ojúlówó* | ohun ojúlówó | "a genuine thing / the real article" | [CORE] | Same structural pattern; *ojúlówó* is domain-specific to authenticity and genuineness. No copula or linker intervenes in attributive position. |
| **2. NEGATIVE ATTRIBUTION** — Negated stative | *kò tọ́* | kò tọ́ | "It is not correct / it is wrong / it is improper" | [CORE] | *kò* is the standard negator for stative and verbal predicates; widely used across registers. Fully parallel to the affirmative; *kò* + stative is the standard negation pattern with no register restriction. Not interchangeable with *kì í ṣe*, which is restricted to nominal predicate negation. |
| **2. NEGATIVE ATTRIBUTION** — Negated stative | *Ìdájọ́ náà kò tọ́.* | Ìdájọ́ náà kò tọ́. | "The judgment is not correct / just." | [CORE] | Used when the predicate is a stative verb (*tọ́*, *dára*, etc.); *kò* precedes the verb directly with no copula. P4a explicitly marks the nominal and stative-verbal sub-patterns as structurally distinct; they are not interchangeable. |
| **2. NEGATIVE ATTRIBUTION** — Negated copular nominal (*kò jẹ́*) | *kò jẹ́ gidi* | kò jẹ́ gidi | "It is not genuine / it is not authentic" | [CORE] | Mirrors the affirmative copular pattern exactly; common in evaluative and disputational contexts. The copula *jẹ́* is obligatory in this sub-pattern; omission with a nominal predicate is not attested in P4a. |
| **2. NEGATIVE ATTRIBUTION** — Negated copular nominal (*kò jẹ́*) | *Kò jẹ́ ohun ojúlówó.* | Kò jẹ́ ohun ojúlówó. | "It is not a genuine thing. / It is not authentic." | [CORE] | Used when the predicate is nominal; the copula *jẹ́* is obligatory in this sub-pattern. |
| **2. NEGATIVE ATTRIBUTION** — Nominal negation (*kì í ṣe*) | *kì í ṣe nǹkan gidi* | kì í ṣe nǹkan gidi | "It is not the real thing / It is not genuine" | [CORE] | *kì í ṣe* is the negative copula for nominal predicates; used where *jẹ́* would appear in the affirmative. Restricted to nominal complements; cannot negate stative predicates. |
| **3. ADNOMINAL MODIFICATION** — Post-nominal modifier | *ìdáhùn tọ́* | ìdáhùn tọ́ | "Correct answer" | [CORE] | Post-nominal modifier position is the standard and only attested position for adjectival modifiers in Yoruba; productive across the full truth-domain vocabulary. Modifier follows head directly; no overt linker attested in these examples. |
| **3. ADNOMINAL MODIFICATION** — Post-nominal modifier | *ìwà rere* | ìwà rere | "Good character / virtue" | [CORE] | Highly lexicalized collocation; *ìwà rere* functions as a near-fixed expression in moral and proverbial discourse. |
| **3. ADNOMINAL MODIFICATION** — Juxtaposition: [HEAD NOUN] + [MODIFIER NOUN] | *ẹ̀rí ojú* | ẹ̀rí ojú | "eyewitness evidence (lit. eye-evidence / evidence of the eye)" | [CORE] | The primary means of forming domain-specific nominal compounds in Yoruba; no genitive particle required for close compounds. Productive across legal, moral, and epistemic vocabulary. Head-initial order is the standard pattern in Yoruba nominal modification. |
| **3. ADNOMINAL MODIFICATION** — Juxtaposition: [HEAD NOUN] + [MODIFIER NOUN] | *ìwádìí òtítọ́* | ìwádìí òtítọ́ | "investigation of the truth / fact-finding" | [CORE] | Same pattern; the first noun names the category, the second specifies the domain. P4a notes this as right-headed in the sense that the second noun specifies. |
| **4. BECOME / INCHOATIVE** — *di* + nominal/adjectival predicate | *Ó di ènìyàn òtítọ́.* | Ó di ènìyàn òtítọ́. | "He/she became a truthful person." | [CORE] | *di* is the standard change-of-state verb in Yoruba; not restricted to the truth domain. Combines freely with nominal and adjectival predicates. Fully periphrastic with no dedicated inchoative morphology. |
| **4. BECOME / INCHOATIVE** — *di* + nominal/adjectival predicate | *Ìgbàgbọ́ rẹ̀ di lágbára.* | Ìgbàgbọ́ rẹ̀ di lágbára. | "His/her belief became strong." | [CORE] | Same construction applied to an abstract nominal subject (*ìgbàgbọ́*, "belief"); no restriction on subject type is noted in P4a. |
| **4. BECOME / INCHOATIVE** — Motion-directional | *padà sí ìgbàgbọ́* | padà sí ìgbàgbọ́ | "Return to faith / come back to belief" | [CORE] | Motion-based inchoative is the more frequent pattern in the truth domain per P4a; common in religious and moral exhortation. |
| **4. BECOME / INCHOATIVE** — Motion-directional | *jáde kúrò nínú àìmọ̀* | jáde kúrò nínú àìmọ̀ | "Come out of ignorance / leave ignorance behind" | [CORE] | Attested in moral and didactic registers; the *jáde kúrò nínú* pattern encodes departure from a negative state and is productive with abstract nouns. |
| **4. BECOME / INCHOATIVE** — Epistemic revelation | *ó farahàn pé òtítọ́ ni* | ó farahàn pé òtítọ́ ni | "It became clear that it is the truth / It turned out to be true" | [CORE] | Used for epistemic revelation or the emergence of clarity about a proposition; takes *pé* + complement clause. No dedicated inchoative morpheme; change-of-state expressed lexically. |
| **4. BECOME / INCHOATIVE** — Serial verb change-of-state | *ìgbàgbọ́ rẹ̀ yí padà* | ìgbàgbọ́ rẹ̀ yí padà | "His/her belief changed / His/her faith shifted" | [CORE] | Serial verb *yí padà* (lit. turn-return) expresses change in state or orientation; productive with abstract nominal subjects. Restricted to change-of-state contexts; not used for epistemic revelation. |
| **5. CAUSATIVE** — Permissive-causative *jẹ́ kí* | *jẹ́ kí òtítọ́ jẹ́ olùdarí rẹ* | jẹ́ kí òtítọ́ jẹ́ olùdarí rẹ | "Let truth be your guide / cause truth to lead you" | [CORE] | Common in hortatory, religious, and proverbial speech; *jẹ́ kí* is the standard periphrastic causative-permissive and is not restricted to the truth domain. Distinct from the *fi*-serial verb causative in function (permissive vs. instrumental). |
| **5. CAUSATIVE** — Instrumental serial verb *fi* | *fi òtítọ́ sọ̀rọ̀* | fi òtítọ́ sọ̀rọ̀ | "Speak with truth / speak truthfully" | [CORE] | The *fi* instrumental construction encodes manner rather than strict causation; productive in ethical and instructional contexts. P4a notes distinguish it from canonical causation. |
| **5. CAUSATIVE** — Serial verb *fi...hàn* | *ó fi ẹ̀rí hàn lójú ìgbìmọ̀* | ó fi ẹ̀rí hàn lójú ìgbìmọ̀ | "He/she presented evidence before the court" | [CORE] | Serial verb construction with *fi* (use/take) + object + result verb; productive in legal and evidential contexts. No dedicated causative morpheme; causation expressed through serial verb structure. |
| **5. CAUSATIVE** — Serial verb *fi...gbà* | *ó fi irọ́ gbà owó* | ó fi irọ́ gbà owó | "He/she obtained money through deception" | [CORE] | *fi* + instrument + *gbà* (obtain) expresses instrumental causation; attested in contexts of deception and fraud. Instrument slot takes nominal; result verb varies by outcome. |
| **5. CAUSATIVE** — Instrumental serial verb *fi* | *Wọ́n fi ìtànjẹ́ gbà owó rẹ̀.* | Wọ́n fi ìtànjẹ́ gbà owó rẹ̀. | "They used deception to take his/her money." | [CORE] | The most productive causative-adjacent pattern in the truth domain per P4a; expresses the means by which an outcome is brought about. The instrument noun (*ìtànjẹ́*, "deception") occupies the slot between *fi* and the verb phrase. |
| **5. CAUSATIVE** — Focus + instrumental causative | *Ìdánwò ló fi ìwà ẹni hàn.* | Ìdánwò ló fi ìwà ẹni hàn. | "It is testing that causes a person's character to be revealed." | [CORE] | Combines the focus construction with the instrumental *fi* construction; both layers are independently attested. P4a presents this as a compound of two productive patterns rather than a distinct third type. |
| **6. ABSTRACT NOMINALIZATION** — *ì-* prefix | *ìmọ̀* | ìmọ̀ | "Knowledge" | [CORE] | The *ì-* prefix is the most productive nominalizer in the truth domain; the resulting nouns are fully integrated into the lexicon and unrestricted in distribution. Attested for *ìgbàgbọ́*, *ìgbẹ́kẹ̀lé*, *ìjẹ́rìísí*, *ìtànjẹ́*, *ìdánwò*, *ìdájọ́*, *ìfọwọ́sí*, *ìfarahàn*, and others. |
| **6. ABSTRACT NOMINALIZATION** — *ì-* prefix | *ìgbàgbọ́* | ìgbàgbọ́ | "belief, faith" | [CORE] | *ì-* prefixation is the most productive nominalizer of verbal roots in this domain; forms are widely used across registers. |
| **6. ABSTRACT NOMINALIZATION** — *à-* prefix | *àtúntọ́* | àtúntọ́ | "Correction / rectification" | [CORE] | Attested and productive; prefix choice is lexically conditioned, not semantically contrastive with *ì-* or *o-/ọ-* forms. |
| **6. ABSTRACT NOMINALIZATION** — *à-* prefix | *àṣìṣe* | àṣìṣe | "error/wrongdoing" | [MARGINAL] | Attested for *àṣìṣe* with a resultant-state or negative-outcome reading per P4a. P4a does not document additional truth-domain forms with this prefix; productivity within the domain is not established beyond this example. |
| **6. ABSTRACT NOMINALIZATION** — *o-/ọ-* / *ò-* prefix | *òtítọ́* | òtítọ́ | "truth, correctness" | [CORE] | Attested in P4a as a nominalizing prefix; prefix choice is lexically conditioned. *ò-* prefix produces abstract nominals with distinct semantic range from *ẹ̀-* forms derived from the same root (cf. *ẹ̀tọ́* — right/entitlement, both from *tọ́*). The two prefixes are not interchangeable for a given root. P4a notes the internal structure (*ò-* + *tí* + *tọ́*) but does not claim this prefix is as productive as *ì-* across the domain. |
| **6. ABSTRACT NOMINALIZATION** — *ẹ̀-* prefix | *ẹ̀rí* | ẹ̀rí | "evidence" | [CORE] | Attested for *ẹ̀rí* ("evidence") and *ẹ̀tọ́* ("right/correctness"). P4a does not claim broad productivity for this prefix beyond these attested forms. |
| **6. ABSTRACT NOMINALIZATION** — Negative nominalization: *àì-* + verbal base | *àìmọ̀* | àìmọ̀ | "ignorance" | [CORE] | Productive negation of nominalized forms; attested for *àìmọ̀* ("ignorance"), *àìgbàgbọ́* ("unbelief"), *àìgbẹ́kẹ̀lé* ("unreliability"). Functions as a sub-pattern of abstract nominalization rather than a separate construction type. |
| **7. AGENTIVE NOMINALIZATION** — *a-* prefix (habitual/moral) | *aṣírọ́* | aṣírọ́ | "Liar / one who tells lies" | [CORE] | The *a-* prefix is the standard form for morally evaluative agent nouns in this domain; *aṣírọ́*, *aṣìṣe*, *aṣètànjẹ́* are all attested. |
| **7. AGENTIVE NOMINALIZATION** — *a-* prefix (habitual/moral) | *adájọ́* | adájọ́ | "Judge / one who adjudicates" | [CORE] | Attested as a lexicalized form; functions as a role noun despite the *a-* prefix, suggesting the boundary between habitual-agent and role-agent readings is not always sharp. |
| **7. AGENTIVE NOMINALIZATION** — *olù-* prefix (role/function) | *olùdánwò* | olùdánwò | "Examiner" | [CORE] | *olù-* is the standard prefix for functional role agents; common in institutional and formal registers. No examples of *olù-* with morally negative valence are attested in P4a. |
| **7. AGENTIVE NOMINALIZATION** — *olù-* prefix (role/function) | *olùgbàgbọ́* | olùgbàgbọ́ | "believer, one who believes" | [CORE] | *olù-* attaches to verbal roots to produce agent nouns; productive across the domain. |
| **7. AGENTIVE NOMINALIZATION** — *ẹ-/al-* prefix / contracted agentive *ẹlẹ́-* | *ẹlẹ́rìí* | ẹlẹ́rìí | "Witness" | [MARGINAL] | Attested as a lexicalized form; *ẹlẹ́rìí* is common in legal and testimonial discourse. Contracted from *ẹni tó ní ẹ̀rí* (one who has/bears evidence); produces agent nouns from nominal bases. This contraction strategy is distinct from *olù-* prefixation and applies to nominal rather than verbal bases. P4a explicitly states this contraction is lexicalized rather than fully productive; it is specifically attested for *ẹ̀rí* → *ẹlẹ́rìí* and the extension *ẹlẹ́rìí ojú* ("eyewitness"). Extension to other truth-domain nouns is not documented. The *ẹ-/al-* prefix class is smaller than *a-* or *olù-* in the attested data. |
| **7. AGENTIVE NOMINALIZATION** — Periphrastic agentive: *ènìyàn* + [EVALUATIVE NOUN] | *ènìyàn irọ́* | ènìyàn irọ́ | "a lying person / a liar" | [CORE] | The standard pattern for truth-domain agents where the contracted form is not available; attested for *ènìyàn òtítọ́* ("truthful person"), *ènìyàn irọ́* ("liar"), *ènìyàn ìtànjẹ́* ("a deceptive/fraudulent person"). P4a notes no single productive agentive suffix exists across the domain. |
| **7. AGENTIVE NOMINALIZATION** — Negative agentive: *aláì-* + root | *aláìgbàgbọ́* | aláìgbàgbọ́ | (non-believer) | [CORE] | Attested as the negative agentive form; productive alongside affirmative agentive patterns. Also attested: *aláìmọ̀*. |
| **8. FOCUS / EMPHATIC IDENTIFICATION** — Predicate focus *ni* | *òtítọ́ ni* | òtítọ́ ni | "It is the truth / that is true" | [CORE] | Highly productive in truth-domain assertions and proverbs; *ni* following the focused predicate is the standard identificational focus construction. |
| **8. FOCUS / EMPHATIC IDENTIFICATION** — Predicate focus *ni* | *òtítọ́ ni ó sọ* | òtítọ́ ni ó sọ | "It is the truth that he/she spoke" | [CORE] | Focus particle *ni* places contrastive or identificational focus on the fronted constituent; highly productive in truth-domain assertion and contestation. The fused form *ló* (*ni* + *ó*) appears before a following subject pronoun. |
| **8. FOCUS / EMPHATIC IDENTIFICATION** — Subject focus *ló* | *ìmọ̀ ló ń gbani là* | ìmọ̀ ló ń gbani là | "It is knowledge that saves a person" | [CORE] | Common in proverbs and emphatic assertions; *ló* marks the focused NP as contrastive or uniquely identified. This construction is syntactic, not derivational. |
| **8. FOCUS / EMPHATIC IDENTIFICATION** — Subject focus *ló* | *ìwà ló ń ṣe ènìyàn* | ìwà ló ń ṣe ènìyàn | "It is character that makes a person" | [CORE] | *ló* is the fused form of *ni* + *ó*; attested in proverbial statements asserting the primacy of a concept. Restricted to contexts where the focused constituent is followed by a third-person singular subject pronoun. |
| **8. FOCUS / EMPHATIC IDENTIFICATION** — Subject focus *ló* | *Òtítọ́ ló ń gbani lọ́wọ́.* | Òtítọ́ ló ń gbani lọ́wọ́. | "It is truth that saves one." | [CORE] | Pervasive in proverbial and moral discourse per P4a; used to assert the primacy or causal role of truth, knowledge, good character, or testing. Not restricted to the truth domain but highly frequent within it. |
| **8. FOCUS / EMPHATIC IDENTIFICATION** — Subject focus *ló* | *Ìwà rere ló ń gbani lọ́wọ́.* | Ìwà rere ló ń gbani lọ́wọ́. | "It is good character that saves one." | [CORE] | Same construction with a different focused element (*ìwà rere*, "good character"); confirms the pattern is not lexically restricted to *òtítọ́* alone. P4a notes *ló* is a fusion of copula *ni* and subject pronoun *ó*. |
| **9. PROPOSITIONAL COMPLEMENT** — Epistemic verb + *pé* | *mọ̀ pé ó jẹ́ òtítọ́* | mọ̀ pé ó jẹ́ òtítọ́ | "Know that it is the truth" | [CORE] | *pé* is the standard complementizer after epistemic and evidential verbs; unrestricted in distribution and the primary means of embedding propositional content. Productive across registers; no attested restriction on the class of propositional complement verbs in this domain. |
| **9. PROPOSITIONAL COMPLEMENT** — Evidential verb + *pé* | *jẹ́rìí pé ó jẹ́ òtítọ́* | jẹ́rìí pé ó jẹ́ òtítọ́ | "Testify that it is true / bear witness that it is the truth" | [CORE] | Common in legal, religious, and testimonial registers; the *jẹ́rìí pé* pattern is a natural collocation in contexts of formal attestation. |
| **9. PROPOSITIONAL COMPLEMENT** — Epistemic verb + *pé* | *ó gbàgbọ́ pé òtítọ́ ni* | ó gbàgbọ́ pé òtítọ́ ni | "He/she believes that it is the truth" | [CORE] | *pé* is the standard complementizer after epistemic, speech, and perception verbs; primary syntactic frame for propositional truth and belief. No variation in complementizer form attested across the examples provided. |
| **9. PROPOSITIONAL COMPLEMENT** — Evidential verb + *pé* | *ó jẹ́rìí pé ó wà níbẹ̀* | ó jẹ́rìí pé ó wà níbẹ̀ | "He/she testified that he/she was there" | [CORE] | Same *pé*-complement frame with speech/testimony verb; used in legal and evidential contexts. |
