1. **totoo**  
   **Transliteration:** totoo  
   **Literal meaning / morphology:** reduplicated form historically related to *toto* / emphatic native form  
   **Typical English translations:** true; real; genuine; correct

   **Usage:** *Totoo* is one of the most common Tagalog words for saying that a statement is true or that something is real rather than fake. It is used for factual claims, sincerity, and authenticity, as in *Totoo ba iyan?* or *totoong kaibigan*.  
   **Epistemic status:** [CORE]

2. **katotohanan**  
   **Transliteration:** katotohanan  
   **Literal meaning / morphology:** *ka-* + *totoo* + *-han*; “truth; reality; what is true”  
   **Typical English translations:** truth; reality; fact

   **Usage:** *Katotohanan* is a standard abstract noun used in formal and everyday contexts for “truth” or “the truth of the matter.” It appears in legal, philosophical, journalistic, and moral discourse, as in *ang katotohanan ng pangyayari*.  
   **Epistemic status:** [CORE]

3. **tama**  
   **Transliteration:** tama  
   **Literal meaning / morphology:** basic lexical form  
   **Typical English translations:** correct; right; accurate

   **Usage:** *Tama* is widely used to evaluate answers, judgments, actions, and statements as correct or right. It can refer to factual correctness, procedural correctness, or moral rightness depending on context, as in *Tama ang sagot mo* or *Hindi tama ang ginawa niya*.  
   **Epistemic status:** [CORE]

4. **wasto**  
   **Transliteration:** wasto  
   **Literal meaning / morphology:** basic lexical form  
   **Typical English translations:** proper; correct; accurate; appropriate

   **Usage:** *Wasto* is common in somewhat more formal usage for correctness, propriety, or proper form. It is often used for grammar, procedure, reasoning, and official conduct, as in *wastong gamit* or *wastong proseso*.  
   **Epistemic status:** [CORE]

5. **wastong**  
   **Transliteration:** wastong  
   **Literal meaning / morphology:** ligatured form of *wasto* before a following modifier  
   **Typical English translations:** proper; correct; appropriate

   **Usage:** *Wastong* is the attributive form commonly seen before nouns, especially in educational, bureaucratic, and public-information language. Typical phrases include *wastong baybay*, *wastong asal*, and *wastong impormasyon*.  
   **Epistemic status:** [CORE]

6. **tumpak**  
   **Transliteration:** tumpak  
   **Literal meaning / morphology:** basic lexical form  
   **Typical English translations:** exact; accurate; precise; correct

   **Usage:** *Tumpak* is used when emphasis falls on precision or exact match, especially in measurements, descriptions, and statements. It is common in expressions like *tumpak na sagot* or *tumpak ang sinabi mo*.  
   **Epistemic status:** [CORE]

7. **eksakto**  
   **Transliteration:** eksakto  
   **Literal meaning / morphology:** borrowing from Spanish/English “exact”  
   **Typical English translations:** exact; exactly; precise

   **Usage:** *Eksakto* is widely used in colloquial and semi-formal Tagalog for exactness or precise correspondence. It can evaluate numbers, timing, wording, or resemblance, as in *eksakto ang sukat* or *Eksakto!* in agreement.  
   **Epistemic status:** [CORE]

8. **tiyak**  
   **Transliteration:** tiyak  
   **Literal meaning / morphology:** basic lexical form  
   **Typical English translations:** certain; definite; sure

   **Usage:** *Tiyak* is used for certainty and definiteness, often in relation to whether something is established or reliable. It appears in statements like *Hindi pa tiyak ang resulta* or *tiyak na impormasyon*.  
   **Epistemic status:** [CORE]

9. **sigurado**  
   **Transliteration:** sigurado  
   **Literal meaning / morphology:** borrowing from Spanish *seguro*  
   **Typical English translations:** sure; certain; guaranteed

   **Usage:** *Sigurado* is very common in everyday speech for certainty, assurance, and reliability. It can refer to confidence in a claim, a dependable outcome, or a secure condition, as in *Sigurado ka ba?* or *siguradong panalo*.  
   **Epistemic status:** [CORE]

10. **mapagkakatiwalaan**  
    **Transliteration:** mapagkakatiwalaan  
    **Literal meaning / morphology:** *ma-pagka-tiwala-an*; “able to be trusted / worthy of trust”  
    **Typical English translations:** trustworthy; reliable; dependable

    **Usage:** This word is used for persons, institutions, sources, and testimony judged to be reliable or deserving of trust. It is common in discussions of character, media credibility, and social relations, as in *mapagkakatiwalaang saksi* or *mapagkakatiwalaang kaibigan*.  
    **Epistemic status:** [CORE]

11. **maaasahan**  
    **Transliteration:** maaasahan  
    **Literal meaning / morphology:** from *asa* with adjectival/abilitative morphology; “can be relied on”  
    **Typical English translations:** reliable; dependable; trustworthy

    **Usage:** *Maaasahan* is a common adjective for someone or something that can be counted on. It is used for people, services, information sources, and performance, as in *maaasahang empleyado* or *maaasahang datos*.  
    **Epistemic status:** [CORE]

12. **tapat**  
    **Transliteration:** tapat  
    **Literal meaning / morphology:** basic lexical form  
    **Typical English translations:** honest; faithful; sincere; upright

    **Usage:** *Tapat* evaluates a person’s character or speech as honest, loyal, or morally straight. It is used in interpersonal, moral, and political contexts, as in *tapat siyang tao* or *maging tapat sa pagsasalita*.  
    **Epistemic status:** [CORE]

13. **matapat**  
    **Transliteration:** matapat  
    **Literal meaning / morphology:** *ma-* + *tapat*; adjectival form  
    **Typical English translations:** honest; faithful; sincere

    **Usage:** *Matapat* is a very common descriptive form for a person, statement, or intention judged to be honest or sincere. It often appears in moral and relational contexts, such as *matapat na lingkod-bayan* or *matapat na pahayag*.  
    **Epistemic status:** [CORE]

14. **tunay**  
    **Transliteration:** tunay  
    **Literal meaning / morphology:** basic lexical form  
    **Typical English translations:** real; genuine; true; authentic

    **Usage:** *Tunay* is used for genuineness, authenticity, and real identity, often with nouns. It is common in phrases like *tunay na ginto*, *tunay na kaibigan*, and *tunay na dahilan*.  
    **Epistemic status:** [CORE]

15. **totohanan**  
    **Transliteration:** totohanan  
    **Literal meaning / morphology:** from *totoo* with nominal morphology; “realness / seriousness”  
    **Typical English translations:** seriousness; for real; in earnest

    **Usage:** *Totohanan* occurs in expressions like *sa totohanan* or in contrast with joking or pretending. It is less central than *katotohanan* and often concerns whether something is meant seriously or is actually real.  
    **Epistemic status:** [MARGINAL]

16. **pekeng**  
    **Transliteration:** pekeng  
    **Literal meaning / morphology:** ligatured form of *peke*  
