| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
|---|---|---|---|---|---|---|
| totoo | peke | *totoo* / *peke* | true, real / fake, false | The data directly contrasts truth or realness with falseness or non-genuineness. *Totoo* affirms that something is true or real, while *peke* marks it as fake or not genuine. | lexical | [CORE] |
| tunay | peke | *tunay* / *peke* | genuine, real / fake | The context explicitly places *tunay* in the domain of genuineness and authenticity, and *peke* in the domain of counterfeit or false objects, identities, or emotions. This is a clear authenticity opposition. | lexical | [CORE] |
| tunay | huwad | *tunay* / *huwad* | genuine, real / counterfeit, spurious, false | *Tunay* marks something as authentic, while *huwad* marks it as counterfeit or spurious. The contrast is especially clear for documents, identity, money, and objects. | lexical | [CORE] |
| totoong balita | walang saligang balita | *totoong balita* / *walang saligang balita* | true/real news / baseless news, unfounded report | The data presents *totoong balita* as news that is real or true, while *walang saligang balita* is news lacking evidentiary basis. This is a supported contrast between affirmed truth and unsupported reporting. | lexical | [CORE] |
| may saligan | walang saligan | *may saligan* / *walang saligan* | has basis, well-founded / baseless, unfounded | This is an explicit opposition in the *salig* family. One construction states that a claim or complaint has grounds, while the other states that it lacks any basis. | morphological | [CORE] |
| may pinagsasaligan | walang pinagsasaligan | *may pinagsasaligan* / *walang pinagsasaligan* | has something to rest on, has some basis / has nothing to rest on, without basis | The context gives both forms as formal argumentative expressions. The opposition is built through the presence of *may* versus *walang* to indicate supported versus unsupported claims. | morphological | [MARGINAL] |
| walang saligang akusasyon | may saligan ang kanyang reklamo | *walang saligang akusasyon* / *may saligan ang kanyang reklamo* | baseless accusation / his complaint has basis | These constructions oppose unsupported accusation to supported complaint. The contrast is not perfectly symmetrical lexically, but it is clearly supported at the level of evidential grounding. | constructional | [CORE] |
| Totoo ba iyan? | Totoo iyan. | *Totoo ba iyan?* / *Totoo iyan.* | Is that true? / That is true. | This is a clear interrogative versus affirmative contrast using the same predicate. One construction asks for truth evaluation, while the other asserts truth. | constructional | [CORE] |
| Tama ba iyan? | Tama ang sagot mo. | *Tama ba iyan?* / *Tama ang sagot mo.* | Is that correct? / Your answer is correct. | The data supports a question-versus-assertion opposition with *tama*. One construction checks correctness, while the other confirms it. | constructional | [CORE] |
| Wasto ba ang sagot na ito? | Wasto ang paggamit ng terminong iyon. | *Wasto ba ang sagot na ito?* / *Wasto ang paggamit ng terminong iyon.* | Is this answer correct? / The use of that term is correct. | These are parallel interrogative and affirmative evaluative constructions with *wasto*. The contrast lies in asking whether something is correct versus asserting that it is correct. | constructional | [CORE] |
| Sigurado ka ba? | Sigurado akong tama siya. | *Sigurado ka ba?* / *Sigurado akong tama siya.* | Are you sure? / I’m sure he is right. | The context directly supports a contrast between queried certainty and asserted certainty. Both use *sigurado*, but one requests assurance and the other expresses it. | constructional | [CORE] |
| Hindi pa tiyak ang resulta. | Tiyak na darating siya. | *Hindi pa tiyak ang resulta.* / *Tiyak na darating siya.* | The result is not certain yet. / He will definitely come. | This is a negated versus positive certainty contrast with *tiyak*. One construction marks unsettledness, while the other marks strong certainty. | morphological | [CORE] |
| Hindi tama ang ginawa niya. | Tama ang sagot mo. | *Hindi tama ang ginawa niya.* / *Tama ang sagot mo.* | What he did was not right. / Your answer is correct. | The data supports positive versus negated evaluation with *tama*. Although the contexts differ slightly, the opposition between correctness/rightness and its negation is explicit. | morphological | [CORE] |
| salig sa ebidensiya | walang saligan | *salig sa ebidensiya* / *walang saligan* | based on evidence / baseless, without basis | These constructions oppose evidential grounding to lack of grounding. One explicitly states what a report or judgment rests on, while the other denies any support. | constructional | [CORE] |
| nakasalig sa datos | walang saligang haka-haka | *nakasalig sa datos* / *walang saligang haka-haka* | based on data / baseless speculation | The context supports a contrast between claims grounded in data and speculation lacking basis. This is a clear opposition in evidential status, though expressed by different constructions. | constructional | [CORE] |
| sa totoo lang | sa katotohanan | *sa totoo lang* / *sa katotohanan* | honestly, to tell the truth / in fact, in truth | The context explicitly distinguishes these discourse frames by register and function. *Sa totoo lang* is colloquial and candid, while *sa katotohanan* is more formal and corrective. | lexical | [CORE] |
| sa totoo lang | sa totohanan | *sa totoo lang* / *sa totohanan* | to tell the truth / seriously, for real | The data explicitly notes that *sa totoo lang* is a core truth/candidness marker, whereas *sa totohanan* shifts toward seriousness rather than factual truth. This is a supported semantic opposition within related forms. | lexical | [MARGINAL] |
| Huwag mong totohanin ang biro. | Totohanin mo na ito. | *Huwag mong totohanin ang biro.* / *Totohanin mo na ito.* | Don’t take the joke seriously. / Take this seriously now. | These are directly opposed imperative constructions with the same verb. One prohibits seriousness, while the other commands it. | constructional | [CORE] |
| magkatotoo | nagkatotoo | *magkatotoo* / *nagkatotoo* | come true / came true, turned out to be true | The context presents these as aspectually contrasting forms in the same derivational family. One refers to unrealized or hoped-for realization, while the other refers to realized truth. | morphological | [CORE] |
| pekeng dokumento | beripikadong impormasyon | *pekeng dokumento* / *beripikadong impormasyon* | fake document / verified information | The data supports a broader opposition between falsified or counterfeit material and material that has been checked and confirmed. This is not a strict lexical antonym pair, but it is a clear contrast in authenticity/verification status. | constructional | [CORE] |
