# F3 — SEMANTIC GROUPS TABLE

| Group Label | Definition | Representative Expressions | Overlapping / Ambiguous Items | Boundary Notes |
|------------|------------|---------------------------|-------------------------------|----------------|
| GROUP 1: Truth-Telling and Lying as Speech Acts | This group contains expressions that mark the act of speaking truthfully or falsely. These terms appear in constructions with verbs of saying (esan, mintzatu) and focus on the communicative act itself rather than the content's properties. They are used when evaluating whether someone is speaking honestly or dishonestly. | egia esan (to tell the truth), gezurra esan (to tell a lie), egia (truth - as object of speech verbs), gezurra (lie - as object of speech verbs), gezurti/gezurtia (liar - agent of lying speech), zintzo/zintzoa (honest - characterizing truthful speakers), zintzoki (honestly - manner of speaking) | None specifically noted | Discourse markers: "egia esan" introducing candid statements; Moral evaluation of speakers: "gezurtia da" (he/she is a liar); Manner adverbials: "zintzoki mintzatu" (to speak honestly) |
| GROUP 2: Verification and Authentication Processes | This group contains expressions focused on establishing, confirming, or proving truth through investigation or formal procedures. These terms appear in administrative, legal, and investigative contexts where truth must be actively established rather than simply stated. They involve processes and agents of verification. | egiazkotu (to verify, authenticate), egiaztatu (to verify, prove), egiaztatze (verification - process), egiaztapen (verification - result), egiaztatzailea (verifier - agent), ziurtatu (to make certain, ensure), frogatu (to prove, test), froga egin (to make proof), egiaztagiri (certificate - verification document), ziurtagiri (certificate) | None specifically noted | Administrative procedures: document authentication; Legal proceedings: establishing facts; Scientific contexts: testing and demonstration; Quality control: verification processes |
| GROUP 3: Genuine vs. Counterfeit Distinction | This group contains expressions that distinguish authentic objects, documents, or products from false or counterfeit ones. These terms appear primarily in commercial, legal, and administrative contexts where the authenticity of physical objects or official documents is at issue, rather than the truth of statements. | egiazko dokumentua (authentic document), gezurrezko dokumentua (false document), egiazko produktua (genuine product), gezurrezko produktua (counterfeit product), egiazko sinadura (authentic signature), gezurrezko sinadura (forged signature), faltsua (false, counterfeit), faltsutu (to falsify, forge), iruzurra (fraud), gezurrezko dirua (counterfeit money) | egiazko (belongs to multiple groups with physical objects), gezurrezko (belongs to multiple groups with objects) | Commercial transactions: distinguishing genuine from fake goods; Legal proceedings: forgery and fraud cases; Document authentication: verifying official papers; Consumer protection: identifying counterfeits |
| GROUP 4: Correctness and Error Evaluation | This group contains expressions used to evaluate whether statements, answers, actions, or procedures are correct or incorrect. These terms appear in educational, technical, and procedural contexts where accuracy and proper execution are assessed. They focus on conformity to standards or rules rather than moral truth. | zuzena (correct, right), okerra (wrong, incorrect), zuzendu (to correct), zuzenketa (correction), zuzentzailea (corrector), zuzen egin (to do correctly), zuzen erantzun (correct answer), okertu (to go wrong), zuzen ulertu (to understand correctly), zuzen aplikatu (to apply correctly) | zuzen/zuzena (belongs to GROUP 4 in epistemic/procedural contexts, GROUP 15 in physical/spatial contexts, GROUP 8 when extended to "zuzeneko") | Educational settings: grading answers; Technical procedures: following instructions; Editorial work: correcting texts; Problem-solving: identifying and fixing errors |
| GROUP 5: Appearance vs. Reality Distinction | This group contains expressions that mark the contrast between how things appear or seem and how they actually are. These terms are used when surface appearances may be misleading or when distinguishing superficial from underlying truth. They often function as epistemic hedges or qualifications. | itxura (appearance), itxurazko (apparent, seeming), itxuraz (apparently, seemingly), benetako (real, genuine), benetakoa (the real one), benetan (really, truly), egiazko izaera (true nature), egiazko aurpegia (true face), gezurrezko itxura (false appearance), itxura eman (to give appearance) | benetan/benetako (belongs to GROUP 5 as reality marker and GROUP 11 as intensifier), ageria (overlaps partially with GROUP 5 but focuses on evidential clarity), erreala/errealitatea (overlaps with GROUP 5 but functions more as philosophical/ontological category) | Epistemic qualification: "itxuraz" marking claims based on appearance; Revealing hidden reality: "egiazko izaera" (true nature); Distinguishing surface from substance; Unmasking deception: revealing "egiazko aurpegia" |
| GROUP 6: Certainty and Doubt Expressions | This group contains expressions marking the speaker's epistemic stance regarding certainty or uncertainty. These terms indicate confidence levels in knowledge or belief rather than evaluating truth itself. They appear in contexts where speakers express or question their degree of certainty. | ziurra (certain, sure), ziur egon (to be certain), ziurtasuna (certainty), ziurki (certainly), zalantza (doubt), zalantza izan (to have doubt), zalantzagarria (doubtful, questionable), zalantzan jarri (to put in doubt), zalantzarik gabe (without doubt), ziur asko (very sure) | None specifically noted | Expressing confidence: "ziur nago" (I am certain); Expressing uncertainty: "zalantza izan" (to have doubts); Questioning reliability: "zalantzagarria da" (it is questionable); Emphatic assertions: "zalantzarik gabe" (undoubtedly) |
| GROUP 7: Reliability and Trustworthiness Evaluation | This group contains expressions evaluating whether persons, sources, or information are worthy of trust or belief. These terms assess credibility and dependability rather than truth per se. They appear in contexts where the reliability of sources or the plausibility of claims is being evaluated. | fidagarria (reliable, trustworthy), sinesgarria (believable, credible), fede (faith, trust), fede izan (to have faith), fede eman (to give credence), sinestu (to believe), fidatu (to trust) | fede (belongs to GROUP 7 in trust contexts and GROUP 12 in religious contexts) | Evaluating sources: "iturburu fidagarria" (reliable source); Assessing credibility: "sinesgarria da" (it is believable); Trust relationships: "fede izan" (to have faith); Plausibility judgments: determining what merits belief |
| GROUP 8: Direct vs. Mediated Connection | This group contains expressions marking whether connections, relationships, or transmissions are direct and unmediated or involve intermediaries. These terms appear in technical, media, political, and commercial contexts where the presence or absence of intermediation is significant. The root "zuzen" extends from physical straightness to lack of mediation. | zuzenean (directly, live), zuzeneko (direct, live), zuzeneko emisioa (live broadcast), zuzeneko konexioa (direct connection), zuzeneko demokrazia (direct democracy), zuzeneko salmentak (direct sales), zuzeneko harremana (direct relationship), zuzeneko eragina (direct influence), zuzen-zuzenean (very directly) | zuzen/zuzena (belongs to GROUP 4 in epistemic/procedural contexts, GROUP 15 in physical/spatial contexts, GROUP 8 when extended to "zuzeneko") | Broadcasting: live vs. recorded transmission; Political organization: direct vs. representative democracy; Commerce: direct vs. intermediated sales; Causal analysis: direct vs. indirect effects; Telecommunications: unmediated connections |
| GROUP 9: Moral Honesty and Deception | This group contains expressions evaluating the moral character of persons or actions regarding honesty and deception. These terms focus on sincerity, integrity, and moral uprightness rather than factual accuracy. They appear in contexts of character evaluation and moral judgment. | zintzo/zintzoa (honest, sincere), zintzotasuna (honesty, integrity), zintzoki (honestly), zintzo ibili (to behave honestly), iruzurra (fraud, deceit), iruzurtia (fraudulent person), engainua (deception), engainatu (to deceive), gezurrezko modestia (false modesty), gezurrezko adiskidea (false friend) | gezurrezko (belongs to GROUP 3 with objects, GROUP 9 with character, GROUP 10 in judicial contexts, GROUP 14 with information) | Character evaluation: "zintzo da" (he/she is honest); Moral condemnation: "iruzurtia da" (he/she is a fraudster); Evaluating sincerity: distinguishing genuine from feigned behavior; Interpersonal trust: identifying false friends |
