# F1 VOCABULARY TABLE — Basque (eu)

| Form | Transliteration | Literal Meaning | Common Translations | Usage Description | Epistemic Status |
|------|----------------|-----------------|---------------------|-------------------|------------------|
| egia | egia | truth | truth, true, reality | The fundamental term for truth in Basque, used both as a noun ("the truth") and in predicative constructions ("it is true"). Appears in everyday speech, philosophical discourse, and legal contexts to denote correspondence with reality or factual accuracy. | [CORE] |
| egiazkoa | egiazkoa | egia (truth) + -zko (relational suffix) + -a (article) | true, genuine, authentic, real | Adjective derived from "egia" used to describe something as truthful, genuine, or authentic. Commonly applied to statements, objects, and persons to indicate they are what they claim or appear to be. | [CORE] |
| gezurra | gezurra | lie, falsehood | lie, falsehood, untruth | The standard term for a deliberate falsehood or lie. Used in everyday contexts to describe false statements and in moral discourse about dishonesty. | [CORE] |
| gezurrezko | gezurrezko | gezur (lie) + -ezko (relational suffix) | false, fake, counterfeit | Adjective meaning false or fake, used to describe objects, statements, or representations that are not genuine. Contrasts directly with "egiazkoa." | [CORE] |
| zuzena | zuzena | zuzen (straight, correct) + -a (article) | correct, right, straight, just | Polysemous term meaning both physically straight and morally/factually correct. Used to evaluate statements for correctness, conduct for righteousness, and objects for proper alignment or form. | [CORE] |
| okerra | okerra | oker (wrong, crooked) + -a (article) | wrong, incorrect, crooked, unjust | Opposite of "zuzena," denoting both physical crookedness and moral/factual incorrectness. Applied to false statements, improper conduct, and distorted representations. | [CORE] |
| benetakoa | benetakoa | benetan (truly, really) + -ko (relational) + -a (article) | real, genuine, authentic | Emphasizes genuine nature or authenticity, often used to distinguish the real thing from imitations or appearances. Common in everyday speech to affirm something's true nature. | [CORE] |
| fidagarria | fidagarria | fida (trust, from Romance) + -garri (worthy of) + -a (article) | reliable, trustworthy, dependable | Describes persons, sources, or objects as worthy of trust or confidence. Frequently used in contexts evaluating credibility and dependability. | [CORE] |
| sinesgarria | sinesgarria | sines (belief) + -garri (worthy of) + -a (article) | believable, credible, plausible | Indicates that something is worthy of belief or appears credible. Applied to statements, accounts, and representations to assess their plausibility. | [CORE] |
| ziurra | ziurra | certain, sure | certain, sure, secure | Expresses certainty or security, used both epistemically (to indicate confidence in truth) and ontologically (to describe something as secure or fixed). Common in assertions of confidence. | [CORE] |
| egiazkotasuna | egiazkotasuna | egiazko (true) + -tasun (abstract noun suffix) + -a (article) | truthfulness, authenticity, veracity | Abstract noun denoting the quality of being true or authentic. Used in formal and philosophical contexts to discuss the property of truthfulness itself. | [CORE] |
| iruzurra | iruzurra | fraud, deception | fraud, deception, swindle | Refers to deliberate deception or fraud, particularly in legal and commercial contexts. Stronger than simple lying, implying systematic or calculated dishonesty. | [CORE] |
| antzekoa | antzekoa | antze (resemblance) + -ko (relational) + -a (article) | similar, resembling, like | Indicates resemblance or similarity between things. Used to evaluate how closely something matches or corresponds to another thing or to an ideal. | [CORE] |
| egokia | egokia | egoki (appropriate, suitable) + -a (article) | appropriate, suitable, fitting, proper | Evaluates whether something is fitting or appropriate for a context or purpose. Used in moral, aesthetic, and practical evaluations of conduct and choices. | [CORE] |
| zintzo | zintzo | honest, sincere | honest, sincere, upright | Describes persons or conduct as honest and sincere, particularly in moral evaluations. Emphasizes integrity and straightforwardness in character and action. | [CORE] |
| faltsua | faltsua | false (from Romance) | false, fake, counterfeit | Borrowed term used alongside native "gezurrezko" to describe falseness. Common in formal and technical contexts, particularly legal and commercial discourse about counterfeit goods. | [CORE] |
| benetan | benetan | bene (own, very) + -tan (locative/manner) | really, truly, genuinely | Adverb used to emphasize truth or genuineness, often functioning as an intensifier in assertions. Frequently appears in confirmations and emphatic statements about reality. | [CORE] |
| zintzoa | zintzoa | zintzo (honest) + -a (article) | honest, sincere, truthful | Adjectival form describing honest persons, statements, or conduct. Central to moral evaluation of character and communication. | [CORE] |
| zalantzagarria | zalantzagarria | zalantza (doubt) + -garri (worthy of) + -a (article) | doubtful, questionable, dubious | Indicates that something merits doubt or skepticism. Used to evaluate the reliability or credibility of claims, sources, or appearances. | [CORE] |
| egiazkotua | egiazkotua | egiazko (true) + -tu (verbal suffix) + -a (participle) | verified, authenticated, confirmed | Participle indicating that something has been verified or authenticated. Common in formal, legal, and administrative contexts requiring confirmation of truth. | [CORE] |
| itxurazko | itxurazko | itxura (appearance) + -zko (relational) | apparent, seeming, superficial | Describes something as merely apparent or based on appearance rather than reality. Used to distinguish surface appearance from underlying truth. | [CORE] |
| benetako | benetako | benetan (truly) + -ko (relational) | real, genuine, true | Adjectival form emphasizing genuine or real nature. Often contrasted with "itxurazko" to distinguish reality from mere appearance. | [CORE] |
| zuzentasuna | zuzentasuna | zuzen (correct) + -tasun (abstract noun) + -a (article) | correctness, rightness, justice, rectitude | Abstract noun denoting the quality of being correct or right, used in both epistemic contexts (correctness of statements) and moral contexts (justice, righteousness). | [CORE] |
| engainua | engainua | deception, deceit | deception, deceit, trickery | Refers to acts of deceiving or misleading. Used in moral and practical contexts to describe dishonest practices and false representations. | [CORE] |
| egiazkotu | egiazkotu | egiazko (true) + -tu (verbalizer) | to verify, to authenticate, to confirm | Verb meaning to verify or authenticate something. Used in contexts requiring confirmation of truth or genuineness through investigation or evidence. | [CORE] |
