# CLCA Protocol v3.4 — F4 Construction Table
# Language: Basque (eu)

| Construction Type | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|------------------|---------|-----------------|-------------|-------------|------------------|
| **1. ATTRIBUTION** | Hori egia da | hori egia da | That is truth/true | Standard predicative construction used across all registers for categorical truth-assertions. The article -a on predicate nominal is obligatory. | [CORE] |
| **1. ATTRIBUTION** | Gezurra da | gezurra da | It is a lie | Same construction; equally common for negative truth-values. No register restrictions observed. | [CORE] |
| **2. NEGATIVE ATTRIBUTION** | Ez da egia | ez da egia | It is not true | Obligatory preverbal negation with "ez" is the only grammatical option. Used across all contexts for denying truth-claims. | [CORE] |
| **2. NEGATIVE ATTRIBUTION** | Ez da zuzena | ez da zuzena | It is not correct | Same pattern; equally productive with all truth-domain predicates. No variation observed. | [CORE] |
| **3. ADNOMINAL MODIFICATION** | egiazko historia | egiazko historia | true story/real history | Highly productive attributive pattern. The relational suffix -ko/-zko is standard and obligatory for derived adjectives in prenominal position. | [CORE] |
| **3. ADNOMINAL MODIFICATION** | gezurrezko dokumentua | gezurrezko dokumentua | false document/forged document | Same productivity; used across all registers. The -ezko allomorph after -r is phonologically conditioned. | [CORE] |
| **4. BECOME / INCHOATIVE** | egia bihurtu | egia bihurtu | to become truth | Less common with abstract truth-domain nouns than with concrete nouns. Periphrastic construction required since Basque lacks simple "become" copula. | [MARGINAL] |
| **4. BECOME / INCHOATIVE** | gezur bihurtu | gezur bihurtu | to become a lie | Same restricted usage. Alternative specific verbs (e.g., "okertu" for "oker") may be preferred in some contexts. | [MARGINAL] |
| **5. CAUSATIVE** | (no common expression identified) | — | — | No productive causative construction identified. Verification verbs (egiazkotu, ziurtatu) serve related functions but are not true causatives. Morphological causative -arazi does not productively combine with truth-domain roots. | [UNCERTAIN] |
| **6. ABSTRACT NOMINALIZATION** | egiazkotasuna | egia-zko-tasun-a | truthfulness/authenticity | Highly productive in formal and philosophical discourse. The suffix -tasun attaches to adjectival bases. | [CORE] |
| **6. ABSTRACT NOMINALIZATION** | zintzotasuna | zintzo-tasun-a | honesty/sincerity | Same productivity. Note: not all roots support this derivation (no *gezurtasuna in standard usage). | [CORE] |
| **7. AGENTIVE NOMINALIZATION** | gezurtia | gezur-ti-a | liar/lying person | The -ti pattern is productive but often carries pejorative connotations. Common in colloquial and evaluative contexts. | [CORE] |
| **7. AGENTIVE NOMINALIZATION** | egiaztatzailea | egia-zta-tzaile-a | verifier/authenticator | The -tzaile pattern is more productive and neutral, used for professional/functional agents. Common in technical and administrative contexts. | [CORE] |
| **8. LIGHT VERB CONSTRUCTIONS** | egia esan | egia esan | to tell the truth | Extremely productive pattern across all registers. "Esan" (say) is the primary light verb for speech acts involving truth-domain nouns. | [CORE] |
| **8. LIGHT VERB CONSTRUCTIONS** | gezurra esan | gezurra esan | to tell a lie | This is the standard way to express "to lie" since no simple verb *gezurtu exists. Fully idiomatic and obligatory. | [CORE] |
| **9. CASE-MARKED ADVERBIAL PHRASES** | egiaz | egia-z | truthfully/truly | Highly productive manner adverbial formation. The instrumental case -z is the standard marker for manner across all truth-domain nouns. | [CORE] |
| **9. CASE-MARKED ADVERBIAL PHRASES** | benetan | bene-ta-n | really/truly/indeed | Locative case -tan creates emphatic truth-markers. Functions as both manner adverbial and discourse marker. Very common in spoken language. | [CORE] |
| **10. GENITIVE + POSTPOSITION CONSTRUCTIONS** | egiaren bila | egia-ren bila | in search of truth | Fixed phrases with specific postpositions. Very common in moral, philosophical, and political discourse. | [CORE] |
| **10. GENITIVE + POSTPOSITION CONSTRUCTIONS** | egiaren alde | egia-ren alde | on the side of truth | Same pattern; productive with postpositions like "bila," "alde," "aurka," "kontra." Creates evaluative and directional expressions. | [CORE] |
| **11. VERIFICATION AND AUTHENTICATION VERBS** | egiazkotu | egia-zko-tu | to verify/authenticate | Productive verbal derivation pattern. Multiple derivational paths exist (egiazkotu, egiaztatu both mean "verify"). Common in formal and technical contexts. | [CORE] |
