# F6 — NATURALNESS TABLE

| Prompt # | Expression (Native Script) | Transliteration | Naturalness Rating | Notes |
|----------|---------------------------|-----------------|-------------------|--------|
| 1.1 | तत् सत्यं भवति | tat satyaṃ bhavati | NATURAL | Extremely common construction expressing verification or revelation of truth-status. Used across all registers. No restrictions observed. |
| 1.1 | एतत् तथ्यं भूतम् | etat tathyaṃ bhūtam | NATURAL | Past participle bhūta frequently used for completed state change. |
| 1.1 | वचनं सत्यं भविष्यति | vacanaṃ satyaṃ bhaviṣyati | NATURAL | Future tense fully productive. |
| 1.2 | ज्ञानं प्रमा भवति | jñānaṃ pramā bhavati | NATURAL | Common in epistemological contexts expressing establishment of epistemic validity. |
| 1.2 | इदं प्रमाणं भूतम् | idaṃ pramāṇaṃ bhūtam | NATURAL | Indicates transition from uncertain or unvalidated status to validated status. |
| 1.3 | ज्ञानं यथार्थं भवति | jñānaṃ yathārthaṃ bhavati | NATURAL | Emphasizes achievement of correspondence between representation and reality. Common in epistemological and ordinary discourse. |
| 1.3 | तद् यथार्थं भूतम् | tad yathārthaṃ bhūtam | NATURAL | Standard expression for proving true to fact. |
| 1.4 | एतत् धर्मः भवति | etat dharmaḥ bhavati | NATURAL | Used when actions or situations come to be recognized as conforming to dharma. More common in conditional constructions. |
| 1.4 | कर्म धर्मः भूतम् | karma dharmaḥ bhūtam | NATURAL | Standard for actions proving righteous. |
| 1.5 | तत् युक्तं भवति | tat yuktaṃ bhavati | NATURAL | Common in contexts where logical propriety or practical fitness is established through reasoning or events. Used across philosophical and ordinary registers. |
| 1.5 | वचनं युक्तं भूतम् | vacanaṃ yuktaṃ bhūtam | NATURAL | Standard for statements proving fitting. |
| 1.6 | स्वरूपं प्रकाशते | svarūpaṃ prakāśate | NATURAL | Specifically used for revelation or manifestation of essential nature or reality. Common in philosophical and religious contexts. |
| 1.6 | तत्त्वं प्रकाशितम् | tattvaṃ prakāśitam | NATURAL | Emphasizes coming to light rather than simple change of state. |
| 1.7 | प्रमाणेन सिद्धम् | pramāṇena siddham | NATURAL | Extremely common construction for expressing epistemic validation or logical proof. Standard in philosophical argumentation. |
| 1.7 | युक्त्या सिद्धम् | yuktyā siddham | NATURAL | Instrumental typically specifies the means of establishment. |
| 1.7 | तत् सत्यं सिद्धम् | tat satyaṃ siddham | NATURAL | Standard for proven true. |
| 1.8 | सत्यं जञायते | satyaṃ jñāyate | NATURAL | Passive construction emphasizing the process of coming to be known rather than active discovery. Common in philosophical contexts. |
| 1.8 | तत्त्वं जञातम् | tattvaṃ jñātam | NATURAL | Standard for reality becoming known. |
| 2.1 | तत् असत्यं भवति | tat asatyaṃ bhavati | NATURAL | Common construction for falsification or revelation of falsity. Used across all registers. |
| 2.1 | मिथ्या भूतम् | mithyā bhūtam | NATURAL | Adverbial forms function without inflection. |
| 2.1 | वचनं मृषा भवति | vacanaṃ mṛṣā bhavati | NATURAL | Standard expression for proving vain. |
| 2.2 | भ्रमं गच्छति | bhramaṃ gacchati | NATURAL | Specifically used for entry into cognitive error or confusion. Common in epistemological contexts. |
| 2.2 | विपर्ययं गतः | viparyayaṃ gataḥ | NATURAL | Verb √gam emphasizes movement into an undesirable epistemic state. |
| 2.3 | भ्रमे पतति | bhrame patati | NATURAL | Alternative to √gam construction, emphasizing downward movement into error. Slightly more dramatic or emphatic. |
| 2.3 | विपर्यये पतितः | viparyaye patitaḥ | NATURAL | Common in philosophical and narrative contexts. |
| 2.4 | ज्ञानम् अप्रमा भवति | jñānam apramā bhavati | NATURAL | Used in epistemological contexts for invalidation of previously accepted knowledge. Less common than positive inchoatives but fully productive. |
| 2.4 | इदम् अप्रमाणं भूतम् | idam apramāṇaṃ bhūtam | NATURAL | Standard for becoming invalid means. |
| 2.5 | प्रामाण्यं नश्यति | prāmāṇyaṃ naśyati | NATURAL | Specifically used for loss or destruction of epistemic validity or authority. Common in epistemological debates. |
| 2.5 | प्रामाण्यं क्षीयते | prāmāṇyaṃ kṣīyate | NATURAL | Emphasizes gradual diminishment rather than complete loss. |
| 3.1 | प्रमाणं करोति | pramāṇaṃ karoti | MARGINAL | Light verb √kṛ is primary strategy for causative meanings but less grammaticalized. Common in technical and administrative contexts for validation/authentication. |
| 3.1 | सत्यं करोति | satyaṃ karoti | MARGINAL | Less idiomatic than alternatives. |
| 3.1 | तत् प्रमाणं कृतम् | tat pramāṇaṃ kṛtam | MARGINAL | Attested but marked as less common. |
| 3.2 | प्रमाणीकरोति | pramāṇīkaroti | NATURAL (modern) / MARGINAL (classical) | Denominative verb more formal/technical. Common in modern administrative and legal usage. Less common in classical philosophical texts. |
| 3.2 | प्रमाणीकृतम् | pramāṇīkṛtam | NATURAL (modern) / MARGINAL (classical) | Standard in modern contexts. |
