# CLCA Protocol v3.2 — F1 VOCABULARY TABLE
# Language: Sanskrit (sa)

| Form | Transliteration | Literal Meaning | Common Translations | Usage Description | Epistemic Status |
|------|-----------------|-----------------|---------------------|-------------------|------------------|
| सत्य | satya | being, existing; from √as "to be" | truth, true, real, genuine | Used to denote both factual accuracy and moral/ethical truthfulness in speech and conduct. Appears extensively in philosophical, legal, and religious contexts as both noun and adjective. | [CORE] |
| असत्य | asatya | non-being, not existing; a- (negative) + satya | untruth, false, untrue | Negation of satya, used for factually incorrect statements or morally wrong speech. Common in ethical and philosophical discourse. | [CORE] |
| ऋत | ṛta | fitted, proper, right; from √ṛ "to go, move" | cosmic order, truth, right, proper | Denotes cosmic and moral order, correctness, and truth in Vedic contexts. Represents both natural law and ethical rightness. | [CORE] |
| अनृत | anṛta | not-ṛta; a- (negative) + ṛta | untruth, falsehood, wrong | Opposite of ṛta, indicating disorder, falsehood, or moral wrongness. Primarily found in Vedic and classical texts. | [CORE] |
| तथ्य | tathya | being so, corresponding to fact; from tathā "thus, so" | true, real, actual, factual | Emphasizes correspondence to actual state of affairs or facts. Used in philosophical and ordinary discourse for factual accuracy. | [CORE] |
| मृषा | mṛṣā | falsely, vainly; adverbial form | falsely, in vain, untruly | Functions primarily as adverb meaning "falsely" or "in vain." Commonly appears in compounds and expressions denoting false speech or action. | [CORE] |
| प्रमाण | pramāṇa | measure, standard; pra- (forth) + √mā "to measure" | valid means of knowledge, proof, authority, standard | Technical term in epistemology for valid sources of knowledge (perception, inference, testimony, etc.). Central to philosophical discussions of truth and verification. | [CORE] |
| प्रमा | pramā | correct knowledge; from pra- + √mā | valid cognition, true knowledge, correct understanding | Denotes epistemically valid or true knowledge as opposed to error. Technical term in Indian epistemology and logic. | [CORE] |
| भ्रम | bhrama | wandering, confusion; from √bhram "to wander" | error, illusion, false notion, mistake | Indicates cognitive error or mistaken perception. Used in epistemological contexts for false cognition or illusion. | [CORE] |
| यथार्थ | yathārtha | according to the object/meaning; yathā "as" + artha "object, meaning" | true to fact, accurate, corresponding to reality | Denotes correspondence between cognition and object, or statement and fact. Common in philosophical discussions of truth. | [CORE] |
| धर्म | dharma | that which holds/sustains; from √dhṛ "to hold, support" | duty, righteousness, law, proper conduct, religion | Multivalent term indicating right conduct, moral law, duty, and cosmic order. Central to ethical, legal, and religious evaluation. | [CORE] |
| अधर्म | adharma | non-dharma; a- (negative) + dharma | unrighteousness, wrong conduct, injustice | Negation of dharma, indicating morally wrong or improper conduct. Used in ethical and legal contexts. | [CORE] |
| साधु | sādhu | straight, right; from √sādh "to go straight to, accomplish" | good, proper, correct, virtuous, well done | Indicates correctness, propriety, or moral goodness. Used as exclamation of approval and as adjective for proper conduct or correct statements. | [CORE] |
| न्याय | nyāya | going into, method; from ni- + √i "to go" | justice, logic, proper method, reasoning | Denotes both logical reasoning/correct inference and justice/fairness. Name of major philosophical school focused on logic and epistemology. | [CORE] |
