| Prompt # | Expression (Native Script) | Transliteration | Naturalness Rating | Notes |
|---|---|---|---|---|
| 1 | (no common expression identified) |  | NO COMMON EXPRESSION EXISTS | The CONTEXT already states in P4a that no common inchoative construction was identified from the dataset. So for forms like **אמת, נכון, מדויק, אמין, מהימן, אותנטי, תואם**, I do **not** posit a general Hebrew pattern here such as “become true/reliable/authentic” unless it is directly supported by the listed material. |
| 1 | (no common expression identified) |  | NO COMMON EXPRESSION EXISTS | The CONTEXT already states in P4a that no common inchoative construction was identified from the dataset. So for forms like **אמת, נכון, מדויק, אמין, מהימן, אותנטי, תואם**, I do **not** posit a general Hebrew pattern here such as “become true/reliable/authentic” unless it is directly supported by the listed material. |
| 2 | יצא צודק | *yatsa tsodek* | clearest dynamic expression in the CONTEXT | This is the clearest dynamic expression in the CONTEXT for a change-over-time reading. It does not mean that someone “became morally right”; rather, later events showed that the person’s earlier position was right. This pattern is attested only with **צודק** in the provided material. I do **not** extend it automatically to other predicates. |
| 3 | לגלות את האמת | *legalot et ha-ʾemet* | dynamic | These are dynamic because truth is presented as something hidden that becomes known or exposed. The change is not encoded as “truth becomes true,” but as access to truth changing over time. |
| 3 | להוציא את האמת לאור | *lehotsi et ha-ʾemet la-ʾor* | dynamic | These are dynamic because truth is presented as something hidden that becomes known or exposed. The change is not encoded as “truth becomes true,” but as access to truth changing over time. |
| 3 | לדעת את האמת | *ladaʿat et ha-ʾemet* | more stative | This is more stative, but it naturally pairs with the dynamic expressions above. |
| 4 | לומר את האמת | *lomar et ha-ʾemet* | strongest dynamic oppositions in the dataset | These are dynamic event expressions involving truthful vs. false speech. They do not mean that the proposition itself changes state; rather, a speaker performs an act of truthful reporting or lying. This is one of the strongest dynamic oppositions in the dataset. |
| 4 | לספר שקר | *lesaper sheqer* | strongest dynamic oppositions in the dataset | These are dynamic event expressions involving truthful vs. false speech. They do not mean that the proposition itself changes state; rather, a speaker performs an act of truthful reporting or lying. This is one of the strongest dynamic oppositions in the dataset. |
| 5 | להצדיק את הטענה | *lehatsdiq et ha-taʿanah* | clearest causative morphology in the CONTEXT | This is the clearest causative morphology in the CONTEXT. It does not mean “make true”; it means “make justified / show as warranted.” So this belongs specifically to the **צ־ד־ק** cluster, not to all truth terms in general. |
| 5 | הצדקה | *hatsdaqah* | support a dynamic interpretation | These support a dynamic interpretation where argument or evidence can lead to a status of justification. |
| 5 | מוצדק | *mutsdaq* | support a dynamic interpretation | These support a dynamic interpretation where argument or evidence can lead to a status of justification. |
| 5 | בלתי מוצדק | *bilti mutsdaq* | support a dynamic interpretation | These support a dynamic interpretation where argument or evidence can lead to a status of justification. |
| 6 | להוכיח שמישהו צודק | *lehokhiaḥ she-mishehu tsodek* | causation in an evidential/argumentative sense | This is causation in an evidential/argumentative sense: evidence or reasoning establishes that a person’s position is right. Again, this is tied specifically to **צודק**, not to **נכון** or **אמת** in the dataset. |
| 6 | יצא צודק | *yatsa tsodek* | closely related | It is closely related to **יצא צודק** → later events vindicate someone. |
| 6 | אתה צודק | *atah tsodek* | stative acknowledgment | It is closely related to **אתה צודק** → stative acknowledgment. |
| 7 | לפגוע באמינות | *lifgoaʿ be-aminut* | important dynamic expressions | These are important dynamic expressions for movement toward a **non-truth-related evaluative state**, especially in the reliability domain. They do not mean that a source becomes false. Rather, **לפגוע באמינות** lowers credibility. |
| 7 | להטיל ספק במהימנות | *lehatil safeq bi-mehemanut* | important dynamic expressions | These are important dynamic expressions for movement toward a **non-truth-related evaluative state**, especially in the reliability domain. They do not mean that a source becomes false. Rather, **להטיל ספק במהימנות** challenges assessed trustworthiness. |
| 8 | בדיקת אמינות | *bediqat aminut* | strongly dynamic | These expressions encode dynamics of **stability under examination**. They are not simple state changes, but they are strongly dynamic: truth-related status is evaluated through a process over time. |
| 8 | מבחן אמינות | *mivḥan aminut* | strongly dynamic | These expressions encode dynamics of **stability under examination**. They are not simple state changes, but they are strongly dynamic: truth-related status is evaluated through a process over time. |
| 8 | מבחן האמת | *mivḥan ha-ʾemet* | strongly dynamic | These expressions encode dynamics of **stability under examination**. They are not simple state changes, but they are strongly dynamic: truth-related status is evaluated through a process over time. |
| 9 | לדייק | *ledayeq* | dynamic area centered on improving exactness | This is a dynamic area centered on **improving exactness** rather than changing truth value. The relevant change is from a rougher formulation to a more exact formulation. |
| 9 | אם לדייק | *ʾim ledayeq* | dynamic area centered on improving exactness | This is a dynamic area centered on **improving exactness** rather than changing truth value. The relevant change is from a rougher formulation to a more exact formulation. |
| 9 | ליתר דיוק | *le-yeter diyuq* | dynamic area centered on improving exactness | This is a dynamic area centered on **improving exactness** rather than changing truth value. The relevant change is from a rougher formulation to a more exact formulation. |
| 9 | חוסר דיוק | *ḥoser diyuq* | related negative/stability expressions | Related negative/stability expressions: **חוסר דיוק** → “lack of precision”. |
| 9 | אי-דיוק | *ʾi-diyuq* | related negative/stability expressions | Related negative/stability expressions: **אי-דיוק** → “inaccuracy”. |
| 9 | לא מדויק / לא לגמרי מדויק | *lo meduyaq / lo le-gamrei meduyaq* | related negative/stability expressions | Related negative/stability expressions: **לא מדויק / לא לגמרי מדויק** → “not accurate / not entirely accurate”. |
| 10 | הצהרה כוזבת | *hatsaharah kozevet* | evaluative outcome | These are not inchoatives, but they encode an evaluative outcome: a statement, testimony, or representation is classified as false in a formal register. |
| 10 | טענה שקרית | *taʿanah sheqrit* | evaluative outcome | These are not inchoatives, but they encode an evaluative outcome: a statement, testimony, or representation is classified as false in a formal register. |
| 10 | עדות כוזבת | *ʿedut kozevet* | evaluative outcome | These are not inchoatives, but they encode an evaluative outcome: a statement, testimony, or representation is classified as false in a formal register. |
| 10 | מצג כוזב | *matsag kozév* | evaluative outcome | These are not inchoatives, but they encode an evaluative outcome: a statement, testimony, or representation is classified as false in a formal register. |
| 10 | זה לא נכון | *ze lo nakhon* | more immediate dynamic denial | This contrasts with the more immediate dynamic denial: **זה לא נכון** → “that is not true”. |
| 11 | תואם את העובדות | *toʾem et ha-uvdot* | dynamic in use | These expressions are usually evaluative outcomes of comparison. The dataset does **not** provide a dedicated “become corresponding / cease to correspond” construction. Still, they are dynamic in use because a description, report, or representation is assessed against facts or reality. |
| 11 | תואם למציאות | *toʾem la-metsiʾut* | dynamic in use | These expressions are usually evaluative outcomes of comparison. The dataset does **not** provide a dedicated “become corresponding / cease to correspond” construction. Still, they are dynamic in use because a description, report, or representation is assessed against facts or reality. |
| 11 | אינו תואם למציאות | *eino toʾem la-metsiʾut* | dynamic in use | These expressions are usually evaluative outcomes of comparison. The dataset does **not** provide a dedicated “become corresponding / cease to correspond” construction. Still, they are dynamic in use because a description, report, or representation is assessed against facts or reality. |
| 11 | לא לגמרי תואם למציאות | *lo le-gamrei toʾem la-metsiʾut* | dynamic in use | These expressions are usually evaluative outcomes of comparison. The dataset does **not** provide a dedicated “become corresponding / cease to correspond” construction. Still, they are dynamic in use because a description, report, or representation is assessed against facts or reality. |
| 12 | המסמך המקורי | *ha-mismakh ha-meqori* | dynamic opposition, but no clear inchoative pattern | This domain clearly encodes a dynamic contrast between genuine and falsified states, but the dataset mainly gives nouns of process, result-state adjectives, and authenticity labels. What is **not** clearly provided is a common inchoative pattern like “become forged” or “become authentic.” |
| 12 | אותנטי / לא אותנטי | *otenti / lo otenti* | dynamic opposition, but no clear inchoative pattern | This domain clearly encodes a dynamic contrast between genuine and falsified states, but the dataset mainly gives nouns of process, result-state adjectives, and authenticity labels. What is **not** clearly provided is a common inchoative pattern like “become forged” or “become authentic.” |
| 12 | מסמך מזויף | *mismakh mezuyaf* | dynamic opposition, but no clear inchoative pattern | This domain clearly encodes a dynamic contrast between genuine and falsified states, but the dataset mainly gives nouns of process, result-state adjectives, and authenticity labels. What is **not** clearly provided is a common inchoative pattern like “become forged” or “become authentic.” |
| 12 | מוצר מזויף | *mutsar mezuyaf* | dynamic opposition, but no clear inchoative pattern | This domain clearly encodes a dynamic contrast between genuine and falsified states, but the dataset mainly gives nouns of process, result-state adjectives, and authenticity labels. What is **not** clearly provided is a common inchoative pattern like “become forged” or “become authentic.” |
| 12 | זיוף מסמכים | *ziyuf mismakhim* | dynamic opposition, but no clear inchoative pattern | This domain clearly encodes a dynamic contrast between genuine and falsified states, but the dataset mainly gives nouns of process, result-state adjectives, and authenticity labels. What is **not** clearly provided is a common inchoative pattern like “become forged” or “become authentic.” |
| 12 | זיוף חתימה | *ziyuf ḥatimah* | dynamic opposition, but no clear inchoative pattern | This domain clearly encodes a dynamic contrast between genuine and falsified states, but the dataset mainly gives nouns of process, result-state adjectives, and authenticity labels. What is **not** clearly provided is a common inchoative pattern like “become forged” or “become authentic.” |
| 13 | אמינות גבוהה / נמוכה | *aminut gvohah / nemukhah* | stable assessed states | The dataset often encodes stability not by verbs of becoming, but by scalar grading, testing, comparison, and negated evaluation. So truth-related meanings in Hebrew here are often **stable assessed states** rather than overtly inchoative ones. |
| 13 | מדויק מאוד | *meduyaq meʾod* | stable assessed states | The dataset often encodes stability not by verbs of becoming, but by scalar grading, testing, comparison, and negated evaluation. So truth-related meanings in Hebrew here are often **stable assessed states** rather than overtly inchoative ones. |
| 13 | לא לגמרי מדויק | *lo le-gamrei meduyaq* | stable assessed states | The dataset often encodes stability not by verbs of becoming, but by scalar grading, testing, comparison, and negated evaluation. So truth-related meanings in Hebrew here are often **stable assessed states** rather than overtly inchoative ones. |
