| Form | Transliteration | Literal Meaning | Common Translations | Usage Description | Epistemic Status |
|---|---|---|---|---|---|
| אמת | *ʾemet* | “truth”; from the Semitic root א־מ־ת | truth, אמת, verity | A very common noun used for the truth of a statement, claim, report, or situation. It also appears in broader moral, religious, and philosophical usage, such as speaking of “truth” as a value or principle. | [CORE] |
| אמיתי | *ʾamiti* | adjectival form from אמת “truth” | true, real, genuine | Used for statements that are true, but also for things or persons considered genuine or authentic, such as “a real friend” or “genuine leather.” In colloquial speech it can also intensify sincerity or essential character. | [CORE] |
| נכון | *nakhon* | “correct, right, proper” | correct, right, accurate | One of the most frequent words for correctness, especially for answers, facts, calculations, and judgments. It is also used in broader evaluative contexts for what is proper or appropriate, depending on context. | [CORE] |
| לא נכון | *lo nakhon* | “not correct” | incorrect, untrue, wrong | A fixed and very common expression used to reject a statement, answer, or claim as false or incorrect. In everyday speech it can refer both to factual inaccuracy and to normative wrongness, though context usually makes the sense clear. | [CORE] |
| צודק | *tsodek* | participial/adjectival form from the root צ־ד־ק | right, correct, justified | Commonly used when saying that a person is right in an argument or assessment. It often evaluates a speaker’s position, but can also imply justice or justification rather than mere factual correctness. | [CORE] |
| צדק | *tsedeq* | “justice, righteousness”; from the root צ־ד־ק | justice, righteousness, rightness | Used in legal, moral, and philosophical contexts for justice or rightness. It is less about factual truth than about whether conduct, judgment, or social arrangements are right or just. | [CORE] |
| מדויק | *meduyaq* | passive/adjectival form from the root ד־י־ק “to be precise” | accurate, precise, exact | Used for measurements, descriptions, reports, quotations, and representations that are exact or accurate. It often emphasizes precision rather than truth in the broad philosophical sense. | [CORE] |
| דיוק | *diyuq* | “precision, accuracy” | precision, accuracy, exactness | Refers to the quality of being accurate or precise, especially in language, science, technical work, and representation. It is commonly used when evaluating whether wording, depiction, or measurement matches what it should. | [CORE] |
| מהימן | *meheman* | adjectival form meaning “trustworthy, reliable” | reliable, trustworthy, credible | Common in formal and semi-formal registers for sources, testimony, data, witnesses, and institutions. It evaluates whether something or someone can be trusted as dependable or credible. | [CORE] |
| מהימנות | *mehemanut* | abstract noun from מהימן | reliability, trustworthiness, credibility | Used in academic, legal, bureaucratic, and professional contexts for the reliability of evidence, instruments, reports, or persons. It often refers to a stable evaluative property rather than a one-time judgment. | [CORE] |
| אמין | *ʾamin* | “reliable, trustworthy”; related to the root א־מ־נ | reliable, trustworthy, credible | Very common in everyday Hebrew for people, systems, products, and information sources. Compared with מהימן, it is often more colloquial and broadly applicable in ordinary speech. | [CORE] |
| אמינות | *ʾaminut* | abstract noun from אמין | reliability, credibility, trustworthiness | Used for the reliability of machines, services, testimony, media, and claims. It is frequent in both everyday and professional contexts when discussing whether something can be depended on. | [CORE] |
| אותנטי | *otenti* | loanword from “authentic” | authentic, genuine | Used for objects, styles, performances, and sometimes persons or emotions judged to be genuine rather than fake or artificial. It is common in cultural, culinary, artistic, and identity-related contexts. | [CORE] |
| מקורי | *meqori* | from מקור “source, origin” | original, authentic, source-based | Used for an original object or document as opposed to a copy, and also for originality in ideas or artistic work. In some contexts it overlaps with authenticity, especially when evaluating whether something is the original version. | [CORE] |
| זיוף | *ziyuf* | “forgery, falsification, counterfeit” | forgery, falsification, fake | Common in legal, commercial, and everyday contexts for forged documents, counterfeit goods, or falsified records. It directly marks something as not genuine or not faithful to the original. | [CORE] |
| מזויף | *mezuyaf* | passive/adjectival form from זיוף | forged, counterfeit, fake | Used for documents, signatures, products, artworks, and other items judged not to be genuine. It is a standard term in legal and practical contexts involving authenticity. | [CORE] |
| דומה ל־ | *dome le-* | “similar to, resembling” | resembles, is similar to, looks like | A conventional expression used to evaluate resemblance between persons, objects, images, or situations. It does not itself assert identity or truth, but is central when judging whether a representation or thing matches another in appearance or character. | [CORE] |
| זהה | *zehe* | “identical, same” | identical, the same | Used when two things are judged to be exactly the same in form, content, or identity. It appears in legal, bureaucratic, technical, and everyday contexts where exact correspondence matters. | [CORE] |
| תואם | *toʾem* | participial/adjectival form from the root ת־א־ם “to correspond, match” | matching, corresponding, consistent with | Used for documents, data, descriptions, and actions that correspond to requirements, facts, or other records. It is common in formal contexts where conformity or consistency is being checked. | [CORE] |
| תואם למציאות | *toʾem la-metsiʾut* | “corresponding to reality” | true to reality, consistent with reality, realistic | A fixed expression used for descriptions, depictions, reports, or representations judged against actual reality. It is especially natural in discussions of testimony, media, art, and public claims. | [CORE] |
| כוזב | *kozév* | “false, deceitful” | false, untrue, deceptive | A formal or literary adjective often used for statements, reports, testimony, or promises that are false. It is especially common in legal, journalistic, and elevated written registers. | [CORE] |
| שקר | *sheqer* | “lie, falsehood” | lie, falsehood | Used both for a specific lie and for falsehood more generally. It is common in everyday moral evaluation, but also appears in legal, political, and religious discourse. | [CORE] |
| שקרי | *sheqri* | adjectival form from שקר | false, deceitful, spurious | Used for claims, representations, accusations, or appearances judged to be false or deceptive. It is more common in formal or written style than in casual conversation. | [CORE] |
| ראוי | *raʾuy* | “worthy, fitting, proper” | proper, fitting, worthy, appropriate | Used in moral, social, legal, and aesthetic contexts to evaluate whether conduct, treatment, or presentation is proper or fitting. It concerns normative rightness more than factual truth. | [CORE] |
| מהות | *mahut* | “essence, nature” | essence, nature, fundamental character | Common in philosophical, academic, and formal discussion when referring to what something fundamentally is. It is also used more broadly in expressions about the essential nature or core substance of an issue. | [CORE] |
| אמת | *ʾemet* | root noun from א־מ־ת | truth | Basic noun for truth in everyday, philosophical, religious, legal, and public discourse. Used for the truth of statements, situations, and principles. | [CORE] |
| אמיתי | *ʾamiti* | אמת + adjectival formation | true, real, genuine | Used for true statements and also for genuine people, feelings, objects, or relationships. Common in both colloquial and formal usage. | [CORE] |
| באמת | *beʾemet* | ב־ “in/really” + אמת | really, truly, in truth | Very common adverb in speech and writing. It can mark sincerity, emphasis, surprise, or actual truth. | [CORE] |
| למען האמת | *lemaʿan ha-ʾemet* | “for the sake of the truth” | to tell the truth, honestly | Common discourse marker introducing a candid admission or correction. Used in conversation, journalism, and essays. | [CORE] |
| האמת | *ha-ʾemet* | definite form of אמת | the truth | Used both referentially and as a discourse marker, especially in colloquial speech: *האמת ש־...* “the truth is / actually...”. | [CORE] |
