# F5 Opposition Table — Korean (ko)

| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
|--------|--------|-----------------|-------------|---------------------|---------------|------------------|
| 진실 (jinsil) | 거짓 (geojit) | jinsil vs. geojit | truth vs. falsehood/lie | Core lexical opposition between truth and falsehood. These terms are explicitly paired in contrastive constructions (진실과 거짓 "truth and falsehood") and appear in parallel distributional patterns with opposing semantic values. | lexical | [CORE] |
| 참 (cham) | 거짓 (geojit) | cham vs. geojit | true vs. false | Native Korean lexical opposition between truth and falsehood. Appears in conventionalized pairing 참과 거짓 "truth and falsehood" and shows parallel usage in philosophical and everyday contexts. | lexical | [CORE] |
| 진짜 (jinjja) | 가짜 (gajja) | jinjja vs. gajja | real/genuine vs. fake/counterfeit | Colloquial lexical opposition focused on authenticity versus inauthenticity. Highly productive in everyday speech, appearing in fixed contrastive constructions (진짜인지 가짜인지 "whether real or fake") and parallel modification patterns. | lexical | [CORE] |
| 진품 (jinpum) | 모조 (mojo) | jinpum vs. mojo | genuine article vs. imitation | Formal lexical opposition distinguishing authentic objects from imitations. Used primarily in commercial and artistic contexts for evaluating authenticity of goods and artworks. | lexical | [CORE] |
| 진본 (jinbon) | 위조 (wijo) | jinbon vs. wijo | original/authentic copy vs. forgery/counterfeit | Formal lexical opposition with legal implications. 진본 denotes authentic originals while 위조 implies fraudulent fabrication, particularly of documents, currency, or signatures. | lexical | [CORE] |
| 맞다 (matda) | 틀리다 (teullida) | matda vs. teullida | to be correct vs. to be wrong | Basic verbal opposition evaluating correctness versus incorrectness. Extremely common in everyday speech, educational contexts, and factual verification (맞아? "Is it correct?" vs. 틀렸어? "Is it wrong?"). | lexical | [CORE] |
| 정직하다 (jeongjikada) | 부정직하다 (bujeongjikada) | jeongjikada vs. bujeongjikada | to be honest vs. to be dishonest | Morphological opposition using negative prefix 부- (不) to create antonym. Evaluates character traits related to truthfulness versus dishonesty in conduct. | morphological | [CORE] |
| X-이다 (copula affirmative) | X-이/가 아니다 (copula negative) | X-ida vs. X-i/ga anida | "is X" vs. "is not X" | Constructional opposition using copula negation. Applied to truth-domain nouns to assert or deny truth-status (진실이다 "is true" vs. 진실이 아니다 "is not true"). | constructional | [CORE] |
| 진실을 말하다 (jinsireul malhada) | 거짓말을 하다 (geojinmareul hada) | jinsireul malhada vs. geojinmareul hada | to tell the truth vs. to tell a lie | Constructional opposition in verbal collocations. Parallel structures with opposing truth-domain nouns (진실 vs. 거짓말) combined with speech verbs, representing fundamental opposition between truthful and deceptive speech acts. | constructional | [CORE] |
| 진실을 밝히다 (jinsireul balkhida) | 진실을 숨기다 (jinsireul sumgida) | jinsireul balkhida vs. jinsireul sumgida | to reveal the truth vs. to hide the truth | Constructional opposition using same truth-domain noun (진실) with opposing verbs (밝히다 "reveal" vs. 숨기다 "hide"). Represents opposition between disclosure and concealment of truth. | constructional | [CORE] |
| 사실 (sasil) | 허위 (heowi) | sasil vs. heowi | fact vs. falsehood | Formal lexical opposition between factual truth and deliberate falsehood. 허위 carries connotations of legal violation and appears in formal/legal contexts (허위진술 "false testimony"), while 사실 denotes objective facts. | lexical | [CORE] |
| 실제 (silje) | (implied: appearance, theory, expectation) | silje vs. (겉, 이론, 기대 등) | actual/reality vs. (appearance, theory, expectation) | Asymmetric opposition where 실제 explicitly marks actual reality in contrast to various unstated alternatives (appearance, theory, claims). Common in constructions like 실제로는 "in reality" contrasting with what appears or is claimed. | constructional | [CORE] |
| 확실하다 (hwaksilhada) | 확실하지 않다 (hwaksilhaji anta) | hwaksilhada vs. hwaksilhaji anta | to be certain vs. to not be certain | Morphological opposition using verbal negation -지 않다. Expresses epistemic certainty versus uncertainty about truth or facts. | morphological | [CORE] |
| 의심하다 (uisimhada) | 신뢰하다 (silloehada) | uisimhada vs. silloehada | to doubt vs. to trust | Lexical opposition between doubting and trusting. Represents opposing epistemic stances toward truth-claims or reliability of sources. | lexical | [CORE] |
| 믿음을 주다 (mideumeul juda) | 믿음을 잃다 (mideumeul ilta) | mideumeul juda vs. mideumeul ilta | to give trust vs. to lose trust | Constructional opposition using same noun (믿음 "trust") with opposing verbs (주다 "give" vs. 잃다 "lose"). Represents gain versus loss of trust or credibility. | constructional | [CORE] |
