# CLCA Protocol v3.4 — F2b Constructions Table
# Language: Chinese (zh)

| Base Form | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|-----------|---------|-----------------|-------------|-------------|------------------|
| 真 (zhēn) | 弄假成真 | nòng jiǎ chéng zhēn | what starts as pretense becomes real; fake it till you make it | Describes situations where something that begins as false or pretended eventually becomes genuine. Common in discussions of relationships or situations that evolve unexpectedly. | [CORE] |
| 真 (zhēn) | 去伪存真 | qù wěi cún zhēn | eliminate the false and retain the true | Describes the process of critical analysis or investigation to separate truth from falsehood. Common in academic and investigative contexts. | [CORE] |
| 真 (zhēn) | 以假乱真 | yǐ jiǎ luàn zhēn | pass off the fake as genuine; confuse the false with the true | Describes counterfeits or imitations so good they can be mistaken for the real thing. Common in discussions of forgery or deception. | [CORE] |
| 真 (zhēn) | 真假难辨 | zhēn jiǎ nán biàn | difficult to distinguish true from false | Describes situations where it's hard to tell what's genuine from what's fake. Common in contexts of uncertainty or sophisticated deception. | [CORE] |
| 真 (zhēn) | 半真半假 | bàn zhēn bàn jiǎ | half true and half false; partly true | Describes statements or situations that mix truth with falsehood. Common in evaluating credibility of claims. | [CORE] |
| 真 (zhēn) | 真心实意 | zhēn xīn shí yì | wholehearted, sincere, genuine | Emphasizes complete sincerity and genuine intention. Common in describing honest attitudes or commitments. | [CORE] |
| 真 (zhēn) | 真相大白 | zhēn xiàng dà bái | the truth comes to light; the facts are revealed | Describes the moment when hidden truth is finally revealed. Common in investigative and narrative contexts. | [CORE] |
| 实 (shí) | 名副其实 | míng fù qí shí | worthy of the name; live up to one's reputation | Evaluates whether something truly corresponds to its name or reputation. Common in assessments of whether claims match reality. | [CORE] |
| 实 (shí) | 名不副实 | míng bù fù shí | unworthy of the name; not live up to reputation | Criticizes discrepancy between name/reputation and actual reality. Common in negative evaluations. | [CORE] |
| 实 (shí) | 华而不实 | huá ér bù shí | flashy but lacking substance; all show and no substance | Criticizes things that appear impressive but lack real substance or value. Common in critical evaluations of style over substance. | [CORE] |
