# CLCA Protocol v3.2 — F5 Opposition Table
# Language: Chinese (zh)

| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
|--------|--------|-----------------|-------------|---------------------|---------------|------------------|
| 真 (zhēn) | 假 (jiǎ) | zhēn vs. jiǎ | "true, real, genuine" vs. "false, fake, artificial" | Core lexical opposition evaluating authenticity of objects, products, and statements. Extremely productive in compounds (真品/假货, 真丝/假丝) and idiomatic expressions (真假难辨, 以假乱真). | lexical | [CORE] |
| 对 (duì) | 错 (cuò) | duì vs. cuò | "correct, right" vs. "wrong, incorrect, mistaken" | Core lexical opposition for evaluating correctness of answers, judgments, and actions. Dominant in educational contexts and everyday assessments of binary correctness. | lexical | [CORE] |
| 实 (shí) | 虚 (xū) | shí vs. xū | "solid, real, actual, substantial" vs. "empty, void, false, weak" | Core lexical opposition contrasting substantiality with emptiness, reality with falseness. Appears in philosophical contexts (虚实), strategic contexts (虚虚实实), and evaluations of substance versus show (华而不实, 虚有其表). | lexical | [CORE] |
| 真实 (zhēnshí) | 虚假 (xūjiǎ) | zhēnshí vs. xūjiǎ | "true, real, authentic" vs. "false, fake, phony, fraudulent" | Compound-level opposition emphasizing authenticity versus deliberate falsification. Common in formal and legal contexts for evaluating veracity of claims and representations. | lexical | [CORE] |
| 诚实 (chéngshí) | 欺骗 (qīpiàn) | chéngshí vs. qīpiàn | "honest, truthful, sincere" vs. "deceive, cheat, defraud" | Opposition between honest character/conduct and deliberate deception. Strong moral dimension; 诚实 evaluates character positively while 欺骗 describes morally condemned actions. | lexical | [CORE] |
| 事实 (shìshí) | 谎言 (huǎngyán) | shìshí vs. huǎngyán | "fact, reality, truth" vs. "lie, falsehood, untruth" | Opposition between objective facts and deliberately false statements. 事实 denotes what actually occurred; 谎言 denotes intentional misrepresentation. | lexical | [CORE] |
| 正常 (zhèngcháng) | 不正常 (bù zhèngcháng) | zhèngcháng vs. bù zhèngcháng | "normal, regular, ordinary" vs. "abnormal, irregular, unusual" | Morphological negation creating opposition between conformity to norms and deviation from norms. Common in medical, social, and administrative contexts. | morphological | [CORE] |
| 真实 (zhēnshí) | 不真实 (bù zhēnshí) | zhēnshí vs. bù zhēnshí | "true, real, authentic" vs. "unreal, inauthentic, false" | Morphological negation creating opposition between authenticity and lack of authenticity. Fully compositional but functions as common lexical unit. | morphological | [CORE] |
| 名副其实 (míng fù qí shí) | 名不副实 (míng bù fù shí) | míng fù qí shí vs. míng bù fù shí | "worthy of the name" vs. "unworthy of the name" | Fixed expression pair contrasting correspondence between name/reputation and reality versus discrepancy. Morphological negation (副 vs. 不副) creates the opposition. | morphological (within fixed expression) | [CORE] |
| 言行一致 (yán xíng yīzhì) | 言行不一 (yán xíng bù yī) [implied] | yán xíng yīzhì vs. yán xíng bù yī | "words match deeds" vs. "words don't match deeds" | Fixed expression contrasting consistency between speech and conduct versus inconsistency. The negative form 言行不一 is implied as the natural opposite, though 言行一致 appears more frequently in the data. | morphological (within fixed expression) | [CORE] |
| 表里如一 (biǎo lǐ rú yī) | 表里不一 (biǎo lǐ bù yī) [implied] | biǎo lǐ rú yī vs. biǎo lǐ bù yī | "same inside and out" vs. "different inside and out" | Fixed expression contrasting consistency between external appearance and internal reality versus discrepancy. The negative form is implied as natural opposite. | morphological (within fixed expression) | [CORE] |
| 真 (zhēn) [in compounds] | 伪 (wěi) [in compounds] | zhēn vs. wěi | "true, genuine" vs. "false, counterfeit" | Lexical opposition appearing in formal compound 真伪 (authenticity, genuineness vs. falseness). More formal register than 真/假 opposition; common in legal and academic contexts. | lexical | [CORE] |
| 去伪存真 (qù wěi cún zhēn) | N/A | qù wěi cún zhēn | "eliminate the false and retain the true" | Fixed expression embodying the opposition between 伪 (false) and 真 (true) within a single analytical process. The construction itself expresses the contrast through parallel verb phrases (去伪 vs. 存真). | constructional (within fixed expression) | [CORE] |
| 正 (zhèng) | 不正 (bù zhèng) | zhèng vs. bù zhèng | "correct, upright, proper" vs. "incorrect, improper" | Morphological negation creating opposition between correctness/propriety and deviation. Appears in compounds like 不正之风 (unhealthy trend, corrupt practice). | morphological | [CORE] |
| 正面 (zhèngmiàn) | 负面 (fùmiàn) [implied by 正负 opposition] | zhèngmiàn vs. fùmiàn | "positive, affirmative; front side" vs. "negative; back side" | Opposition between positive and negative aspects or orientations. The data shows 正负 (positive and negative) and 正面 (front side; positive), implying 负面 as the natural opposite. | lexical | [CORE] |
| 正数 (zhèngshù) | 负数 (fùshù) [implied by 正负 opposition] | zhèngshù vs. fùshù | "positive number" vs. "negative number" | Mathematical terminology using 正/负 opposition. The data explicitly mentions 正数 and 正负 (positive and negative), establishing this technical opposition. | lexical (technical) | [CORE] |
| 华而不实 (huá ér bù shí) | N/A | huá ér bù shí | "flashy but lacking substance; all show and no substance" | Fixed expression embodying opposition between 华 (flowery, showy) and 实 (solid, substantial) within a single evaluative phrase. The construction itself expresses the contrast through adversative conjunction 而 (but). | constructional (within fixed expression) | [CORE] |
| 真品 (zhēnpǐn) | 假货 (jiǎhuò) [implied] | zhēnpǐn vs. jiǎhuò | "genuine article, authentic product" vs. "fake goods, counterfeit" | Commercial opposition between authentic products and counterfeits. While 假货 doesn't appear explicitly in P1, it is the natural opposite of 真品 in commercial contexts, parallel to attested 真丝/真皮 vs. synthetic alternatives. | lexical | [CORE] |
| 正版 (zhèngbǎn) | 盗版 (dàobǎn) [implied] | zhèngbǎn vs. dàobǎn | "legitimate edition, authorized version" vs. "pirated edition" | Opposition between authorized and pirated versions in publishing and software. The data explicitly mentions 正版; 盗版 is the established opposite in this domain. | lexical | [CORE] |
| 实心 (shíxīn) | 空心 (kōngxīn) [implied] | shíxīn vs. kōngxīn | "solid (not hollow); sincere" vs. "hollow; insincere" | Opposition between physical solidity and hollowness, extending metaphorically to sincerity versus insincerity. The data mentions 实心 can mean both "solid (not hollow)" and "sincere," implying 空心 as the natural opposite. | lexical | [CORE] |
| 说实话 (shuō shíhuà) | 说谎 (shuō huǎng) | shuō shíhuà vs. shuō huǎng | "tell the truth, speak honestly" vs. "lie, tell lies" | Constructional opposition between truth-telling and lying using parallel verb-object structure (说 + object). Both are common verbal expressions for honest versus dishonest speech. | constructional | [CORE] |
| 符合事实 (fúhé shìshí) | 不符合事实 (bù fúhé shìshí) | fúhé shìshí vs. bù fúhé shìshí | "conform to facts" vs. "not conform to facts; contrary to facts" | Morphological negation creating opposition between correspondence to facts and lack of correspondence. Common in verification and rebuttal contexts. | morphological | [CORE] |
| 揭露真相 (jiēlù zhēnxiàng) | 隐瞒真相 (yǐnmán zhēnxiàng) | jiēlù zhēnxiàng vs. yǐnmán zhēnxiàng | "reveal the truth" vs. "conceal the truth" | Constructional opposition using antonymous verbs (揭露 "reveal/expose" vs. 隐瞒 "conceal") with the same object (真相 "truth"). Common in investigative and journalistic contexts. | constructional | [CORE] |
