# CLCA Protocol v3.2 — F3 Semantic Groups Table
# Language: Tamil (ta)

| Group Label | Definition | Representative Expressions | Overlapping / Ambiguous Items | Boundary Notes |
|------------|------------|---------------------------|-------------------------------|----------------|
| GROUP 1: Basic Truth-Falsehood Opposition | This group contains the primary everyday terms used to assert or deny the truth-value of statements, claims, or situations. These terms function as direct opposites in colloquial and formal discourse, appearing in parallel constructions and serving as the default vocabulary for truth-evaluation in everyday speech. | உண்மை (uṇmai) "truth"; பொய் (poy) "falsehood, lie"; உண்மையான (uṇmaiyāṉa) "true, genuine"; பொய்யான (poyyāṉa) "false, fake"; நிஜம் (nijam) "truth, reality" | உண்மையான (uṇmaiyāṉa) also appears in Group 10; பொய்யான (poyyāṉa) also appears in Group 10 | These terms appear in direct opposition (உண்மை vs. பொய்), in parallel verbal constructions (உண்மை சொல் vs. பொய் சொல்), and in interrogative-confirmatory exchanges. They are the most frequent terms in everyday truth-evaluation. |
| GROUP 2: Correctness and Error | This group contains terms used to evaluate the accuracy or appropriateness of statements, actions, calculations, or judgments. These terms focus on whether something is done properly or matches expected standards, rather than on moral truthfulness or factual reality. They are particularly common in pedagogical, technical, and everyday problem-solving contexts. | சரி (cari) "correct, right"; தப்பு (tappu) "mistake, wrong"; சரியான (cariyāṉa) "correct, proper"; தவறு (tavaṟu) "mistake, error"; பொருத்தம் (poruttam) "appropriateness, suitability, fit"; துல்லியம் (tulliyam) "accuracy, precision" | பொருத்தம் (poruttam) can overlap with truth-evaluation when discussing whether statements "fit" or correspond to reality | These terms appear in evaluative contexts about accuracy, appropriateness, and proper execution. Unlike Group 1 terms, these focus on correctness-of-fit rather than truth-of-claim. |
| GROUP 3: Moral Honesty and Character | This group contains terms that evaluate the moral character of persons, particularly regarding their disposition toward truthfulness and deception. These terms characterize people rather than statements, emphasizing habitual behavior and ethical qualities. They are common in character descriptions, moral instruction, and ethical discourse. | நேர்மை (nērmai) "honesty, integrity, uprightness"; நேர்மையான (nērmaiyāṉa) "honest, upright"; கள்ளம் (kaḷḷam) "deceit, fraud"; கள்ளம் கபடம் இல்லாத (kaḷḷam kapaṭam illāta) "without deceit or cunning, guileless"; பொய்யாமை (poyyāmai) "truthfulness, absence of falsehood"; பொய்யன் (poyyan) "liar, deceiver"; மெய்யன் (meyyan) "truthful person"; உண்மைவாதி (uṇmaivāti) "truth-teller, one who advocates truth" | None noted | These terms appear in character evaluations, moral instruction, and descriptions of personal integrity. They focus on dispositional qualities and habitual behavior rather than individual truth-claims. |
| GROUP 4: Elevated/Literary Truth Terms | This group contains terms for truth and reality that carry elevated, literary, or philosophical register. These terms appear more frequently in classical literature, religious texts, and formal philosophical discourse than in everyday speech. They often carry connotations of ultimate, essential, or transcendent truth. | மெய் (mey) "truth, reality"; மெய்ம்மை (meymai) "truth, reality"; மெய்யான (meyyāṉa) "true, genuine"; சத்தியம் (cattiyam) "truth, oath"; மெய்ஞ்ஞானம் (meyññāṉam) "true knowledge, spiritual wisdom, enlightenment"; மெய்ப்பொருள் (meypporuḷ) "true meaning, ultimate reality"; மெய்யியல் (meyyiyal) "metaphysics, ontology" | சத்தியம் (cattiyam) also appears in Group 10 | These terms appear in classical Tamil literature, religious texts, philosophical discourse, and formal writing. They are less common in everyday colloquial speech, where உண்மை (uṇmai) is preferred. மெய் (mey) shows significant polysemy between "truth/reality" and "body/physical." |
| GROUP 5: Verification and Authentication | This group contains terms and constructions related to establishing, confirming, or certifying the truth of claims through evidence, documentation, or formal processes. These terms are particularly common in administrative, legal, and investigative contexts where truth must be officially established or documented. | மெய்ப்பு (meyppu) "proof, verification, confirmation"; உண்மைப்படுத்து (uṇmaippaṭuttu) "to verify, to authenticate"; உண்மைச்சான்று (uṇmaiccāṉṟu) "certificate of authenticity, proof of truth"; உண்மைப்பிரமாணம் (uṇmaippramāṇam) "proof of truth, authoritative evidence"; நம்பகம் (nampakam) "reliability, trustworthiness, credibility"; உறுதிப்படுத்து (uṟutippaṭuttu) "to confirm, to verify"; சோதி (cōti) "to test, to verify"; கண்டறி (kaṇṭaṟi) "to discover, to ascertain" | மெய்ப்பு (meyppu) also appears in Group 10 | These terms appear in contexts requiring formal establishment of truth: legal proceedings, administrative documentation, scientific verification, and investigative work. They emphasize procedural and evidentiary aspects of truth-establishment. |
| GROUP 6: Revelation and Concealment | This group contains terms and constructions related to making truth visible or keeping it hidden. These expressions focus on the dynamic processes of truth emerging, being disclosed, or being concealed, rather than on static truth-values. They are common in investigative, journalistic, and narrative contexts. | உண்மை வெளிப்படு (uṇmai veḷippaṭu) "the truth comes out, is revealed"; உண்மையை வெளிப்படுத்து (uṇmaiyai veḷippaṭuttu) "to reveal the truth"; உண்மை வெளியாகு (uṇmai veḷiyāku) "the truth comes out"; உண்மையை மறை (uṇmaiyai maṟai) "to hide the truth"; உண்மையை மூடி மறை (uṇmaiyai mūṭi maṟai) "to cover up the truth"; உண்மை தெரி (uṇmai teri) "the truth becomes known"; உண்மை தெரிய வரு (uṇmai teriya varu) "the truth comes to be known gradually" | உண்மை தெரி appears in both Group 6 and Group 7 | These constructions appear in investigative journalism, legal discovery, confessions, exposés, and narrative revelations. They emphasize the temporal and agentive aspects of truth-disclosure or concealment. |
| GROUP 7: Discovery and Knowledge of Truth | This group contains terms and constructions related to coming to know, finding out, or understanding truth through investigation, inquiry, or realization. These expressions emphasize the epistemic process of acquiring knowledge of truth rather than the truth itself. | உண்மை தெரி (uṇmai teri) "to know the truth"; உண்மையைத் தெரிந்துகொள் (uṇmaiyait terintukoḷ) "to find out the truth"; உண்மையைக் கண்டுபிடி (uṇmaiyaik kaṇṭupiṭi) "to discover the truth"; உண்மை அறி (uṇmai aṟi) "to know the truth"; உண்மையை உணர் (uṇmaiyai uṇar) "to realize the truth"; உண்மையறிவு (uṇmaiyaṟivu) "knowledge of truth"; உண்மையுணர்வு (uṇmaiyuṇarvu) "awareness of truth"; மெய் உணர் (mey uṇar) "to realize truth, attain enlightenment" | உண்மை தெரி appears in both Group 6 and Group 7 | These expressions appear in contexts of investigation, learning, spiritual realization, and epistemic achievement. They focus on the knower's relationship to truth rather than on truth's properties. Register variation: தெரி (teri) is colloquial, அறி (aṟi) is more formal/literary, உணர் (uṇar) often carries connotations of deeper realization or spiritual insight. |
| GROUP 8: Acceptance and Denial of Truth | This group contains terms and constructions related to accepting, acknowledging, or rejecting truth claims. These expressions focus on the volitional and social acts of accepting or denying truth rather than on knowing or discovering it. They are common in interpersonal, legal, and psychological contexts. | உண்மையை ஏற்று (uṇmaiyai ēṟṟu) "to accept the truth"; உண்மையை ஒத்துக்கொள் (uṇmaiyai ottukkoḷ) "to admit the truth, confess"; உண்மையை மறு (uṇmaiyai maṟu) "to deny the truth"; உண்மையை நம்பு (uṇmaiyai nampu) "to believe the truth"; ஏற்புடைமை (ēṟpuṭaimai) "acceptability, validity" | None noted | These constructions appear in contexts of confession, admission, denial, belief formation, and interpersonal truth-claims. They emphasize the social and psychological dimensions of truth-acceptance. |
| GROUP 9: Speech Acts of Truth-Telling and Lying | This group contains constructions that combine truth-domain terms with verbs of speaking to create expressions for the acts of telling truth or lying. These are among the most common everyday constructions in the truth domain, appearing across all registers. | உண்மை சொல் (uṇmai col) "to tell the truth"; பொய் சொல் (poy col) "to tell a lie"; உண்மை பேசு (uṇmai pēcu) "to speak the truth"; பொய் பேசு (poy pēcu) "to speak falsely"; உண்மையைச் சொல்லு (uṇmaiyaic collu) "to tell the truth"; பொய் சொல்லாதே (poy collātē) "don't lie"; உண்மையைக் கூறு (uṇmaiyaik kūṟu) "to state the truth" | None noted | These constructions are fundamental to everyday discourse about truthfulness. They appear in commands, requests, moral instruction, and descriptions of speech behavior. The choice between சொல் (col), பேசு (pēcu), and கூறு (kūṟu) reflects register differences. |
