# CLCA Protocol v3.4 — F2b Constructions Table
# Language: Tamil (ta)

| Base Form | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|-----------|---------|-----------------|-------------|-------------|------------------|
| பொய் (poy) "falsehood" | பொய்யாமை | poyyāmai | truthfulness, absence of falsehood, not lying | Classical Tamil term for truthfulness, literally "non-falsehood." Common in ethical literature, particularly in Tirukkuṟaḷ and other classical texts. Emphasizes truthfulness as the absence of lying rather than as a positive quality. | [CORE] |
| கள்ளம் (kaḷḷam) "deceit" | கள்ளமில்லாமை | kaḷḷamillāmai | absence of deceit, sincerity, guilelessness | Compound construction using illāmai "absence" to express sincerity or guilelessness. Used in moral and character descriptions to indicate freedom from deceit. | [CORE] |
| உண்மை (uṇmai) "truth" | உண்மையாக இருக்கிறது | uṇmaiyāka irukkiṟatu | it is true, it is the truth | Standard predicative construction using the existential verb irukku "to be/exist" with the adverbial form. Used to assert the truth of statements or situations in everyday speech. | [CORE] |
| பொய் (poy) "falsehood" | பொய்யாக இருக்கிறது | poyyāka irukkiṟatu | it is false, it is a lie | Predicative construction asserting falsity. Common in everyday speech to deny or refute claims. | [CORE] |
| சரி (cari) "correct" | சரியாக இருக்கிறது | cariyāka irukkiṟatu | it is correct, it is right | Very common predicative construction in everyday speech to confirm correctness or agreement. Used across all registers. | [CORE] |
| தப்பு (tappu) "mistake" | தப்பாக இருக்கிறது | tappāka irukkiṟatu | it is wrong, it is a mistake | Common predicative construction to indicate incorrectness or error. Used in everyday speech and informal contexts. | [CORE] |
| உண்மை (uṇmai) "truth" | உண்மையா? | uṇmaiyā? | Is it true? Really? | Very common colloquial interrogative construction used to seek confirmation or express surprise. Often used as a discourse marker expressing doubt or seeking verification. | [CORE] |
| நிஜம் (nijam) "truth, reality" | நிஜமா? | nijamā? | Is it true? Really? For real? | Colloquial interrogative construction, very common in everyday speech. Often expresses surprise or seeks emphatic confirmation. More informal than உண்மையா. | [CORE] |
| சரி (cari) "correct" | சரியா? | cariyā? | Is it correct? Right? | Common interrogative construction seeking confirmation of correctness. Used in everyday speech across contexts, from casual conversation to checking understanding. | [CORE] |
| உண்மை (uṇmai) "truth" | உண்மைதான் | uṇmaitāṉ | it is indeed true, it's the truth (emphatic) | Emphatic construction asserting truth with certainty. The particle tāṉ adds emphasis and conviction to the assertion. Common in speech when insisting on truthfulness. | [CORE] |
