# CLCA Protocol v3.1 — F6 NATURALNESS TABLE
# Language: Tamil (ta)

| Prompt # | Expression (Native Script) | Transliteration | Naturalness Rating | Notes |
|----------|---------------------------|-----------------|-------------------|-------|
| 1.1.1 | உண்மை ஆகு | uṇmai āku | [CORE] | Very natural and common; completive auxiliary விடு (viṭu) or போ (pō) typically added for natural expression |
| 1.1.2 | உண்மை ஆகிப்போ | uṇmai ākippō | [CORE] | Very natural, slightly more colloquial than விடு variant; போ (pō) auxiliary suggests change away from prior state |
| 1.1.3 | உண்மையாகு | uṇmaiyāku | [CORE] | Natural, slightly more formal register; variant with euphonic -y- inserted |
| 1.1.4 | உண்மையாக மாறு | uṇmaiyāka māṟu | [MARGINAL] | Grammatically possible but less natural than ஆகு; மாறு "change" is less idiomatic with truth-terms |
| 1.1.5 | உண்மை தெரிய வரு | uṇmai teriya varu | [CORE] | Very natural and frequent; emphasizes gradual discovery or revelation process |
| 1.1.6 | உண்மை வெளிப்படு | uṇmai veḷippaṭu | [CORE] | Extremely natural and frequent; implies prior concealment or hiddenness |
| 1.2.1 | பொய் ஆகு | poy āku | [CORE] | Natural and common; implies disappointment or betrayal |
| 1.2.2 | பொய் ஆகிப்போ | poy ākippō | [CORE] | Very natural, common in colloquial speech; போ auxiliary emphasizes change from prior belief |
| 1.2.3 | பொய் வெளிப்படு | poy veḷippaṭu | [CORE] | Extremely natural and frequent; often implies negative consequences for the deceiver |
| 1.2.4 | பொய் தெரிய வரு | poy teriya varu | [CORE] | Natural and common; emphasizes gradual discovery of deception |
| 1.3.1 | மெய் ஆகு | mey āku | [CORE] | Natural but more formal/literary register; மெய் emphasizes essential reality more than factual correspondence |
| 1.3.2 | மெய்யாகு | meyyāku | [CORE] | Natural, literary register; variant with euphonic -y- |
| 1.3.3 | மெய் தெரிய வரு | mey teriya varu | [CORE] | Natural in philosophical register; common in spiritual discourse about enlightenment |
| 1.4.1 | சரி ஆகு | cari āku | [CORE] | Extremely natural and frequent; one of the most common expressions for reassurance and optimism |
| 1.4.2 | சரி ஆகிப்போ | cari ākippō | [CORE] | Extremely natural and frequent; போ auxiliary emphasizes change from problematic to resolved state |
| 1.4.3 | சரி ஆகாது | cari ākātu | [CORE] | Very natural and common; direct negative of சரி ஆகு, equally frequent |
| 1.5.1 | தப்பு ஆகு | tappu āku | [MARGINAL] | Grammatically possible but less natural than alternatives; speakers prefer தப்பு செய் "make a mistake" or தப்பு நடக்கு "error happens" |
| 1.5.2 | தப்பு நடக்கு | tappu naṭakku | [CORE] | Natural and common; நடக்கு "happen" is more natural than ஆகு "become" for mistake-events |
| 1.6.1 | தவறு ஆகு | tavaṟu āku | [MARGINAL] | Grammatically possible but less natural; தவறு நடக்கு or தவறு செய் preferred |
| 1.6.2 | தவறு நடக்கு | tavaṟu naṭakku | [CORE] | Natural, slightly more formal than தப்பு நடக்கு |
| 2.1.1 | உண்மைப்படுத்து | uṇmaippaṭuttu | [CORE] | Extremely natural and frequent in formal registers; standard term for verification and authentication |
| 2.1.2 | உண்மையாக்கு | uṇmaiyākku | [MARGINAL] | Grammatically possible but less common than படுத்து form; more common for making dreams/wishes come true than for verification |
| 2.1.3 | உண்மையென நிரூபி | uṇmaiyeṉa nirūpi | [CORE] | Natural in formal/academic registers; நிரூபி (< Sanskrit) marks formal proof contexts |
| 2.1.4 | உண்மையை நிலைநாட்டு | uṇmaiyai nilaināttu | [CORE] | Natural in formal/elevated registers; நிலைநாட்டு "establish" is formal verb for making something prevail |
| 2.2.1 | பொய்யாக்கு | poyyākku | [MARGINAL] | Grammatically possible but not highly frequent; uses -ஆக்கு causative, NOT -படுத்து |
| 2.2.2 | பொய்யென நிரூபி | poyyeṉa nirūpi | [CORE] | Natural in formal/academic registers; equally natural as positive equivalent in formal contexts |
| 2.2.3 | பொய் கட்டு | poy kaṭṭu | [CORE] | Extremely natural and frequent in colloquial speech; கட்டு literally "tie, build" suggests deliberate construction of falsehood |
| 2.2.4 | பொய் உண்டாக்கு | poy uṇṭākku | [CORE] | Natural and common; உண்டாக்கு "create" is general creation verb |
