| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
|---|---|---|---|---|---|---|
| *true* | *false* | N/A | true / false | The foundational binary opposition of the domain; *true* and *false* are the two classical truth values and the primary positive and negative poles of propositional truth-evaluation in English. The opposition is documented in P1 (items 1 and 10), P1b (*truth value*, *truth table*), P3 Groups 1 and 6, and P4a (§8, §9). P4a documents *it is true that* and *it is false that* as parallel assertive frames, and *prove true* / *prove false* as parallel inchoative constructions. P3 Group 1 treats them as the most general and syntactically flexible members of the statement-evaluation group. | lexical | [CORE] |
| *true* | *untrue* | N/A | true / untrue | *Untrue* is the morphological negation of *true* via the prefix *un-*, documented in P1b (1.4) and P2a (1.4). P2a documents *untrue* as a prefixally negated form of *true* functioning as a softer alternative to *false* in general speech. P3 Group 1 notes this register distinction explicitly: *untrue* is described as "a somewhat softer alternative to *false* or *wrong*." Unlike the lexical opposition *true* / *false*, this pair is formed within a single root family; *untrue* carries an additional sense of unfaithfulness or disloyalty not present in *false*. | morphological | [CORE] |
| *truth* | *untruth* | N/A | truth / untruth | *Untruth* is the morphological negation of *truth* via *un-*, documented in P1b (1.5), P2a (1.5), and P1b (Root 2, item 2.5). P2a notes that *untruth* functions as a euphemism for *lie* in formal and political contexts, a pragmatic asymmetry not present in the base form. The data notes that *untruth* carries a softer connotation than *lie* or *falsehood*, suggesting that the falsity may be partial or unintentional, which distinguishes it from the lexical opposition *truth* / *falsehood*. | morphological | [CORE] |
| *truth* | *falsehood* | N/A | truth / falsehood | A lexical opposition between the nominalization of *true* and the nominalization of *false* + *-hood*. The data (P1, items 2 and 11; P3, Groups 1 and 3) notes that *falsehood* typically implies deliberate deception and is distinguished from *error*, whereas *truth* is neutral with respect to intent. | lexical | [CORE] |
| *truthful* | *untruthful* | N/A | truthful / untruthful | *Untruthful* is the morphological negation of *truthful* via *un-*, documented in P2a (2.1 and 2.4) and P1 and P2a (Item 16.3). Both are applied to persons and statements in legal, journalistic, and everyday contexts; P3 Group 4 includes both as person-evaluation terms focused on disposition toward truth-telling. The data notes that *untruthful* is softer in connotation than *lying* but stronger than *inaccurate*. | morphological | [CORE] |
| *accurate* | *inaccurate* | N/A | accurate / inaccurate | *Inaccurate* is the morphological negation of *accurate* via *in-*, documented in P1, P2a (3.3 and Item 5.3). P3 Group 1 includes both as members of the statement-evaluation group. P4a documents prefixal negation as the dominant strategy for Latinate bases in this domain. The data notes that the family is compact and regular; *inaccurate* denotes failure of close correspondence with fact or reality without implying intent. | morphological | [CORE] |
| *accuracy* | *inaccuracy* | N/A | accuracy / inaccuracy | The nominalized form of the *accurate* / *inaccurate* opposition; documented in P2a as a productive pair. P2a notes that *inaccuracy* functions both as an abstract noun (*the inaccuracy of the report*) and as a count noun for individual errors (*the text contained several inaccuracies*), a distributional asymmetry not shared by *accuracy*. | morphological | [CORE] |
| *correct* (adjective) | *incorrect* | N/A | correct / incorrect | *Incorrect* is the morphological negation of *correct* via *in-*, documented in P2a (7.3 and Item 6.3) and P1. Both appear in P3 Group 1 as statement-evaluation terms and in P3 Group 5 as conformity-with-standard terms. Both forms are productive across educational, procedural, and evaluative contexts. The data notes that *incorrect* indicates failure to conform to fact or standard without implying intent. | morphological | [CORE] |
| *valid* | *invalid* | N/A | valid / invalid | *Invalid* (in the logical and legal sense) is the morphological negation of *valid* via *in-*, documented in P2a (6.6 and Item 7.4) and P1. P3 Groups 2 and 5 include both as members of the argument-evaluation and conformity-with-standard groups respectively. The data notes the homophony with *invalid* (a person with a disability or illness), which derives from the same Latin root through a different semantic path; the two forms are distinguished by stress in speech. P2a notes a homographic complication: *invalid* (lacking legal or logical force) is spelled identically to *invalid* (a person in poor health), which derives from the same Latin root via a different semantic pathway. | morphological | [CORE] |
