# G7a — Data-Derived Global Constraint Matrix

---

## Preliminary Notes

All dimensions and constructional functions below are named from patterns visible in the F-phase and prior G-phase data. No external theoretical framework is applied. Where the data shows a dimension split, merged, or only partially recoverable across languages, this is noted explicitly. Matrix cells record cross-language evidence as ALLOWED, BLOCKED, VARIABLE, or INSUFFICIENT DATA with brief supporting notes. The narrative analysis follows the matrix.

---

## Semantic Dimensions (derived from data)

The following twelve dimensions are derived inductively from the F3 semantic grouping tables, F5 opposition tables, and G3 axis comparison across all eight languages.

**D1: Propositional Correspondence** — Whether a specific statement or claim matches what is actually the case. Evaluative target: a proposition or utterance. Attested in all 8 languages.

**D2: Personal Honesty and Integrity in Conduct** — Whether a person's habitual conduct and character are free from deception. Evaluative target: a person or their pattern of behavior. Attested in all 8 languages.

**D3: Source Trustworthiness vs. Content Credibility** — Whether a source can be depended upon (source evaluation) vs. whether a specific claim merits belief (content evaluation). Attested in all 8 languages; the source/content sub-distinction is explicitly documented in at least 4 languages.

**D4: Genuineness of Objects vs. Fraudulent Imitation** — Whether a physical item, document, or credential is what it purports to be vs. a fraudulent substitute. Evaluative target: a physical item. Attested in all 8 languages; neutral-copy vs. fraudulent-fake sub-distinction documented in at least 6 languages.

**D5: Legal/Procedural Validity vs. Moral/Substantive Legitimacy** — Whether an action or document meets formal legal conditions (validity) vs. whether it is rightful in a broader normative sense (legitimacy). Attested in all 8 languages.

**D6: Precision and Exactness of Correspondence** — The degree to which a measurement, description, or representation corresponds closely and exactly to its referent. Scalar rather than binary. Clearly lexicalized in at least 6 languages; less elaborated in yo and ta as a distinct dimension.

**D7: Authenticity of Inner States and Expressed Feelings** — Whether a person's expressed feelings, intentions, or commitments reflect genuine inner conviction rather than performance or pretense. Attested in all 8 languages; degree of elaboration varies considerably.

**D8: Appearance vs. Underlying Reality** — The contrast between how something appears on the surface and what it actually is. Attested in at least 6 languages with explicit documentation; less elaborated in yo and ta.

**D9: Evidential Grounding and Proof** — Whether a claim is supported by adequate evidence, and the processes by which evidence is produced and used to establish truth. Attested in all 8 languages.

**D10: Truth Revelation and Concealment as Processes** — The dynamics by which truth is brought to light, concealed, sought, or suppressed. Treats truth as an entity that can emerge or be hidden. Attested in all 8 languages.

**D11: Correctness of Reasoning, Judgment, and Understanding** — Whether a judgment, inference, or interpretation follows properly from evidence or reasoning. Evaluative target: a cognitive process or its output. Attested in all 8 languages; degree of differentiation from D1 varies (D1/D11 merge in yo and ta).

**D12: Deliberate Deception vs. Innocent Error** — The distinction between falsehoods produced with intent to deceive and those produced through honest mistake or misunderstanding. Attested in all 8 languages; explicitly documented in F3 grouping tables for at least 6 languages.

---

## Constructional Functions (derived from data)

The following twelve constructional functions are derived from the F4 construction tables and G5 construction comparison.

**CF1: Predicative Attribution** — Subject + copula/predicate construction asserting a truth-domain property of a subject. Includes nominal predicates (*it is a lie*) and adjectival predicates (*it is correct*). Attested in all 8 languages.

**CF2: Negative Attribution** — Syntactic or morphological negation of a truth-domain predicate. Includes syntactic negation (*not true*), morphological privative (*unreliable*), and double negation. Attested in all 8 languages.

**CF3: Adnominal Modification** — A truth-domain evaluative term modifies a noun (*accurate information*, *forged document*, *reliable source*). Attested in all 8 languages.

**CF4: Inchoative / Change-of-State** — A subject transitions into a truth-domain state (*the truth comes to light*, *the claim turned out to be false*, *the contract became void*). Includes periphrastic and morphological inchoatives. Attested in all 8 languages.

**CF5: Causative** — An agent causes a truth-domain state (*to forge a document*, *to verify information*, *to reveal the truth*, *to conceal the truth*). Includes morphological causatives, light-verb causatives, and serial verb causatives. Attested in all 8 languages.

**CF6: Abstract Nominalization** — A suffix or circumfix produces an abstract noun naming a truth-domain quality as an entity (*truthfulness*, *accuracy*, *credibility*, *validity*). Attested in all 8 languages.

**CF7: Agentive Nominalization** — A morphological process produces a nominal denoting a habitual agent of a truth-domain action (*liar*, *forger*, *deceiver*). Attested in all 8 languages for negative roles; absent or marginal for positive roles (truth-teller) in all 8 languages.

**CF8: Discourse Framing** — A grammaticalized or semi-grammaticalized expression functions as a sentence-level marker signaling frank disclosure, correction of a prior assumption, or truth-asserting stance. Attested in all 8 languages; degree of grammaticalization varies.

**CF9: Existential / Scalar Predication** — An abstract quality nominal combines with an existential verb (*have/exist*) or scalar predicate (*high/low*) to evaluate whether a quality is present or to what degree. Attested in at least 5 languages; most systematically documented in ko.

**CF10: Truth-Revelation / Concealment Construction** — Truth is the grammatical subject of an intransitive emergence or concealment verb (*the truth came out*, *the truth was revealed*). Attested in all 8 languages.

**CF11: Parallel Morphological Opposition** — The same derivational process applies to both a truth base and a falsity base, producing a morphologically parallel pair of opposing forms (*verify/falsify*, *verifiable/falsifiable*). Attested as a fully productive pattern only in tr; partial parallels in fi and eu.

**CF12: Proverbial / Fixed Moral Assertion** — A fixed or semi-fixed construction asserts a moral or epistemic claim about truth (*truth will prevail*, *a lie has short legs*, *truth is bitter*). Attested in all 8 languages.

---

## Global Constraint Matrix

| Semantic Dimension | CF1: Predicative Attribution | CF2: Negative Attribution | CF3: Adnominal Modification | CF4: Inchoative / Change-of-State | CF5: Causative | CF6: Abstract Nominalization | CF7: Agentive Nominalization | CF8: Discourse Framing | CF9: Existential / Scalar Predication | CF10: Truth-Revelation / Concealment | CF11: Parallel Morphological Opposition | CF12: Proverbial / Fixed Moral Assertion |
|---|---|---|---|---|---|---|---|---|---|---|---|---|
| **D1: Propositional Correspondence** | ALLOWED | ALLOWED | ALLOWED | ALLOWED | ALLOWED | ALLOWED | VARIABLE | ALLOWED | VARIABLE | ALLOWED | VARIABLE | ALLOWED |
| **D2: Personal Honesty and Integrity** | ALLOWED | ALLOWED | ALLOWED | VARIABLE | BLOCKED (direct causation of dispositional state) | ALLOWED | BLOCKED (positive role) / ALLOWED (negative role) | ALLOWED | VARIABLE | VARIABLE | INSUFFICIENT DATA | ALLOWED |
| **D3: Source Trustworthiness vs. Content Credibility** | ALLOWED | ALLOWED | ALLOWED | VARIABLE | VARIABLE | ALLOWED | VARIABLE | INSUFFICIENT DATA | ALLOWED | INSUFFICIENT DATA | INSUFFICIENT DATA | VARIABLE |
| **D4: Genuineness of Objects vs. Fraudulent Imitation** | ALLOWED | ALLOWED | ALLOWED | ALLOWED | BLOCKED (positive: manufacture authenticity) / ALLOWED (negative: forge/destroy) | ALLOWED | ALLOWED (negative: forger) / BLOCKED (positive: authenticator as single word) | INSUFFICIENT DATA | VARIABLE | VARIABLE | INSUFFICIENT DATA | VARIABLE |
| **D5: Legal/Procedural Validity vs. Moral/Substantive Legitimacy** | ALLOWED | ALLOWED | ALLOWED | ALLOWED | ALLOWED | ALLOWED | VARIABLE | INSUFFICIENT DATA | VARIABLE | INSUFFICIENT DATA | INSUFFICIENT DATA | VARIABLE |
| **D6: Precision and Exactness of Correspondence** | ALLOWED | ALLOWED | ALLOWED | VARIABLE | VARIABLE | ALLOWED | INSUFFICIENT DATA | VARIABLE | ALLOWED | INSUFFICIENT DATA | INSUFFICIENT DATA | INSUFFICIENT DATA |
| **D7: Authenticity of Inner States and Expressed Feelings** | ALLOWED | ALLOWED | ALLOWED | VARIABLE | BLOCKED (direct causation of dispositional state) | VARIABLE | BLOCKED (positive: sincere person as single word) / VARIABLE (negative: hypocrite) | VARIABLE | ALLOWED | VARIABLE | INSUFFICIENT DATA | VARIABLE |
| **D8: Appearance vs. Underlying Reality** | ALLOWED | ALLOWED | ALLOWED | VARIABLE | VARIABLE | VARIABLE | VARIABLE | ALLOWED | VARIABLE | VARIABLE | INSUFFICIENT DATA | VARIABLE |
| **D9: Evidential Grounding and Proof** | ALLOWED | ALLOWED | ALLOWED | VARIABLE | ALLOWED | ALLOWED | VARIABLE | INSUFFICIENT DATA | ALLOWED | VARIABLE | VARIABLE | VARIABLE |
| **D10: Truth Revelation and Concealment as Processes** | VARIABLE | VARIABLE | VARIABLE | ALLOWED | ALLOWED | ALLOWED | INSUFFICIENT DATA | VARIABLE | INSUFFICIENT DATA | ALLOWED | INSUFFICIENT DATA | ALLOWED |
| **D11: Correctness of Reasoning, Judgment, and Understanding** | ALLOWED | ALLOWED | ALLOWED | VARIABLE | VARIABLE | ALLOWED | VARIABLE | VARIABLE | VARIABLE | INSUFFICIENT DATA | INSUFFICIENT DATA | VARIABLE |
| **D12: Deliberate Deception vs. Innocent Error** | ALLOWED | ALLOWED | ALLOWED | VARIABLE | VARIABLE | ALLOWED | ALLOWED (negative: liar, deceiver) / BLOCKED (positive: truth-teller) | INSUFFICIENT DATA | INSUFFICIENT DATA | VARIABLE | INSUFFICIENT DATA | VARIABLE |

---

## Cell-Level Notes

### D1 (Propositional Correspondence)

**CF7 — VARIABLE:** Negative agentive nominals for liars are attested in all 8 languages (ka *mt'q̇uari*, yo *aṣírọ́*, fi *valehtelija*, eu *gezurti*, ta *poyyaṉ*, id *pembohong*, tr *yalancı*, ko *거짓말쟁이*). Positive agentive nominals for truth-tellers are absent or marginal in all 8 languages. The negative pole is ALLOWED; the positive pole is BLOCKED; the overall cell is VARIABLE because both poles are relevant to D1.

**CF9 — VARIABLE:** The existential frame (*있다/없다* in ko; *badago/ez dago* in eu) is attested for propositional truth nominals in some languages but not others. In most languages, standard copular predication (CF1) is used instead. The scalar frame (high/low accuracy) is attested in ko and fi but not systematically across all languages for D1 nominals.

**CF11 — VARIABLE:** The tr *doğrulamak/yanlışlamak* pair is the only fully productive parallel morphological opposition encoding the verify/falsify distinction. Partial parallels exist in fi and eu. Not broadly attested across all 8 languages.

**CF10 — ALLOWED:** The intransitive truth-revelation construction (truth as grammatical subject of an emergence verb) is documented in all 8 languages for D1 nominals. This is one of the most robust positive findings in the dataset.

### D2 (Personal Honesty and Integrity)

**CF4 — VARIABLE:** Inchoative constructions for honesty/dishonesty are attested in some languages (eu *zintzotu*, to become honest; ko *정직해지다* is compositionally available; id *menjadi jujur*) but are not as consistently documented as for D1 or D4. The pattern is present but not as productive.

**CF5 — BLOCKED (direct causation of dispositional state):** This is the most consistently documented blocked pattern in the dataset. Constructions expressing that an agent directly causes a person to become honest, sincere, or to possess genuine inner character are absent or strongly marked across all 8 languages. No language documents a natural collocation for "make someone honest" as a direct causative. Some indirect facilitation constructions are attested in a few languages (eu *zintzotu eragin*, ko *진정성을 높이다*), but these appear to cause conditions for the state rather than the state itself. The block on direct causation of the dispositional state is consistent across all 8 languages and all language families represented.

