# F3 — SEMANTIC GROUPS TABLE

| Group Label | Definition | Representative Expressions | Overlapping / Ambiguous Items | Boundary Notes |
|-------------|------------|---------------------------|-------------------------------|----------------|
| GROUP 1: Predicative Truth Evaluation | Expressions used to affirm or deny that a statement, claim, or proposition corresponds to reality. These forms appear in predicative constructions (typically with *olla* "to be") and are used to evaluate the truth-value of assertions. Distinguished from other truth-domain expressions by their primary function in direct truth-assessment rather than describing properties of objects or persons. | tosi (true), totta (partitive: "is true"), totuus (truth), se on totta (that is true), onko se totta? (is that true?), ei ole totta (is not true), pitää paikkansa (to hold true, to be accurate), ei pidä paikkaansa (does not hold true), epätosi (untrue, false), paikkansapitävä (accurate, correct, valid) | paikkansapitävä overlaps with GROUP 2 (Correctness) | Distinguished from *oikea/väärä* which evaluate correctness more broadly (including moral and practical domains), and from *aito* which evaluates authenticity of objects/materials rather than truth of statements. |
| GROUP 2: Correctness and Error | Expressions evaluating whether something is correct, right, or proper versus incorrect, wrong, or mistaken. Used across factual, procedural, and practical domains (answers, methods, directions, choices). Distinguished from pure truth-evaluation by applicability to non-propositional contexts (e.g., "correct answer," "wrong direction") and emphasis on conformity to standards or norms rather than correspondence to reality. | oikea (right, correct), oikein (correctly, rightly), väärä (wrong, false, incorrect), väärin (wrongly, incorrectly), virhe (error, mistake), virheellinen (erroneous, faulty), olla oikeassa (to be right), olla väärässä (to be wrong), oikea vastaus (correct answer), väärä vastaus (wrong answer), tehdä virhe (to make a mistake), korjata virhe (to correct an error), oikeellisuus (correctness, accuracy), virheellisyys (erroneousness) | oikea belongs to multiple groups (GROUP 2, GROUP 4, GROUP 11, GROUP 15); väärä belongs to multiple groups (GROUP 2, GROUP 3, GROUP 9, GROUP 10, GROUP 15); paikkansapitävä overlaps with GROUP 1 | While *oikea/väärä* can evaluate truth of statements, they more commonly evaluate correctness in broader domains. *Virhe* specifically denotes unintentional error, contrasting with *valhe* (intentional falsehood). |
| GROUP 3: Deliberate Falsehood and Deception | Expressions denoting intentional misrepresentation, lying, or deception. Characterized by element of intent to mislead or deceive, distinguishing them from mere error or incorrectness. Used in moral, legal, and interpersonal contexts where truthfulness and honesty are at issue. | valhe (lie, falsehood), valehdella (to lie, to tell lies), puhua valhetta (to tell a lie), vale- (prefix: false-, fake-, pseudo-), valepassi (fake passport), valenimi (pseudonym, false name), petollinen (deceptive, deceitful), petollisuus (deceitfulness), väärä todistus (false testimony, perjury), väärä vala (false oath, perjury), väärentää (to forge, to falsify), väärennös (forgery, counterfeit), harhaanjohtava (misleading, deceptive), johtaa harhaan (to mislead, to lead astray) | väärä belongs to multiple groups (GROUP 2, GROUP 3, GROUP 9, GROUP 10, GROUP 15); vale- (prefix) also belongs to GROUP 4 (Authenticity) | Distinguished from *virhe* (unintentional error) by element of intent. *Petollinen* and *harhaanjohtava* may or may not involve conscious intent, while *valhe* and *valehdella* explicitly denote intentional falsehood. |
| GROUP 4: Authenticity and Genuineness | Expressions evaluating whether objects, materials, emotions, or persons are genuine, authentic, or real versus fake, counterfeit, or artificial. Applied primarily to physical objects (materials, documents) and to character/emotions (genuine feelings, true friendship). Distinguished from truth-evaluation by focus on authenticity of entities rather than truth of statements. | aito (genuine, authentic, real), aitous (genuineness, authenticity), aito nahka (genuine leather), aito kulta (genuine gold), aito ystävä (true friend), aito tunne (genuine feeling), todellinen (real, actual), todellisuus (reality), oikea nimi (real name), oikea henkilöllisyys (true identity), väärennös (forgery, counterfeit), väärentää (to forge, to counterfeit), vale- (prefix in compounds: fake-) | oikea belongs to multiple groups (GROUP 2, GROUP 4, GROUP 11, GROUP 15); todellinen belongs to multiple groups (GROUP 4, GROUP 5); vale- (prefix) also belongs to GROUP 3 (Deception) | *Aito* focuses on material/emotional authenticity, while *todellinen* emphasizes actual existence versus imagination. *Oikea* in this domain means "real/genuine" rather than "correct." |
| GROUP 5: Factuality and Actual Occurrence | Expressions marking that something actually exists, occurred, or is the case in reality, as opposed to being imagined, theoretical, fictional, or merely possible. Used to distinguish actual states of affairs from appearances, beliefs, plans, or hypotheticals. Includes both adjectival forms describing factual status and adverbial expressions emphasizing actuality. | tosiasia (fact), tosiasiallinen (factual, actual, de facto), tosiasiassa (in fact, actually), todellinen (real, actual), todellisuus (reality), todellisuudessa (in reality, actually), todella (really, truly, actually), tositarina (true story), tositapahtumat (real events, actual events), tosielämä (real life), tosielämässä (in real life), perustua tosiasioihin (to be based on facts), perustua tositapahtumiin (to be based on real events) | todellinen belongs to multiple groups (GROUP 4, GROUP 5) | Distinguished from truth-evaluation (which assesses correspondence of statements) by focus on actual existence or occurrence. *Tosiasiallinen* emphasizes de facto status versus nominal or legal status. |
| GROUP 6: Proof, Evidence, and Demonstration | Expressions related to establishing truth through evidence, testimony, or demonstration. Includes both the evidence itself and the processes of proving, testifying, or verifying. Concentrated in legal, scientific, and argumentative contexts where establishing truth requires evidential support. | todistaa (to prove, to testify, to demonstrate), todiste (proof, evidence), todistus (certificate, testimony, proof), todistaja (witness), todistaa oikeaksi (to prove right, to vindicate), todistaa vääräksi (to prove wrong, to disprove), esittää todisteita (to present evidence), todistaa oikeudessa (to testify in court), todistusaineisto (body of evidence), todistustaakka (burden of proof), todentaa (to verify, to authenticate), todentaa henkilöllisyys (to verify identity), näyttää toteen (to demonstrate, to prove) | None explicitly noted | *Todistaa* can mean both "to prove" (establish truth) and "to testify" (give evidence). *Todiste* refers to evidence itself, while *todistus* can mean both evidence and official certificates. |
| GROUP 7: Reliability and Trustworthiness | Expressions evaluating whether sources, persons, or information can be trusted or relied upon. Focus on dependability and consistency over time rather than single-instance truth. Used in contexts of source evaluation, character assessment, and information quality judgment. | luotettava (reliable, trustworthy, dependable), luotettavuus (reliability, trustworthiness), luotettava lähde (reliable source), luotettava tieto (reliable information), uskottava (believable, credible, plausible), uskottavuus (credibility, believability), uskottava selitys (credible explanation), uskottava todistaja (credible witness) | None explicitly noted | *Luotettava* emphasizes dependability and consistency, while *uskottava* emphasizes subjective believability or plausibility. Both differ from truth-evaluation by focusing on trustworthiness rather than correspondence to facts. |
| GROUP 8: Honesty and Sincerity | Expressions characterizing persons, statements, or conduct as honest, truthful, and sincere versus dishonest or insincere. Focus on moral character and communicative integrity rather than factual accuracy. Used in moral evaluation of persons and assessment of sincerity in communication. | rehellinen (honest, truthful), rehellisyys (honesty, truthfulness), rehellisesti sanottuna (honestly speaking, to be honest), olla rehellinen (to be honest), epärehellinen (dishonest, untruthful), vilpitön (sincere, genuine, without deceit), vilpittömyys (sincerity, genuineness), vilpitön anteeksipyyntö (sincere apology), tosissaan (seriously, in earnest), olla tosissaan (to be serious), ottaa tosissaan (to take seriously) | tosissaan belongs to multiple groups (GROUP 8, GROUP 14) | *Rehellinen* focuses on truthfulness as moral virtue, while *vilpitön* emphasizes absence of deceptive intent. *Tosissaan* marks seriousness/earnestness rather than honesty per se. |
| GROUP 9: Distortion and Misrepresentation | Expressions denoting alteration, distortion, or misrepresentation of facts, truth, or information. Includes both intentional manipulation and unintentional distortion. Used in critical discourse about information quality, media criticism, and analytical contexts where accuracy of representation is at issue. | vääristää (to distort, to falsify, to misrepresent), vääristää totuutta (to distort the truth), vääristää tosiasioita (to distort facts), vääristyä (to become distorted), vääristymä (distortion, aberration), vääristely (distortion, misrepresentation), harhaanjohtava (misleading, deceptive), harhaanjohtava tieto (misleading information), johtaa harhaan (to mislead, to lead astray), antaa väärä kuva (to give a false impression), luoda väärä mielikuva (to create a false impression) | väärä belongs to multiple groups (GROUP 2, GROUP 3, GROUP 9, GROUP 10, GROUP 15) | *Vääristää* can apply to both intentional manipulation and unintentional distortion. *Harhaanjohtava* may or may not involve conscious intent to deceive. |
