# CLCA Protocol v3.4 — F4 Construction Table
# Language: Finnish (fi)

| Construction Type | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|------------------|---------|-----------------|-------------|-------------|------------------|
| ATTRIBUTION | se on totta | se on totta | that is true | Standard predicative construction using copula *olla* "to be" + nominative or partitive case of truth-domain term. Partitive case (*totta*, *valhetta*) is required for abstract truth evaluation; nominative for concrete/countable entities. | [CORE] |
| ATTRIBUTION | väite on epätosi | väite on epätosi | the claim is false | Standard predicative construction using copula *olla* "to be" + nominative or partitive case of truth-domain term. Partitive case (*totta*, *valhetta*) is required for abstract truth evaluation; nominative for concrete/countable entities. | [CORE] |
| NEGATIVE ATTRIBUTION | se ei ole totta | se ei ole totta | that is not true | Standard negation using negative auxiliary *ei* + copula stem *ole* + partitive or nominative of truth-term. Partitive case maintained under negation for abstract terms. | [CORE] |
| NEGATIVE ATTRIBUTION | tieto ei ole luotettavaa | tieto ei ole luotettavaa | the information is not reliable | Standard negation using negative auxiliary *ei* + copula stem *ole* + partitive or nominative of truth-term. Partitive case maintained under negation for abstract terms. | [CORE] |
| ADNOMINAL MODIFICATION | tosi väite | tosi väite | true claim | Direct adjectival modification in attributive position. Truth-domain adjectives precede noun and agree in case/number. Compounds (*tosi-*, *vale-*) are also productive. | [CORE] |
| ADNOMINAL MODIFICATION | väärä todistus | väärä todistus | false testimony | Direct adjectival modification in attributive position. Truth-domain adjectives precede noun and agree in case/number. Compounds (*tosi-*, *vale-*) are also productive. | [CORE] |
| BECOME / INCHOATIVE | väite osoittautui vääräksi | väite osoittautui vääräksi | the claim proved (to be) false | Inchoative formations using *-stua/-styä* suffixes (become) or light verb *tulla* "become" + translative case (*-ksi*). Marks transition into truth-state. | [CORE] |
| BECOME / INCHOATIVE | totuus paljastui | totuus paljastui | the truth was revealed | Inchoative formations using *-stua/-styä* suffixes (become) or light verb *tulla* "become" + translative case (*-ksi*). Marks transition into truth-state. | [CORE] |
| CAUSATIVE | todistaa väite vääräksi | todistaa väite vääräksi | to prove the claim false | Causative formations using *-ttaa/-staa* suffixes or light verb constructions. Agent causes transition to truth-state or establishes truth-value. | [CORE] |
| CAUSATIVE | vääristää totuutta | vääristää totuutta | to distort the truth | Causative formations using *-ttaa/-staa* suffixes or light verb constructions. Agent causes transition to truth-state or establishes truth-value. | [CORE] |
| ABSTRACT NOMINALIZATION | totuus | totuus | truth (< tosi "true") | Productive abstract noun formation from adjectival bases. Suffixes *-uus/-yys* (after vowel-final stems) or *-suus* (after consonant clusters) create quality/state nominals. | [CORE] |
| ABSTRACT NOMINALIZATION | rehellisyys | rehellisyys | honesty (< rehellinen "honest") | Productive abstract noun formation from adjectival bases. Suffixes *-uus/-yys* (after vowel-final stems) or *-suus* (after consonant clusters) create quality/state nominals. | [CORE] |
| AGENTIVE NOMINALIZATION | todistaja | todistaja | witness (< todistaa "testify/prove") | Agent noun formation using *-ja/-jä* suffix attached to verb stem. Marks person who performs truth-related action (testifying, lying, etc.). | [CORE] |
| AGENTIVE NOMINALIZATION | väärentäjä | väärentäjä | forger (< väärentää "forge") | Agent noun formation using *-ja/-jä* suffix attached to verb stem. Marks person who performs truth-related action (testifying, lying, etc.). | [CORE] |
| RESULT NOMINALIZATION | todiste | todiste | proof, evidence (< todistaa "prove") | Result noun formation marking product or outcome of truth-related action. Multiple suffixes depending on verb class and semantic nuance. | [CORE] |
| RESULT NOMINALIZATION | väärennös | väärennös | forgery, counterfeit (< väärentää "forge") | Result noun formation marking product or outcome of truth-related action. Multiple suffixes depending on verb class and semantic nuance. | [CORE] |
| ACTION NOMINALIZATION | todistaminen | todistaminen | proving, testifying (< todistaa) | Productive action/process nominalization using *-minen* suffix. Creates gerund-like nouns denoting ongoing or completed action. | [CORE] |
| ACTION NOMINALIZATION | vääristäminen | vääristäminen | distorting (< vääristää) | Productive action/process nominalization using *-minen* suffix. Creates gerund-like nouns denoting ongoing or completed action. | [CORE] |
| MANNER ADVERBIAL | rehellisesti | rehellisesti | honestly (< rehellinen "honest") | Productive manner adverb formation from adjectives using *-sti* suffix. Describes manner of action according to truth-domain quality. | [CORE] |
| MANNER ADVERBIAL | todenmukaisesti | todenmukaisesti | truthfully, accurately (< todenmukainen "truthful") | Productive manner adverb formation from adjectives using *-sti* suffix. Describes manner of action according to truth-domain quality. | [CORE] |
| LIGHT VERB CONSTRUCTIONS (TRUTH-TELLING) | puhua totuutta | puhua totuutta | to speak the truth | Light verb constructions with verbs of speaking (*puhua*, *sanoa*, *kertoa*) + truth-domain noun in partitive or genitive case. | [CORE] |
| LIGHT VERB CONSTRUCTIONS (TRUTH-TELLING) | puhua valhetta | puhua valhetta | to tell a lie | Light verb constructions with verbs of speaking (*puhua*, *sanoa*, *kertoa*) + truth-domain noun in partitive or genitive case. | [CORE] |
| LIGHT VERB CONSTRUCTIONS (ERROR) | tehdä virhe | tehdä virhe | to make a mistake | Fixed construction with *tehdä* "make/do" + *virhe* "error/mistake" for error commission. Correction uses *korjata* "correct" or *oikaista* "rectify". | [CORE] |
| LIGHT VERB CONSTRUCTIONS (ERROR) | korjata virhe | korjata virhe | to correct an error | Fixed construction with *tehdä* "make/do" + *virhe* "error/mistake" for error commission. Correction uses *korjata* "correct" or *oikaista* "rectify". | [CORE] |
| LIGHT VERB CONSTRUCTIONS (EVIDENCE) | esittää todisteita | esittää todisteita | to present evidence | Light verb constructions with *todiste* "evidence" and various verbs marking different evidence-related actions (presenting, gathering, evaluating). | [CORE] |
| LIGHT VERB CONSTRUCTIONS (EVIDENCE) | kerätä todisteita | kerätä todisteita | to collect evidence | Light verb constructions with *todiste* "evidence" and various verbs marking different evidence-related actions (presenting, gathering, evaluating). | [CORE] |
| PREDICATIVE STATE CONSTRUCTIONS | olla oikeassa | olla oikeassa | to be right (lit: to be in right) | Idiomatic constructions using copula + locative cases (inessive *-ssa*, adessive *-lla*) to express being in truth-related state. | [CORE] |
| PREDICATIVE STATE CONSTRUCTIONS | olla väärässä | olla väärässä | to be wrong (lit: to be in wrong) | Idiomatic constructions using copula + locative cases (inessive *-ssa*, adessive *-lla*) to express being in truth-related state. | [CORE] |
| FIXED IDIOMATIC EXPRESSIONS | väite pitää paikkansa | väite pitää paikkansa | the claim is true/accurate | Fixed idiomatic expression *pitää paikkansa* "to hold true, be accurate" (lit: "hold its place"). Subject can be statement, claim, or information. | [CORE] |
| FIXED IDIOMATIC EXPRESSIONS | tarina pitää paikkansa | tarina pitää paikkansa | the story is true | Fixed idiomatic expression *pitää paikkansa* "to hold true, be accurate" (lit: "hold its place"). Subject can be statement, claim, or information. | [CORE] |
| INTENSIFIER CONSTRUCTIONS (COLLOQUIAL) | tosi hyvä | tosi hyvä | really good | Colloquial use of *tosi* as degree intensifier meaning "really" or "very". Restricted to informal registers. | [MARGINAL] |
| INTENSIFIER CONSTRUCTIONS (COLLOQUIAL) | tosi paljon | tosi paljon | really much, a lot | Colloquial use of *tosi* as degree intensifier meaning "really" or "very". Restricted to informal registers. | [MARGINAL] |
| DISCOURSE MARKERS | rehellisesti sanottuna | rehellisesti sanottuna | honestly speaking, to be honest | Grammaticalized discourse markers introducing frank or honest statements. Fixed expressions functioning as sentence adverbials. | [CORE] |
| DISCOURSE MARKERS | totta puhuen | totta puhuen | to tell the truth, truthfully speaking | Grammaticalized discourse markers introducing frank or honest statements. Fixed expressions functioning as sentence adverbials. | [CORE] |
| COMPARATIVE CONSTRUCTIONS | todenmukaisempi | todenmukaisempi | more truthful, more accurate | Standard comparative formation using *-mpi* suffix. Superlative uses *-in* suffix. Some truth-domain terms resist comparison. | [CORE] |
| COMPARATIVE CONSTRUCTIONS | luotettavampi | luotettavampi | more reliable | Standard comparative formation using *-mpi* suffix. Superlative uses *-in* suffix. Some truth-domain terms resist comparison. | [CORE] |
| NEGATIVE DERIVATION (epä-) | epätosi | epätosi | untrue, false | Productive negative prefix *epä-* creates antonyms. Applies to adjectives and some nouns. Semantically marks absence or negation of quality. | [CORE] |
| NEGATIVE DERIVATION (epä-) | epärehellinen | epärehellinen | dishonest | Productive negative prefix *epä-* creates antonyms. Applies to adjectives and some nouns. Semantically marks absence or negation of quality. | [CORE] |
| PRIVATIVE DERIVATION (-tön) | virheetön | virheetön | error-free, flawless | Privative suffix *-tön* "without" creates adjectives marking absence. Abstract noun *-ttömyys* marks state of lacking quality. | [CORE] |
| PRIVATIVE DERIVATION (-tön) | vilpitön | vilpitön | sincere, without deceit (< vilppi "deceit") | Privative suffix *-tön* "without" creates adjectives marking absence. Abstract noun *-ttömyys* marks state of lacking quality. | [CORE] |
| COMPOUND FORMATIONS (tosi-) | tositarina | tositarina | true story | Productive compound formation with *tosi-* prefix marking authenticity or factuality. Creates compounds distinguishing real from fictional/simulated. | [CORE] |
| COMPOUND FORMATIONS (tosi-) | tosielämä | tosielämä | real life | Productive compound formation with *tosi-* prefix marking authenticity or factuality. Creates compounds distinguishing real from fictional/simulated. | [CORE] |
| COMPOUND FORMATIONS (vale-) | valepassi | valepassi | fake passport | Productive compound formation with *vale-* prefix (< *valhe* "lie") marking falseness or counterfeit status. Creates compounds for fake/fraudulent entities. | [CORE] |
| COMPOUND FORMATIONS (vale-) | valenimi | valenimi | pseudonym, false name | Productive compound formation with *vale-* prefix (< *valhe* "lie") marking falseness or counterfeit status. Creates compounds for fake/fraudulent entities. | [CORE] |
| TRANSLATIVE RESULT CONSTRUCTIONS | todistaa oikeaksi | todistaa oikeaksi | to prove right, to vindicate | Translative case (*-ksi*) marks result state in causative constructions. Common with *todistaa* "prove" and *osoittautua* "prove to be". | [CORE] |
| TRANSLATIVE RESULT CONSTRUCTIONS | todistaa vääräksi | todistaa vääräksi | to prove wrong, to disprove | Translative case (*-ksi*) marks result state in causative constructions. Common with *todistaa* "prove" and *osoittautua* "prove to be". | [CORE] |
| PARTITIVE OBJECT CONSTRUCTIONS | etsiä totuutta | etsiä totuutta | to seek the truth | Partitive case marks object in truth-domain constructions, especially with mass/abstract nouns. Required with certain verbs and under negation. | [CORE] |
| PARTITIVE OBJECT CONSTRUCTIONS | vääristää totuutta | vääristää totuutta | to distort the truth | Partitive case marks object in truth-domain constructions, especially with mass/abstract nouns. Required with certain verbs and under negation. | [CORE] |
| GENITIVE ATTRIBUTE CONSTRUCTIONS | totuuden hetki | totuuden hetki | moment of truth | Genitive case marks possessive or attributive relationship. Common in abstract compounds and fixed expressions. | [CORE] |
| GENITIVE ATTRIBUTE CONSTRUCTIONS | totuuden etsintä | totuuden etsintä | search for truth | Genitive case marks possessive or attributive relationship. Common in abstract compounds and fixed expressions. | [CORE] |
