| Construction Type | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|---|---|---|---|---|---|
| **1. ATTRIBUTION** — [Noun] + 이다/이 아니다 | 사실이다 | sasil-ida | "It is a fact / That is true" | Ubiquitous across all registers and speech levels; the default predication strategy for truth-domain nouns. No register restriction; appears in casual speech, journalism, and formal writing alike. | [CORE] |
| **1. ATTRIBUTION** — [Noun] + 이다/이 아니다 | 거짓말이 아니다 | geojitmal-i anida | "It is not a lie / That is not false" | Standard denial construction across all registers; no formal/informal restriction observed. The negative form is as productive as the positive. | [CORE] |
| **1. ATTRIBUTION** — [Noun] + 이다 (predicative copula) | 그것은 사실이다 | geugeoseun sasirida | "That is a fact." | Used across all registers for asserting factual or categorical status; the standard construction for truth-domain attribution in Korean. No register restriction observed. | [CORE] |
| **1. ATTRIBUTION** — [Noun] + 이다 (predicative copula) | 이것은 거짓말이다 | igeoseun geojitmarida | "This is a lie." | Direct and unambiguous; common in spoken correction and written formal contexts alike. | [CORE] |
| **1. ATTRIBUTION** — [Noun] + 이다 (predicative copula) | 그 말이 사실이다 | geu mali sasirida | "That statement is a fact / That is true." | Ubiquitous in spoken and written Korean across all registers; the default frame for asserting truth-domain nominal predicates. No observable register restriction. | [CORE] |
| **1. ATTRIBUTION** — Predicative attribution (adjectival) | 그의 주장이 타당하다 | geuui jujangi tadanghada | "His claim is valid/reasonable." | Common in evaluative and argumentative contexts; slightly more formal than the nominal pattern in everyday speech, but not restricted to writing. | [CORE] |
| **2. NEGATIVE ATTRIBUTION** — [Noun] + 이/가 + 없다 | 근거가 없다 | geungeo-ga eopda | "There is no basis / It is groundless" | The standard evaluative frame for abstract quality nouns in this domain; appears in journalism, academic writing, and everyday speech. The positive counterpart 근거가 있다 is equally core. | [CORE] |
| **2. NEGATIVE ATTRIBUTION** — [Noun] + 이/가 + 없다 | 신빙성이 없다 | sinbyeongseong-i eopda | "It lacks credibility / It is implausible" | Frequent in evaluative and critical discourse; applies broadly to the class of abstract quality nouns (근거, 신빙성, 진정성, 타당성). The -하다 attachment is not available for most nouns in this class. | [CORE] |
| **2. NEGATIVE ATTRIBUTION** — [Noun] + 이/가 아니다 (copular negation) | 그 주장은 사실이 아니다 | geu jujangeun sasiri anida | "That claim is not a fact." | The standard and neutral construction for denying factual status; preferred in formal corrections and public statements over the more marked 거짓이다. The subject particle on the embedded nominal (사실이) is a fixed feature of this construction. | [CORE] |
| **2. NEGATIVE ATTRIBUTION** — [Noun] + 이/가 아니다 (copular negation) | 이건 진짜가 아니다 | igeon jinjjaga anida | "This is not genuine." | Common in both spoken and written registers; no observable restriction on context. | [CORE] |
| **2. NEGATIVE ATTRIBUTION** — Syntactic negation (-지 않다) | 그 정보가 정확하지 않다 | geu jeongboga jeonghwakaji anta | "That information is not accurate." | The most broadly productive negation strategy; common across spoken and written registers. Preferred in conversational and informal contexts over morphological negation. | [CORE] |
| **2. NEGATIVE ATTRIBUTION** — Negative copula (아니다) | 그것은 사실이 아니다 | geugeoseun sasiri anida | "That is not a fact / That is not true." | Standard and idiomatic for nominal predicates; widely used in both spoken and written Korean. The subject particle on the embedded nominal (사실이) is a fixed feature of this construction. | [CORE] |
| **3. ADNOMINAL MODIFICATION** — [Adjective stem] + -(으)ㄴ + [Noun] | 근거 없는 주장 | geungeo eomneun jujang | "An unsubstantiated claim / A groundless assertion" | Functions as a near-compound modifier; highly fixed and frequent in journalistic and argumentative registers. The participial form 없는 is the standard attributive form of 없다. | [CORE] |
