| Form | Transliteration | Literal Meaning | Common Translations | Usage Description | Epistemic Status |
|---|---|---|---|---|---|
| 진실 | jinsil | 眞實 — "true/genuine" + "substance/reality" | truth, truthfulness, sincerity, reality | Used to describe statements, persons, or situations that correspond to reality or are free from deception. Appears in both everyday and formal registers, including moral, legal, and journalistic contexts, often in opposition to 거짓 (geojit, falsehood). Participates in derivation: 진실하다 (to be truthful/sincere), 진실성 (truthfulness, authenticity/veracity as a quality). | [CORE] |
| 사실 | sasil | 事實 — "matter/affair" + "real/solid/substance" | fact, actuality, truth (in the sense of what actually happened or factual accuracy) | Used to assert that something corresponds to actual events or states of affairs, as opposed to opinion, rumor, or fabrication. Widely used in legal, journalistic, and everyday speech to ground claims in verifiable reality. Also functions adverbially meaning "in fact" or "actually." Participates in derivation: 사실이다 (to be a fact), 사실상 (in effect, de facto, in fact), 사실적 (factual, realistic). | [CORE] |
| 진짜 | jinjja | Colloquial; 진 (眞, true/genuine) + 짜 (suffix of uncertain origin, possibly from 것) | real, genuine, authentic; (adverbially) really, truly | Used to distinguish genuine items, persons, or states from imitations, pretenses, or exaggerations. Contrasts directly with 가짜 (fake, counterfeit). Functions as both adjective and adverb in informal speech. Extremely frequent in everyday speech across a wide range of contexts. | [CORE] |
| 가짜 | gajja | 가 (假, false/temporary/fake) + 짜 (colloquial suffix, parallel to 진짜) | fake, counterfeit, imitation, phony, false | Used to characterize objects, documents, persons, or claims that are not what they purport to be, whether an object, credential, or identity. Directly contrasts with 진짜 (jinjja). Appears in legal and commercial contexts involving fraud or misrepresentation, as well as consumer and everyday moral contexts. | [CORE] |
| 정확 | jeonghwak | 正確 — "correct/upright" + "certain/firm/confirmed" | accuracy, precision, exactness; (adjectival form 정확한) accurate, precise, exact | Used to evaluate whether a statement, measurement, translation, or representation corresponds precisely to what it describes. Used in scientific, legal, journalistic, and everyday contexts. Participates in derivation: 정확하다 (to be accurate/precise/exact), 정확성 (accuracy as a property), 정확히 (accurately, exactly). | [CORE] |
| 올바르다 | olbareuda | 올 (right, proper, upright, native Korean root) + 바르다 (to be straight, upright, correct) | to be correct, right, proper, upright | Applied to conduct, reasoning, values, and statements judged to conform to a standard of correctness or moral rightness. Used in ethical and educational contexts. The adjectival form 올바른 (olbareun) is very common in moral and civic discourse, modifying nouns directly. Nominalized as 올바름 (rightness, correctness). | [CORE] |
| 옳다 | olta | Native Korean root; to be right/correct | to be right, correct, proper, just | Used to evaluate propositions, actions, or judgments as correct or morally right. Appears in both epistemic contexts (this answer is right) and moral contexts (this action is right). Contrasts with 그르다 (geureuda, to be wrong/incorrect). Participates in the fixed pair 옳고 그름 (right and wrong). | [CORE] |
| 그르다 | geureuda | Native Korean root; to be wrong/incorrect | to be wrong, incorrect, improper, mistaken | The direct antonym of 옳다 (olta), used to evaluate propositions or conduct as incorrect or morally wrong. Somewhat more formal or literary in register than 틀리다 (teullida). Appears in moral and philosophical discourse. Appears in the fixed expression 옳고 그름. | [CORE] |
| 맞다 | matda | to fit, to match, to be correct | to be right, correct, to match, to fit | Extremely common verb used to affirm that a statement, answer, or identification is correct or that two things correspond. Used across factual, moral, and practical evaluative contexts. Contrasts with 틀리다 (to be wrong, mistaken). | [CORE] |
