| Form | Transliteration | Literal Meaning | Common Translations | Usage Description | Epistemic Status |
|---|---|---|---|---|---|
| egia | — | “truth” | truth; fact | *Egia* is the basic and very common noun for “truth” in Basque. It is used for the truth of statements, but also in broader moral or philosophical contexts, as in speaking of “the truth” in general. | [CORE] |
| egiazko | — | *egia* “truth” + *-zko* adjectival suffix | true; real; genuine | *Egiazko* is used attributively for something considered true, authentic, or genuine, depending on context. It can describe a statement, a feeling, a friend, or an object, and often overlaps with English “true” and “genuine.” | [CORE] |
| egiaz | — | from *egia* “truth” + instrumental/adverbial ending | truly; really; in truth | *Egiaz* functions as an adverb meaning “truly” or “really,” often in discourse to confirm sincerity or factuality. It is common in both spoken and written language, including emphatic uses. | [CORE] |
| egiazki | — | from *egia* “truth” + adverbial suffix *-zki* | truly; genuinely | *Egiazki* is an adverb meaning “truly” or “genuinely,” but it is more marked and less everyday than *egiaz* in much present-day usage. It appears especially in more formal, literary, or older styles. | [MARGINAL] |
| benetako | — | from *benetan* “really, truly” + adjectival *-ko* | real; genuine; true; authentic | *Benetako* is very common for distinguishing something real or genuine from something false, apparent, or imitated. It is widely used for objects, identities, emotions, and social roles, as in “a real problem” or “a genuine friend.” | [CORE] |
| benetan | — | adverb, historically related to “in reality / truly” | really; truly; actually | *Benetan* is a frequent adverb used to intensify or to assert that something is genuinely the case. It can evaluate sincerity, seriousness, or factual reality depending on context. | [CORE] |
| zinez | — | “sincerely; truly” | truly; sincerely; genuinely | *Zinez* is a common adverb in many varieties of Basque, especially in careful or formal usage, to mean “truly” or “sincerely.” It often appears when the speaker stresses authenticity of feeling, judgment, or statement. | [CORE] |
| egoki | — | “appropriate; fitting” | appropriate; proper; suitable; fitting | *Egoki* evaluates whether an action, expression, or solution is proper or fitting in context. It is common in administrative, educational, and everyday language, and can shade into judgments of correctness or rightness. | [CORE] |
| zuzen | — | “straight; right; correct” | correct; right; straight; direct | *Zuzen* is a very common adjective and adverb used for correctness as well as physical straightness. It is used for correct answers, proper procedure, and morally or procedurally right conduct in many contexts. | [CORE] |
| zuzena | — | definite form of *zuzen* | the correct one; correct; right | *Zuzena* is frequently used in actual discourse when identifying the correct option, answer, or version, especially in educational or evaluative settings. Although morphologically just an inflected form, it is highly conventional in such uses. | [CORE] |
| zuzentasun | — | *zuzen* “right/correct” + *-tasun* “-ness” | correctness; rectitude; fairness | *Zuzentasun* refers to correctness, propriety, or rectitude, depending on context. It can be used for linguistic correctness, moral uprightness, or fairness in conduct and institutional behavior. | [CORE] |
| oker | — | “wrong; mistaken; crooked” | wrong; incorrect; mistaken | *Oker* is the ordinary opposite of correctness in many contexts, including mistaken statements, wrong answers, and erroneous judgments. It is also common adverbially in expressions meaning “to be mistaken” or “incorrectly.” | [CORE] |
| faltsu | — | “false” | false; fake; forged | *Faltsu* is used for false statements, fake documents, forged objects, and insincere appearances. It is common in legal, journalistic, and everyday contexts where falsity or inauthenticity is at issue. | [CORE] |
| gezur | — | “lie; falsehood” | lie; falsehood | *Gezur* is the standard noun for a lie or falsehood. It is used both for deliberate deception and, in some contexts, for something judged simply untrue. | [CORE] |
| gezurrezko | — | *gezur* “lie, falsehood” + *-zko* adjectival suffix | false; fake; bogus | *Gezurrezko* describes something false, fake, or fabricated, such as a false accusation, fake identity, or bogus document. It is productive and transparent in formation, and widely understandable. | [CORE] |
| fidagarri | — | from *fida-* “trust” + *-garri* “worthy/liable to” | reliable; trustworthy; dependable | *Fidagarri* is a common adjective for persons, sources, systems, or evidence judged reliable or trustworthy. It is especially frequent in modern standard usage for evaluating information and institutions. | [CORE] |
| sinesgarri | — | from *sinets-* / *sinetsi* “believe” + *-garri* | credible; believable; plausible | *Sinesgarri* is used when something seems believable or credible, such as a testimony, explanation, or representation. It evaluates whether a claim or portrayal can reasonably be accepted as true. | [CORE] |
| sinetsi | — | “to believe” | believe; accept as true | *Sinetsi* is the ordinary verb “to believe,” used for accepting statements, reports, or persons as truthful or trustworthy. It is central in contexts where credibility or truth-acceptance is being evaluated. | [CORE] |
| autentiko | — | loanword meaning “authentic” | authentic; genuine | *Autentiko* is used for authenticity of objects, documents, styles, and sometimes persons or emotions. It is well established in contemporary Basque, especially in formal, cultural, and evaluative discourse. | [CORE] |
| jator | — | historically related to origin/stock | genuine; authentic; original; pleasant | *Jator* has a range of meanings in actual usage, including “genuine/authentic” in some contexts and “nice/pleasant” in others. Because of this semantic spread, it can evaluate something as original or true to type, but not always straightforwardly. | [CORE] |
| itxurazko | — | *itxura* “appearance” + *-zko* adjectival suffix | apparent; seeming; ostensible | *Itxurazko* is used for something that is only apparent or ostensible rather than fully real or genuine. It often appears where appearance is contrasted with underlying reality, including legal, social, and philosophical discussion. | [CORE] |
| antzeko | — | from *antz* “resemblance” + *-eko/-ko* | similar; resembling; like | *Antzeko* is a common adjective for resemblance or similarity between things, persons, or situations. It is used when evaluating whether one thing is like another in relevant respects, including visual or conceptual comparison. | [CORE] |
| berdin | — | “same; equal” | same; identical; equal | *Berdin* is widely used to say that two things are the same or equal, whether literally identical or equivalent in some respect. It is important in judgments of sameness, equivalence, and matching. | [CORE] |
| identiko | — | loanword meaning “identical” | identical | *Identiko* is used in more formal or technical contexts for strict identity or exact sameness. It is common in educated and written registers when a stronger notion than ordinary similarity is intended. | [CORE] |
| funtsean | — | *funtsean* “in essence; fundamentally” | essentially; fundamentally | *Funtsean* is an adverb used when identifying what something fundamentally is, beyond surface variation. It is common in philosophical, analytical, and argumentative prose. | [CORE] |
