| Group Label | Definition | Representative Expressions | Overlapping / Ambiguous Items | Boundary Notes |
|---|---|---|---|---|
| 1. Truth as statement status or disclosed fact | This grouping covers expressions used when something is presented, checked, conceded, discovered, or revealed as true. In usage, these forms often appear in argument, testimony, journalism, inquiry, and situations where hidden facts are brought out or confirmed. | **egia** — “truth”; **egia da** — “it is true”; **egia ote den** — “whether it is true”; **egia esan** — “to tell the truth; truth be told”; **egia esateko** — “to tell the truth; honestly”; **egia bilatu** — “seek the truth”; **egia jakin** — “know/learn the truth”; **egia aurkitu** — “find the truth”; **egia agerian jarri** — “bring the truth to light”; **egia azaleratu** — “reveal the truth”; **egia osoa** — “the whole truth”; **egia hutsa** — “pure truth”; **egia borobila** — “the plain/absolute truth”; **egia erdi** — “half-truth” | **egia** also appears in broader moral or philosophical use, not only statement evaluation.; **egia esan / egia esateko** also function as discourse markers of frankness, not just literal truth-reporting.; **egia erdi** overlaps with the area of misleading or deceptive speech. | — |
| 2. Genuine, real, or authentic things, roles, and feelings | This grouping includes expressions used to distinguish something genuine from something merely apparent, imitated, or not fully real. In practice, these forms are used with objects, identities, relationships, emotions, and underlying reasons. | **egiazko** — “true; genuine; real”; **benetako** — “real; genuine; authentic”; **autentiko** — “authentic; genuine”; **jator** — “genuine; authentic; original” / sometimes “nice”; **egiazko adiskide** — “true friend”; **egiazko maitasun** — “true/genuine love”; **egiazko istorio** — “true story”; **egiazko arrazoia** — “the real/true reason”; **itxurazko** — “apparent; ostensible” | **egiazko** can also describe statements, so it overlaps with truth-of-claim usage.; **benetako** is very broad and may cover both factual reality and emotional/social genuineness.; **jator** is especially unstable because it also commonly means “nice/pleasant.”; **itxurazko** belongs here by contrast, since it marks appearance rather than full reality. | — |
| 3. Adverbial emphasis of sincerity, reality, or insistence | These are adverbial forms used to strengthen a statement, mark sincerity, or insist that something really is the case. In actual usage they often appear in spoken emphasis, careful assertion, or more formal/literary style. | **egiaz** — “truly; really; in truth”; **egiazki** — “truly; genuinely”; **benetan** — “really; truly; actually”; **zinez** — “truly; sincerely; genuinely”; **egiatan** — “in truth; actually” [marginal] | **zinez** often leans toward sincerity of feeling or judgment, not just factual assertion.; **benetan** is also a general intensifier, so not every use is narrowly about truth.; **egiazki** and **egiatan** are more marked in style and may pattern differently from everyday **egiaz** and **benetan**. | — |
| 4. Correctness, propriety, and doing things properly | This grouping covers forms used when evaluating whether an answer, action, expression, or procedure is correct, proper, or fitting. In usage, these appear in education, administration, language correction, moral evaluation, and practical instruction. | **egoki** — “appropriate; proper; suitable”; **zuzen** — “correct; right; straight; direct”; **zuzena** — “the correct one”; **zuzentasun** — “correctness; rectitude; fairness”; **zuzendu** — “correct; amend; straighten”; **zuzentze** — “correcting; correction”; **zuzenketa** — “correction; amendment”; **zuzentzaile** — “corrector; proofreader; examiner”; **zuzen jokatu** — “act correctly”; **zuzen ibili** — “behave properly; go straight”; **zuzen erantzun** — “answer correctly”; **zuzen idatzi** — “write correctly”; **zuzen ahoskatu** — “pronounce correctly”; **zuzenketa ortografiko** — “orthographic correction” | **zuzen** is especially broad and also belongs in non-evaluative uses like “direct” or “straight.”; **egoki** is about contextual appropriateness rather than simple right/wrong correctness.; **zuzentasun** can extend from technical correctness into moral uprightness or fairness. | — |
| 5. Error, wrongness, and falsity in opposition to correctness or truth | This grouping includes ordinary contrast terms used when something is mistaken, incorrect, false, fake, or deceptive. In practice, these forms often appear as the negative side of the same contexts where **egia**, **egiazko**, or **zuzen** are used. | **oker** — “wrong; incorrect; mistaken”; **faltsu** — “false; fake; forged”; **gezur** — “lie; falsehood”; **gezurra esan** — “tell a lie”; **gezurretan** — “lying”; **gezurretan ari** — “be lying”; **gezurrez** — “falsely; by lying” [marginal]; **gezur hutsa** — “pure lie”; **gezur borobila** — “outright lie”; **gezur erdi** — “half-lie”; **gezurti** — “liar”; **gezurti hutsa** — “complete liar” | **gezur** often implies deception, but in some contexts can also be used more loosely for something simply untrue.; **faltsu** overlaps with fake objects, forged documents, and insincere appearances, not only false statements.; **gezur erdi** overlaps with the truth-related side because it contains partial truth. | — |
| 6. Fabricated, false, or bogus public/social objects | This grouping centers on expressions used for socially recognizable items that can be false, fabricated, forged, or misleading. In usage, these often occur in legal, journalistic, administrative, and public-discourse settings. | **gezurrezko** — “false; fake; bogus”; **gezurrezko testigantza** — “false testimony”; **gezurrezko agiri** — “false/forged document”; **gezurrezko nortasun** — “false identity”; **gezurrezko albiste** — “fake news”; **gezurrezko akusazio** — “false accusation”; **gezurrezko promesa** — “false promise”; **gezurrezko itxaropen** — “false hope”; **gezurrezko irudi** — “false image”; **gezurrezko oroitzapen** — “false memory”; **gezurrez salatu** — “accuse falsely” | Some of these are about deliberate deception (**agiri**, **nortasun**), while others can also involve misrepresentation or unreliability without clear intent (**oroitzapen**, **itxaropen**).; **gezurrezko promesa** and **gezurrezko irudi** also overlap with sincerity and appearance-related usage. | — |
| 7. Reliability, credibility, and acceptance as believable | This grouping covers expressions used when evaluating whether a person, source, explanation, or claim can be trusted or believed. These are common where the issue is not direct proof alone, but whether something seems dependable or acceptable as true. | **fidagarri** — “reliable; trustworthy”; **sinesgarri** — “credible; believable; plausible”; **sinetsi** — “believe; accept as true” | **fidagarri** often applies to sources, systems, or institutions, not only statements.; **sinesgarri** is about seeming believable, which does not necessarily mean actually true.; **sinetsi** links this group to truth-evaluation, but it is about acceptance rather than truth itself. | — |
| 8. Sameness, resemblance, and essential identity | This grouping includes forms used when comparing things as similar, the same, identical, or fundamentally the same underneath variation. In practice, these appear in descriptive comparison, analytical prose, and more formal discussion. | **antzeko** — “similar; resembling”; **berdin** — “same; equal”; **identiko** — “identical”; **funtsean** — “essentially; fundamentally” | **berdin** may indicate exact sameness or only equivalence in some respect.; **funtsean** is not itself a comparison adjective, but it is used when reducing surface differences and stating what something fundamentally is.; **identiko** is stronger and more formal than **antzeko** or many uses of **berdin**. | — |
| 9. Verification and formal checking | This grouping covers expressions used when truth or validity is not merely asserted but procedurally checked, confirmed, or documented. These are especially common in administrative, legal, technical, and bureaucratic settings. | **egiaztatu** — “verify; confirm; ascertain”; **egiaztapen** — “verification; confirmation”; **egiaztatze** — “verifying; verification”; **egiaztatagiri** — “certificate; verification document” | These forms connect clearly with the **egia** family, but their usage is narrower and more procedural than ordinary “truth” talk.; They also overlap with institutional reliability and documentary validity rather than only statement truth. | — |
