# G6 — CROSS-LANGUAGE OPPOSITION AND ASYMMETRY COMPARISON

## 1. Cross-Language Opposition Inventory

### 1.1 Core Lexical Oppositions (Attested in All 8 Languages)

| Contrast Structure | Language | Form A | Form B | Contrast Strategy | Notes on Symmetry, Restriction, or Gaps |
|--------------------|----------|--------|--------|-------------------|-----------------------------------------|
| **Truth vs. Falsehood (Propositional)** | zh | 真 zhēn / 真实 zhēnshí | 假 jiǎ / 虚假 xūjiǎ | Lexical opposition | Symmetrical; both highly productive in compounds |
| | he | אמת emet | שקר sheker | Lexical opposition | Symmetrical; both form extensive derivational families |
| | sa | सत्य satya | मिथ्या mithyā / असत्य asatya | Lexical opposition (satya/mithyā) + morphological (satya/asatya) | Dual opposition: lexical (mithyā) emphasizes illusion; morphological (asatya) emphasizes negation |
| | el | αλήθεια alítheia | ψέμα pséma / ψευδής pseudís | Lexical opposition | Symmetrical; ψευδ- root extremely productive in compounds |
| | en | true | false | Lexical opposition | Symmetrical; both form extensive derivational families |
| | tl | totoo | kasinungalingan | Lexical opposition | Asymmetrical: kasinungalingan is derived abstract noun, not simple adjective like totoo |
| | sw | kweli / ukweli | uongo | Lexical opposition | Symmetrical; both form extensive derivational families |
| | qu | chiqan | llulla | Lexical opposition | Symmetrical; both highly productive in compounds and derivations |

**STRONG RECURRENT PATTERN**: All 8 languages show dedicated lexical opposition between truth and falsehood for propositional content. This is the most fundamental opposition in the domain.

---

| Contrast Structure | Language | Form A | Form B | Contrast Strategy | Notes on Symmetry, Restriction, or Gaps |
|--------------------|----------|--------|--------|-------------------|-----------------------------------------|
| **Correctness vs. Error** | zh | 对 duì / 正确 zhèngquè | 错 cuò / 错误 cuòwù | Lexical opposition | Symmetrical; both productive |
| | he | נכון nakhon | לא נכון lo nakhon | Morphological (analytic negation) | Asymmetrical: no dedicated lexical antonym; uses negation |
| | sa | सम्यक् samyak | विपर्यय viparyaya | Lexical opposition | Asymmetrical: viparyaya more specific (reversal/perversion) than general incorrectness |
| | el | σωστός sostós / ορθός orthós | λάθος láthos | Lexical opposition | Asymmetrical: λάθος functions as both noun and adjective; two positive terms (σωστός, ορθός) vs. one negative |
| | en | correct / right | wrong / incorrect | Lexical opposition + morphological | Symmetrical for correct/incorrect; right/wrong are separate lexical items |
| | tl | tama | mali | Lexical opposition | Symmetrical; both highly productive |
| | sw | sahihi | makosa | Lexical opposition | Asymmetrical: makosa is plural noun form; sahihi is adjective |
| | qu | allin | mana allin | Morphological (negation) | Asymmetrical: no dedicated lexical antonym; standard negation creates "not good" |

**STRONG RECURRENT PATTERN**: All 8 languages distinguish correctness from error, but strategies vary. 4/8 use lexical oppositions (Chinese, Greek, English, Tagalog, Swahili); 3/8 use morphological negation (Hebrew, Quechua, Sanskrit less clear). This suggests correctness/error is universal but lexicalization varies.

---

| Contrast Structure | Language | Form A | Form B | Contrast Strategy | Notes on Symmetry, Restriction, or Gaps |
|--------------------|----------|--------|--------|-------------------|-----------------------------------------|
| **Genuineness vs. Fakeness (Material)** | zh | 真 zhēn / 真品 zhēnpǐn | 假 jiǎ / 假货 jiǎhuò | Lexical opposition | Symmetrical; same roots as propositional truth/falsehood |
| | he | אמיתי amiti | מזויף mezuyaf | Lexical opposition | Asymmetrical: amiti derived from truth root; mezuyaf from separate forging root |
| | sa | (uses सत्य satya) | (no dedicated term; uses मिथ्या or negation) | No clear dedicated opposition | Gap: Sanskrit lacks clear material authenticity vocabulary separate from propositional |
| | el | γνήσιος gnísios / αυθεντικός afthentikós | πλαστός plastós / κίβδηλος kívdilos | Lexical opposition | Symmetrical; multiple terms on both poles |
| | en | genuine / authentic | fake / counterfeit | Lexical opposition | Symmetrical; multiple near-synonyms on both poles |
| | tl | tunay | peke / huwad | Lexical opposition | Symmetrical; tunay distinct from totoo (factual truth) |
| | sw | halisi | bandia | Lexical opposition | Symmetrical; halisi distinct from kweli (propositional truth) |
| | qu | chiqan | (no dedicated term; uses llulla) | No clear dedicated opposition | Gap: Quechua uses same chiqan/llulla for both propositional and material domains |

**STRONG RECURRENT PATTERN**: 6/8 languages show dedicated lexical opposition for material authenticity distinct from propositional truth. Sanskrit and Quechua lack clear separation, using same terms for both domains.

---

### 1.2 Morphological Oppositions (Negation Patterns)

| Contrast Structure | Language | Form A | Form B | Contrast Strategy | Notes on Symmetry, Restriction, or Gaps |
|--------------------|----------|--------|--------|-------------------|-----------------------------------------|
| **Privative/Negative Prefix** | zh | 真实 zhēnshí | 不真实 bù zhēnshí | Proclitic negation | Productive across all adjectives; 不 is general negator |
| | he | נכון nakhon | לא נכון lo nakhon | Proclitic negation | Productive; לא is general negator |
| | sa | सत्य satya | असत्य asatya | Privative prefix अ- | Highly productive; creates lexicalized antonyms |
| | el | δίκαιος díkaios | άδικος ádikos | Privative prefix α- | Productive; creates lexicalized antonyms |
| | en | true | untrue | Prefix un- | Productive but coexists with lexical false |
| | tl | totoo | hindi totoo / di-totoo | Proclitic negation | Two forms: emphatic hindi, colloquial di- prefix |
| | sw | kweli | si kweli | Negative copula si | Productive; si is dedicated negative copula |
| | qu | chiqan | mana chiqan | Proclitic negation | Productive; mana is general negator |

**STRONG RECURRENT PATTERN**: All 8 languages show productive morphological negation. Strategies vary (prefix vs. proclitic vs. negative copula) but productivity is universal. Creates systematic oppositions across derived forms.

---

| Contrast Structure | Language | Form A | Form B | Contrast Strategy | Notes on Symmetry, Restriction, or Gaps |
|--------------------|----------|--------|--------|-------------------|-----------------------------------------|
| **Abstract Quality Nouns** | zh | 真实性 zhēnshíxìng | 虚假性 xūjiǎxìng | Parallel suffixation -性 | Symmetrical; both productive |
| | he | אמינות aminut | (no dedicated opposite; uses negation) | Suffix -וּת on positive only | Asymmetrical: reliability has dedicated abstract noun; unreliability uses negation |
| | sa | सत्यता satyatā | असत्यता asatyatā | Parallel suffixation -ता with privative | Symmetrical; morphological negation applies to abstract nouns |
| | el | αληθινότητα alithinótita | (no dedicated opposite; uses negation) | Suffix -ότητα on positive | Asymmetrical: authenticity has abstract noun; inauthenticity uses negation or different root |
| | en | truthfulness | untruthfulness | Parallel suffixation -ness with prefix | Symmetrical but untruthfulness less frequent than dishonesty |
| | tl | katotohanan | (no dedicated opposite; uses negation) | Circumfix ka-...-an on positive | Asymmetrical: truth has abstract noun; falsehood uses kasinungalingan (different derivation) |
| | sw | uhalisia | ubandia | Parallel u-...-a pattern | Symmetrical; both use same abstract noun pattern |
| | qu | chiqan kay | llulla kay | Parallel nominalized copula | Symmetrical; both use same nominalization strategy |

**MODERATE PATTERN**: 4/8 languages show symmetrical abstract nominalization for both poles (Chinese, Sanskrit, Swahili, Quechua). 4/8 show asymmetries where positive pole has dedicated abstract noun but negative uses different derivation or negation (Hebrew, Greek, English, Tagalog).

---

### 1.3 Constructional Oppositions

| Contrast Structure | Language | Form A | Form B | Contrast Strategy | Notes on Symmetry, Restriction, or Gaps |
|--------------------|----------|--------|--------|-------------------|-----------------------------------------|
| **Speech Act: Tell Truth vs. Tell Lies** | zh | 说实话 shuō shíhuà | 说谎 shuō huǎng | Parallel verb-object with different objects | Symmetrical construction; both highly conventionalized |
| | he | לומר את האמת lomar et ha'emet | לספר שקרים lesaper shkarim | Parallel verb-object (different verbs) | Asymmetrical: different verbs (lomar vs. lesaper); truth singular, lies plural |
