| Form | Transliteration | Literal Meaning | Common Translations | Usage Description | Epistemic Status |
|------|-----------------|-----------------|---------------------|-------------------|------------------|
| totoo | totoo | true, real | true, real, genuine, actual | Used to affirm the truth or reality of statements, events, or objects. Commonly appears in everyday speech to confirm accuracy or authenticity ("Totoo ba yan?" = "Is that true?"). | [CORE] |
| tunay | tunay | genuine, authentic | true, genuine, authentic, real | Emphasizes authenticity or genuineness, often with emotional or qualitative weight. Used to describe sincere feelings, genuine articles, or true nature ("tunay na pagmamahal" = "true love"). | [CORE] |
| tama | tama | correct, right | correct, right, proper, accurate | Indicates correctness of statements, actions, or judgments. Widely used in evaluating answers, decisions, or conduct ("Tama ka" = "You're right"). | [CORE] |
| mali | mali | wrong, incorrect | wrong, incorrect, mistaken, false | Denotes incorrectness, error, or wrongness in statements, actions, or moral conduct. Direct opposite of "tama" in most contexts. | [CORE] |
| katotohanan | katotohanan | truth (derived from "totoo" + nominalizing affixes) | truth, reality, fact | Abstract noun referring to truth as a concept or body of true statements. Used in formal and philosophical contexts ("Ano ang katotohanan?" = "What is the truth?"). | [CORE] |
| kasinungalingan | kasinungalingan | lie, falsehood (derived from "sinungaling" = liar) | lie, falsehood, untruth | Refers to false statements made with intent to deceive. Common in everyday and moral discourse about dishonesty. | [CORE] |
| sinungaling | sinungaling | liar (one who lies) | liar, dishonest person | Describes a person who habitually or characteristically tells lies. Strong negative moral judgment when applied to someone. | [CORE] |
| peke | peke | fake, counterfeit (borrowed from Spanish "feca") | fake, counterfeit, phony, imitation | Describes objects or representations that are not genuine or authentic. Commonly used for counterfeit goods or insincere behavior. | [CORE] |
| huwad | huwad | false, counterfeit, spurious | false, fake, counterfeit, spurious | More formal or literary term for something false or counterfeit. Often used in legal or formal contexts to describe fraudulent documents or false claims. | [CORE] |
| wasto | wasto | correct, proper, accurate | correct, accurate, proper, right | Indicates correctness with emphasis on precision or propriety. Often used in formal or technical contexts for accurate measurements or proper procedures. | [CORE] |
| hustó | hustó | exact, just right, fitting (from Spanish "justo") | exact, just right, fitting, appropriate | Describes something that is exactly right or perfectly fitting. Used for measurements, amounts, or appropriateness of actions. | [CORE] |
| walang-katotohanan | walang-katotohanan | without truth (walang = without + katotohanan = truth) | untrue, false, baseless | Describes statements or claims that lack truth or factual basis. Used to dismiss false accusations or unfounded rumors. | [CORE] |
| totóo nga | totóo nga | truly, indeed (totoo = true + nga = particle for emphasis) | truly, indeed, really | Fixed expression used to emphasize or confirm the truth of a statement. Common in conversational affirmation. | [CORE] |
| bulaán | bulaán | false, untrue, fabricated | false, untrue, fabricated, made-up | Describes statements or accounts that are false or fabricated. Can refer to lies or fictional narratives presented as truth. | [CORE] |
| kathâ | kathâ | fiction, invention, fabrication | fiction, fabrication, invention, made-up story | Refers to something invented or fabricated, often creative fiction but also false stories. Used in literary contexts and to describe fabrications. | [CORE] |
| di-totoo | di-totoo | not true (di = not + totoo = true) | untrue, false, not real | Simple negation indicating something is not true or real. Common in everyday speech for denying truth claims. | [CORE] |
| mapagkakatiwalaan | mapagkakatiwalaan | trustworthy, reliable (from "tiwala" = trust + affixes) | trustworthy, reliable, dependable | Describes persons or things that can be trusted or relied upon. Used in evaluating character and reliability of sources. | [CORE] |
| tapat | tapat | honest, faithful, loyal | honest, faithful, sincere, loyal | Describes honesty in speech and faithfulness in conduct. Highly valued moral quality in personal and professional relationships. | [CORE] |
| matapat | matapat | honest, sincere (ma- prefix + tapat) | honest, sincere, truthful | Adjectival form emphasizing the quality of being honest or sincere. Used to describe honest persons or sincere statements. | [CORE] |
| kawangis | kawangis | resemblance, likeness, similarity | resemblance, likeness, similar to | Indicates resemblance or similarity between things. Used in comparisons and descriptions of likeness. | [CORE] |
| katulad | katulad | similar, like, same as (ka- + tulad = likeness) | similar, like, the same as | Indicates similarity or sameness. Very common in comparative statements ("katulad mo" = "like you"). | [CORE] |
| kamukha | kamukha | resembles in appearance (ka- + mukha = face) | looks like, resembles, similar in appearance | Specifically refers to physical resemblance or appearance. Commonly used when comparing how people or things look. | [CORE] |
| diwa | diwa | essence, spirit, true meaning | essence, spirit, true meaning, substance | Refers to the essential nature or true meaning of something. Used in philosophical and interpretive contexts to discuss what something fundamentally is. | [CORE] |
| tunay na kalikasan | tunay na kalikasan | true nature (tunay = true + na = linker + kalikasan = nature) | true nature, real character, essence | Fixed expression referring to the fundamental or true nature of something. Used when revealing or discussing what something really is. | [CORE] |
| wastô ang | wastô ang | correct is/are (wasto = correct + ang = marker) | it is correct that, the correct one is | Construction used to affirm correctness or identify the correct option. Common in evaluative and instructional contexts. | [CORE] |
| sa totoo lang | sa totoo lang | in truth only (sa = in + totoo = truth + lang = only) | to be honest, truthfully, actually | Fixed expression used to introduce honest or frank statements. Very common conversational phrase for emphasizing sincerity. | [CORE] |
| talaga | talaga | really, truly, indeed | really, truly, indeed, actually | Emphasizes truth or reality of statements. Extremely common in everyday speech for confirmation and emphasis ("Talaga?" = "Really?"). | [CORE] |
| sigurado | sigurado | sure, certain (from Spanish "seguro") | sure, certain, definite | Indicates certainty or assurance about truth or occurrence. Common in expressing confidence about statements or predictions. | [CORE] |
| makatotohanan | makatotohanan | maka- + totoo + -an (adjective-forming) | realistic, true-to-life, believable | Describes narratives, depictions, or representations that accurately reflect reality. Common in literary and artistic criticism ("makatotohanang kuwento" = "realistic story"). | [CORE] |
| pagkatotoo | pagkatotoo | pagka- + totoo (state/quality nominalizer) | truthfulness, reality, state of being true | Refers to the quality or state of being true or real. Used in abstract discussions about the nature of truth or reality. | [CORE] |
| hindi totoo | hindi totoo | hindi (not) + totoo | not true, false, unreal | Full negation form, more emphatic than "di-totoo." Standard way to deny truth of statements. | [CORE] |
| totohanan | totohanan | totoo + -han (verbal suffix indicating reciprocal/mutual action) | to be honest with each other, to speak truthfully | Verb form indicating mutual honesty or serious truthful exchange. Used when calling for frank discussion ("Totohanan na tayo" = "Let's be honest with each other"). | [CORE] |
| magkatotoo | magkatotoo | mag- + ka- + totoo (verb: to become true) | to come true, to be realized, to become reality | Describes predictions, dreams, or wishes becoming reality. Common in discussing fulfillment of expectations ("Nagkatotoo ang pangarap ko" = "My dream came true"). | [CORE] |
| katotohanang | katotohanang | katotohanan + -ng (linker) | truth that, the truth which | Linker form used before modifying clauses. Common in formal statements identifying specific truths. | [CORE] |
| sa katotohanan | sa katotohanan | sa (in/at) + katotohanan | in truth, in reality, actually | Formal or emphatic way to introduce true state of affairs. Used when contrasting appearance with reality. | [CORE] |
| totoo ba | totoo ba | totoo + ba (question particle) | is it true?, really? | Standard question form asking for confirmation of truth. Very common in conversation. | [CORE] |
| totoo naman | totoo naman | totoo + naman (concessive particle) | it's true though, actually it is true | Concessive acknowledgment of truth, often before introducing contrasting point. Common in argumentative discourse. | [CORE] |
| pagtotoo | pagtotoo | pag- + totoo (nominalized action) | act of being truthful, truthfulness | Refers to the act or practice of being truthful. Less common than "katotohanan" but used in moral discourse. | [MARGINAL] |
| totoo rin | totoo rin | totoo + rin (also/too) | also true, true as well | Acknowledges additional truth alongside previously stated truth. Common in adding confirmatory information. | [CORE] |
| kung totoo | kung totoo | kung (if) + totoo | if true, if it's real | Conditional construction expressing hypothetical truth. Common in expressing doubt or considering possibilities. | [CORE] |
| totoo pa | totoo pa | totoo + pa (still/even) | still true, even true, moreover | Emphasizes continued or additional truth. Used to add emphasis or introduce further confirmation. | [CORE] |
| napakatotoo | napakatotoo | napaka- (very/extremely) + totoo | very true, extremely real | Intensified form expressing high degree of truth or reality. Common in emphatic statements. | [CORE] |
| pakatotoo | pakatotoo | paka- (as much as possible) + totoo | as true as possible, as real as can be | Expresses maximum degree of truth or reality. Used when emphasizing authenticity or genuineness. | [MARGINAL] |
| totoo kaya | totoo kaya | totoo + kaya (wonder/doubt particle) | I wonder if it's true, could it be true? | Expresses speculation or doubt about truth. Common in expressing uncertainty while considering possibilities. | [CORE] |
| magtotoo | magtotoo | mag- + totoo (future verb form) | will become true, will be realized | Future tense of "magkatotoo." Used in predictions about things coming true. | [CORE] |
| ikatotoo | ikatotoo | ika- + totoo (causative) | to cause to be true, to make real | Causative form indicating making something true or real. Less common, used in formal or literary contexts. | [MARGINAL] |
| totoo lamang | totoo lamang | totoo + lamang (only/merely) | only true, merely true, just the truth | Emphasizes that something is simply or merely true without exaggeration. Formal or literary usage. | [MARGINAL] |
| paninindigan ng katotohanan | paninindigan ng katotohanan | paninindigan (standing firm) + ng (of) + katotohanan | standing for truth, upholding truth | Fixed expression about defending or maintaining truth. Used in moral and political discourse. | [CORE] |
| katapatan | katapatan | ka- + tapat + -an (nominalizer) | honesty, sincerity, loyalty, faithfulness | Abstract noun for the quality of being honest or faithful. Used in moral discourse and character assessment. | [CORE] |
| pagkatapat | pagkatapat | pagka- + tapat (state nominalizer) | honesty, state of being honest/faithful | Refers to the state or quality of honesty. Similar to "katapatan" but emphasizes the condition or state. | [CORE] |
| magtapat | magtapat | mag- + tapat (verb) | to confess, to be honest, to tell the truth | Verb meaning to reveal truth or confess honestly. Common in contexts of confession or frank disclosure ("Magtapat ka na" = "Just be honest/confess"). | [CORE] |
