# CLCA Protocol v3.2 — F5 Opposition Table
# Language: Turkish (tr)

| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
|--------|--------|-----------------|-------------|---------------------|---------------|------------------|
| doğru | yanlış | doğru vs. yanlış | true/correct vs. wrong/false/incorrect | Primary lexical opposition for evaluating factual correctness and accuracy of statements, information, or judgments. *Doğru* indicates correspondence to fact or standard; *yanlış* indicates deviation from fact or error. | lexical | [CORE] |
| gerçek | sahte | gerçek vs. sahte | real/genuine vs. fake/counterfeit | Lexical opposition distinguishing authentic existence or genuineness from deliberate falsification or counterfeiting. *Gerçek* evaluates ontological authenticity; *sahte* indicates intentional fabrication or forgery. | lexical | [CORE] |
| gerçek | hayal | gerçek vs. hayal | real/reality vs. dream/fantasy/imagination | Lexical opposition between what actually exists and what is imaginary or fantasized. Appears in the construction *gerçek mi hayal mi* "real or fantasy?" expressing uncertainty about ontological status. | lexical | [CORE] |
| asıl | taklit | asıl vs. taklit | original/genuine vs. imitation/copy | Lexical opposition distinguishing original or primary instances from copies or imitations. *Asıl* indicates the genuine or first version; *taklit* indicates derivative or copied status. | lexical | [CORE] |
| özgün | taklit | özgün vs. taklit | original/authentic vs. imitation/derivative | Lexical opposition emphasizing originality versus derivation, particularly in creative or intellectual contexts. *Özgün* stresses authentic originality; *taklit* indicates copying or imitation. | lexical | [CORE] |
| haklı | haksız | haklı vs. haksız | right/justified vs. wrong/unjust | Morphologically related opposition (privative *-sız* negates *hak* "right") evaluating moral or argumentative justification. *Haklı* indicates justified position; *haksız* indicates lack of justification or injustice. | morphological | [CORE] |
| adil | adaletsiz | adil vs. adaletsiz | just/fair vs. unjust/unfair | Morphologically related opposition (privative *-siz* negates *adalet* "justice") evaluating fairness and justice. *Adil* indicates conformity to justice; *adaletsiz* indicates violation of justice. | morphological | [CORE] |
| tutarlı | tutarsız | tutarlı vs. tutarsız | consistent/coherent vs. inconsistent/incoherent | Morphologically related opposition (privative *-sız* negates possessive *-lı*) evaluating internal consistency. *Tutarlı* indicates logical coherence; *tutarsız* indicates contradiction or inconsistency. | morphological | [CORE] |
| tutarlı | çelişkili | tutarlı vs. çelişkili | consistent vs. contradictory | Lexical opposition evaluating logical coherence. *Tutarlı* emphasizes positive consistency; *çelişkili* emphasizes presence of contradictions. Both evaluate logical structure but from different perspectives. | lexical | [CORE] |
| geçerli | geçersiz | geçerli vs. geçersiz | valid/in effect vs. invalid/void | Morphologically related opposition (privative *-siz* negates possessive *-li*) evaluating validity or current applicability. *Geçerli* indicates valid status; *geçersiz* indicates invalidity or nullification. | morphological | [CORE] |
| kusursuz | kusurlu | kusursuz vs. kusurlu | flawless/perfect vs. flawed/defective | Morphologically related opposition (privative *-suz* vs. possessive *-lu* on *kusur* "defect") evaluating perfection or presence of flaws. *Kusursuz* indicates absence of defects; *kusurlu* indicates presence of flaws. | morphological | [CORE] |
| samimi | sahte | samimi vs. sahte | sincere/genuine vs. fake/insincere | Lexical opposition evaluating authenticity of emotional expression or sentiment. *Samimi* indicates genuinely felt emotion; *sahte* indicates pretended or insincere expression. | lexical | [CORE] |
| içten | sahte | içten vs. sahte | heartfelt/sincere vs. fake/insincere | Lexical opposition evaluating genuineness of expression. *İçten* (literally "from inside") indicates authentic inner feeling; *sahte* indicates false or pretended sentiment. | lexical | [CORE] |
| gerçek | gerçek dışı | gerçek vs. gerçek dışı | real vs. unreal/unrealistic | Morphologically related opposition (compound with *dışı* "outside") evaluating reality status. *Gerçek* indicates what is real; *gerçek dışı* indicates what is outside reality or unrealistic. | morphological | [CORE] |
| isabetli | isabetsiz | isabetli vs. isabetsiz | accurate/apt vs. inaccurate/off-target | Morphologically related opposition (privative *-siz* negates possessive *-li*) evaluating accuracy or appropriateness of judgments. *İsabetli* indicates hitting the mark; *isabetsiz* indicates missing the mark. | morphological | [CORE] |
| uygun | uygunsuz | uygun vs. uygunsuz | appropriate/suitable vs. inappropriate/unsuitable | Morphologically related opposition (privative *-suz* negates base) evaluating appropriateness or conformity to standards. *Uygun* indicates suitability; *uygunsuz* indicates unsuitability or impropriety. | morphological | [CORE] |
| mantıklı | mantıksız | mantıklı vs. mantıksız | logical/rational vs. illogical/irrational | Morphologically related opposition (privative *-sız* negates possessive *-lı*) evaluating logical coherence or rationality. *Mantıklı* indicates conformity to logic; *mantıksız* indicates violation of logic. | morphological | [CORE] |
| güvenilir | güvenilmez | güvenilir vs. güvenilmez | reliable/trustworthy vs. unreliable/untrustworthy | Morphologically related opposition (negative potential *-mez* vs. positive potential *-ir*) evaluating trustworthiness. *Güvenilir* indicates can be trusted; *güvenilmez* indicates cannot be trusted. | morphological | [CORE] |
| inandırıcı | inandırıcı olmayan | inandırıcı vs. inandırıcı olmayan | convincing vs. unconvincing | Constructional opposition using negative participle *olmayan* "not being" to negate the positive term. *İnandırıcı* indicates convincing quality; *inandırıcı olmayan* indicates lack of convincingness. | constructional | [CORE] |
| yanıltıcı | doğru/gerçek | yanıltıcı vs. doğru/gerçek | misleading vs. true/real | Lexical opposition between terms indicating deceptive tendency and terms indicating truth or reality. *Yanıltıcı* indicates tendency to mislead; *doğru/gerçek* indicates correspondence to truth or reality. | lexical | [CORE] |
| aldatıcı | gerçek/samimi | aldatıcı vs. gerçek/samimi | deceptive vs. real/genuine | Lexical opposition between deceptive quality and genuine quality. *Aldatıcı* indicates intentional deception; *gerçek/samimi* indicates authenticity or genuineness. | lexical | [CORE] |
| yalan | doğru/gerçek | yalan vs. doğru/gerçek | lie/falsehood vs. truth | Lexical opposition between deliberate falsehood and truth. *Yalan* indicates intentionally false statement; *doğru/gerçek* indicates true statement or reality. | lexical | [CORE] |
| [zero copula] / olmak | değil | [Ø] / olmak vs. değil | is vs. is not | Constructional opposition between affirmative copular constructions (zero copula in present tense third person, or overt *olmak*) and negative copula *değil*. Affirmative asserts truth-value; negative denies it. | constructional | [CORE] |
| doğru mu | yanlış mı | doğru mu vs. yanlış mı | is it true? vs. is it false? | Constructional opposition using question particles to create alternative questions about truth-value. The construction *doğru mu yanlış mı* "true or false?" presents binary choice between opposing truth-values. | constructional | [CORE] |
| gerçek mi | hayal mi | gerçek mi vs. hayal mi | is it real? vs. is it fantasy? | Constructional opposition using question particles to create alternative questions about ontological status. Expresses uncertainty about whether something is real or imaginary. | constructional | [CORE] |
| yalan mı | gerçek mi | yalan mı vs. gerçek mi | is it a lie? vs. is it true? | Constructional opposition using question particles to create alternative questions about veracity. Expresses uncertainty about whether a statement is false or true. | constructional | [CORE] |
| doğru çıkmak | yanlış çıkmak | doğru çıkmak vs. yanlış çıkmak | to turn out to be true vs. to turn out to be false | Constructional opposition using inchoative light verb *çıkmak* with opposing truth-value adjectives. Indicates revelation or discovery of truth-value that was previously uncertain. | constructional | [CORE] |
| haklı çıkmak | haksız çıkmak | haklı çıkmak vs. haksız çıkmak | to be proven right vs. to be proven wrong | Constructional opposition using inchoative light verb *çıkmak* with opposing justification adjectives. Indicates vindication or refutation of a position through events or evidence. | constructional | [CORE] |
