# CLCA Protocol v3.4 — F4 Construction Table
# Language: Turkish (tr)

| Construction Type | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|------------------|---------|-----------------|-------------|-------------|------------------|
| **1. ATTRIBUTION** | Bu doğru | bu doğru | This is true | Extremely common in everyday speech and writing. Zero copula is the unmarked pattern for present tense third person. Used across all registers. | [CORE] |
| **1. ATTRIBUTION** | Söylediğin gerçek değil | söylediğin gerçek değil | What you said is not true/real | Standard negative attribution. No register restrictions. | [CORE] |
| **1. ATTRIBUTION (Alternate)** | Bu doğrudur (with overt copula -dır) | bu doğrudur | This is true | Formal/written register variant. Adds emphatic or authoritative tone. Less common in speech. | [MARGINAL] |
| **2. NEGATIVE ATTRIBUTION** | Bu doğru değil | bu doğru değil | This is not true/correct | The standard and only productive negative copula pattern for present tense. No register or context restrictions. | [CORE] |
| **2. NEGATIVE ATTRIBUTION** | Gerçek değil, yalan | gerçek değil, yalan | It's not true, it's a lie | Common contrastive pattern. Used in argumentative and explanatory contexts. | [CORE] |
| **3. ADNOMINAL MODIFICATION** | doğru bilgi | doğru bilgi | correct information, true information | Highly productive across all noun types. No restrictions on noun class (abstract or concrete). Used in all registers. | [CORE] |
| **3. ADNOMINAL MODIFICATION** | yanlış anlama | yanlış anlama | misunderstanding, wrong understanding | Productive with both concrete and abstract nouns. Common in everyday usage. | [CORE] |
| **4. BECOME / INCHOATIVE** | Gerçeğe dönüştü | gerçeğe dönüştü | It turned into reality | More formal/literary. Emphasizes transformation process. Less common than *çıkmak* pattern. | [MARGINAL] |
| **4. BECOME / INCHOATIVE** | Doğru çıktı | doğru çıktı | It turned out to be true | Very common in everyday speech. Emphasizes revelation or discovery of truth-value. Preferred over *dönüşmek* in colloquial contexts. | [CORE] |
| **5. CAUSATIVE** | Gerçekleştirmek | gerçekleştirmek | to realize, to make real | The only productive morphological causative in truth domain. Common in all registers. Specifically means "bring about, actualize." | [CORE] |
| **5. CAUSATIVE** | Doğru göstermek | doğru göstermek | to show to be true, to demonstrate truth | Light verb construction is preferred over morphological causative for most truth-domain causation. Common in argumentative and evidential contexts. | [CORE] |
| **5. CAUSATIVE (Alternates)** | Doğru kabul etmek, gerçeği ortaya çıkarmak | doğru kabul etmek, gerçeği ortaya çıkarmak | to accept as true, to reveal the truth | Multiple light verb strategies are more productive than morphological causatives. Each has specific semantic nuances. | [CORE] |
| **6. ABSTRACT NOMINALIZATION** | doğruluk | doğruluk | truth, truthfulness, correctness | Extremely productive pattern. Used across all registers. Creates quality/state nouns from virtually all truth-domain adjectives. | [CORE] |
| **6. ABSTRACT NOMINALIZATION** | gerçeklik | gerçeklik | reality, realness | Fully productive. No restrictions. Common in both everyday and philosophical/academic discourse. | [CORE] |
| **7. AGENTIVE NOMINALIZATION** | yalancı | yalancı | liar | The only lexicalized agentive form in truth domain. Common in everyday speech. | [CORE] |
| **7. AGENTIVE NOMINALIZATION** | doğru söyleyen (kişi) | doğru söyleyen (kişi) | truth-teller, one who tells the truth | Periphrastic construction is the productive pattern. *Kişi* "person" is often optional. Used when agentive meaning needed for truth-tellers. | [CORE] |
| **8. VERBAL NOUN FORMATION** | doğrulama | doğrulama | verification, confirmation | Highly productive across all truth-domain verbs. Common in technical and everyday contexts. Denotes process/action rather than state. | [CORE] |
| **8. VERBAL NOUN FORMATION** | gerçekleşme | gerçekleşme | realization, occurrence | Productive pattern. Used in all registers. Clearly distinguished from *-lık/-lik* abstract nouns by process/event semantics. | [CORE] |
| **9. LIGHT VERB: *etmek*** | hak etmek | hak etmek | to deserve, to merit | Extremely common. Used with loan nouns (Arabic/Persian) primarily. Productive pattern for verbalizing abstract nouns. | [CORE] |
| **9. LIGHT VERB: *etmek*** | kabul etmek | kabul etmek | to accept | Very common in constructions like *doğru kabul etmek* "accept as true." No register restrictions. | [CORE] |
| **10. LIGHT VERB: *olmak*** | doğru olmak | doğru olmak | to be true | Functions as copula (stative). Often zero in present tense third person, but overt in other contexts. Used across all registers. | [CORE] |
| **10. LIGHT VERB: *olmak*** | gerçek olmak | gerçek olmak | to be real | Copular function is primary. Inchoative reading ("become real") possible in some contexts but less common than dedicated inchoative patterns. | [CORE] |
