# CLCA Protocol v3.4 — F2b Constructions Table
# Language: Chinese (zh)

| Base Form | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|-----------|---------|-----------------|-------------|-------------|------------------|
| 真 (zhēn) | 千真万确 | qiān zhēn wàn què | absolutely true, completely certain, beyond any doubt | Emphatic idiom affirming complete truthfulness or certainty of something. Very common in both spoken and written discourse when strongly asserting truth. | CORE |
| 真 (zhēn) | 去伪存真 | qù wěi cún zhēn | eliminate the false and retain the true, separate truth from falsehood | Describes the process of critical analysis to distinguish truth from falsehood. Common in analytical and investigative contexts. | CORE |
| 真 (zhēn) | 返璞归真 | fǎn pǔ guī zhēn | return to simplicity and authenticity, return to one's true nature | Philosophical/aesthetic idiom about returning to natural, authentic state. Common in discussions of lifestyle, art, and personal development. | CORE |
| 真 (zhēn), 假 (jiǎ) | 以假乱真 | yǐ jiǎ luàn zhēn | pass off the fake as genuine, confuse the false with the true | Describes counterfeits or imitations so good they're mistaken for the real thing. Common in discussions of forgery, imitation, and deception. | CORE |
| 真 (zhēn), 假 (jiǎ) | 弄假成真 | nòng jiǎ chéng zhēn | what starts as pretense becomes real, fake becomes genuine | Describes situations where pretense or acting becomes reality, especially in romantic contexts. Common in narrative and relationship discussions. | CORE |
| 真 (zhēn), 实 (shí) | 真凭实据 | zhēn píng shí jù | solid evidence, conclusive proof, hard facts | Emphasizes concrete, irrefutable evidence. Common in legal, investigative, and argumentative contexts. | CORE |
| 真 (zhēn) | 真知灼见 | zhēn zhī zhuó jiàn | true knowledge and penetrating insight, profound understanding | Praises genuine understanding and deep insight. Common in intellectual and academic contexts. | CORE |
| 真 (zhēn), 诚 (chéng) | 真心诚意 | zhēn xīn chéng yì | wholehearted sincerity, genuine and sincere | Emphasizes complete sincerity of intentions and feelings. Common in expressing or evaluating sincerity. | CORE |
| 真相 (zhēnxiàng) | 真相大白 | zhēn xiàng dà bái | the truth comes to light, the facts are revealed | Describes revelation of truth or facts. Common in investigative and narrative contexts. | CORE |
| 真 (zhēn) | 真伪莫辨 | zhēn wěi mò biàn | unable to distinguish true from false, hard to tell genuine from fake | Describes situations where authenticity is difficult to determine. Common in discussions of authentication and verification. | CORE |
| 实 (shí), 事实 (shìshí) | 实事求是 | shí shì qiú shì | seek truth from facts, be practical and realistic | Important political and philosophical principle emphasizing empirical, fact-based approach. Very common in political, academic, and practical contexts. | CORE |
| 实 (shí) | 名副其实 | míng fù qí shí | worthy of the name, live up to one's reputation | Indicates that reality matches name or reputation. Common in evaluative contexts. | CORE |
| 实 (shí) | 名不副实 | míng bù fù shí | unworthy of the name, not live up to reputation | Criticizes mismatch between name/reputation and reality. Common in critical evaluations. | CORE |
| 实 (shí) | 华而不实 | huá ér bù shí | showy but lacking substance, all show and no substance | Criticizes superficial appearance without real substance. Common in critical evaluations of work, speech, or character. | CORE |
| 实 (shí) | 脚踏实地 | jiǎo tà shí dì | down-to-earth, practical and realistic, keep one's feet on the ground | Praises practical, realistic approach. Very common in describing work style and attitude. | CORE |
| 真 (zhēn), 实 (shí) | 真才实学 | zhēn cái shí xué | real talent and genuine learning, true ability | Praises genuine competence and substantial knowledge. Common in evaluating qualifications. | CORE |
| 真 (zhēn), 实 (shí) | 真情实感 | zhēn qíng shí gǎn | genuine feelings and emotions, true sentiments | Emphasizes authentic emotional expression. Common in artistic and literary contexts. | CORE |
| 真 (zhēn), 实 (shí) | 真心实意 | zhēn xīn shí yì | wholehearted sincerity, genuine and sincere | Emphasizes complete sincerity. Very common in everyday speech. | CORE |
| 真 (zhēn) | 真刀真枪 | zhēn dāo zhēn qiāng | for real, in earnest, with real weapons | Emphasizes doing something seriously or for real. Common in both literal and figurative contexts. | CORE |
| 真 (zhēn), 实 (shí) | 货真价实 | huò zhēn jià shí | genuine goods at fair prices, authentic and reasonably priced | Commercial expression guaranteeing quality and value. Common in business contexts. | CORE |
| 实 (shí) | 查无实据 | chá wú shí jù | no concrete evidence found, investigation yields no proof | Formal expression indicating lack of evidence after investigation. Common in legal and investigative contexts. | CORE |
