# F3 — SEMANTIC GROUPS TABLE
# Language: Chinese (zh)

| Group Label | Definition | Representative Expressions | Overlapping / Ambiguous Items | Boundary Notes |
|------------|------------|---------------------------|-------------------------------|----------------|
| GROUP 1: FACTUAL CORRESPONDENCE | Expressions used to evaluate whether statements, claims, or representations correspond to actual states of affairs or objective reality. These terms appear in contexts of verification, fact-checking, and distinguishing claims from reality. Commonly used when assessing the accuracy of reports, accounts, or descriptions against what actually exists or occurred. | 真实 (zhēnshí), 事实 (shìshí), 符合 (fúhé), 真相 (zhēnxiàng), 实际 (shíjì), 实情 (shíqíng), 属实 (shǔshí), 证实 (zhèngshí), 核实 (héshí), 查实 (cháshí), 符合事实 (fú hé shì shí), 与事实相符 (yǔ shì shí xiāng fú), 不符合事实 (bù fú hé shì shí), 实事求是 (shí shì qiú shì), 真相大白 (zhēn xiàng dà bái), 查明真相 (chá míng zhēn xiàng), 揭露真相 (jiē lù zhēn xiàng), 不实 (bùshí), 不真实 (bù zhēnshí), 虚假 (xūjiǎ) | 真实 (zhēnshí) — also appears in Group 4; 实际 (shíjì) — also appears in Group 10; 实在 (shízài) — also appears in Groups 12 and 15; 实 (shí) — appears across Groups 1, 9, 10, 11, 19 | Distinguished from factual correspondence by focus on normative correctness rather than correspondence to reality (vs. Group 2). |
| GROUP 2: CORRECTNESS IN JUDGMENT OR ACTION | Expressions evaluating whether judgments, answers, decisions, or actions are correct or mistaken. These terms appear in educational contexts (right/wrong answers), practical decision-making (correct/incorrect choices), and evaluations of whether someone did something properly. Distinguished from factual correspondence by focus on normative correctness rather than correspondence to reality. | 对 (duì), 错 (cuò), 正确 (zhèngquè), 错误 (cuòwù), 说对 (shuōduì), 做对 (zuòduì), 猜对 (cāiduì), 说错 (shuōcuò), 做错 (zuòcuò), 看错 (kàncuò), 认错 (rèncuò), 对不对？(duì bù duì?), 没错 (méi cuò), 不对劲 (bù duì jìn), 大错特错 (dà cuò tè cuò), 对症下药 (duì zhèng xià yào), 将错就错 (jiāng cuò jiù cuò), 知错能改，善莫大焉 (zhī cuò néng gǎi, shàn mò dà yān), 正确性 (zhèngquèxìng), 错误性 (cuòwùxìng), 完全正确 (wán quán zhèng què), 绝对正确 (jué duì zhèng què) | 对 (duì) — also has spatial/relational meanings outside truth-domain | Focus on normative correctness rather than correspondence to reality distinguishes from Group 1. |
| GROUP 3: PRECISION AND ACCURACY | Expressions evaluating the degree of exactness, precision, or accuracy in measurements, statements, or representations. These terms appear in technical, scientific, and informational contexts where fine-grained correspondence matters. Focus is on how closely something matches a standard or target, with emphasis on measurable precision rather than simple truth/falsity. | 准确 (zhǔnquè), 准 (zhǔn), 准确性 (zhǔnquèxìng), 准确度 (zhǔnquèdù), 不准确 (bù zhǔnquè), 准确无误 (zhǔn què wú wù), 更准确 (gèng zhǔnquè), 失真 (shīzhēn) | None noted | Emphasis on measurable precision rather than simple truth/falsity. |
| GROUP 4: AUTHENTICITY AND GENUINENESS | Expressions distinguishing genuine items, materials, or identities from counterfeits, imitations, or false versions. These terms appear in commercial contexts (genuine vs. fake products), art authentication (original vs. copy), and identity verification (real vs. assumed identity). Focus is on whether something is what it claims or appears to be, rather than on propositional truth. | 真 (zhēn), 假 (jiǎ), 真品 (zhēnpǐn), 真迹 (zhēnjì), 真丝 (zhēnsī), 真金 (zhēnjīn), 真本 (zhēnběn), 真假 (zhēnjiǎ), 真伪 (zhēnwěi), 以假乱真 (yǐ jiǎ luàn zhēn), 真伪莫辨 (zhēn wěi mò biàn), 货真价实 (huò zhēn jià shí), 假冒 (jiǎmào), 假造 (jiǎzào), 假证 (jiǎzhèng), 假牙 (jiǎyá), 假发 (jiǎfà), 假肢 (jiǎzhī) | 真实 (zhēnshí) — also appears in Group 1; 假 (jiǎ) — also appears in Groups 6, 13, and prosthetic/artificial items (separate domain); 真正 (zhēnzhèng) — can mark both authenticity and emphasis (Group 17) | Focus is on whether something is what it claims or appears to be, rather than on propositional truth. Artificial/prosthetic items (假牙, 假发, 假肢) are in different semantic domain. |
| GROUP 5: SINCERITY AND HONESTY IN EXPRESSION | Expressions evaluating whether people's words, emotions, or intentions genuinely reflect their inner states, or whether they are pretending, deceiving, or being insincere. These terms appear in interpersonal contexts, moral evaluation of character, and assessment of emotional authenticity. Focus is on alignment between inner reality and outward expression. | 诚 (chéng), 诚实 (chéngshí), 真诚 (zhēnchéng), 真心 (zhēnxīn), 真挚 (zhēnzhì), 真情 (zhēnqíng), 真心诚意 (zhēn xīn chéng yì), 真心实意 (zhēn xīn shí yì), 诚心诚意 (chéng xīn chéng yì), 真情实感 (zhēn qíng shí gǎn), 开诚布公 (kāi chéng bù gōng), 精诚所至，金石为开 (jīng chéng suǒ zhì, jīn shí wèi kāi), 诚实地 (chéngshí de), 真诚地 (zhēnchéng de), 真心地 (zhēnxīn de), 不诚实 (bù chéngshí), 假装 (jiǎzhuāng), 假意 (jiǎyì), 虚情假意 (xū qíng jiǎ yì), 假仁假义 (jiǎ rén jiǎ yì), 假装不知道 (jiǎ zhuāng bù zhī dào) | None noted | Distinguished from Group 12 by focus on alignment between inner/outer states rather than stable character traits. |
| GROUP 6: DECEPTION AND LYING | Expressions describing deliberate acts of deceiving, lying, or misleading others through false statements or fraudulent behavior. These terms appear in moral condemnation, legal contexts, and warnings about dishonest behavior. Distinguished from mere error or mistake by emphasis on intentional deception. | 谎言 (huǎngyán), 欺骗 (qīpiàn), 假话 (jiǎhuà), 撒谎 (sā huǎng), 说谎话 (shuō huǎng huà), 弄虚作假 (nòng xū zuò jiǎ), 自欺欺人 (zì qī qī rén), 欺世盗名 (qī shì dào míng), 欺上瞒下 (qī shàng mán xià), 假公济私 (jiǎ gōng jì sī), 欺骗别人 (qī piàn bié rén), 被骗了 (bèi piàn le), 上当受骗 (shàng dàng shòu piàn), 隐瞒真相 (yǐn mán zhēn xiàng), 欺骗者 (qīpiànzhě), 说真话 (shuō zhēn huà), 讲真话 (jiǎng zhēn huà), 实话实说 (shí huà shí shuō), 童叟无欺 (tóng sǒu wú qī) | 假 (jiǎ) — also appears in Groups 4, 13, and prosthetic/artificial items | Distinguished from mere error or mistake by emphasis on intentional deception. |
| GROUP 7: RELIABILITY AND TRUSTWORTHINESS | Expressions evaluating whether sources, people, information, or systems can be depended upon for accuracy, consistency, or proper functioning. These terms appear in contexts of source evaluation, quality assessment, and trust judgments. Focus is on dependability over time rather than single-instance truth. | 可靠 (kěkào), 可靠性 (kěkàoxìng), 可靠度 (kěkàodù), 不可靠 (bù kěkào), 值得信赖 (zhí dé xìn lài), 可以信赖 (kě yǐ xìn lài), 不可信 (bù kě xìn) | None noted | Focus is on dependability over time rather than single-instance truth. |
| GROUP 8: OBJECTIVITY AND SUBJECTIVITY | Expressions distinguishing perspectives, judgments, or claims based on whether they are independent of personal bias (objective) or influenced by personal viewpoint (subjective). These terms appear in academic discourse, analytical contexts, and methodological discussions. Used to qualify the epistemic status of claims or to critique bias. | 客观 (kèguān), 主观 (zhǔguān), 客观性 (kèguānxìng), 主观性 (zhǔguānxìng), 客观化 (kèguānhuà), 客观地 (kèguān de), 主观地 (zhǔguān de), 客观事实 (kè guān shì shí), 主观意见 (zhǔ guān yì jiàn), 主观臆断 (zhǔ guān yì duàn), 客观地看 (kè guān de kàn), 客观地说 (kè guān de shuō), 从客观角度 (cóng kè guān jiǎo dù) | None noted | Used to qualify the epistemic status of claims or to critique bias. |
| GROUP 9: SUBSTANCE VERSUS APPEARANCE | Expressions contrasting what something actually is (its substance, essence, or reality) with how it appears, is named, or is represented. These terms appear in critical analysis, philosophical discourse, and evaluations of whether things live up to their names or reputations. Focus is on the gap or alignment between surface and depth. | 实 (shí), 虚 (xū), 本质 (běnzhì), 实质 (shízhì), 名副其实 (míng fù qí shí), 名不副实 (míng bù fù shí), 华而不实 (huá ér bù shí), 徒有虚名 (tú yǒu xū míng), 名实相符 (míng shí xiāng fú), 名实不符 (míng shí bù fú), 表里如一 (biǎo lǐ rú yī), 表里不一 (biǎo lǐ bù yī), 言行一致 (yán xíng yī zhì), 言行不一 (yán xíng bù yī), 真才实学 (zhēn cái shí xué), 真凭实据 (zhēn píng shí jù) | 实 (shí) — appears across Groups 1, 9, 10, 11, 19 | Focus is on the gap or alignment between surface and depth. |
