# CLCA Protocol v3.4 — F4 Construction Table
# Language: Chinese (zh)

| Construction Type | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|------------------|---------|-----------------|-------------|-------------|------------------|
| **1. ATTRIBUTION** | 这个说法是真的 | zhè ge shuō fǎ shì zhēn de | This statement is true | The copula 是 (shì) "be" links subjects to truth-domain predicates. This is the basic attributive construction in Chinese. The particle 的 (de) typically follows the predicate adjective in predicative position. Without 是, bare adjectives can also function predicatively (e.g., 这个说法真 "this statement [is] true"), but 是 + ADJ + 的 is more emphatic and common in full sentences. Extremely common in all registers. The 是...的 frame is the default predicative structure. Bare adjective predicates (without 是) occur but are less emphatic and more restricted to informal speech. | [CORE] |
| **1. ATTRIBUTION (alternate)** | 这个说法真 | zhè ge shuō fǎ zhēn | This statement [is] true | Bare adjective predicate — less emphatic, more informal | [CORE] |
| **2. NEGATIVE ATTRIBUTION** | 这不是真的 | zhè bù shì zhēn de | This is not true | Negation of attribution uses 不是 (bù shì) "not be" before the predicate. Alternative negation pattern uses 不 (bù) directly before adjectives: 不真 (bù zhēn) "not true", 不对 (bù duì) "not correct". The 不是 pattern is more emphatic and categorical. Standard negation pattern across all contexts. The alternative pattern with 不 directly before adjectives (不真, 不对) is also common but slightly less categorical in force. Both patterns freely alternate. | [CORE] |
| **2. NEGATIVE ATTRIBUTION** | 这个消息不是事实 | zhè ge xiāo xi bù shì shì shí | This news is not factual | Negation of attribution uses 不是 (bù shì) "not be" before the predicate. Alternative negation pattern uses 不 (bù) directly before adjectives: 不真 (bù zhēn) "not true", 不对 (bù duì) "not correct". The 不是 pattern is more emphatic and categorical. Standard negation pattern across all contexts. The alternative pattern with 不 directly before adjectives (不真, 不对) is also common but slightly less categorical in force. Both patterns freely alternate. | [CORE] |
| **2. NEGATIVE ATTRIBUTION (alternate)** | 不真 | bù zhēn | not true | Direct negation — slightly less categorical | [CORE] |
| **2. NEGATIVE ATTRIBUTION (alternate)** | 不对 | bù duì | not correct | Direct negation — slightly less categorical | [CORE] |
| **3. ADNOMINAL MODIFICATION** | 真实的情况 | zhēn shí de qíng kuàng | the true/actual situation | The particle 的 (de) links modifying adjectives to head nouns. Some high-frequency combinations allow 的 deletion: 真相 (zhēn xiàng) "truth" (< 真的相 "true appearance"), 事实 (shì shí) "fact" (< 事的实 "matter's actuality"). Most productive modification requires 的. Highly productive across all registers. The 的 particle is generally required except in lexicalized compounds (真相, 事实). Deletion of 的 is restricted to fixed, high-frequency noun-noun combinations. | [CORE] |
| **3. ADNOMINAL MODIFICATION** | 虚假的信息 | xū jiǎ de xìn xī | false information | The particle 的 (de) links modifying adjectives to head nouns. Some high-frequency combinations allow 的 deletion: 真相 (zhēn xiàng) "truth" (< 真的相 "true appearance"), 事实 (shì shí) "fact" (< 事的实 "matter's actuality"). Most productive modification requires 的. Highly productive across all registers. The 的 particle is generally required except in lexicalized compounds (真相, 事实). Deletion of 的 is restricted to fixed, high-frequency noun-noun combinations. | [CORE] |
| **4. BECOME / INCHOATIVE** | 谎言变成了真相 | huǎng yán biàn chéng le zhēn xiàng | The lie became the truth | Change-of-state uses verbs 变 (biàn) "become, change" or 成为 (chéng wéi) "become". The construction 弄假成真 (nòng jiǎ chéng zhēn) "make false become true" is a lexicalized idiom. The verb 成 (chéng) "become" can also appear alone: 假戏真做 (jiǎ xì zhēn zuò) "pretense becomes reality" (lit. "false play truly done"). Common in narrative and descriptive contexts. 变(成) and 成为 are both productive. The pattern appears frequently in idiomatic expressions (弄假成真, 假戏真做) which may be more common than productive uses. | [CORE] |
| **4. BECOME / INCHOATIVE** | 假的变成真的了 | jiǎ de biàn chéng zhēn de le | The false became true | Change-of-state uses verbs 变 (biàn) "become, change" or 成为 (chéng wéi) "become". The construction 弄假成真 (nòng jiǎ chéng zhēn) "make false become true" is a lexicalized idiom. The verb 成 (chéng) "become" can also appear alone: 假戏真做 (jiǎ xì zhēn zuò) "pretense becomes reality" (lit. "false play truly done"). Common in narrative and descriptive contexts. 变(成) and 成为 are both productive. The pattern appears frequently in idiomatic expressions (弄假成真, 假戏真做) which may be more common than productive uses. | [CORE] |
| **5. CAUSATIVE** | 证据使这个说法变得可靠 | zhèng jù shǐ zhè ge shuō fǎ biàn de kě kào | The evidence makes this claim reliable | Causative constructions use 使 (shǐ) or 让 (ràng) "make, cause" to express causing a change in truth-value. More common are resultative verb compounds that encode causation: 证实 (zhèng shí) "prove true", 查实 (chá shí) "verify as true", 核实 (hé shí) "confirm as true". These are more idiomatic than periphrastic causatives. Grammatically well-formed but less idiomatic than resultative verb compounds (证实, 查实, 核实). The periphrastic causative with 使/让 is more formal/literary; resultative compounds dominate in actual usage. | [MARGINAL] |
| **5. CAUSATIVE** | 调查让真相大白 | diào chá ràng zhēn xiàng dà bái | The investigation caused the truth to come to light | Causative constructions use 使 (shǐ) or 让 (ràng) "make, cause" to express causing a change in truth-value. More common are resultative verb compounds that encode causation: 证实 (zhèng shí) "prove true", 查实 (chá shí) "verify as true", 核实 (hé shí) "confirm as true". These are more idiomatic than periphrastic causatives. Grammatically well-formed but less idiomatic than resultative verb compounds (证实, 查实, 核实). The periphrastic causative with 使/让 is more formal/literary; resultative compounds dominate in actual usage. | [MARGINAL] |
| **6. ABSTRACT NOMINALIZATION** | 真实性 | zhēn shí xìng | authenticity, truthfulness | Suffixes -性 (-xìng) "quality, -ness" and -度 (-dù) "degree" derive abstract nouns. The -性 suffix is highly productive with truth-domain adjectives: 可靠性 (kě kào xìng) "reliability", 客观性 (kè guān xìng) "objectivity", 主观性 (zhǔ guān xìng) "subjectivity". The -度 suffix emphasizes measurable degree: 可靠度 (kě kào dù) "reliability level", 真实度 (zhēn shí dù) "degree of authenticity". Extremely productive with -性 suffix across formal and academic registers. The -度 suffix is also productive but more restricted to contexts emphasizing measurability or gradability. Both patterns are standard in written Chinese. | [CORE] |
| **6. ABSTRACT NOMINALIZATION** | 准确度 | zhǔn què dù | degree of accuracy | Suffixes -性 (-xìng) "quality, -ness" and -度 (-dù) "degree" derive abstract nouns. The -性 suffix is highly productive with truth-domain adjectives: 可靠性 (kě kào xìng) "reliability", 客观性 (kè guān xìng) "objectivity", 主观性 (zhǔ guān xìng) "subjectivity". The -度 suffix emphasizes measurable degree: 可靠度 (kě kào dù) "reliability level", 真实度 (zhēn shí dù) "degree of authenticity". Extremely productive with -性 suffix across formal and academic registers. The -度 suffix is also productive but more restricted to contexts emphasizing measurability or gradability. Both patterns are standard in written Chinese. | [CORE] |
| **7. AGENTIVE NOMINALIZATION** | 欺骗者 | qī piàn zhě | deceiver, liar | The suffix -者 (-zhě) derives agent nouns from verbs. This pattern is productive but formal/literary. More common are compound nouns: 骗子 (piàn zi) "liar, cheater" (骗 "deceive" + 子 diminutive), or descriptive phrases: 说谎的人 (shuō huǎng de rén) "person who lies". The -者 suffix appears more in written/formal registers. Productive but restricted to formal/literary registers. Colloquial speech strongly prefers compound nouns (骗子) or descriptive phrases (说谎的人). The -者 suffix marks elevated register and is rare in spoken language. | [MARGINAL] |
| **7. AGENTIVE NOMINALIZATION** | 诚实者 | chéng shí zhě | honest person | The suffix -者 (-zhě) derives agent nouns from verbs. This pattern is productive but formal/literary. More common are compound nouns: 骗子 (piàn zi) "liar, cheater" (骗 "deceive" + 子 diminutive), or descriptive phrases: 说谎的人 (shuō huǎng de rén) "person who lies". The -者 suffix appears more in written/formal registers. Productive but restricted to formal/literary registers. Colloquial speech strongly prefers compound nouns (骗子) or descriptive phrases (说谎的人). The -者 suffix marks elevated register and is rare in spoken language. | [MARGINAL] |
| **8. RESULTATIVE COMPLEMENTS** | 说对了 | shuō duì le | said correctly, got it right | Resultative verb compounds encode the outcome of an action using truth-domain morphemes as complements. This is an extremely productive pattern in Chinese. Common resultative complements include: 对 (duì) "correct" (说对 "say correctly", 做对 "do correctly"), 错 (cuò) "wrong" (说错 "say wrongly", 看错 "see wrongly"), 实 (shí) "actual" (证实 "verify", 核实 "confirm", 查实 "ascertain", 落实 "implement"). The aspect marker 了 (le) often follows to indicate completion. Extremely productive and common across all registers. This is a fundamental construction type in Chinese grammar. The pattern freely combines action verbs with truth-domain complements (对, 错, 实) to encode achieved results. | [CORE] |
| **8. RESULTATIVE COMPLEMENTS** | 证实了 | zhèng shí le | verified, confirmed | Resultative verb compounds encode the outcome of an action using truth-domain morphemes as complements. This is an extremely productive pattern in Chinese. Common resultative complements include: 对 (duì) "correct" (说对 "say correctly", 做对 "do correctly"), 错 (cuò) "wrong" (说错 "say wrongly", 看错 "see wrongly"), 实 (shí) "actual" (证实 "verify", 核实 "confirm", 查实 "ascertain", 落实 "implement"). The aspect marker 了 (le) often follows to indicate completion. Extremely productive and common across all registers. This is a fundamental construction type in Chinese grammar. The pattern freely combines action verbs with truth-domain complements (对, 错, 实) to encode achieved results. | [CORE] |
| **9. POTENTIAL COMPLEMENTS** | 说得对 | shuō de duì | can say correctly, be right in saying | Potential forms indicate whether a result can or cannot be achieved, using 得 (de) for positive potential and 不 (bù) for negative. The potential infix 得/不 splits the verb from its complement. Common patterns: 说得对/说不对 (shuō de duì / shuō bù duì) "can/cannot say correctly", 做得对/做不对 (zuò de duì / zuò bù duì) "can/cannot do correctly". This construction evaluates possibility of achieving the result. Highly productive pattern expressing ability or possibility of achieving a result. Common in both spoken and written language. The 得/不 infix systematically derives potential forms from resultative compounds. | [CORE] |
| **9. POTENTIAL COMPLEMENTS** | 看不清真相 | kàn bù qīng zhēn xiàng | cannot see the truth clearly | Potential forms indicate whether a result can or cannot be achieved, using 得 (de) for positive potential and 不 (bù) for negative. The potential infix 得/不 splits the verb from its complement. Common patterns: 说得对/说不对 (shuō de duì / shuō bù duì) "can/cannot say correctly", 做得对/做不对 (zuò de duì / zuò bù duì) "can/cannot do correctly". This construction evaluates possibility of achieving the result. Highly productive pattern expressing ability or possibility of achieving a result. Common in both spoken and written language. The 得/不 infix systematically derives potential forms from resultative compounds. | [CORE] |
| **10. COMPARATIVE CONSTRUCTIONS** | 这个说法比那个更真实 | zhè ge shuō fǎ bǐ nà ge gèng zhēn shí | This statement is more true/authentic than that one | Comparison uses 比 (bǐ) "compared to" with degree adverbs 更 (gèng) or 还 (hái) "more, even more". Alternative comparative pattern uses 没有 (méi yǒu) "not have" for negative comparison: X 没有 Y (这么/那么) ADJ "X is not as ADJ as Y". Example: 这个没有那个真实 (zhè ge méi yǒu nà ge zhēn shí) "This is not as true as that". Standard comparative structure used across all contexts. The 比 pattern with 更/还 is the default comparative construction. The alternative 没有 pattern for negative comparison is equally common and productive. | [CORE] |
| **10. COMPARATIVE CONSTRUCTIONS** | 他比我更诚实 | tā bǐ wǒ gèng chéng shí | He is more honest than me | Comparison uses 比 (bǐ) "compared to" with degree adverbs 更 (gèng) or 还 (hái) "more, even more". Alternative comparative pattern uses 没有 (méi yǒu) "not have" for negative comparison: X 没有 Y (这么/那么) ADJ "X is not as ADJ as Y". Example: 这个没有那个真实 (zhè ge méi yǒu nà ge zhēn shí) "This is not as true as that". Standard comparative structure used across all contexts. The 比 pattern with 更/还 is the default comparative construction. The alternative 没有 pattern for negative comparison is equally common and productive. | [CORE] |
| **10. COMPARATIVE CONSTRUCTIONS (alternate)** | 这个没有那个真实 | zhè ge méi yǒu nà ge zhēn shí | This is not as true as that | Negative comparison — equally common alternative | [CORE] |
| **11. QUESTION FORMATIONS** | 这是真的还是假的？ | zhè shì zhēn de hái shì jiǎ de? | Is this true or false? | Chinese uses several question strategies: A-not-A pattern, question particles, and question words. Common question patterns include: (1) A-not-A: 对不对 (duì bù duì) "correct or not", 是不是真的 (shì bù shì zhēn de) "is or isn't true"; (2) Question particle 吗 (ma): 真的吗 (zhēn de ma) "really?"; (3) Alternative questions with 还是 (hái shì) "or": 真的还是假的 (zhēn de hái shì jiǎ de) "true or false". Multiple question strategies all highly productive. A-not-A pattern (对不对, 是不是) is extremely common in spoken Chinese. Question particle 吗 and alternative questions with 还是 are equally natural and freely used. | [CORE] |
