# CLCA Protocol v3.4 — F2b Constructions Table
# Language: Greek (el)

| Base Form | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|-----------|---------|-----------------|-------------|-------------|------------------|
| αλήθεια | λέω την αλήθεια | léo tin alítheia | to tell the truth | Standard expression for truthful speaking. Extremely common in everyday discourse and formal contexts. | [CORE] |
| αλήθεια | η αλήθεια είναι ότι | i alítheia íne óti | the truth is that | Fixed phrase introducing a frank or honest statement, often a correction or clarification. Very common in everyday discourse. | [CORE] |
| αλήθεια | στην αλήθεια | stin alítheia | in truth, actually, in fact | Prepositional phrase used to introduce truthful statements or corrections. Common in both everyday and formal speech. | [CORE] |
| αλήθεια | αλήθεια; | alítheia? | really? is that true? seriously? | Single-word question expressing surprise or seeking confirmation. Extremely common in everyday conversation. | [CORE] |
| αλήθεια | αλήθεια μου | alítheia mou | honestly, truly (exclamation) | Colloquial expression used as interjection to emphasize sincerity. Functions as "honestly!" or "really!" in conversation. | [CORE] |
| αλήθεια | η γυμνή αλήθεια | i gymní alítheia | the naked truth, the plain truth | Idiomatic expression for unvarnished or complete truth. Common in emphatic statements about revealing facts. | [CORE] |
| αλήθεια | η πικρή αλήθεια | i pikrí alítheia | the bitter truth | Idiomatic expression for unpleasant but true facts. Common in contexts where truth is difficult to accept. | [CORE] |
| αλήθεια | η σκληρή αλήθεια | i sklirí alítheia | the harsh truth, the hard truth | Idiomatic expression for difficult or unpleasant truths. Common in serious discussions and confrontations. | [CORE] |
| αλήθεια | η απόλυτη αλήθεια | i apólyti alítheia | the absolute truth | Expression emphasizing complete or unqualified truth. Used in emphatic assertions and philosophical discourse. | [CORE] |
| αλήθεια | η καθαρή αλήθεια | i katharí alítheia | the pure truth, the plain truth | Expression for unadorned or complete truth. Common in emphatic statements. | [CORE] |
| αλήθεια | μισή αλήθεια | misí alítheia | half-truth | Expression for partially true statements that mislead by omission. Common in discussions of deception and incomplete disclosure. | [CORE] |
| αλήθεια | η στιγμή της αλήθειας | i stigmí tis alítheias | the moment of truth | Idiomatic expression for critical moment when truth is revealed or tested. Common in dramatic contexts. | [CORE] |
| αλήθεια | βγαίνει η αλήθεια στο φως | vgéni i alítheia sto fos | the truth comes to light | Idiomatic expression for truth being revealed or discovered. Common in discussions of investigations and revelations. | [CORE] |
| αλήθεια | κρύβω την αλήθεια | krývo tin alítheia | to hide the truth | Standard expression for concealing truth. Common in accusations and discussions of deception. | [CORE] |
| αλήθεια | αποκαλύπτω την αλήθεια | apokalýpto tin alítheia | to reveal the truth | Formal expression for disclosing truth. Common in investigative and dramatic contexts. | [CORE] |
| αληθινός | αληθινή ιστορία | alithiní istoría | true story | Common collocation for factual narratives as opposed to fiction. Used in everyday and literary contexts. | [CORE] |
| αληθινός | αληθινός φίλος | alithinós fílos | true friend, genuine friend | Common expression for authentic friendship. Used in discussions of relationships and character. | [CORE] |
| αληθινός | αληθινή αγάπη | alithiní agápi | true love | Common romantic expression for genuine love. Used in everyday and literary contexts. | [CORE] |
