# CLCA Protocol v3.4 — F4 Construction Table
# Language: Quechua (qu)

| Construction Type | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|------------------|---------|-----------------|-------------|-------------|------------------|
| ATTRIBUTION | chiqan kay | chiqan kay | to be true, to be real | Basic stative predication; obligatory copula construction. Used in all registers. Evidential suffixes regularly attach to mark epistemic stance. | [CORE] |
| ATTRIBUTION | llulla kay | llulla kay | to be false, to be a lie | Parallel to above; fully productive with quality terms. | [CORE] |
| NEGATIVE ATTRIBUTION | mana allin kay | mana allin kay | to not be good, to be bad | Standard negation strategy for stative predicates. **Mana** is obligatory; **-chu** optional for emphasis or questions. | [CORE] |
| NEGATIVE ATTRIBUTION | mana chanin kay | mana chanin kay | to be invalid, to be illegitimate | Fully productive across quality terms; no restrictions observed. | [CORE] |
| ADNOMINAL MODIFICATION | chiqan simi | chiqan simi | true word, truthful speech | Simple juxtaposition is the standard modification strategy. Fixed modifier-noun order; highly productive. Case suffixes attach to entire NP. | [CORE] |
| ADNOMINAL MODIFICATION | llulla runa | llulla runa | lying person, deceiver | Unrestricted; applies to all noun classes. | [CORE] |
| BECOME / INCHOATIVE | allinyay | allinyay | to become good, to improve | Productive derivational pattern with **-ya-**. Context disambiguates inchoative vs. intensifying readings. Takes full verbal inflection. | [CORE] |
| BECOME / INCHOATIVE | llullayay | llullayay | to lie repeatedly, to become habitually deceitful | Less common than simple **llullakuy**; suggests habitual or intensified action rather than pure inchoative. | [MARGINAL] |
| CAUSATIVE | chiqanchay | chiqanchay | to verify, to authenticate | Highly productive causative derivation. Common in formal/administrative contexts. Combines freely with reflexive **-ku-**. | [CORE] |
| CAUSATIVE | allinchay | allinchay | to make good, to improve, to fix | Very frequent in everyday speech; unrestricted usage. | [CORE] |
| ABSTRACT NOMINALIZATION | chiqan kay | chiqan kay | truth, the state of being true | Standard nominalization via copula; creates process/state nominals. Used in philosophical and formal discourse. | [CORE] |
| ABSTRACT NOMINALIZATION | chiqan kaq | chiqan kaq | that which is true, the real thing | Substantivizing pattern; identifies entities by qualities. Takes case suffixes as full NP. | [CORE] |
| AGENTIVE NOMINALIZATION | llullakuq | llullakuq | liar, one who lies | Standard agent noun formation. Typically includes **-ku-** reflexive for habitual characterization. Common in moral discourse. | [CORE] |
| AGENTIVE NOMINALIZATION | chiqan rimaq | chiqan rimaq | truth-speaker, one who speaks truthfully | Productive compound pattern: quality term + verbal **-q**. Used for character descriptions. | [CORE] |
| ACCUSATIVE + VERB | chiqanta rimay | chiqanta rimay | to speak the truth | Most productive multi-word pattern. Combines with all speech verbs (**rimay**, **niy**, **willakuy**). Everyday usage. | [CORE] |
