# CLCA Protocol v3.2 — F1 Vocabulary Table
# Language: Quechua (qu)

| Form | Transliteration | Literal Meaning | Common Translations | Usage Description | Epistemic Status |
|------|----------------|-----------------|---------------------|-------------------|------------------|
| chiqan | chiqan | true, real, genuine | true, real, genuine, authentic, correct | Used to describe statements that correspond to reality or things that are authentic and not false. Commonly appears in both everyday speech and formal contexts to affirm accuracy or genuineness of information, objects, or situations. | [CORE] |
| chiqap | chiqap | truly, really (adverbial form) | truly, really, indeed, in truth | Adverbial form used to emphasize the truth or reality of a statement. Functions as an intensifier to confirm the veracity of what is being said or to express certainty about a claim. | [CORE] |
| llulla | llulla | false, lie, deceptive | false, lie, untrue, deceptive | Describes statements that are not true or people who deceive. Used both as a noun (a lie) and as an adjective (false, lying), commonly employed in everyday contexts to identify falsehood or dishonesty. | [CORE] |
| llullakuy | llullakuy | to lie, to deceive (verb with reflexive suffix -ku-) | to lie, to deceive, to tell falsehoods | Verbal form indicating the action of lying or deceiving. The reflexive suffix suggests an action that affects the subject's own moral standing or involves self-directed behavior in the act of deception. | [CORE] |
| allin | allin | good, well, correct | good, well, correct, right, proper | Widely used term for positive evaluation across moral, practical, and aesthetic domains. Applied to conduct, objects, situations, and statements to indicate they meet standards of correctness, quality, or appropriateness. | [CORE] |
| mana allin | mana allin | not good | bad, not good, wrong, improper | Negated form of allin used to express negative evaluation. Commonly employed to describe improper conduct, incorrect actions, or things that fail to meet expected standards. | [CORE] |
| chanin | chanin | valuable, worthy, legitimate | valuable, worthy, legitimate, valid, authentic | Indicates something has proper value, legitimacy, or authenticity. Used in contexts evaluating the worth or validity of objects, claims, or persons, particularly in formal or legal contexts. | [CORE] |
| yachay | yachay | to know, knowledge | to know, knowledge, to learn | Fundamental epistemic term referring to knowledge or the act of knowing. Used to distinguish between what is known with certainty versus what is merely believed or supposed. | [CORE] |
| yuyay | yuyay | to think, to remember, thought | to think, to remember, thought, memory, opinion | Refers to mental processes including thinking, remembering, and forming opinions. Distinguished from yachay in that it indicates subjective mental activity rather than established knowledge. | [CORE] |
| cheqan | cheqan | straight, direct, correct | straight, direct, correct, right, proper | Describes both physical straightness and metaphorical correctness. Applied to paths, conduct, and statements to indicate they are direct, proper, or morally upright. | [CORE] |
| pantay | pantay | to err, to make a mistake | to err, to make a mistake, to be wrong, error | Verbal form indicating error or mistake. Used when someone makes an incorrect judgment, takes a wrong action, or holds a mistaken belief. | [CORE] |
| pantasqa | pantasqa | mistaken, erroneous (past participle) | mistaken, wrong, erroneous, in error | Participial form describing something that contains error or someone who is mistaken. Commonly used to characterize incorrect statements or misguided actions. | [CORE] |
| suti | suti | name, clear, evident | name, clear, evident, obvious, manifest | Indicates clarity and evidential quality of something. Used to describe situations or facts that are clear, obvious, and not subject to doubt or misinterpretation. | [CORE] |
| rikch'ay | rikch'ay | to resemble, to appear, to seem | to resemble, to appear, to seem, to look like | Describes resemblance or appearance. Used when evaluating whether something appears to be what it claims or resembles something else, often with implications about authenticity. | [CORE] |
| rikch'akuy | rikch'akuy | to seem, to appear (with reflexive) | to seem, to appear, to give the impression | Reflexive form emphasizing subjective appearance or seeming. Used when something gives an impression that may or may not correspond to reality. | [CORE] |
